gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
TRIP10	433.3576	TRIP10	377.4612
TRIP11	1190.823	TRIP11	669.8785
removed	removed	TRIP12	2654.7968
TRIP13	200.2913	TRIP13	47.7587
TRIP4	729.4246	TRIP4	560.1173
TRIP6	676.9847	TRIP6	618.3494
TRIT1	414.421	TRIT1	449.9372
TRMT112	2962.4909	TRMT112	1255.9698
TRMT11	227.6038	TRMT11	405.111
TRMT12	1159.8689	TRMT12	412.6519
TRMT1	297.5237	TRMT1	118.5589
TRMT2A	457.0284	TRMT2A	94.6795
TRMT2B	393.6635	TRMT2B	311.2694
TRMT5	490.5317	TRMT5	864.6837
TRMT61A	308.8128	TRMT61A	78.7599
TRMT61B	305.6956	TRMT61B	495.9196
TRMT6	481.7917	TRMT6	433.1797
TRMU	238.1646	TRMU	60.7457
TRNAU1AP	287.6912	TRNAU1AP	186.4265
TRNP1	210.8521	TRNP1	646.837
TRNT1	392.4727	TRNT1	444.0469
TROAP	63.3649	removed	removed
TROVE2	1264.3008	TROVE2	2467.1135
TRO	67.7349	TRO	77.5031
TRPC1	16.7516	TRPC1	461.6674
removed	removed	TRPC3	6.284
TRPC4AP	2029.1333	TRPC4AP	1171.3448
removed	removed	TRPC4	5.0272
TRPC6	34.5958	TRPC6	227.0633
TRPM2	52.4399	TRPM2	13.8249
removed	removed	TRPM3	6.284
TRPM4	709.7597	TRPM4	137.8299
removed	removed	TRPM6	54.8806
TRPM7	961.7626	TRPM7	1153.7495
removed	removed	TRPM8	5.0272
TRPS1	13289.8762	TRPS1	6602.0109
TRPT1	436.6351	TRPT1	216.1709
TRPV1	84.8507	TRPV1	79.5978
TRPV2	96.1398	TRPV2	37.2853
TRPV4	15.6591	TRPV4	126.5186
TRPV6	22.2141	TRPV6	115.6263
TRRAP	1337.6584	TRRAP	840.8044
TRUB1	695.193	TRUB1	903.6447
TRUB2	790.6045	TRUB2	182.2371
TSC1	545.8849	TSC1	812.3167
TSC22D1	3885.2877	TSC22D1	18319.2292
TSC22D2	423.5251	TSC22D2	821.9522
TSC22D3	3266.5696	TSC22D3	3473.3976
TSC22D4	836.1253	TSC22D4	392.9619
TSC2	1873.6344	TSC2	538.3326
TSEN15	498.1792	TSEN15	1218.2656
TSEN2	178.8055	TSEN2	211.9816
TSEN34	1746.9046	TSEN34	927.1052
TSEN54	601.6023	TSEN54	157.9388
TSFM	801.5295	TSFM	434.4365
TSG101	2767.2979	TSG101	2077.5031
TSGA10	143.1173	TSGA10	76.6653
TSGA14	374.3627	TSGA14	295.3498
removed	removed	TSHR	10.4734
TSHZ1	900.9468	TSHZ1	1329.2836
TSHZ2	34.5958	TSHZ2	371.5961
TSHZ3	247.6329	TSHZ3	489.7361
TSIX	186.1435	TSIX	1059.0071
TSKU	4139.8398	TSKU	1385.84
removed	removed	TSLP	291.9983
TSNARE1	287.327	TSNARE1	42.7315
TSNAXIP1	12.7458	TSNAXIP1	5.4462
TSNAX	1682.3598	TSNAX	1568.0771
TSN	3583.0299	TSN	3474.2354
TSPAN10	153.6781	TSPAN10	10.0545
TSPAN11	36.0524	TSPAN11	83.3682
TSPAN12	495.9942	TSPAN12	867.1973
TSPAN13	27358.7036	TSPAN13	5175.5341
TSPAN14	1709.3955	TSPAN14	2483.452
TSPAN15	2736.7079	TSPAN15	971.5124
TSPAN17	751.6387	TSPAN17	297.4445
TSPAN18	194.8288	TSPAN18	464.181
TSPAN1	632.5564	TSPAN1	149.5601
TSPAN2	61.1799	TSPAN2	757.0172
TSPAN31	2329.5703	TSPAN31	1826.5605
TSPAN33	322.287	TSPAN33	226.6443
TSPAN3	3308.0845	TSPAN3	5590.6996
TSPAN4	796.7953	TSPAN4	581.483
TSPAN5	1226.8755	TSPAN5	100.9636
TSPAN6	695.5572	TSPAN6	2682.0276
TSPAN7	149.3081	TSPAN7	3485.1278
removed	removed	TSPAN8	44.4072
TSPAN9	1311.7261	TSPAN9	586.5103
TSPO	1882.7385	TSPO	457.478
TSPYL1	3666.7735	TSPYL1	5516.129
TSPYL2	434.4501	TSPYL2	499.3716
TSPYL3	42.6074	TSPYL3	5.0272
TSPYL4	510.1966	TSPYL4	1686.6359
TSPYL5	1400.9468	TSPYL5	1563.4688
TSR1	700.9723	TSR1	977.2937
TSR2	703.933	TSR2	444.491
TSSC1	619.8106	TSSC1	131.9648
TSSC4	479.6067	TSSC4	95.0984
TSSK3	12.0102	removed	removed
TSSK6	28.7691	removed	removed
TSTA3	1824.8361	TSTA3	297.8634
TSTD1	1522.2068	TSTD1	275.2409
TSTD2	718.5288	TSTD2	449.1244
TST	1033.8674	TST	196.8999
TTBK2	48.0699	TTBK2	87.9765
TTC12	232.3379	TTC12	102.6393
TTC13	207.9388	TTC13	372.853
TTC14	829.2061	TTC14	878.9275
TTC15	730.8813	TTC15	275.6598
TTC16	15.6591	removed	removed
TTC17	2436.6351	TTC17	1593.6322
TTC18	131.7626	TTC18	97.0716
TTC19	909.6067	TTC19	2316.7155
TTC1	1187.1814	TTC1	1322.5806
TTC21A	70.6482	TTC21A	22.2036
TTC21B	335.7611	TTC21B	510.6829
TTC22	170.0655	TTC22	21.7847
TTC23L	11.2891	TTC23L	15.5006
TTC23	285.8704	TTC23	253.8752
TTC25	19.665	TTC25	5.4462
TTC26	172.9789	TTC26	90.0712
TTC27	672.2505	TTC27	626.7281
TTC28	239.4683	TTC28	888.0687
TTC30A	576.839	TTC30A	640.1341
TTC30B	474.8725	TTC30B	338.0813
TTC31	434.4501	TTC31	391.2861
TTC32	88.1282	TTC32	224.9686
TTC33	200.2913	TTC33	875.1571
TTC35	3087.764	TTC35	1230.4147
TTC36	215.2221	TTC36	8.3787
TTC37	1372.906	TTC37	1029.7444
TTC38	671.8864	TTC38	359.8659
TTC39A	5526.9483	TTC39A	1392.9619
TTC39B	361.6169	TTC39B	69.9623
TTC39C	679.898	TTC39C	700.0419
TTC3	3876.1835	TTC3	6112.6938
TTC4	995.63	TTC4	651.4453
TTC5	178.0772	TTC5	200.2514
TTC7A	351.4202	TTC7A	545.0356
TTC7B	98.3248	TTC7B	410.1382
TTC8	1072.469	TTC8	735.2325
TTC9C	284.4137	TTC9C	275.6598
TTC9	672.9789	TTC9	583.5777
TTF1	379.461	TTF1	338.9191
TTF2	406.7735	TTF2	224.9686
TTK	136.5623	TTK	32.2581
TTLL11	34.5958	TTLL11	64.5161
TTLL12	4475.6009	TTLL12	400.9217
TTLL1	335.0328	TTLL1	180.5614
TTLL3	141.7007	TTLL3	201.4495
TTLL4	297.1595	TTLL4	461.2484
TTLL5	513.11	TTLL5	512.7775
TTLL7	10.5608	TTLL7	61.5836
TTLL9	23.6708	TTLL9	6.703
TTL	467.5892	TTL	627.9849
TTN	36.1071	TTN	155.995
TTPAL	489.4392	TTPAL	439.0448
removed	removed	TTPA	13.8249
TTYH1	27.6766	TTYH1	185.1697
TTYH2	56.9956	TTYH2	105.1529
TTYH3	572.469	TTYH3	287.39
TUBA1A	2446.5805	TUBA1A	9803.8584
TUBA1B	14653.1136	TUBA1B	6596.3553
TUBA1C	3607.429	TUBA1C	1175.3749
removed	removed	TUBA3D	16.7574
TUBA4A	957.0284	TUBA4A	909.9288
TUBA8	26.5841	TUBA8	29.3255
TUBAL3	14.5666	TUBAL3	8.3787
TUBB1	12.7458	TUBB1	26.393
TUBB2A	262.5637	TUBB2A	636.7826
removed	removed	TUBB2B	290.7415
TUBB2C	5413.3285	TUBB2C	1800.5865
TUBB3	86.0087	TUBB3	34.0218
TUBB4	615.0765	TUBB4	32.2581
TUBB6	488.3576	TUBB6	1921.2359
TUBB8	5.0983	removed	removed
TUBBP5	127.094	TUBBP5	69.1244
TUBB	14335.7138	TUBB	11543.7788
TUBD1	235.2513	TUBD1	509.845
TUBE1	158.7764	TUBE1	630.0796
TUBG1	1869.2644	TUBG1	305.4043
TUBG2	515.295	TUBG2	359.8659
TUBGCP2	1363.0736	TUBGCP2	553.7202
TUBGCP3	502.5492	TUBGCP3	638.8773
TUBGCP4	240.3496	TUBGCP4	187.2643
TUBGCP5	396.941	TUBGCP5	308.7558
TUBGCP6	442.8259	TUBGCP6	265.1864
TUB	45.5208	TUB	293.2551
TUFM	6021.85	TUFM	978.6343
TUFT1	983.9767	TUFT1	457.478
TUG1	3935.9068	TUG1	5779.6397
TULP3	448.6526	TULP3	683.7034
TULP4	933.7218	TULP4	1095.9363
TUSC1	455.5717	TUSC1	924.5915
TUSC2	947.1959	TUSC2	489.3171
TUSC3	764.0204	TUSC3	1468.3703
TUSC5	10.1966	TUSC5	971.0934
TUT1	694.4647	TUT1	240.4692
TWF1	3082.6657	TWF1	4078.7599
TWF2	792.3744	TWF2	216.4139
TWIST1	51.7116	TWIST1	473.3976
TWIST2	6.555	TWIST2	92.5848
TWISTNB	446.8318	TWISTNB	1259.7403
TWSG1	1632.9206	TWSG1	2408.0436
removed	removed	TXK	9.6355
TXLNA	2206.8463	TXLNA	1879.7654
TXLNB	245.8121	TXLNB	122.7482
TXLNG	220.6846	TXLNG	111.437
TXN2	1861.6169	TXN2	1387.0968
TXNDC11	2142.7531	TXNDC11	1067.8676
TXNDC12	1888.201	TXNDC12	2531.6297
TXNDC15	1245.4479	TXNDC15	1737.3272
TXNDC16	556.0816	TXNDC16	606.6192
TXNDC17	629.319	TXNDC17	586.1332
TXNDC5	5804.8908	TXNDC5	5591.1311
TXNDC9	1170.7939	TXNDC9	1348.1357
TXNIP	10068.4632	TXNIP	45749.8953
TXNL1	2282.5929	TXNL1	2540.4273
TXNL4A	1100.5098	TXNL4A	559.2794
TXNL4B	116.169	TXNL4B	190.6158
TXNRD1	927.531	TXNRD1	1661.9187
TXNRD2	199.9272	TXNRD2	74.9895
TXNRD3IT1	223.598	TXNRD3IT1	200.6703
TXN	2652.5856	TXN	4780.4776
TYK2	832.8478	TYK2	293.2551
TYMP	703.2047	TYMP	49.4344
TYMS	377.0612	TYMS	107.1638
TYRO3	40.0583	TYRO3	162.5471
TYROBP	572.469	TYROBP	333.473
TYSND1	919.1551	TYSND1	364.0553
TYW1B	73.5615	TYW1B	43.1504
TYW1	735.2513	TYW1	482.6142
TYW3	773.0371	TYW3	994.3109
U2AF1L4	80.5681	U2AF1L4	109.7612
U2AF1	1117.9898	U2AF1	643.4855
U2AF2	2623.0881	U2AF2	1152.4927
UACA	759.6504	UACA	1698.3661
UAP1L1	332.4836	UAP1L1	112.6938
UAP1	1354.3336	UAP1	1996.6485
UBA1	7682.083	UBA1	3471.7218
UBA2	2224.3263	UBA2	3384.5832
UBA3	1211.9446	UBA3	2338.0813
UBA52	10053.8966	UBA52	14300.377
UBA5	1316.1544	UBA5	1187.2727
UBA6	905.3168	UBA6	1117.3021
UBA7	583.394	UBA7	245.0775
UBAC1	640.5681	UBAC1	386.2589
UBAC2	2229.8798	UBAC2	918.2572
UBAP1	1168.6089	UBAP1	1764.9728
UBAP2L	2681.3547	UBAP2L	2353.5819
UBAP2	1001.4567	UBAP2	650.6075
UBASH3A	9.8325	UBASH3A	5.8651
UBASH3B	34.9599	UBASH3B	161.7093
UBB	15584.4865	UBB	6901.969
UBC	49172.2505	UBC	23816.5061
UBD	326.2928	UBD	137.411
UBE2A	1765.4771	UBE2A	2087.5576
UBE2B	1851.0561	UBE2B	4485.9656
UBE2CBP	18.2083	UBE2CBP	53.2049
UBE2C	284.0495	UBE2C	41.8936
UBE2D1	369.9927	UBE2D1	1077.5031
UBE2D2	2506.555	UBE2D2	3671.9732
UBE2D3	7259.6504	UBE2D3	11527.4403
UBE2D4	293.9658	UBE2D4	341.4705
UBE2E1	1560.8157	UBE2E1	3010.0545
UBE2E2	247.2688	UBE2E2	1166.3176
UBE2E3	160.5972	UBE2E3	2578.1315
UBE2F	1369.4501	UBE2F	760.7876
UBE2G1	1124.5448	UBE2G1	2520.7373
UBE2G2	1346.6861	UBE2G2	1076.2463
UBE2H	2554.6249	UBE2H	1048.1776
UBE2I	3134.3773	UBE2I	1645.5802
UBE2J1	1979.2425	UBE2J1	3072.057
UBE2J2	831.7553	UBE2J2	368.2447
UBE2K	3456.6642	UBE2K	2801.8433
UBE2L3	3152.9497	UBE2L3	2408.8814
UBE2L6	2922.7968	UBE2L6	1339.3381
UBE2MP1	78.6599	UBE2MP1	50.6912
UBE2M	989.075	UBE2M	495.1822
UBE2N	2711.2163	UBE2N	3398.408
UBE2O	836.1253	UBE2O	208.2111
UBE2Q1	1530.2258	UBE2Q1	2087.9765
UBE2Q2	1025.8558	UBE2Q2	2636.3636
UBE2QL1	22.5783	UBE2QL1	111.437
UBE2R2	2647.8514	UBE2R2	2253.4562
UBE2S	168.6089	UBE2S	25.1362
UBE2T	102.3307	UBE2T	74.9895
UBE2V1	3318.2811	UBE2V1	4406.7868
UBE2V2	2374.7269	UBE2V2	1209.049
UBE2W	2197.378	UBE2W	1255.5509
UBE2Z	3949.0168	UBE2Z	1920.8211
UBE3A	2671.5222	UBE3A	3335.1487
UBE3B	1450.4734	UBE3B	795.5593
UBE3C	2013.11	UBE3C	1140.3435
UBE4A	2511.6533	UBE4A	2569.7528
UBE4B	1280.4079	UBE4B	1389.6104
UBFD1	3653.3139	UBFD1	1064.0972
UBIAD1	1176.6205	UBIAD1	637.6204
UBL3	1699.1988	UBL3	3107.6665
UBL4A	935.9068	UBL4A	470.0461
UBL5	2794.2462	UBL5	1294.5119
UBL7	1140.2039	UBL7	623.7956
UBLCP1	631.0998	UBLCP1	1322.5806
UBN1	2655.1347	UBN1	809.8031
UBN2	666.4239	UBN2	972.3502
UBOX5	363.0554	UBOX5	353.1504
UBP1	3770.2112	UBP1	4364.8932
UBQLN1	4441.3693	UBQLN1	4423.5442
UBQLN2	1282.2287	UBQLN2	2448.6804
UBQLN4	1249.8179	UBQLN4	875.1571
UBR1	1009.1042	UBR1	926.2673
UBR2	828.842	UBR2	578.9694
UBR3	1449.3809	UBR3	2017.1764
UBR4	2885.6519	UBR4	2046.9208
UBR5	5508.3758	UBR5	2777.545
UBR7	1725.783	UBR7	1531.6297
UBTD1	253.8237	UBTD1	103.0582
UBTD2	1081.5732	UBTD2	1570.5907
UBTF	3139.8398	UBTF	932.9703
UBXN10	1339.0386	UBXN10	276.0788
UBXN11	287.6912	UBXN11	94.2606
UBXN1	918.4268	UBXN1	452.8697
UBXN2A	280.4079	UBXN2A	369.5015
UBXN2B	1776.7662	UBXN2B	1314.6209
UBXN4	4758.1937	UBXN4	4069.1244
UBXN6	1195.193	UBXN6	365.3121
UBXN7	192.2797	UBXN7	376.2044
UBXN8	155.1347	UBXN8	318.8102
removed	removed	UCA1	10.8923
UCHL1	47.7058	UCHL1	65.354
UCHL3	497.0867	UCHL3	586.0913
UCHL5	543.7837	UCHL5	516.9669
UCK1	581.209	UCK1	300.796
UCK2	206.118	UCK2	292.4173
removed	removed	UCKL1AS	5.1403
UCKL1	297.5237	UCKL1	165.8986
removed	removed	UCN2	7.5408
UCN	5.8267	removed	removed
UCP1	365.9869	removed	removed
UCP2	2193.7363	UCP2	2122.7482
UCP3	9.1042	UCP3	9.2166
UEVLD	718.8638	UEVLD	267.7
UFC1	2533.1391	UFC1	1863.008
UFD1L	1184.5921	UFD1L	664.4072
UFM1	2797.8878	UFM1	3143.695
UFSP1	38.9658	UFSP1	17.1764
UFSP2	815.1675	UFSP2	1342.434
UGCG	1604.5157	UGCG	220.7792
UGDH	1890.7502	UGDH	1627.147
UGGT1	2521.85	UGGT1	1327.6079
UGGT2	555.3532	UGGT2	561.793
UGP2	1851.0561	UGP2	7279.8492
removed	removed	UGT2B10	6.703
removed	removed	UGT2B11	846.3594
removed	removed	UGT2B15	122.7482
removed	removed	UGT2B28	33.9338
removed	removed	UGT2B7	11.3113
removed	removed	UGT8	128.1944
UHMK1	380.5535	UHMK1	98.031
UHRF1BP1L	662.0539	UHRF1BP1L	592.3754
UHRF1BP1	920.976	UHRF1BP1	528.2782
UHRF1	151.8572	UHRF1	28.4876
UHRF2	526.9483	UHRF2	1163.8039
UIMC1	273.4887	UIMC1	333.054
ULBP1	6.9192	ULBP1	15.9196
ULBP2	6.1908	ULBP2	19.2711
removed	removed	ULBP3	24.7172
ULK1	1014.9308	ULK1	412.2329
ULK2	863.0736	ULK2	807.2895
ULK3	655.4989	ULK3	304.9853
ULK4	87.0357	ULK4	29.3255
UMODL1	12.0175	removed	removed
UMOD	9.8325	removed	removed
UMPS	682.8114	UMPS	478.0059
UNC119B	684.9964	UNC119B	1428.1525
UNC119	1339.7669	UNC119	349.8115
UNC13B	819.0095	UNC13B	672.3921
UNC13D	201.3838	UNC13D	31.0013
UNC45A	1481.7917	UNC45A	388.7725
removed	removed	UNC45B	9.2166
UNC50	1292.0612	UNC50	1416.4223
UNC5A	100.5098	UNC5A	17.5953
UNC5B	473.0517	UNC5B	176.372
UNC5CL	17.5018	UNC5CL	13.8249
UNC5C	16.3875	UNC5C	68.2866
UNC93B1	1031.3183	UNC93B1	233.3473
UNG	1114.7123	UNG	912.8613
UNKL	524.0459	UNKL	212.6225
UNK	762.5637	UNK	552.9954
UPF1	2414.421	UPF1	426.8957
UPF2	848.5069	UPF2	668.6217
UPF3A	596.8682	UPF3A	541.2652
UPF3B	136.5623	UPF3B	186.4265
removed	removed	UPK1A	16.7574
UPK2	14.9308	removed	removed
UPK3A	5.8267	removed	removed
UPK3BL	128.6672	UPK3BL	103.2007
UPK3B	5.8267	removed	removed
UPP1	53.1682	UPP1	43.1504
UPRT	316.4603	UPRT	523.2509
UQCC	1189.3664	UQCC	491.8307
UQCR10	2140.2039	UQCR10	1294.5119
UQCR11	2012.0175	UQCR11	885.2116
UQCRB	6213.0371	UQCRB	4288.6468
UQCRC1	2934.0859	UQCRC1	764.977
UQCRC2	6749.4538	UQCRC2	4418.098
UQCRFS1	1760.0146	UQCRFS1	1949.3088
UQCRHL	312.4545	UQCRHL	72.8948
UQCRH	1263.6562	UQCRH	1581.0641
UQCRQ	2183.1755	UQCRQ	1377.4612
URB1	970.5025	URB1	526.9543
URB2	282.2287	URB2	212.8194
URGCP	473.78	URGCP	448.2614
URM1	1326.2928	URM1	514.0344
UROD	1259.6504	UROD	740.6787
UROS	637.2906	UROS	362.3796
USE1	207.9388	USE1	104.734
USF1	599.4173	USF1	290.7415
USF2	1523.3066	USF2	464.181
USH1G	5.4625	removed	removed
USH2A	5.4625	removed	removed
USHBP1	14.5666	USHBP1	34.7717
USMG5	970.8667	USMG5	2193.9673
USO1	3111.799	USO1	2445.7478
USP10	1329.9345	USP10	2094.6795
USP11	1405.681	USP11	823.628
USP12	293.5178	USP12	258.4835
USP13	446.4676	USP13	617.5115
USP14	2662.0539	USP14	1645.5802
USP15	644.9381	USP15	1570.5907
USP16	1343.7728	USP16	1390.4483
USP18	780.0437	USP18	80.8546
USP19	1251.6387	USP19	516.9669
USP1	1521.4858	USP1	1891.0767
USP20	554.2607	USP20	170.9258
USP21	472.6875	USP21	281.106
USP22	6710.488	USP22	2969.8366
USP24	1230.8813	USP24	1362.3796
USP25	1082.3015	USP25	1963.1336
USP27X	106.7007	USP27X	105.5718
USP28	392.9352	USP28	529.116
USP2	58.9949	USP2	149.5601
USP30	635.4698	USP30	624.2145
USP31	565.5499	USP31	1568.915
USP32	1383.831	USP32	777.1261
USP33	1614.3481	USP33	2800.5865
USP34	2065.5499	USP34	3495.1822
USP35	313.9111	USP35	41.8936
USP36	1568.4632	USP36	682.8655
USP37	886.3802	USP37	648.9317
USP38	1115.0765	USP38	1182.6561
USP39	1573.1974	USP39	1313.783
USP3	588.5688	USP3	757.721
USP40	1239.6213	USP40	465.8567
USP42	361.6169	USP42	577.7126
USP43	130.7356	USP43	121.9103
removed	removed	USP44	54.4617
USP45	159.1406	USP45	312.9451
USP46	684.6322	USP46	683.2845
USP47	2009.8325	USP47	2141.6003
USP48	1277.4945	USP48	1168.8312
USP49	6.1908	removed	removed
USP4	1335.3969	USP4	1142.4382
USP51	55.3532	USP51	34.7717
USP53	672.9789	USP53	2255.5509
USP54	600.5098	USP54	783.4101
USP5	1960.6701	USP5	467.9514
USP6NL	488.7109	USP6NL	812.3167
USP6	37.1449	USP6	68.7055
USP7	7292.0612	USP7	2432.3419
USP8	1529.319	USP8	1583.5149
USP9X	4017.1158	USP9X	3731.0432
USPL1	502.9133	USPL1	749.0574
UST	38.9658	UST	611.6464
UTP11L	745.4479	UTP11L	708.8395
UTP14A	445.7393	UTP14A	240.4692
UTP14C	1674.0714	UTP14C	1299.5392
UTP15	248.3613	UTP15	346.46
UTP18	1398.7618	UTP18	1105.5718
UTP20	699.563	UTP20	656.4726
UTP23	1839.0386	UTP23	924.1726
UTP3	724.6905	UTP3	948.0519
UTP6	1229.7888	UTP6	472.1408
UTRN	3085.579	UTRN	5615.4168
removed	removed	UTS2D	10.4734
UVRAG	520.3933	UVRAG	1014.2438
UXS1	741.0779	UXS1	645.1613
UXT	897.713	UXT	1718.4164
VAC14	645.3023	VAC14	500.6284
VAMP1	70.9213	VAMP1	159.1956
VAMP2	1288.4195	VAMP2	5054.0427
VAMP3	2288.7837	VAMP3	5028.9066
VAMP4	500	VAMP4	863.4269
VAMP5	238.5288	VAMP5	349.3925
VAMP7	1409.6868	VAMP7	1942.6058
VAMP8	4646.3948	VAMP8	2178.0478
VANGL1	1185.3605	VANGL1	537.0758
VANGL2	103.059	VANGL2	947.633
VAPA	4864.5302	VAPA	8531.2107
VAPB	1302.622	VAPB	676.1625
VARS2	578.2957	VARS2	102.5513
VARS	1037.5091	VARS	330.5404
VASH1	199.6468	VASH1	252.145
VASH2	17.8441	VASH2	139.5057
VASN	222.5055	VASN	134.4784
VASP	1469.4101	VASP	1666.527
VAT1L	21.4858	VAT1L	24.7172
VAT1	5463.5834	VAT1	3871.8056
VAV1	147.4873	VAV1	18.4332
VAV2	1093.9548	VAV2	185.1697
VAV3	4341.9519	VAV3	2918.7264
VAX2	50.6191	VAX2	15.9196
VBP1	1073.1974	VBP1	2045.2451
VCAM1	369.6286	VCAM1	780.4776
VCAN	2714.1296	VCAN	1014.6628
VCL	2992.7167	VCL	7408.4625
VCPIP1	2691.1872	VCPIP1	1191.4537
VCP	9648.5798	VCP	2205.2786
VDAC1	8931.1726	VDAC1	4345.2032
VDAC2	1859.4319	VDAC2	2111.8559
VDAC3	5601.9665	VDAC3	2048.1776
VDR	546.6133	VDR	544.6167
VEGFA	478.8784	VEGFA	1223.7118
VEGFB	1378.3685	VEGFB	1012.1491
VEGFC	98.689	VEGFC	420.1927
removed	removed	VENTX	7.5408
VEPH1	46.2491	VEPH1	58.2321
VEZF1	2951.2017	VEZF1	3040.6368
VEZT	1115.0765	VEZT	1663.5945
VGLL1	12.7458	VGLL1	465.8567
VGLL3	79.3882	VGLL3	1081.2736
VGLL4	1514.7851	VGLL4	2332.9954
VHL	1213.7655	VHL	1093.8416
VILL	175.528	VILL	32.2581
VIM	9994.0896	VIM	60763.5065
VIPAR	383.1027	VIPAR	634.6879
VIPR1	890.0218	VIPR1	630.4985
VIPR2	321.8755	VIPR2	42.3251
removed	removed	VIP	13.4059
removed	removed	VIT	354.0008
VKORC1L1	1413.6926	VKORC1L1	2039.38
VKORC1	2413.3285	VKORC1	1713.8668
VLDLR	56.0816	VLDLR	540.8463
VMA21	1754.1879	VMA21	2211.1437
VMAC	120.1748	VMAC	86.3008
VMO1	12.7458	removed	removed
VN1R1	10.1966	VN1R1	17.1764
VNN1	18.2083	VNN1	40.6368
VNN2	11.6533	VNN2	14.6628
VOPP1	1017.48	VOPP1	651.4453
VPRBP	947.134	VPRBP	728.3913
VPREB3	5.0983	removed	removed
VPS11	1347.0503	VPS11	691.2442
VPS13A	407.866	VPS13A	679.933
VPS13B	1776.0379	VPS13B	842.0612
VPS13C	1030.2258	VPS13C	2170.9258
VPS13D	1716.3146	VPS13D	1498.9527
VPS16	796.799	VPS16	175.5341
VPS18	707.2105	VPS18	378.2991
VPS24	3142.7531	VPS24	5423.5442
VPS25	2245.4479	VPS25	865.1026
VPS26A	1974.8725	VPS26A	3866.7784
VPS26B	1290.6045	VPS26B	1149.9791
VPS28	4916.2418	VPS28	628.4039
VPS29	1497.815	VPS29	2524.0888
VPS33A	480.5208	VPS33A	331.3783
VPS33B	291.697	VPS33B	175.9531
VPS35	9176.9847	VPS35	4204.4407
VPS36	1523.6708	VPS36	2032.2581
VPS37A	843.6708	VPS37A	1376.2044
VPS37B	428.6235	VPS37B	450.3561
VPS37C	1670.0655	VPS37C	354.0008
VPS37D	73.5615	VPS37D	22.2036
VPS39	1637.6548	VPS39	1150.398
VPS41	1222.5055	VPS41	1590.2807
VPS45	1000	VPS45	1030.5823
VPS4A	1009.8325	VPS4A	787.1806
VPS4B	2619.0823	VPS4B	2737.7461
VPS52	2014.9308	VPS52	1553.4143
VPS53	553.1682	VPS53	546.2924
VPS54	375.8194	VPS54	1055.7185
VPS72	764.7487	VPS72	715.5425
VPS8	1040.7866	VPS8	618.3494
VRK1	328.1136	VRK1	381.6506
VRK2	1601.8973	VRK2	515.3875
VRK3	662.0539	VRK3	369.0825
VSIG10L	37.8733	VSIG10L	85.044
VSIG10	831.7553	VSIG10	467.1135
VSIG1	6.1908	VSIG1	10.8923
VSIG2	7.2833	VSIG2	143.2761
VSIG4	194.8288	VSIG4	279.0113
VSNL1	30.9541	VSNL1	467.1135
VSTM2L	6.555	removed	removed
VTA1	2107.7932	VTA1	2127.7755
VTCN1	6714.4938	VTCN1	6940.5111
VTI1A	428.3321	VTI1A	475.0733
VTI1B	909.2535	VTI1B	820.0587
VWA1	1400.5827	VWA1	253.8752
VWA2	78.2957	VWA2	38.5421
VWA3A	30.9541	removed	removed
removed	removed	VWA3B	6.703
VWA5A	1490.1675	VWA5A	1864.6837
removed	removed	VWC2	7.5408
removed	removed	VWCE	11.7302
removed	removed	VWDE	136.992
VWF	1533.1391	VWF	3097.1931
WAC	3458.8492	WAC	5125.6808
WAPAL	2371.8135	WAPAL	1910.3477
WARS2	435.1784	WARS2	1007.5408
WARS	2632.9206	WARS	2466.2757
WASF1	34.9599	WASF1	387.5157
WASF2	2847.0503	WASF2	4259.3213
WASF3	211.9446	WASF3	692.0821
WASH2P	145.6664	WASH2P	45.2451
WASH3P	160.9614	WASH3P	34.7717
WASH5P	52.4399	WASH5P	48.1776
WASH7P	441.0051	WASH7P	215.752
WASL	2734.5229	WASL	3781.7344
WAS	106.7007	WAS	44.4072
WBP11P1	17.48	WBP11P1	6.284
WBP11	4104.5157	WBP11	2607.0381
WBP1	2492.5164	WBP1	968.2447
WBP2NL	18.2083	WBP2NL	10.0545
WBP2	5198.8347	WBP2	3297.8634
WBP4	352.1486	WBP4	520.3184
WBP5	284.7779	WBP5	1815.6682
WBSCR16	788.0554	WBSCR16	207.7922
removed	removed	WBSCR17	17.1764
WBSCR22	1559.7305	WBSCR22	537.0758
WBSCR27	138.3831	WBSCR27	23.4604
WDFY1	1127.8223	WDFY1	1754.9225
WDFY2	176.9847	WDFY2	278.1734
WDFY3	918.4268	WDFY3	1704.2313
WDFY4	61.1799	WDFY4	21.7847
WDHD1	147.4873	WDHD1	69.5434
WDR11	886.3802	WDR11	1036.4474
WDR12	382.7385	WDR12	343.5274
WDR13	691.9155	WDR13	602.0109
WDR17	22.2141	WDR17	92.5848
WDR18	308.8128	WDR18	43.1504
WDR19	529.8616	WDR19	551.3196
WDR1	4804.0787	WDR1	4365.3121
WDR20	676.2564	WDR20	637.6204
WDR24	747.6329	WDR24	50.6912
WDR25	281.1362	WDR25	115.6263
WDR26	2997.0867	WDR26	3063.6783
WDR27	46.6133	WDR27	104.315
WDR31	142.0248	WDR31	36.4474
WDR33	1055.3532	WDR33	1118.1399
