gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
AKD1	128.5141	AKD1	122.1374
AKIRIN1	1077.51	AKIRIN1	1306.2416
AKIRIN2	312.4498	AKIRIN2	831.163
AKNA	257.8313	AKNA	795.6893
AKR1A1	1967.4699	AKR1A1	1340.8172
removed	removed	AKR1B15	31.8815
AKR1B1	499.1968	AKR1B1	1047.5977
AKR1C1	48.1928	AKR1C1	6371.8006
AKR1C2	42.5703	AKR1C2	9195.7791
AKR1C3	438.1526	AKR1C3	4305.7925
removed	removed	AKR1E2	41.3112
AKR7A2	840.5622	AKR7A2	847.7773
AKR7A3	263.4538	AKR7A3	30.9834
AKR7L	7.2289	AKR7L	6.2865
AKT1S1	1192.3695	AKT1S1	852.2676
AKT1	2160.241	AKT1	2770.0943
AKT2	2316.0643	AKT2	4598.1141
AKT3	375.502	AKT3	1247.8671
AKTIP	708.9438	AKTIP	679.3848
ALAD	856.6265	ALAD	2092.9502
ALAS1	1579.1165	ALAS1	1416.7041
removed	removed	ALAS2	449.9326
removed	removed	ALB	13.022
ALCAM	9719.6787	ALCAM	1110.4625
ALDH16A1	898.3936	ALDH16A1	353.3902
ALDH18A1	2625.7028	ALDH18A1	1500.6736
ALDH1A1	248.996	ALDH1A1	1810.0584
ALDH1A2	20.8835	ALDH1A2	343.5115
ALDH1A3	135.3414	ALDH1A3	2676.8029
ALDH1B1	1069.8795	ALDH1B1	583.7449
removed	removed	ALDH1L1	885.9452
ALDH1L2	199.1968	ALDH1L2	611.1361
ALDH2	560.241	ALDH2	13746.7445
ALDH3A1	52.6104	ALDH3A1	23.3498
ALDH3A2	6358.6345	ALDH3A2	5421.1944
ALDH3B1	373.8956	ALDH3B1	242.4787
ALDH3B2	130.1205	ALDH3B2	44.4544
ALDH4A1	1415.261	ALDH4A1	2032.3305
ALDH5A1	928.9157	ALDH5A1	911.0912
ALDH6A1	441.0361	ALDH6A1	730.7364
ALDH7A1	3832.5301	ALDH7A1	2072.7436
removed	removed	ALDH8A1	13.022
ALDH9A1	5161.4458	ALDH9A1	4814.9978
ALDOA	21952.6104	ALDOA	15171.5312
ALDOB	8.0321	removed	removed
ALDOC	36.1446	ALDOC	1133.8123
ALG10B	472.6908	ALG10B	245.6219
ALG10	220.0803	ALG10	83.9695
ALG11	8.8353	ALG11	14.3691
ALG12	760.241	ALG12	444.5442
ALG13	355.4217	ALG13	421.6435
ALG14	198.3936	ALG14	227.2115
ALG1	791.0482	ALG1	413.3992
ALG2	973.8956	ALG2	692.4113
ALG3	1568.2731	ALG3	544.6789
ALG5	593.9759	ALG5	577.9075
ALG6	625.7028	ALG6	228.5586
ALG8	1601.6064	ALG8	767.8491
ALG9	830.9237	ALG9	907.9479
ALKBH1	197.992	ALKBH1	242.4787
ALKBH2	355.0201	ALKBH2	247.4181
ALKBH3	247.7912	ALKBH3	390.211
ALKBH4	260.6024	ALKBH4	195.7836
ALKBH5	2301.2048	ALKBH5	2105.9722
ALKBH6	129.7189	ALKBH6	79.0301
ALKBH7	549.3976	ALKBH7	315.6713
ALKBH8	452.2088	ALKBH8	239.3354
removed	removed	ALK	8.9807
ALMS1	1004.4177	ALMS1	742.7032
removed	removed	ALOX12P2	10.7768
removed	removed	ALOX12	6.7355
ALOX15B	998.7952	ALOX15B	64.2119
ALOX15	33.7349	removed	removed
ALOX5AP	483.9357	ALOX5AP	339.0211
ALOX5	271.4859	ALOX5	405.9273
removed	removed	ALOXE3	17.9614
ALPK1	264.6586	ALPK1	710.3727
removed	removed	ALPK2	27.3911
ALPK3	149.7992	ALPK3	619.2187
ALPL	185.1406	ALPL	647.0588
ALS2CL	131.7269	ALS2CL	564.8855
removed	removed	ALS2CR11	18.4104
removed	removed	ALS2CR12	5.3884
ALS2CR4	527.7108	ALS2CR4	987.427
ALS2CR8	99.5984	ALS2CR8	214.1895
ALS2	561.0442	ALS2	588.2353
removed	removed	ALX3	17.0633
removed	removed	ALX4	35.0247
AMACR	877.1084	AMACR	336.3269
AMBP	54.2169	removed	removed
AMBRA1	865.4618	AMBRA1	860.3502
AMD1	786.747	AMD1	1403.233
AMDHD1	160.241	AMDHD1	16.1652
AMDHD2	194.8795	AMDHD2	175.1235
AMFR	12099.1968	AMFR	3171.0822
AMH	14.4578	removed	removed
AMICA1	38.9558	AMICA1	95.6444
AMIGO1	154.6185	AMIGO1	170.6331
AMIGO2	607.2289	AMIGO2	1763.8078
AMIGO3	121.2851	AMIGO3	37.2699
AMMECR1L	661.4458	AMMECR1L	913.7854
AMMECR1	84.3373	AMMECR1	147.7324
AMN1	308.8353	AMN1	212.8424
AMOTL1	663.4538	AMOTL1	2710.8217
AMOTL2	1261.4458	AMOTL2	4063.7629
AMOT	2187.1486	AMOT	1106.4212
removed	removed	AMPD1	49.8428
AMPD2	700	AMPD2	640.3233
AMPD3	434.9398	AMPD3	319.2636
AMPH	50.6024	AMPH	86.2146
AMT	20.4819	AMT	193.974
removed	removed	AMY1A	30.9834
AMY2B	40.5422	AMY2B	377.3417
AMZ1	264.6586	removed	removed
AMZ2P1	186.747	AMZ2P1	247.8671
AMZ2	2457.0281	AMZ2	1255.9497
ANAPC10	91.5663	ANAPC10	159.4073
ANAPC11	1896.3855	ANAPC11	606.6457
ANAPC13	1103.7028	ANAPC13	1060.3458
ANAPC16	1873.8956	ANAPC16	2517.7369
ANAPC1	669.0763	ANAPC1	725.1908
ANAPC2	514.4578	ANAPC2	519.982
ANAPC4	349.3976	ANAPC4	577.0094
ANAPC5	3618.8755	ANAPC5	2341.7153
ANAPC7	1310.8434	ANAPC7	766.9511
ANGEL1	289.1566	ANGEL1	715.3121
ANGEL2	754.2169	ANGEL2	565.3345
ANGPT1	36.9478	ANGPT1	1178.7158
ANGPT2	210.8434	ANGPT2	546.4751
removed	removed	ANGPT4	16.1652
ANGPTL1	23.6948	ANGPTL1	550.0674
ANGPTL2	1590.7631	ANGPTL2	9810.5074
ANGPTL4	46.988	ANGPTL4	1722.9457
removed	removed	ANGPTL5	19.7575
removed	removed	ANGPTL7	70.4984
ANG	149.9116	ANG	470.0629
ANK1	144.5783	ANK1	32.3305
ANK2	105.2209	ANK2	1269.4207
ANK3	834.5382	ANK3	1151.7737
ANKAR	17.6707	ANKAR	53.4351
ANKDD1A	42.9719	ANKDD1A	280.1976
ANKFY1	1366.6667	ANKFY1	2337.225
ANKHD1-EIF4EBP3	1326.0361	ANKHD1-EIF4EBP3	772.1239
ANKHD1	2696.5141	ANKHD1	2386.3898
ANKH	1123.6948	ANKH	1487.6515
ANKIB1	1853.012	ANKIB1	1357.8806
removed	removed	ANKK1	41.7602
removed	removed	ANKLE1	17.0633
ANKLE2	1672.2892	ANKLE2	1542.4338
ANKMY1	144.9799	ANKMY1	239.3354
ANKMY2	265.0602	ANKMY2	603.5025
ANKRA2	317.6707	ANKRA2	294.1176
ANKRD10	496.9478	ANKRD10	1279.3085
ANKRD11	1540.0201	ANKRD11	2294.7328
ANKRD12	829.3173	ANKRD12	1704.9843
ANKRD13A	855.0201	ANKRD13A	1280.1976
ANKRD13B	205.6225	ANKRD13B	164.3467
ANKRD13C	677.51	ANKRD13C	509.6542
ANKRD13D	375.502	ANKRD13D	410.4176
ANKRD16	196.7871	ANKRD16	163.3588
ANKRD17	2260.241	ANKRD17	2948.8101
ANKRD19	43.7751	ANKRD19	30.5344
removed	removed	ANKRD20A3	25.595
removed	removed	ANKRD20B	8.0826
ANKRD22	77.1084	ANKRD22	37.2699
ANKRD23	23.2932	ANKRD23	35.0247
ANKRD24	53.012	ANKRD24	33.6776
ANKRD26	308.0321	ANKRD26	278.4014
ANKRD27	642.5703	ANKRD27	867.9838
ANKRD28	1562.249	ANKRD28	1146.3853
ANKRD29	27.7108	ANKRD29	317.4674
ANKRD2	39.3574	removed	removed
removed	removed	ANKRD30A	268.9717
ANKRD30B	32.9317	ANKRD30B	13.022
ANKRD32	361.0442	ANKRD32	129.322
ANKRD34A	13.6546	ANKRD34A	26.9421
ANKRD35	7.2289	ANKRD35	179.1648
ANKRD36BP1	67.0683	ANKRD36BP1	148.1814
ANKRD36B	38.5542	ANKRD36B	70.4984
ANKRD36	102.008	ANKRD36	310.2829
ANKRD37	20.4699	ANKRD37	137.9973
ANKRD39	154.6185	ANKRD39	144.5891
ANKRD40	1402.8112	ANKRD40	3047.5977
ANKRD42	338.5542	ANKRD42	195.7791
removed	removed	ANKRD43	21.1046
ANKRD44	55.4217	ANKRD44	105.5231
removed	removed	ANKRD45	6.2865
ANKRD46	307.6787	ANKRD46	724.4365
ANKRD49	152.6104	ANKRD49	241.5806
ANKRD50	1010.8434	ANKRD50	974.8541
ANKRD52	1734.9398	ANKRD52	1253.2555
removed	removed	ANKRD53	70.4984
ANKRD54	648.1928	ANKRD54	332.7346
ANKRD55	5.6225	removed	removed
ANKRD56	129.3173	ANKRD56	36.8208
ANKRD57	430.9237	ANKRD57	645.7117
ANKRD58	16.4659	removed	removed
ANKRD5	381.1245	ANKRD5	147.2833
ANKRD6	150.9719	ANKRD6	352.8783
ANKRD9	48.5944	ANKRD9	69.6004
ANKS1A	971.8876	ANKS1A	1959.5869
ANKS1B	98.7952	ANKS1B	44.4544
ANKS3	81.5261	ANKS3	194.432
ANKS6	46.988	ANKS6	413.5608
ANKZF1	345.3815	ANKZF1	634.0368
ANLN	1978.3133	ANLN	29.1872
