gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
SLMO2	5809.6386	SLMO2	1101.0328
SLPI	28.9157	SLPI	2537.0454
SLTM	2402.4096	SLTM	1600.3592
SLU7	929.7189	SLU7	1249.6632
SMAD1	889.9598	SMAD1	781.7692
SMAD2	1807.6305	SMAD2	2182.7571
SMAD3	1150.6024	SMAD3	2136.5065
SMAD4	1081.1245	SMAD4	1824.8002
removed	removed	SMAD5OS	6.2865
SMAD5	1268.2731	SMAD5	1631.7916
SMAD6	53.012	SMAD6	169.7351
SMAD7	288.755	SMAD7	944.3197
SMAD9	14.8594	SMAD9	69.6004
SMAGP	349.7992	SMAGP	199.8204
SMAP1	338.1446	SMAP1	756.2955
SMAP2	994.7791	SMAP2	1228.5586
SMARCA1	190.7631	SMARCA1	1306.6906
SMARCA2	3202.4096	SMARCA2	5058.3745
SMARCA4	3445.7831	SMARCA4	1755.7252
SMARCA5	1857.0281	SMARCA5	1957.3417
SMARCAD1	646.988	SMARCAD1	859.9012
SMARCAL1	807.2289	SMARCAL1	749.8877
SMARCB1	1522.8916	SMARCB1	939.8294
SMARCC1	4474.2972	SMARCC1	2321.9578
SMARCC2	3620.0803	SMARCC2	3055.6803
SMARCD1	1304.0161	SMARCD1	1513.6956
SMARCD2	2980.7229	SMARCD2	2779.524
SMARCD3	195.5823	SMARCD3	675.797
SMARCE1	3321.2851	SMARCE1	2454.423
SMC1A	4561.0442	SMC1A	1854.5128
SMC2	1411.245	SMC2	470.1392
SMC3	1889.1566	SMC3	1594.0727
SMC4	3787.9518	SMC4	668.6125
SMC5	1042.9719	SMC5	931.7467
SMC6	1008.8353	SMC6	521.3291
SMCHD1	430.1205	SMCHD1	1361.9219
SMCR7L	769.0763	SMCR7L	1131.5671
SMCR7	403.6145	SMCR7	299.057
removed	removed	SMCR8	1030.5703
SMEK1	915.261	SMEK1	1382.1284
SMEK2	1686.747	SMEK2	1810.5074
SMG1	1709.6386	SMG1	2944.3197
SMG5	1857.8313	SMG5	1915.1325
SMG6	1032.9317	SMG6	1353.3902
SMG7	3240.9639	SMG7	1663.2241
SMN1	12.7992	removed	removed
SMN2	1472.3414	SMN2	964.1805
SMNDC1	437.3494	SMNDC1	466.5469
SMOC1	11.245	SMOC1	220.0269
SMOC2	5140.5622	SMOC2	3519.982
SMOX	77.9116	SMOX	140.5478
SMO	459.0361	SMO	524.0233
SMPD1	1106.8273	SMPD1	734.1715
SMPD2	159.4378	SMPD2	134.2613
SMPD3	284.739	SMPD3	48.0467
SMPD4	2377.9116	SMPD4	1516.3898
SMPDL3A	60.6426	SMPDL3A	256.8478
SMPDL3B	854.2169	SMPDL3B	184.5532
SMS	1991.1647	SMS	905.2537
removed	removed	SMTNL2	15.7162
SMTN	774.6988	SMTN	1190.8397
SMU1	1419.6787	SMU1	1433.7674
SMUG1	771.8876	SMUG1	505.6129
SMURF1	983.6225	SMURF1	1060.2245
SMURF2	109.2369	SMURF2	560.8442
removed	removed	SMYD1	294.5667
SMYD2	697.992	SMYD2	859.9012
SMYD3	133.3333	SMYD3	158.9582
SMYD4	289.9598	SMYD4	527.1666
SMYD5	649.7992	SMYD5	688.37
removed	removed	SNAI1	189.0436
SNAI2	283.1325	SNAI2	1063.7629
SNAI3	14.4578	SNAI3	17.0633
SNAP23	1575.9036	SNAP23	1170.6331
SNAP25	37.3494	SNAP25	12.1239
SNAP29	2125.7028	SNAP29	973.0579
SNAP47	1015.4498	SNAP47	580.9654
SNAPC1	106.4257	SNAPC1	190.8397
SNAPC2	391.9679	SNAPC2	277.0543
SNAPC3	451.4056	SNAPC3	563.0894
SNAPC4	219.2771	SNAPC4	293.2196
SNAPC5	122.8675	SNAPC5	97.8581
SNAPIN	958.6345	SNAPIN	819.0391
SNCAIP	52.2088	SNCAIP	206.1069
SNCA	28.1124	SNCA	178.7158
SNCG	560.6426	SNCG	3040.4131
SND1	6235.3414	SND1	3653.7943
SNED1	492.7711	SNED1	1410.4176
SNF8	1741.7671	SNF8	675.348
SNHG10	16.8675	SNHG10	66.0081
SNHG11	305.0321	SNHG11	160.5703
SNHG12	54.2169	SNHG12	154.4679
SNHG1	260.241	SNHG1	640.3233
SNHG3-RCC1	43.8353	SNHG3-RCC1	274.4679
SNHG3	15.6627	SNHG3	22.9008
SNHG4	6.0241	SNHG4	28.4284
SNHG5	171.4859	SNHG5	1158.0602
SNHG6	982.3293	SNHG6	675.797
SNHG7	203.6466	SNHG7	480.5388
SNHG8	253.8153	SNHG8	989.2232
SNHG9	48.1928	SNHG9	36.8208
SNIP1	302.4096	SNIP1	313.8752
SNN	693.1727	SNN	2188.1455
SNORA39	5.4096	removed	removed
removed	removed	SNORA7B	6.9331
SNORA8	103.7229	SNORA8	261.5806
removed	removed	SNORD116-20	9.8788
SNORD116-28	8.5382	SNORD116-28	35.806
SNORD116-4	8.7309	SNORD116-4	9.1693
SNORD1C	14.6707	SNORD1C	16.1428
SNPH	47.3896	SNPH	195.7791
SNRK	897.992	SNRK	1856.3089
SNRNP200	7083.9357	SNRNP200	6111.3606
SNRNP25	932.5301	SNRNP25	279.2995
SNRNP27	365.0602	SNRNP27	601.7063
SNRNP35	327.1084	SNRNP35	306.1563
SNRNP40	1075.502	SNRNP40	629.9955
SNRNP48	354.6185	SNRNP48	398.2937
SNRNP70	2087.9518	SNRNP70	2114.9529
SNRPA1	546.1847	SNRPA1	252.3574
SNRPA	1319.6787	SNRPA	998.6529
SNRPB2	772.2892	SNRPB2	700.4939
SNRPB	2565.0602	SNRPB	1320.1617
SNRPC	1369.4779	SNRPC	767.4001
SNRPD1	731.3253	SNRPD1	455.7701
SNRPD2	2964.257	SNRPD2	2041.7602
SNRPD3	2349.1647	SNRPD3	1115.0067
SNRPE	1432.5301	SNRPE	510.5523
SNRPF	895.5823	SNRPF	439.1558
SNRPG	596.7871	SNRPG	383.4755
SNRPN	1233.8313	SNRPN	1387.3866
SNTA1	885.1406	SNTA1	641.2214
SNTB1	184.3373	SNTB1	682.5326
SNTB2	459.0361	SNTB2	1484.0593
removed	removed	SNTG2	16.1652
SNUPN	869.4779	SNUPN	484.5083
SNURF	77.012	SNURF	49.7755
SNW1	1130.5221	SNW1	1486.3044
SNX10	567.8715	SNX10	471.4863
SNX11	558.6345	SNX11	638.5272
SNX12	225.3012	SNX12	222.2721
SNX13	518.0723	SNX13	1065.559
SNX14	1016.4659	SNX14	973.507
SNX15	440.1606	SNX15	679.8383
SNX16	250.6024	SNX16	286.4841
SNX17	2038.5542	SNX17	2635.3839
SNX18	832.1285	SNX18	1217.7818
SNX19	2300.8032	SNX19	2655.1414
SNX1	4122.49	SNX1	4120.3413
SNX20	14.4578	SNX20	14.863
SNX21	760.506	SNX21	978.3386
SNX22	274.4859	SNX22	74.7732
SNX24	564.6586	SNX24	136.5065
SNX25	131.3253	SNX25	332.2856
SNX27	2214.0723	SNX27	1036.8792
SNX29	561.0442	SNX29	1135.1594
SNX2	1157.4297	SNX2	1644.3646
SNX30	279.9197	SNX30	705.8824
SNX33	908.4337	SNX33	1585.9901
SNX3	1285.5422	SNX3	3438.7068
SNX4	1275.502	SNX4	813.6507
SNX5	1948.5944	SNX5	2414.0099
SNX6	878.3133	SNX6	1502.4697
SNX7	493.1727	SNX7	393.8033
SNX8	370.6827	SNX8	278.8505
SNX9	1452.2088	SNX9	2676.2461
SOAT1	989.9598	SOAT1	392.0072
removed	removed	SOAT2	5.3884
SOBP	41.7671	SOBP	249.6632
SOCS1	19.6787	SOCS1	55.2313
SOCS2	56.6265	SOCS2	948.361
SOCS3	709.6386	SOCS3	5081.2753
SOCS4	293.5743	SOCS4	517.7369
SOCS5	387.1486	SOCS5	1219.1289
SOCS6	838.1526	SOCS6	994.1626
SOCS7	32.9317	SOCS7	109.1154
SOD1	6325.7028	SOD1	3207.903
SOD2	1432.9317	SOD2	6731.0283
SOD3	80.7229	SOD3	1669.0615
SOLH	338.9558	SOLH	353.3902
SON	6576.7068	SON	7075.4378
SORBS1	688.3534	SORBS1	22686.5739
SORBS2	93.9759	SORBS2	2109.5644
SORBS3	2879.5181	SORBS3	2596.767
SORCS1	1311.6466	SORCS1	30.9834
SORCS2	26.506	SORCS2	70.9475
SORD	2264.6586	SORD	162.1015
SORL1	1747.3896	SORL1	3399.6408
SORT1	6042.5703	SORT1	4406.3763
SOS1	1056.2249	SOS1	2523.5743
SOS2	500.8032	SOS2	1727.436
SOSTDC1	10.4418	SOSTDC1	687.921
SOX10	40.5622	SOX10	2337.674
SOX11	51.004	SOX11	29.1872
SOX12	1059.0361	SOX12	269.8698
SOX13	1712.8514	SOX13	1297.2609
SOX15	6.0241	SOX15	45.8015
SOX17	36.1446	SOX17	473.7315
SOX18	92.7711	SOX18	196.2281
SOX4	1106.4257	SOX4	1326.8972
SOX5	104.0161	SOX5	126.1787
SOX6	6.0241	SOX6	184.5532
SOX7	106.8273	SOX7	385.2402
SOX8	6.8273	SOX8	154.4679
SOX9	130.1205	SOX9	1987.427
SP100	942.9719	SP100	1766.053
SP110	346.988	SP110	468.3431
SP140L	340.9639	SP140L	353.8392
SP140	18.4739	SP140	41.3112
SP1	3582.3293	SP1	3513.2465
SP2	584.3373	SP2	775.9317
SP3	3180.3213	SP3	1787.6066
SP4	167.4699	SP4	247.4181
removed	removed	SP5	22.9008
SP6	120.0803	SP6	154.0189
SPA17	195.9839	SPA17	56.5784
SPAG16	30.5221	SPAG16	299.5061
SPAG17	218.8755	SPAG17	33.6776
SPAG1	400.4016	SPAG1	72.2946
SPAG4	87.1486	SPAG4	30.5344
SPAG5	2364.257	SPAG5	89.8069
SPAG7	506.8273	SPAG7	760.6646
SPAG8	8.4337	SPAG8	24.2479
SPAG9	1896.3855	SPAG9	2534.8002
SPARCL1	3782.7309	SPARCL1	19052.9861
SPARC	29176.7068	SPARC	81451.7288
SPAST	529.3173	SPAST	410.4176
SPATA13	244.9799	SPATA13	544.2299
SPATA17	122.49	SPATA17	13.471
SPATA18	31.7269	SPATA18	508.7562
SPATA20	2076.3052	SPATA20	753.031
removed	removed	SPATA22	7.2878
SPATA24	16.4659	SPATA24	39.9641
SPATA2L	185.1406	SPATA2L	114.9529
SPATA2	265.0602	SPATA2	329.1423
SPATA4	12.8514	removed	removed
SPATA5L1	212.0482	SPATA5L1	169.7351
SPATA5	290.7631	SPATA5	249.2142
SPATA6	156.6265	SPATA6	130.22
SPATA7	93.9759	SPATA7	250.1123
SPATA9	5.6225	SPATA9	23.3498
SPATS2L	526.506	SPATS2L	1529.8608
SPATS2	781.5261	SPATS2	452.6269
SPC24	51.4056	removed	removed
SPC25	297.1888	SPC25	6.7355
SPCS1	4214.4458	SPCS1	1434.6655
SPCS2	650.6024	SPCS2	404.5802
SPCS3	3479.9197	SPCS3	1897.1711
SPDEF	3842.9719	SPDEF	718.4553
SPDYA	10.8233	SPDYA	10.8083
SPDYE1	7.6305	SPDYE1	6.2865
SPDYE3	76.4418	SPDYE3	88.9582
SPDYE6	15.6627	SPDYE6	15.2672
SPDYE8P	10.0402	SPDYE8P	9.4297
SPEF1	8.4337	removed	removed
SPEF2	275.1004	SPEF2	173.7764
SPEG	61.4458	SPEG	406.8253
SPEN	1380.3213	SPEN	3146.8343
removed	removed	SPESP1	10.3278
SPG11	3375.502	SPG11	1902.5595
SPG20	773.8956	SPG20	1443.1971
SPG21	2926.506	SPG21	1513.6956
SPG7	1460.6426	SPG7	1244.7238
SPHAR	80.7831	SPHAR	93.0579
SPHK1	246.3494	SPHK1	222.6089
SPHK2	294.7791	SPHK2	195.8015
removed	removed	SPHKAP	188.1455
SPI1	389.9598	SPI1	300.4041
SPIN1	2514.8594	SPIN1	2634.9349
SPIN2B	85.4337	SPIN2B	128.4104
SPIN3	295.1807	SPIN3	309.3848
SPIN4	195.1807	SPIN4	119.4432
SPINK2	5.2209	SPINK2	5.3884
SPINT1	7532.1285	SPINT1	2152.2227
SPINT2	14491.9679	SPINT2	3101.9308
SPIRE1	554.6185	SPIRE1	824.8765
SPIRE2	122.49	SPIRE2	56.5784
SPNS1	826.7711	SPNS1	580.4939
SPNS2	123.257	SPNS2	740.0584
removed	removed	SPNS3	9.8788
SPN	97.1888	SPN	134.7104
SPOCD1	127.3092	SPOCD1	15.2672
SPOCK1	797.1888	SPOCK1	586.4392
SPOCK2	41.3655	SPOCK2	247.8671
SPON1	303.6145	SPON1	1174.2254
SPON2	603.6145	SPON2	872.9232
SPOPL	1221.2851	SPOPL	784.0144
SPOP	1688.755	SPOP	1239.7845
SPP1	3137.3494	SPP1	216.4347
SPPL2A	1500.8032	SPPL2A	694.2075
SPPL2B	838.1526	SPPL2B	715.7611
SPPL3	1339.3574	SPPL3	1572.9681
SPRED1	512.4498	SPRED1	1201.1675
SPRED2	1203.2129	SPRED2	1477.3238
SPRN	34.1365	SPRN	54.7822
SPRY1	546.988	SPRY1	5024.6969
SPRY2	127.3092	SPRY2	2016.6143
SPRY3	23.6948	SPRY3	94.2973
SPRY4	557.8313	SPRY4	2088.0108
SPRYD3	1151.8072	SPRYD3	1519.533
SPRYD4	352.2088	SPRYD4	316.1203
SPR	2855.8233	SPR	686.1248
SPSB1	469.4779	SPSB1	1569.8249
SPSB2	56.2249	SPSB2	61.5177
SPSB3	319.6787	SPSB3	645.7117
removed	removed	SPSB4	17.9614
removed	removed	SPTA1	5.3884
SPTAN1	6695.5823	SPTAN1	9889.0885
SPTBN1	5118.8755	SPTBN1	37794.7912
SPTBN2	1164.6586	SPTBN2	620.5658
SPTBN4	99.5984	SPTBN4	46.6996
SPTBN5	12.8514	SPTBN5	50.9789
SPTB	12.8514	SPTB	81.2753
SPTLC1	2040.9639	SPTLC1	1403.6821
SPTLC2	1919.2771	SPTLC2	1976.2012
SPTLC3	169.4779	SPTLC3	326.8972
SPTY2D1	1047.4699	SPTY2D1	867.463
SQLE	1185.9438	SQLE	233.0489
SQRDL	2383.1325	SQRDL	1038.617
SQSTM1	7134.1165	SQSTM1	6782.0027
SR140	2383.1325	SR140	1913.3363
SRA1	657.4297	SRA1	481.8141
SRBD1	451.8072	SRBD1	411.3157
SRCAP	2935.3414	SRCAP	3312.079
SRCIN1	402.4096	SRCIN1	259.093
SRCRB4D	34.5382	SRCRB4D	196.2281
SRC	783.9357	SRC	758.8684
SRD5A1	132.9317	SRD5A1	153.5698
SRD5A3	2235.6627	SRD5A3	479.9865
SREBF1	5935.743	SREBF1	1651.9982
SREBF2	5076.3052	SREBF2	2594.0727
SRFBP1	331.3253	SRFBP1	243.8258
SRF	869.8795	SRF	1592.7256
SRGAP1	1021.2851	SRGAP1	463.8527
SRGAP2	1402.4096	SRGAP2	891.3336
SRGAP3	80.7229	SRGAP3	278.4014
SRGN	806.8273	SRGN	1835.2043
SRI	571.4859	SRI	1369.5555
SRL	16.0643	SRL	70.4984
SRMS	45.3815	removed	removed
SRM	1093.1727	SRM	847.7773
SRP14	6809.2369	SRP14	3753.9291
SRP19	679.5141	SRP19	558.0422
SRP54	1164.257	SRP54	862.5954
SRP68	2499.1968	SRP68	1850.9205
SRP72	3682.7309	SRP72	2352.0431
SRP9	6610.4418	SRP9	2311.181
SRPK1	2035.3414	SRPK1	768.2982
SRPK2	1825.3012	SRPK2	866.1877
removed	removed	SRPK3	10.9385
SRPRB	2034.9398	SRPRB	902.5595
SRPR	3836.9478	SRPR	3247.4181
SRPX2	476.3052	SRPX2	1563.0894
SRPX	135.743	SRPX	1749.4387
SRRD	354.6185	SRRD	228.5586
SRRM1	1395.5823	SRRM1	1892.2317
SRRM2	9760.6426	SRRM2	16084.8675
SRRM3	20.4819	SRRM3	55.6803
SRRM5	36.2289	SRRM5	10.9879
SRRT	1537.3494	SRRT	949.2591
SRR	277.1124	SRR	239.5959
SRXN1	1212.4498	SRXN1	733.2735
SS18L1	427.7108	SS18L1	324.203
SS18L2	310.0402	SS18L2	196.6771
SS18	1780.7229	SS18	1634.9349
SSBP1	1102.4096	SSBP1	788.5047
SSBP2	192.7711	SSBP2	762.4607
SSBP3	681.5261	SSBP3	700.943
SSBP4	491.1647	SSBP4	420.7454
SSB	2050.6667	SSB	1941.5761
SSC5D	171.4859	SSC5D	602.6044
SSFA2	8002.4096	SSFA2	2673.5519
SSH1	742.9719	SSH1	1384.8226
SSH2	372.6908	SSH2	957.3417
SSH3	1349.3976	SSH3	979.7934
SSNA1	644.1767	SSNA1	529.8608
SSPN	418.4739	SSPN	1748.9897
SSPO	14.8594	SSPO	38.1679
SSR1	6403.2129	SSR1	3069.1513
SSR2	8632.5301	SSR2	4647.0588
SSR3	4610.4418	SSR3	3930.8487
SSR4	3899.5984	SSR4	2062.8648
SSRP1	4089.5582	SSRP1	2539.2905
SSSCA1	224.0964	SSSCA1	267.1756
removed	removed	SSTR1	66.9062
SSTR2	176.7068	SSTR2	44.0054
SSU72	1801.2048	SSU72	2835.2043
SSX2IP	1276.3052	SSX2IP	190.3907
ST13	7075.1004	ST13	5895.824
ST14	3278.7149	ST14	1316.1203
ST20	42.6827	ST20	34.634
ST3GAL1	2764.257	ST3GAL1	1486.3044
ST3GAL2	409.2369	ST3GAL2	551.4145
ST3GAL3	168.2731	ST3GAL3	462.0566
ST3GAL4	699.5984	ST3GAL4	427.0319
ST3GAL5	289.9598	ST3GAL5	429.7261
ST3GAL6	63.8554	ST3GAL6	161.2034
ST5	904.0161	ST5	1851.8186
ST6GAL1	815.261	ST6GAL1	2206.1069
ST6GAL2	85.1406	ST6GAL2	34.1266
removed	removed	ST6GALNAC1	45.8015
ST6GALNAC2	2278.3133	ST6GALNAC2	535.2492
ST6GALNAC3	35.743	ST6GALNAC3	176.9196
ST6GALNAC4	406.8273	ST6GALNAC4	321.0597
ST6GALNAC5	126.506	ST6GALNAC5	176.9196
ST6GALNAC6	959.8394	ST6GALNAC6	2823.9784
ST7L	183.9357	ST7L	298.608
ST7OT1	15.0522	ST7OT1	61.181
ST7	813.0562	ST7	662.1868
ST8SIA1	22.8916	ST8SIA1	339.0211
ST8SIA2	16.0643	ST8SIA2	50.7409
ST8SIA4	248.1928	ST8SIA4	279.7485
removed	removed	ST8SIA6	22.9008
STAB1	816.9157	STAB1	3192.9187
removed	removed	STAB2	90.705
STAC2	24.0964	STAC2	2465.6489
STAC3	50.0843	STAC3	34.7104
STAC	5.6225	STAC	172.8783
STAG1	1021.5221	STAG1	1270.1841
STAG2	2344.5783	STAG2	3059.7216
STAG3L1	73.0924	STAG3L1	95.6444
STAG3L2	59.0361	STAG3L2	120.7903
STAG3L3	148.5141	STAG3L3	183.8303
STAG3L4	91.5663	STAG3L4	128.4239
STAG3	8.498	STAG3	16.7086
STAM2	940.9639	STAM2	868.8819
STAMBPL1	38.5542	STAMBPL1	116.749
STAMBP	751.4056	STAMBP	698.6978
STAM	534.5382	STAM	505.6129
STAP2	817.2691	STAP2	378.0871
STARD10	6210.8434	STARD10	588.6843
STARD13	387.9518	STARD13	1238.8864
STARD3NL	483.5341	STARD3NL	525.8195
STARD3	1289.9598	STARD3	693.3094
STARD4	19.2771	STARD4	32.3305
STARD5	97.5904	STARD5	107.3193
STARD7	2417.2289	STARD7	3008.4688
STARD8	163.8554	STARD8	809.6093
STAR	5.2209	STAR	10.7768
STAT1	2126.506	STAT1	2323.7539
STAT2	1690.3614	STAT2	1833.4082
STAT3	7109.6386	STAT3	6294.5667
STAT4	69.4779	STAT4	75.8868
STAT5A	977.1084	STAT5A	3405.9273
STAT5B	674.2972	STAT5B	4478.6709
STAT6	2538.1526	STAT6	3881.4549
STAU1	3230.9237	STAU1	2627.3013
STAU2	1527.3092	STAU2	791.1989
STBD1	433.3333	STBD1	2512.3934
STC1	11261.8474	STC1	1114.5038
STC2	10957.0281	STC2	2260.4401
STEAP1	57.8313	STEAP1	454.423
STEAP2	54.2169	STEAP2	740.009
STEAP3	1025.3012	STEAP3	1610.687
STEAP4	3188.755	STEAP4	1735.0696
STIL	544.1767	STIL	65.559
STIM1	1486.3454	STIM1	2385.2717
STIM2	279.5181	STIM2	556.8029
STIP1	3040.1606	STIP1	1677.5932
STK10	869.4779	STK10	736.4167
STK11IP	416.0643	STK11IP	290.0763
STK11	817.2691	STK11	663.6731
STK16	730.1205	STK16	563.9874
STK17A	310.4418	STK17A	608.8909
STK17B	771.4859	STK17B	1380.3323
STK19	237.1687	STK19	272.1374
STK24	2074.6988	STK24	2317.9165
STK25	1116.4659	STK25	1440.952
removed	removed	STK32A	65.11
STK32B	272.6908	STK32B	123.9335
STK32C	116.4659	STK32C	73.6417
STK35	773.494	STK35	988.7741
STK36	506.0241	STK36	516.8388
STK38L	1703.6145	STK38L	955.5456
STK38	1938.1526	STK38	1446.3404
STK39	991.5663	STK39	820.8352
STK3	604.4177	STK3	494.8361
STK40	770.2811	STK40	2318.3655
STK4	1357.4297	STK4	933.0938
removed	removed	STL	6.3089
STMN1	4349.7992	STMN1	969.4656
STMN2	17.2691	STMN2	7.1846
STMN3	808.0321	STMN3	443.6462
STOML1	269.0763	STOML1	427.93
STOML2	1707.6305	STOML2	1328.2443
STOM	8836.5462	STOM	8972.6089
removed	removed	STON1-GTF2A1L	29.6991
STON1	192.2691	STON1	825.7117
STON2	122.0884	STON2	249.6632
STOX1	79.1165	STOX1	86.2146
STOX2	12.0482	STOX2	90.2559
STRA13	816.8675	STRA13	174.2254
STRA6	571.8876	STRA6	29.1872
STRADA	765.4618	STRADA	541.0867
STRADB	367.8715	STRADB	509.2052
STRAP	2555.4217	STRAP	2101.9308
STRBP	1222.0884	STRBP	467.445
STRC	19.6787	STRC	40.8621
STRN3	514.0562	STRN3	709.4746
STRN4	1588.3534	STRN4	1356.9825
STRN	323.2932	STRN	474.6295
STS	1138.5542	STS	2549.6183
STT3A	5397.992	STT3A	2731.4773
STT3B	2845.3815	STT3B	1531.2079
STUB1	1031.0763	STUB1	1143.1028
STX10	365.4618	STX10	222.7211
STX11	37.3494	STX11	583.7449
STX12	895.1807	STX12	1942.5236
STX16	4677.1084	STX16	1947.912
STX17	610.0402	STX17	1074.0907
STX18	552.2088	STX18	491.2438
removed	removed	STX19	40.8621
STX1A	69.0723	STX1A	43.9829
STX1B	16.0643	STX1B	96.0934
STX2	266.6667	STX2	418.0512
STX3	527.7108	STX3	506.511
STX4	504.8193	STX4	574.3152
STX5	836.1446	STX5	1119.4432
STX6	1999.4699	STX6	984.2434
STX7	525.7028	STX7	1837.8985
STX8	315.261	STX8	501.5716
STXBP1	203.6145	STXBP1	1702.7391
STXBP2	2512.8514	STXBP2	490.7948
STXBP3	1222.49	STXBP3	852.7167
STXBP4	302.4096	STXBP4	133.3633
STXBP5	363.0522	STXBP5	437.683
removed	removed	STXBP6	76.3359
removed	removed	STYK1	27.3911
STYXL1	600.4016	STYXL1	383.4755
STYX	365.8635	STYX	475.5276
SUB1	2741.7671	SUB1	3005.3884
SUCLA2	586.7751	SUCLA2	1381.6255
SUCLG1	977.9116	SUCLG1	2171.5312
SUCLG2	3442.9719	SUCLG2	1413.5608
SUCNR1	6.4257	SUCNR1	32.3305
SUDS3	1841.7671	SUDS3	1086.2146
SUFU	633.7349	SUFU	806.4661
SUGT1L1	18.0803	SUGT1L1	99.1828
SUGT1	376.3052	SUGT1	480.916
SULF1	5659.8394	SULF1	1549.6183
SULF2	8645.3815	SULF2	2462.5056
SULT1A1	813.253	SULT1A1	483.1612
SULT1A2	69.4779	SULT1A2	28.2892
SULT1A3	317.8755	SULT1A3	775.0202
SULT1C4	18.0723	SULT1C4	90.705
SULT2B1	1487.5502	SULT2B1	64.661
SULT4A1	24.8996	removed	removed
SUMF1	4353.8153	SUMF1	1352.0431
SUMF2	5704.4177	SUMF2	2795.6893
SUMO1P3	165.0602	SUMO1P3	106.4212
SUMO1	2320.4819	SUMO1	1577.9075
SUMO2	3941.3655	SUMO2	2200.7185
SUMO3	3260.6426	SUMO3	1896.273
SUN1	1870.1245	SUN1	3328.4419
SUN2	2425.7028	SUN2	5423.8886
SUOX	1179.5181	SUOX	719.3534
SUPT16H	2626.9076	SUPT16H	2782.6673
SUPT3H	110.4418	SUPT3H	154.4679
SUPT4H1	1601.1486	SUPT4H1	1126.6098
SUPT5H	2325.7028	SUPT5H	2021.1046
SUPT6H	4857.0281	SUPT6H	3059.7216
SUPT7L	657.5663	SUPT7L	984.9484
SUPV3L1	487.5502	SUPV3L1	572.07
SURF1	986.3454	SURF1	779.075
SURF2	127.7108	SURF2	107.3193
SURF4	4718.0723	SURF4	6642.5685
SURF6	334.1365	SURF6	465.6489
SUSD1	254.6185	SUSD1	297.7099
SUSD2	184.739	SUSD2	317.9165
SUSD3	3391.9679	SUSD3	175.1235
SUSD4	2138.5542	SUSD4	238.4374
SUSD5	37.3494	SUSD5	78.132
SUV39H1	392.3695	SUV39H1	195.33
SUV39H2	186.747	SUV39H2	98.7876
SUV420H1	567.4699	SUV420H1	1366.4122
SUV420H2	118.8755	SUV420H2	108.6664
SUZ12P	159.4378	SUZ12P	165.2447
SUZ12	1665.4618	SUZ12	732.8244
SV2A	68.2731	SV2A	128.8729
SV2B	51.8072	SV2B	220.925
SVEP1	257.6627	SVEP1	9819.8563
SVIL	1863.3494	SVIL	3057.3597
SVIP	521.6867	SVIP	193.9829
SVOPL	69.4779	SVOPL	20.2066
SWAP70	1544.5783	SWAP70	2895.824
SYAP1	2095.5823	SYAP1	928.1545
SYBU	1774.2972	SYBU	1004.6475
removed	removed	SYCE1L	9.8788
SYCE2	30.9237	SYCE2	7.1846
removed	removed	SYCP2L	5.8374
SYCP2	393.5743	SYCP2	143.242
SYDE1	207.6305	SYDE1	546.026
SYDE2	197.1888	SYDE2	110.0135
SYF2	558.6345	SYF2	1195.33
SYK	1291.1647	SYK	524.9214
SYMPK	2333.3333	SYMPK	1306.2416
SYN1	511.6466	SYN1	6.7355
SYN2	22.8916	SYN2	402.784
SYN3	14.4578	SYN3	15.2672
SYNCRIP	3097.992	SYNCRIP	3325.5501
SYNC	236.2169	SYNC	306.7041
SYNE1	489.1566	SYNE1	3295.9138
SYNE2	2102.8112	SYNE2	5840.5927
SYNGAP1	214.8594	SYNGAP1	385.2717
SYNGR1	1783.6667	SYNGR1	825.9003
SYNGR2	4823.2932	SYNGR2	2502.9187
SYNGR3	137.751	SYNGR3	10.3278
SYNGR4	12.8514	removed	removed
SYNJ1	444.5783	SYNJ1	407.2744
SYNJ2BP	487.5502	SYNJ2BP	1422.9906
SYNJ2	504.0161	SYNJ2	638.5272
SYNM	1030.9237	SYNM	14652.4472
SYNPO2L	77.1084	removed	removed
SYNPO2	295.9839	SYNPO2	5093.3992
SYNPO	1893.9759	SYNPO	12105.9722
SYNRG	1002.008	SYNRG	1240.6825
SYPL1	3793.1727	SYPL1	2790.7499
SYPL2	18.0723	SYPL2	76.7849
SYP	59.8394	SYP	35.4737
SYS1-DBNDD2	32.3213	SYS1-DBNDD2	11.1361
SYS1	2447.7229	SYS1	988.352
SYT11	275.502	SYT11	533.004
SYT12	613.6546	SYT12	388.4149
SYT13	18514.4578	SYT13	59.2726
SYT15	36.5462	SYT15	270.7678
SYT17	360.6426	SYT17	131.5671
SYT1	46.5863	SYT1	72.7436
removed	removed	SYT2	12.573
SYT6	16.4659	SYT6	19.7575
SYT7	1567.8715	SYT7	810.5074
SYT8	7.6305	SYT8	158.5092
SYT9	381.9277	SYT9	13.471
SYTL1	397.5904	SYTL1	353.8392
SYTL2	1948.1928	SYTL2	701.841
SYTL3	25.3012	SYTL3	385.2717
SYTL4	1038.1526	SYTL4	939.8294
SYTL5	1587.9518	SYTL5	55.6803
SYVN1	2826.1044	SYVN1	1821.7333
TAB1	1101.0723	TAB1	716.5335
TAB2	1517.6707	TAB2	2792.097
TAB3	777.1084	TAB3	721.5986
