gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
AGMAT	19.5945	AGMAT	15.8586
AGPAT1	2173.5741	AGPAT1	1627.5411
AGPAT2	943.0383	AGPAT2	447.0141
AGPAT3	2247.533	AGPAT3	1648.3026
AGPAT4	273.0725	AGPAT4	301.6437
AGPAT5	263.4837	AGPAT5	1057.9004
AGPAT6	1536.7105	AGPAT6	2017.015
AGPAT9	53.3638	AGPAT9	227.6369
AGPHD1	80.4626	AGPHD1	57.4874
AGPS	952.2102	AGPS	984.5544
AGR2	8211.7709	AGR2	1842.9008
AGR3	2879.1435	AGR3	543.8176
AGRN	7004.8319	AGRN	3154.5387
AGTPBP1	237.6357	AGTPBP1	460.2296
AGTR1	97.1388	AGTR1	205.5009
AGTRAP	1434.5689	AGTRAP	576.8564
AGT	26.6819	AGT	20.1536
AGXT2L2	458.2074	AGXT2L2	572.449
AGXT	5.0029	removed	removed
AHCTF1	1637.1846	AHCTF1	1759.6432
AHCYL1	2496.0081	AHCYL1	4492.6076
AHCYL2	852.9869	AHCYL2	898.6537
AHCY	3449.0522	AHCY	3458.8255
AHDC1	747.9269	AHDC1	979.929
AHI1	350.6168	AHI1	544.148
AHNAK2	1497.5215	AHNAK2	944.9079
AHNAK	43574.874	AHNAK	109186.0907
AHRR	43.3581	AHRR	62.4432
AHR	1497.9384	AHR	3673.9077
AHSA1	2098.698	AHSA1	1333.7738
AHSA2	379.3832	AHSA2	604.2785
removed	removed	AIDA	832.9429
AIF1L	884.6717	AIF1L	3084.4966
AIF1	352.7013	AIF1	252.0856
AIFM1	922.61	AIFM1	631.3703
AIFM2	430.6625	AIFM2	480.3832
AIFM3	13.5494	AIFM3	6.1948
AIG1	397.727	AIG1	932.3532
AIM1L	40.4398	removed	removed
AIM1	2277.5501	AIM1	5014.95
AIM2	16.2593	AIM2	5.2862
AIMP1	737.2167	AIMP1	1305.2086
AIMP2	392.5949	AIMP2	173.7672
AIP	740.4227	AIP	635.0045
AJAP1	15.0086	AJAP1	11.5636
AK1	681.6391	AK1	243.1651
