gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ANGPT2	95.4774	ANGPT2	225.9362
removed	removed	ANGPT4	6.19
ANGPTL1	36.5464	ANGPTL1	200.5571
ANGPTL2	565.0982	ANGPTL2	2012.9991
ANGPTL4	214.2531	ANGPTL4	367.688
ANGPTL6	8.4925	removed	removed
removed	removed	ANGPTL7	504.4878
ANG	143.1384	ANG	357.2609
ANK1	32.4349	ANK1	15.4751
ANK2	174.9657	ANK2	438.8734
ANK3	863.8648	ANK3	1555.2461
ANKAR	13.7049	ANKAR	64.3764
ANKDD1A	74.0064	ANKDD1A	128.1337
ANKFY1	1575.1485	ANKFY1	2729.805
ANKHD1-EIF4EBP3	807.9945	ANKHD1-EIF4EBP3	1192.3986
ANKHD1	1308.698	ANKHD1	3299.8917
ANKH	676.1078	ANKH	2183.5345
ANKIB1	1641.3888	ANKIB1	1480.6561
ANKK1	21.9278	ANKK1	99.969
ANKLE1	15.5322	ANKLE1	7.428
ANKLE2	952.0329	ANKLE2	1562.6741
ANKMY1	231.1558	ANKMY1	212.0087
ANKMY2	271.3568	ANKMY2	827.2981
ANKRA2	144.815	ANKRA2	360.879
ANKRD10	789.8584	ANKRD10	1422.8598
ANKRD11	1852.6039	ANKRD11	2878.7063
ANKRD12	754.6825	ANKRD12	1926.9576
ANKRD13A	1302.4212	ANKRD13A	1683.6893
ANKRD13B	329.831	ANKRD13B	108.6351
ANKRD13C	533.1201	ANKRD13C	578.4587
ANKRD13D	864.7784	ANKRD13D	399.2572
ANKRD16	176.7839	ANKRD16	188.0935
ANKRD17	2924.1663	ANKRD17	3819.87
ANKRD19	91.3659	ANKRD19	74.8994
ANKRD20A3	5.482	ANKRD20A3	31.5692
removed	removed	ANKRD20B	9.9041
ANKRD22	1292.8278	ANKRD22	84.494
ANKRD23	30.6076	ANKRD23	51.9963
ANKRD24	30.6076	ANKRD24	31.5692
ANKRD26	517.5879	ANKRD26	361.1885
ANKRD27	930.1051	ANKRD27	923.5531
ANKRD28	1688.4422	ANKRD28	1311.0492
ANKRD29	21.471	ANKRD29	325.5958
ANKRD30A	157.6062	ANKRD30A	1108.0161
