gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
AGFG2	79.661	AGFG2	584.2199
AGGF1	815.2542	AGGF1	707.8901
AGK	444.9153	AGK	509.7518
AGL	1419.4915	AGL	513.7411
AGMAT	10.1695	AGMAT	14.1844
AGPAT1	1191.5932	AGPAT1	1881.5293
AGPAT2	1675.4237	AGPAT2	1365.2482
AGPAT3	1151.6949	AGPAT3	2526.1525
AGPAT4	231.3559	AGPAT4	186.6135
AGPAT5	891.5254	AGPAT5	801.8617
AGPAT6	1460.1695	AGPAT6	2614.805
AGPAT9	55.9322	AGPAT9	144.0603
AGPHD1	32.2034	AGPHD1	60.2837
AGPS	493.2203	AGPS	504.8759
AGR2	17126.2712	AGR2	6879.4326
AGR3	2417.7966	AGR3	590.4255
AGRN	4338.1356	AGRN	9694.1489
AGTPBP1	203.3898	AGTPBP1	254.4326
AGTR1	72.8814	AGTR1	169.7695
AGTRAP	1005.0847	AGTRAP	1611.7021
AGT	16.1017	AGT	129.8759
AGXT2L1	22.0339	AGXT2L1	7.0922
AGXT2L2	196.678	AGXT2L2	361.0372
AHCTF1	904.2373	AHCTF1	773.4929
AHCYL1	3578.8136	AHCYL1	3352.8369
AHCYL2	416.9492	AHCYL2	582.0035
AHCY	3032.2034	AHCY	5801.8617
AHDC1	370.339	AHDC1	1619.2376
AHI1	109.322	AHI1	213.2092
AHNAK2	1969.4915	AHNAK2	402.039
AHNAK	29604.2373	AHNAK	30025.266
AHRR	41.5254	AHRR	38.1206
AHR	722.0339	AHR	1828.9007
AHSA1	2351.6949	AHSA1	2208.3333
AHSA2	33.0508	AHSA2	191.9326
AIDA	1498.339	AIDA	811.1702
AIF1L	842.3729	AIF1L	1902.4823
AIF1	632.2034	AIF1	457.4468
AIFM1	824.5763	AIFM1	1021.2766
AIFM2	240.678	AIFM2	544.3262
removed	removed	AIFM3	8.422
AIG1	582.2034	AIG1	863.0319
AIM1L	9.322	AIM1L	7.9787
AIM1	9796.6102	AIM1	2987.1454
AIM2	51.6949	removed	removed
AIMP1	977.5	AIMP1	934.6321
AIMP2	386.9831	AIMP2	550.9663
AIP	1049.1525	AIP	1210.1064
removed	removed	AJAP1	20.3901
AK1	365.2542	AK1	687.9433
AK2	1485.5932	AK2	2380.3191
AK3L1	484.7458	AK3L1	434.8404
AK3	1416.9492	AK3	1287.6773
AK5	116.1017	AK5	2608.5993
AK7	27.9661	AK7	31.0284
AKAP10	444.0678	AKAP10	272.6064
AKAP11	1191.5254	AKAP11	695.922
AKAP12	809.322	AKAP12	500
AKAP13	2801.6949	AKAP13	2541.6667
AKAP1	4082.2034	AKAP1	1992.9078
AKAP2	178.7542	AKAP2	684.9158
AKAP3	16.9492	AKAP3	46.9858
AKAP5	212.7119	AKAP5	122.7837
AKAP6	23.7288	AKAP6	119.2376
AKAP7	68.6441	AKAP7	194.5922
AKAP8L	669.4915	AKAP8L	792.5532
AKAP8	312.7119	AKAP8	647.1631
AKAP9	1220.339	AKAP9	1496.8972
AKD1	498.3051	AKD1	75.3546
AKIRIN1	594.0678	AKIRIN1	1195.0355
AKIRIN2	691.5254	AKIRIN2	777.4823
AKNAD1	5.0847	removed	removed
AKNA	472.0339	AKNA	714.0957
AKR1A1	2482.2034	AKR1A1	3199.9113
removed	removed	AKR1B10	414.0071
removed	removed	AKR1B15	624.1135
AKR1B1	808.4746	AKR1B1	1037.234
AKR1C1	64.4068	AKR1C1	382.5355
AKR1C2	22.8814	AKR1C2	225.6206
AKR1C3	296.6102	AKR1C3	438.3865
removed	removed	AKR1D1	27.039
AKR1E2	6.7797	AKR1E2	18.617
AKR7A2	1588.1356	AKR7A2	1781.0284
AKR7A3	2384.7458	AKR7A3	555.8511
AKR7L	74.5763	AKR7L	30.5851
AKT1S1	972.8814	AKT1S1	1451.6844
AKT1	4780.5085	AKT1	5067.8191
AKT2	1887.2881	AKT2	2823.5816
AKT3	478.8136	AKT3	435.2837
AKTIP	329.5508	AKTIP	467.1055
ALAD	1211.0169	ALAD	1972.0745
ALAS1	833.0508	ALAS1	1175.5319
removed	removed	ALB	636.5248
ALCAM	10537.2881	ALCAM	4466.7553
ALDH16A1	333.0508	ALDH16A1	1002.6596
ALDH18A1	3311.0169	ALDH18A1	2287.234
ALDH1A1	478.8136	ALDH1A1	613.4752
ALDH1A2	17.7966	ALDH1A2	213.6525
ALDH1A3	178.0932	ALDH1A3	2275.8067
ALDH1B1	1435.5932	ALDH1B1	631.2057
removed	removed	ALDH1L1	158.6879
ALDH1L2	387.2881	ALDH1L2	74.0248
ALDH2	3999.1525	ALDH2	4881.2057
removed	removed	ALDH3A1	42.5532
ALDH3A2	568.6441	ALDH3A2	1358.5993
ALDH3B1	155.0847	ALDH3B1	203.0142
removed	removed	ALDH3B2	8872.3404
ALDH4A1	1850.8475	ALDH4A1	2622.7837
ALDH5A1	77.1186	ALDH5A1	403.8121
ALDH6A1	223.3136	ALDH6A1	354.1711
ALDH7A1	2288.9831	ALDH7A1	3538.5638
removed	removed	ALDH8A1	6.6489
ALDH9A1	1937.2881	ALDH9A1	3313.8298
ALDOA	56450.8475	ALDOA	30950.7979
ALDOC	303.3898	ALDOC	1086.8794
ALG10B	482.2034	ALG10B	190.6028
ALG10	192.3729	ALG10	64.273
ALG11	60.1695	ALG11	11.9681
ALG12	480.5085	ALG12	876.773
ALG13	272.8814	ALG13	343.5284
ALG14	217.7966	ALG14	256.6489
ALG1L	8.5678	ALG1L	8.9362
ALG1	850.161	ALG1	562.3759
ALG2	775.4237	ALG2	864.805
ALG3	755.9322	ALG3	1013.7411
ALG5	1108.4746	ALG5	710.1064
ALG6	217.7966	ALG6	267.7305
ALG8	559.322	ALG8	860.3723
ALG9	266.9492	ALG9	542.1099
ALKBH1	330.5085	ALKBH1	206.117
ALKBH2	366.1017	ALKBH2	527.4823
ALKBH3	388.9831	ALKBH3	405.1418
ALKBH4	177.3305	ALKBH4	353.7101
ALKBH5	1677.7203	ALKBH5	2622.5532
ALKBH6	96.6102	ALKBH6	93.5284
ALKBH7	527.1186	ALKBH7	1154.6986
ALKBH8	145.7627	ALKBH8	174.2021
removed	removed	ALK	23.4929
ALMS1	568.6441	ALMS1	501.773
removed	removed	ALOX12B	5.7624
removed	removed	ALOX12P2	12.8546
ALOX15B	310.1695	ALOX15B	4074.0248
removed	removed	ALOX15	17.2872
ALOX5AP	454.2373	ALOX5AP	274.8227
ALOX5	805.0847	ALOX5	632.0922
ALOXE3	10.1695	ALOXE3	12.8546
ALPK1	209.322	ALPK1	576.2411
ALPK2	105.0847	ALPK2	82.4468
ALPK3	159.322	ALPK3	113.0319
ALPL	41.5254	ALPL	941.4894
ALS2CL	66.9492	ALS2CL	241.578
ALS2CR4	677.9661	ALS2CR4	1135.195
ALS2CR8	52.5424	ALS2CR8	71.3652
ALS2	317.7966	ALS2	449.9113
removed	removed	ALX3	49.2021
removed	removed	ALX4	34.1312
AMACR	801.6949	AMACR	386.0816
removed	removed	AMBP	61.6135
AMBRA1	791.5254	AMBRA1	1162.234
AMD1	2642.3729	AMD1	1577.5709
removed	removed	AMDHD1	23.9362
AMDHD2	254.2542	AMDHD2	338.7234
AMFR	2220.339	AMFR	3438.8298
AMH	27.9661	removed	removed
AMICA1	135.5932	AMICA1	344.8582
AMIGO1	21.1864	AMIGO1	84.2199
AMIGO2	850	AMIGO2	2317.8147
AMIGO3	33.8983	AMIGO3	112.1454
AMMECR1L	932.2034	AMMECR1L	702.1277
AMMECR1	219.4915	AMMECR1	383.422
AMN1	166.1017	AMN1	169.7695
AMOTL1	963.5593	AMOTL1	1800.5319
AMOTL2	672.0339	AMOTL2	2792.1099
AMOT	1188.9831	AMOT	1329.344
removed	removed	AMPD1	15.5142
AMPD2	707.6271	AMPD2	945.922
AMPD3	216.9492	AMPD3	211.8794
AMPH	82.2034	AMPH	125
AMT	14.4068	AMT	201.4406
removed	removed	AMY1A	17.2872
AMY2B	5.9322	AMY2B	152.7704
AMZ1	31.3559	AMZ1	23.4929
removed	removed	AMZ2P1	232.7128
AMZ2	2040.678	AMZ2	1152.4823
ANAPC10	192.3729	ANAPC10	121.8972
ANAPC11	1438.9831	ANAPC11	1402.4823
ANAPC13	1459.9831	ANAPC13	1286.3254
ANAPC16	1732.2034	ANAPC16	2195.4787
ANAPC1	442.3729	ANAPC1	548.3156
ANAPC2	566.1017	ANAPC2	1087.3227
ANAPC4	275.4237	ANAPC4	415.3369
ANAPC5	2162.7119	ANAPC5	2369.2376
ANAPC7	764.4068	ANAPC7	1174.2021
ANGEL1	157.6271	ANGEL1	605.4965
ANGEL2	377.1186	ANGEL2	467.6418
ANGPT1	68.6441	ANGPT1	66.4894
ANGPT2	562.7119	ANGPT2	127.6596
ANGPTL1	50	ANGPTL1	90.8688
ANGPTL2	3362.7119	ANGPTL2	1017.2872
ANGPTL4	272.8814	ANGPTL4	152.9255
removed	removed	ANGPTL7	10.6383
ANG	513.9237	ANG	367.7748
ANK1	20.339	ANK1	6.6489
ANK2	128.8136	ANK2	232.7128
ANK3	1244.9153	ANK3	982.7128
ANKAR	19.4915	ANKAR	14.6277
ANKDD1A	23.7288	ANKDD1A	62.5
ANKFY1	941.5254	ANKFY1	1546.0993
ANKHD1-EIF4EBP3	676.9068	ANKHD1-EIF4EBP3	935.6649
ANKHD1	1606.3814	ANKHD1	1194.8449
ANKH	2123.7288	ANKH	1582.4468
ANKIB1	1115.2542	ANKIB1	727.3936
removed	removed	ANKK1	58.9539
ANKLE1	5.0847	ANKLE1	31.9149
ANKLE2	1132.2034	ANKLE2	1399.8227
ANKMY1	165.2542	ANKMY1	287.234
ANKMY2	375.4237	ANKMY2	757.5355
ANKRA2	186.4407	ANKRA2	272.6064
ANKRD10	832.2034	ANKRD10	1102.3936
ANKRD11	1028.161	ANKRD11	2209.273
ANKRD12	681.3559	ANKRD12	443.2624
ANKRD13A	914.4068	ANKRD13A	1064.7163
ANKRD13B	44.0678	ANKRD13B	193.7057
ANKRD13C	727.9661	ANKRD13C	375.4433
ANKRD13D	343.2203	ANKRD13D	670.2128
ANKRD16	94.9153	ANKRD16	206.742
ANKRD17	2281.3559	ANKRD17	1915.3369
ANKRD19	97.4576	ANKRD19	87.766
ANKRD1	62.7119	removed	removed
removed	removed	ANKRD20A3	5.3191
ANKRD22	375.4237	ANKRD22	174.2021
removed	removed	ANKRD23	27.9255
ANKRD24	8.4746	ANKRD24	33.6879
ANKRD26	70.339	ANKRD26	119.6809
ANKRD27	612.7119	ANKRD27	659.5745
ANKRD28	1303.3898	ANKRD28	990.2482
ANKRD29	23.7288	ANKRD29	122.3404
ANKRD2	5.9322	removed	removed
ANKRD30A	33.8983	ANKRD30A	287.234
removed	removed	ANKRD30B	27.4823
ANKRD32	160.1695	ANKRD32	94.8582
ANKRD34A	15.2542	ANKRD34A	40.7801
ANKRD35	37.2881	ANKRD35	312.9433
ANKRD36BP1	22.0339	ANKRD36BP1	36.7908
ANKRD36B	5.9322	ANKRD36B	14.1844
ANKRD36	42.3729	ANKRD36	97.961
ANKRD37	427.9237	ANKRD37	146.1215
ANKRD39	176.2712	ANKRD39	182.6241
ANKRD40	3150.8475	ANKRD40	1770.3901
ANKRD42	109.322	ANKRD42	245.1241
ANKRD43	16.9492	ANKRD43	104.1667
removed	removed	ANKRD44	12.8546
removed	removed	ANKRD45	13.2979
ANKRD46	453.3898	ANKRD46	288.5638
ANKRD49	97.4576	ANKRD49	165.7801
ANKRD50	5566.1017	ANKRD50	850.6206
ANKRD52	564.4068	ANKRD52	1346.1879
removed	removed	ANKRD53	25.7092
ANKRD54	341.5254	ANKRD54	472.5177
ANKRD56	66.9492	ANKRD56	143.617
ANKRD57	494.9153	ANKRD57	671.9858
ANKRD58	26.2712	ANKRD58	14.1844
ANKRD5	269.4915	ANKRD5	179.078
ANKRD6	129.5678	ANKRD6	244.9956
ANKRD9	28.8136	ANKRD9	52.7482
ANKS1A	726.2712	ANKS1A	1199.4681
ANKS1B	11.0169	ANKS1B	42.1099
ANKS3	81.3559	ANKS3	274.3794
ANKS6	138.1356	ANKS6	170.2128
ANKZF1	524.5763	ANKZF1	581.5603
ANLN	807.6271	ANLN	136.5248
ANO10	650.8475	ANO10	1164.4504
ANO1	3194.0678	ANO1	6496.8972
ANO2	13.5593	ANO2	20.3901
ANO3	275.4237	ANO3	13.2979
removed	removed	ANO4	8.8652
removed	removed	ANO5	18.1738
ANO6	1676.2712	ANO6	1452.1277
ANO7	91.5254	ANO7	16.844
ANO8	94.9153	ANO8	417.9965
