gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
AGAP2	139.4719	AGAP2	61.2485
AGAP3	1086.5759	AGAP3	870.4142
AGAP4	102.979	AGAP4	211.2426
AGAP5	23.1144	AGAP5	48.7929
AGAP6	71.4969	AGAP6	135.503
AGAP7	5.2961	AGAP7	5.3254
AGAP8	32.0706	AGAP8	92.3077
AGA	257.1534	AGA	488.1657
removed	removed	AGBL2	8.284
removed	removed	AGBL3	5.9172
removed	removed	AGBL4	5.9172
AGBL5	1426.445	AGBL5	674.5621
AGER	25.8919	AGER	40.2367
AGFG1	2973.7403	AGFG1	2230.7692
AGFG2	244.5017	AGFG2	473.9645
AGGF1	551.6734	AGGF1	897.0414
AGK	768.5178	AGK	509.4675
AGL	308.0544	AGL	1092.3077
AGMAT	333.9463	AGMAT	20.7101
AGPAT1	1920.4325	AGPAT1	1956.929
AGPAT2	745.8624	AGPAT2	2034.9112
AGPAT3	1846.267	AGPAT3	2144.9704
AGPAT4	136.5208	AGPAT4	307.1006
AGPAT5	1171.9014	AGPAT5	639.0533
AGPAT6	3264.7297	AGPAT6	1448.5207
AGPAT9	90.9158	AGPAT9	152.6627
AGPHD1	30.011	AGPHD1	46.7456
AGPS	924.1633	AGPS	933.1361
removed	removed	AGR2	1793.4911
removed	removed	AGR3	585.2071
AGRN	1080.103	AGRN	3663.9053
AGTPBP1	2826.3332	AGTPBP1	374.5562
AGTR1	6.473	AGTR1	318.3432
AGTRAP	539.0217	AGTRAP	838.4615
AGT	237.7345	AGT	127.8107
AGXT2L2	256.3119	AGXT2L2	755.1657
removed	removed	AGXT	5.3254
AHCTF1	3987.0541	AHCTF1	1205.9172
AHCYL1	2025.7448	AHCYL1	3789.9408
AHCYL2	438.9849	AHCYL2	581.6568
AHCY	4932.6958	AHCY	1942.0118
AHDC1	814.1228	AHDC1	778.6982
AHI1	319.5292	AHI1	436.0947
AHNAK2	249.2093	AHNAK2	1189.3491
AHNAK	9730.6363	AHNAK	56503.5503
AHRR	9.4152	AHRR	14.7929
AHR	1817.4329	AHR	3799.4083
AHSA1	2926.9584	AHSA1	1344.9704
AHSA2	233.6153	AHSA2	424.8521
AIDA	676.1486	AIDA	1386.4083
AIF1L	3143.5086	AIF1L	2516.568
AIF1	509.8933	AIF1	640.8284
AIFM1	1727.3998	AIFM1	779.2899
AIFM2	259.2129	AIFM2	1145.5621
removed	removed	AIFM3	5.9172
AIG1	251.2688	AIG1	980.4734
AIM1L	12.0633	removed	removed
AIM1	897.683	AIM1	2146.1538
AIM2	152.9974	AIM2	11.8343
AIMP1	994.7481	AIMP1	1102.6154
AIMP2	936.0235	AIMP2	459.6864
AIP	902.6848	AIP	610.6509
removed	removed	AJAP1	14.2012
AK1	802.648	AK1	590.5325
AK2	2922.8393	AK2	2136.6864
AK3L1	299.2277	AK3L1	328.9941
AK3	1676.2045	AK3	2371.5976
AK5	238.6171	AK5	1298.8166
removed	removed	AK7	31.9527
AKAP10	826.7745	AKAP10	417.1598
AKAP11	498.4185	AKAP11	1494.6746
AKAP12	132.9901	AKAP12	2650.2959
AKAP13	1531.1512	AKAP13	3343.1953
AKAP1	3653.6962	AKAP1	1386.3905
AKAP2	564.7076	AKAP2	1795.1538
AKAP3	76.4987	AKAP3	27.2189
AKAP5	168.8856	AKAP5	115.3846
AKAP6	50.6068	AKAP6	160.355
AKAP7	216.5502	AKAP7	179.8817
AKAP8L	936.5208	AKAP8L	492.8994
AKAP8	852.9606	AKAP8	638.4615
AKAP9	1611.1806	AKAP9	1869.8225
AKD1	25.3034	AKD1	141.4201
AKIRIN1	1765.9434	AKIRIN1	1740.2367
AKIRIN2	724.9724	AKIRIN2	759.7633
AKNA	1580.2869	AKNA	961.5385
AKR1A1	3401.5447	AKR1A1	1637.8698
AKR1B15	5.8845	AKR1B15	84.6154
AKR1B1	1260.1692	AKR1B1	953.8462
AKR1C1	9.121	AKR1C1	2604.142
removed	removed	AKR1C2	2368.0473
AKR1C3	22.6554	AKR1C3	2483.432
removed	removed	AKR1D1	11.2426
AKR1E2	28.8341	AKR1E2	46.1538
AKR7A2	400.7356	AKR7A2	1031.9527
removed	removed	AKR7A3	127.2189
AKR7L	6.1787	AKR7L	31.3609
AKT1S1	532.5487	AKT1S1	898.2249
AKT1	2330.5627	AKT1	3117.1598
AKT2	4443.6925	AKT2	2194.6746
AKT3	4429.8639	AKT3	795.2663
AKTIP	346.3332	AKTIP	783.5266
ALAD	1258.6981	ALAD	1414.2012
ALAS1	1564.6929	ALAS1	1315.9763
removed	removed	ALB	95.858
ALCAM	609.0474	ALCAM	4689.3491
ALDH16A1	210.0772	ALDH16A1	441.4201
ALDH18A1	2217.2858	ALDH18A1	1398.2249
ALDH1A1	335.4174	ALDH1A1	3555.0296
removed	removed	ALDH1A2	517.7515
ALDH1A3	347.3218	ALDH1A3	1869.9112
ALDH1B1	2036.6311	ALDH1B1	679.2899
removed	removed	ALDH1L1	717.7515
ALDH1L2	433.6889	ALDH1L2	188.7574
ALDH2	4232.7326	ALDH2	6382.8402
ALDH3A1	37.3667	ALDH3A1	24.8521
ALDH3A2	4988.3045	ALDH3A2	2451.4793
ALDH3B1	443.1041	ALDH3B1	280.4734
ALDH3B2	112.9827	ALDH3B2	5977.5148
ALDH4A1	414.27	ALDH4A1	1571.0059
ALDH5A1	758.2199	ALDH5A1	651.4793
ALDH6A1	335.8382	ALDH6A1	540.6746
ALDH7A1	2620.0809	ALDH7A1	1892.8994
ALDH8A1	7.0614	ALDH8A1	11.2426
ALDH9A1	2907.5395	ALDH9A1	3708.8757
ALDOA	11738.7275	ALDOA	14677.5148
ALDOC	170.3567	ALDOC	1295.858
ALG10B	260.0956	ALG10B	334.3195
ALG10	103.2733	ALG10	97.6331
ALG11	7.6499	ALG11	6.5089
ALG12	233.6153	ALG12	495.2663
ALG13	378.6686	ALG13	503.5503
ALG14	140.3457	ALG14	212.426
ALG1L	5.4285	ALG1L	8.7396
ALG1	363.7543	ALG1	545.6095
ALG2	911.8058	ALG2	1052.071
ALG3	1308.4222	ALG3	585.7988
ALG5	491.3571	ALG5	690.5325
ALG6	336.5943	ALG6	333.7278
ALG8	765.8698	ALG8	725.4438
ALG9	388.9665	ALG9	667.4556
ALKBH1	226.2597	ALKBH1	253.8462
ALKBH2	678.4847	ALKBH2	200.5917
ALKBH3	76.2045	ALKBH3	442.0118
ALKBH4	281.7565	ALKBH4	205.1953
ALKBH5	2580.5693	ALKBH5	2473.3373
ALKBH6	103.8617	ALKBH6	73.9645
ALKBH7	605.811	ALKBH7	440.2367
ALKBH8	112.1	ALKBH8	292.3077
ALK	17.3593	removed	removed
ALMS1	1102.4641	ALMS1	391.716
removed	removed	ALOX12P2	7.6923
ALOX15B	5.2961	ALOX15B	1778.1065
ALOX15	115.3365	ALOX15	23.0769
ALOX5AP	462.523	ALOX5AP	351.4793
ALOX5	398.676	ALOX5	560.355
ALOXE3	20.0074	removed	removed
ALPK1	671.4233	ALPK1	729.5858
ALPK2	54.4318	ALPK2	16.568
ALPK3	57.9625	ALPK3	189.9408
ALPL	152.9974	ALPL	2220.7101
ALPPL2	7.9441	removed	removed
ALS2CL	57.9625	ALS2CL	386.3905
removed	removed	ALS2CR11	8.8757
ALS2CR4	694.3729	ALS2CR4	888.1657
ALS2CR8	93.858	ALS2CR8	156.213
ALS2	453.1078	ALS2	544.9704
ALX1	72.968	removed	removed
ALX3	64.1412	ALX3	18.3432
removed	removed	ALX4	21.8935
