gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
ALKBH5	1976.7832	ALKBH5	2075.7732
ALKBH6	96.561	ALKBH6	46.9072
ALKBH7	974.4228	ALKBH7	295.3608
ALKBH8	206.15	ALKBH8	186.5979
removed	removed	ALK	23.7113
ALMS1	577.0668	ALMS1	548.9691
removed	removed	ALOX12	8.2938
ALOX15B	1908.9951	ALOX15B	10.8247
ALOX15	8.0467	removed	removed
ALOX5AP	493.5339	ALOX5AP	568.0412
ALOX5	426.4776	ALOX5	491.2371
ALOXE3	5.7477	removed	removed
ALPK1	496.5993	ALPK1	515.4639
ALPK2	21.8412	ALPK2	148.4536
ALPK3	205.0005	ALPK3	1972.1649
ALPL	498.132	ALPL	481.4433
ALS2CL	86.2152	ALS2CL	185.0515
ALS2CR11	8.0467	ALS2CR11	23.1959
ALS2CR4	620.7491	ALS2CR4	711.8557
ALS2CR8	111.5049	ALS2CR8	165.4639
ALS2	524.9545	ALS2	606.1856
removed	removed	ALX1	13.9175
ALX3	25.673	ALX3	24.2268
AMACR	546.7957	AMACR	492.7835
AMBRA1	875.1796	AMBRA1	707.2165
AMD1	979.4042	AMD1	1435.7732
AMDHD1	12.2617	AMDHD1	7.732
AMDHD2	309.7768	AMDHD2	183.2887
AMFR	2513.2676	AMFR	2628.866
AMH	7.6636	removed	removed
AMICA1	223.7762	AMICA1	208.2474
AMIGO1	95.4114	AMIGO1	111.3402
AMIGO2	780.1514	AMIGO2	278.866
AMIGO3	189.6733	AMIGO3	63.9175
AMMECR1L	657.1511	AMMECR1L	769.0722
AMMECR1	502.347	AMMECR1	290.2062
AMN1	129.8975	AMN1	99.4845
AMOTL1	779.385	AMOTL1	2450
AMOTL2	1981.0327	AMOTL2	3188.6598
AMOT	881.3105	AMOT	850
AMPD2	567.4873	AMPD2	437.6289
AMPD3	152.8882	AMPD3	226.8041
AMPH	88.131	AMPH	145.3608
AMT	32.7656	AMT	57.0567
AMY1A	22.9907	removed	removed
AMY2B	129.7059	AMY2B	252.7423
AMZ1	18.3926	removed	removed
AMZ2P1	126.8321	AMZ2P1	261.8557
AMZ2	1376.377	AMZ2	1350
ANAPC10	97.7105	ANAPC10	114.433
ANAPC11	1154.8999	ANAPC11	698.4536
ANAPC13	1778.1627	ANAPC13	1001.2268
ANAPC16	1919.3409	ANAPC16	2297.9381
ANAPC1	641.0576	ANAPC1	606.701
ANAPC2	762.142	ANAPC2	455.1546
ANAPC4	441.8048	ANAPC4	445.3608
ANAPC5	2052.3039	ANAPC5	1973.7113
ANAPC7	1175.5915	ANAPC7	794.3299
ANGEL1	639.908	ANGEL1	460.3093
