gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
AKAP5	311.3557	AKAP5	123.3101
AKAP6	20.2179	AKAP6	359.6887
AKAP7	125.8003	AKAP7	190.4957
AKAP8L	1046.3889	AKAP8L	778.3695
AKAP8	638.4365	AKAP8	758.2958
AKAP9	978.0973	AKAP9	3174.5186
AKD1	168.9318	AKD1	147.8902
AKIRIN1	1485.342	AKIRIN1	1063.9082
AKIRIN2	376.053	AKIRIN2	719.3773
AKNA	400.7638	AKNA	534.617
AKR1A1	6817.4773	AKR1A1	1823.433
removed	removed	AKR1B10	34.4121
AKR1B15	320.3415	removed	removed
AKR1B1	704.4816	AKR1B1	690.2909
AKR1C1	2544.3109	AKR1C1	88.898
AKR1C2	14847.1302	AKR1C2	74.9693
AKR1C3	377.8502	AKR1C3	491.6018
AKR1D1	96.1474	removed	removed
AKR1E2	6.29	AKR1E2	58.9922
AKR7A2	1170.392	AKR7A2	1037.6895
AKR7A3	765.1353	AKR7A3	120.8521
AKR7L	24.2615	AKR7L	17.6157
AKT1S1	1579.6922	AKT1S1	901.6796
AKT1	5381.5568	AKT1	3731.2577
AKT2	2448.1635	AKT2	2157.7222
AKT3	275.4128	AKT3	553.8714
AKTIP	784.868	AKTIP	478.8365
ALAD	1017.6345	ALAD	2201.5567
ALAS1	839.2677	ALAS1	902.499
removed	removed	ALB	330.6022
ALCAM	32176.1204	ALCAM	3643.179
ALDH16A1	972.7058	ALDH16A1	600.9832
ALDH18A1	3196.226	ALDH18A1	2117.9844
ALDH1A1	296.08	ALDH1A1	356.821
ALDH1A2	54.813	ALDH1A2	386.3171
ALDH1A3	7731.2187	ALDH1A3	1156.4728
ALDH1B1	720.656	ALDH1B1	485.8664
ALDH1L1	292.0364	ALDH1L1	81.524
ALDH1L2	449.736	ALDH1L2	235.1495
ALDH2	6139.0543	ALDH2	1654.6497
removed	removed	ALDH3A1	36.4605
ALDH3A2	2141.3007	ALDH3A2	1098.73
ALDH3B1	166.6854	ALDH3B1	80.7046
ALDH3B2	43881.8376	ALDH3B2	735.764
ALDH4A1	8413.3438	ALDH4A1	655.0594
