gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
ALPK3	116.7195	ALPK3	456.4537
ALPL	210.9651	ALPL	817.9528
ALS2CL	15.2243	ALS2CL	386.2301
removed	removed	ALS2CR11	6.4117
ALS2CR4	431.7173	ALS2CR4	2435.234
ALS2CR8	139.9184	ALS2CR8	285.7797
ALS2	463.9783	ALS2	834.7454
removed	removed	ALX1	6.717
removed	removed	ALX3	35.1118
removed	removed	ALX4	28.7001
AMACR	435.3421	AMACR	179.223
removed	removed	AMBP	51.9044
AMBRA1	479.565	AMBRA1	906.1904
AMD1	1510.8292	AMD1	2530.1885
AMDHD1	25.7363	AMDHD1	41.5235
AMDHD2	46.7603	AMDHD2	100.0046
AMFR	4475.5777	AMFR	3232.1197
removed	removed	AMICA1	138.6154
AMIGO1	33.3484	AMIGO1	178.307
AMIGO2	26000.9062	AMIGO2	6736.8903
AMIGO3	23.9239	AMIGO3	45.798
AMMECR1L	616.5836	AMMECR1L	1100.0687
AMMECR1	619.4835	AMMECR1	195.0996
AMN1	465.0657	AMN1	239.9817
AMN	14.8618	removed	removed
AMOTL1	949.343	AMOTL1	3469.0482
AMOTL2	1951.246	AMOTL2	5095.7942
AMOT	396.1939	AMOT	1315.6248
removed	removed	AMPD1	58.0108
AMPD2	287.449	AMPD2	600.2595
AMPD3	152.9678	AMPD3	221.3571
AMPH	306.2981	AMPH	122.4334
removed	removed	AMT	152.254
removed	removed	AMY1A	9.7702
AMY2B	19.2116	AMY2B	466.3797
AMZ1	10.512	removed	removed
AMZ2P1	1306.0263	AMZ2P1	319.9756
AMZ2	12060.1722	AMZ2	1113.8081
ANAPC10	364.6579	ANAPC10	163.6516
ANAPC11	473.7653	ANAPC11	450.6526
ANAPC13	2525.6874	ANAPC13	977.0277
ANAPC16	1590.213	ANAPC16	2681.0167
ANAPC1	793.1128	ANAPC1	910.4649
ANAPC2	272.5872	ANAPC2	591.0999
ANAPC4	673.4934	ANAPC4	741.9281
ANAPC5	2454.7349	ANAPC5	2241.3556
ANAPC7	1871.4998	ANAPC7	821.3114
ANGEL1	461.8034	ANGEL1	709.5642
ANGEL2	1168.2827	ANGEL2	803.6028
ANGPT1	43.8604	ANGPT1	276.3148
ANGPT2	824.2864	ANGPT2	463.4761
removed	removed	ANGPT4	14.35
ANGPTL1	13.7744	ANGPTL1	499.5039
ANGPTL2	2433.7109	ANGPTL2	4027.4788
ANGPTL4	94.9705	ANGPTL4	634.4554
removed	removed	ANGPTL5	9.1596
removed	removed	ANGPTL7	458.8963
ANG	67.6973	ANG	669.5214
removed	removed	ANK1	14.9607
ANK2	198.6407	ANK2	1223.1127
ANK3	596.2845	ANK3	1514.3882
ANKAR	28.2737	ANKAR	61.98
ANKDD1A	35.5233	ANKDD1A	131.593
removed	removed	ANKFN1	68.697
ANKFY1	1298.4141	ANKFY1	2618.1208
ANKHD1-EIF4EBP3	985.2759	ANKHD1-EIF4EBP3	901.9831
ANKHD1	3749.7309	ANKHD1	3558.7787
ANKH	2440.5981	ANKH	2104.8775
ANKIB1	2868.328	ANKIB1	1524.1585
removed	removed	ANKK1	65.9492
removed	removed	ANKLE1	10.9915
ANKLE2	1217.9429	ANKLE2	1633.1578
ANKMY1	51.1101	ANKMY1	236.9285
ANKMY2	558.2238	ANKMY2	884.5126
ANKRA2	492.6144	ANKRA2	417.0674
ANKRD10	1056.3951	ANKRD10	1548.8894
ANKRD11	800.6851	ANKRD11	2539.6565
ANKRD12	1665.9719	ANKRD12	2114.6477
ANKRD13A	1835.2515	ANKRD13A	1390.7335
ANKRD13B	27.1862	ANKRD13B	103.8089
ANKRD13C	950.7929	ANKRD13C	730.6312
ANKRD13D	265.3376	ANKRD13D	330.9671
ANKRD16	60.1722	ANKRD16	188.3246
ANKRD17	3905.0295	ANKRD17	3814.06
ANKRD19	11.9619	ANKRD19	20.7618
removed	removed	ANKRD1	5.8011
removed	removed	ANKRD20A3	16.182
ANKRD20B	7.9746	ANKRD20B	10.3809
ANKRD22	51.8351	ANKRD22	25.9522
ANKRD23	14.1368	ANKRD23	35.4171
removed	removed	ANKRD24	30.8373
ANKRD26	239.2388	ANKRD26	385.9247
ANKRD27	1636.2483	ANKRD27	867.72
ANKRD28	2292.3425	ANKRD28	1506.7552
ANKRD29	14.1368	ANKRD29	361.4991
removed	removed	ANKRD30A	910.1595
removed	removed	ANKRD30B	139.8367
removed	removed	ANKRD31	6.1064
ANKRD32	373.72	ANKRD32	164.2623
ANKRD34A	7.9746	ANKRD34A	16.7926
removed	removed	ANKRD35	155.7133
ANKRD36BP1	135.5686	ANKRD36BP1	228.3795
ANKRD36B	30.0861	ANKRD36B	145.0271
ANKRD36	154.7802	ANKRD36	406.6865
ANKRD37	173.1509	ANKRD37	121.9052
ANKRD39	150.068	ANKRD39	94.9546
ANKRD40	1267.9656	ANKRD40	2049.3092
ANKRD42	450.9289	ANKRD42	337.9895
ANKRD43	29.7236	ANKRD43	48.5459
ANKRD44	22.1115	ANKRD44	109.9153
removed	removed	ANKRD45	19.2352
ANKRD46	1352.4459	ANKRD46	605.3675
ANKRD49	489.7145	ANKRD49	334.6309
ANKRD50	4330.947	ANKRD50	1577.2842
ANKRD52	705.3919	ANKRD52	1268.3001
removed	removed	ANKRD53	119.3802
ANKRD54	186.6787	ANKRD54	285.7797
ANKRD56	59.0847	ANKRD56	135.8675
ANKRD57	686.5428	ANKRD57	651.8586
ANKRD5	363.5705	ANKRD5	185.3294
ANKRD6	260.7703	ANKRD6	399.0657
ANKRD7	13.0494	removed	removed
ANKRD9	45.6729	ANKRD9	25.0363
ANKS1A	589.7599	ANKS1A	1257.0033
ANKS1B	146.4431	ANKS1B	121.5174
ANKS3	34.7984	ANKS3	203.3433
ANKS6	65.6094	ANKS6	252.8051
