gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
ADAMTSL5	13.0239	ADAMTSL5	54.4066
ADAP1	333.7552	ADAP1	111.5017
ADAP2	258.4739	ADAP2	270.7604
ADARB1	1717.4821	ADARB1	811.3268
removed	removed	ADARB2	5.727
ADAR	10332.6098	ADAR	6277.7601
ADAT1	393.7218	ADAT1	286.0325
ADAT2	205.3765	ADAT2	179.4464
ADAT3	51.7616	ADAT3	28.9532
ADA	151.9452	ADA	168.9469
ADCK1	194.6903	ADCK1	137.1301
ADCK2	704.6251	ADCK2	571.7467
ADCK4	524.2945	ADCK4	542.1572
ADCK5	178.9948	ADCK5	86.8597
removed	removed	ADCY1	424.4353
ADCY2	1766.2381	ADCY2	88.4505
ADCY3	1988.8896	ADCY3	2137.986
ADCY4	52.4295	ADCY4	672.6058
ADCY5	7.6807	ADCY5	333.7576
ADCY6	639.1718	ADCY6	2346.8024
ADCY7	1397.5622	ADCY7	836.462
removed	removed	ADCY8	9.545
ADCY9	535.9826	ADCY9	807.1906
removed	removed	ADCYAP1R1	36.2711
ADCYAP1	14.3597	ADCYAP1	95.7684
ADC	169.3104	ADC	146.9933
ADD1	3044.5817	ADD1	6106.2679
ADD2	102.8552	ADD2	87.1779
ADD3	1350.8098	ADD3	4672.6058
removed	removed	ADH1A	68.406
ADH1B	6.345	ADH1B	9928.7305
removed	removed	ADH1C	400.2545
removed	removed	ADH4	84.3143
ADH5	2556.0194	ADH5	2937.321
ADHFE1	173.6517	ADHFE1	107.5406
ADI1	2124.2278	ADI1	1802.7362
removed	removed	ADIPOQ	3803.3726
ADIPOR1	3960.2605	ADIPOR1	1876.5511
ADIPOR2	3816.6639	ADIPOR2	1826.917
ADK	350.6428	ADK	272.3513
ADM2	1370.5126	ADM2	55.043
ADM	113.8754	ADM	434.2984
ADNP2	529.3037	ADNP2	704.7407
ADNP	2872.5998	ADNP	2420.6172
ADORA1	514.2762	ADORA1	427.6169
ADORA2A	212.3827	ADORA2A	66.497
ADORA2B	313.9088	ADORA2B	122.4944
ADORA3	168.3086	ADORA3	108.1769
ADO	508.5991	ADO	676.742
ADPGK	986.4685	ADPGK	802.7808
ADPRHL1	46.7524	ADPRHL1	37.5437
ADPRHL2	665.2196	ADPRHL2	502.7044
ADPRH	276.5069	ADPRH	469.615
removed	removed	ADRA1A	14.9539
ADRA1B	11.6881	ADRA1B	60.4518
removed	removed	ADRA1D	7.636
ADRA2A	532.6432	ADRA2A	782.0554
ADRA2B	56.7707	ADRA2B	46.1343
ADRA2C	10.0184	ADRA2C	127.5851
ADRB1	13.0239	ADRB1	13.0449
ADRB2	95.1745	ADRB2	276.8056
ADRBK1	1785.6069	ADRBK1	2047.7251
ADRBK2	1075.6387	ADRBK2	1102.4499
ADRM1	1662.715	ADRM1	1151.1295
ADSL	1453.999	ADSL	778.2374
ADSSL1	44.7487	ADSSL1	94.4957
ADSS	2448.155	ADSS	1433.9803
AEBP1	16051.0937	AEBP1	9062.9971
AEBP2	1543.4964	AEBP2	1218.8991
AEN	592.0855	AEN	760.7381
AES	8881.2824	AES	6148.9023
AFAP1L1	190.6829	AFAP1L1	699.3318
AFAP1L2	185.6737	AFAP1L2	1138.4028
AFAP1	1349.6176	AFAP1	1593.0417
AFARP1	6.6789	removed	removed
AFF1	1327.7676	AFF1	2785.8734
AFF2	112.5397	AFF2	96.4047
AFF3	81.8167	AFF3	633.153
AFF4	2327.6006	AFF4	3851.0977
AFG3L1	230.0885	AFG3L1	245.9434
AFG3L2	2461.8634	AFG3L2	1045.3452
AFMID	805.4767	AFMID	440.0255
removed	removed	AFP	20.3627
AFTPH	1967.2733	AFTPH	1644.6071
AG2	60.7781	AG2	2742.2844
AGAP11	18.7043	AGAP11	274.9189
AGAP1	710.6362	AGAP1	643.9707
AGAP2	71.2874	AGAP2	106.2265
AGAP3	1114.3764	AGAP3	1681.5145
AGAP4	169.9783	AGAP4	250.0795
AGAP5	17.3652	AGAP5	70.3945
AGAP6	159.626	AGAP6	163.8562
AGAP7	8.6826	AGAP7	7.636
AGAP8	22.0404	AGAP8	39.1346
AGA	696.2765	AGA	408.2087
AGBL2	8.3486	AGBL2	13.363
removed	removed	AGBL3	7.9542
removed	removed	AGBL4	5.4088
AGBL5	1028.8896	AGBL5	571.1168
AGER	11.3541	AGER	81.4508
AGFG1	1761.8968	AGFG1	1988.546
AGFG2	197.0279	AGFG2	579.7009
AGGF1	416.4301	AGGF1	858.4155
AGK	813.1575	AGK	502.7044
AGL	884.2879	AGL	1033.4076
AGMAT	111.8718	AGMAT	11.7722
AGPAT1	2770.4926	AGPAT1	1488.4664
AGPAT2	939.7228	AGPAT2	1168.3105
AGPAT3	1603.9406	AGPAT3	1331.8486
AGPAT4	326.5988	AGPAT4	355.3929
AGPAT5	1161.4627	AGPAT5	622.6535
AGPAT6	1203.2059	AGPAT6	2060.77
AGPAT9	485.5569	AGPAT9	161.9472
AGPHD1	48.4221	AGPHD1	40.4073
AGPS	1256.9711	AGPS	1177.5374
AGR2	78.4772	AGR2	924.9125
removed	removed	AGR3	589.5641
AGRN	8294.54	AGRN	5076.6783
AGTPBP1	776.7574	AGTPBP1	321.9854
removed	removed	AGTR1	583.5189
AGTRAP	734.0124	AGTRAP	603.8816
AGT	1099.3488	AGT	175.3102
removed	removed	AGXT2L1	7.9542
AGXT2L2	355.3281	AGXT2L2	643.083
AHCTF1	3114.7103	AHCTF1	1607.6997
AHCYL1	3855.4016	AHCYL1	3406.2997
AHCYL2	857.2383	AHCYL2	517.6583
AHCY	3310.4024	AHCY	1913.4585
AHDC1	1170.1453	AHDC1	1264.7152
AHI1	550.3423	AHI1	519.5673
AHNAK2	6379.0282	AHNAK2	1639.8346
AHNAK	20605.1094	AHNAK	83520.2036
AHRR	88.4956	AHRR	20.999
AHR	2253.4647	AHR	5202.3544
AHSA1	2722.6582	AHSA1	1706.3315
AHSA2	335.2813	AHSA2	636.971
AIDA	1567.5739	AIDA	1082.0872
AIF1L	3405.5769	AIF1L	2668.7878
AIF1	334.6135	AIF1	522.4308
AIFM1	984.4715	AIFM1	659.2428
AIFM2	536.6505	AIFM2	461.0245
