gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
AGK	501.0735	AGK	504.3768
AGL	2460.1209	AGL	1596.759
AGMAT	18.3431	AGMAT	11.2855
AGPAT1	2646.3099	AGPAT1	1852.9871
AGPAT2	621.221	AGPAT2	7831.0063
AGPAT3	1326.2091	AGPAT3	1979.5992
AGPAT4	182.2085	AGPAT4	365.4778
AGPAT5	427.3952	AGPAT5	452.0003
AGPAT6	1300.2229	AGPAT6	1764.0165
AGPAT9	81.627	AGPAT9	1306.8075
AGPHD1	67.8696	AGPHD1	81.3138
AGPS	2106.404	AGPS	1395.0662
AGR2	23083.0081	AGR2	565.4344
AGR3	1050.1448	AGR3	223.3958
AGRN	615.1066	AGRN	2654.7059
AGTPBP1	708.3509	AGTPBP1	469.652
AGTR1	174.8713	AGTR1	693.9159
AGTRAP	265.9755	AGTRAP	322.3613
AGT	124.7334	AGT	156.2613
AGXT2L2	205.7703	AGXT2L2	801.1286
AGXT	9.783	AGXT	11.8643
AHCTF1	1997.568	AHCTF1	1942.8489
AHCYL1	3893.943	AHCYL1	4285.9003
AHCYL2	1014.6814	AHCYL2	711.857
AHCY	2944.3798	AHCY	1642.4799
AHDC1	336.5966	AHDC1	796.9326
AHI1	292.2674	AHI1	470.8095
AHNAK2	759.1003	AHNAK2	1586.631
AHNAK	26269.823	AHNAK	118502.4958
AHRR	14.0631	AHRR	32.1204
AHR	2966.0858	AHR	4822.9762
AHSA1	1578.733	AHSA1	1020.6178
AHSA2	114.6446	AHSA2	401.6494
AIDA	2016.2322	AIDA	1663.0428
AIF1L	1258.9509	AIF1L	2143.6736
AIF1	194.4373	AIF1	234.1026
AIFM1	1048.9219	AIFM1	1000.0723
AIFM2	291.6559	AIFM2	1925.7759
removed	removed	AIFM3	9.7432
AIG1	529.5053	AIG1	792.0133
AIM1	4092.0489	AIM1	2796.4986
AIM2	5.1972	removed	removed
AIMP1	1375.4298	AIMP1	1039.1898
AIMP2	433.0021	AIMP2	210.1512
AIP	256.804	AIP	752.6586
AJAP1	8.2544	AJAP1	9.8387
AK1	243.0466	AK1	578.4562
AK2	1905.5466	AK2	2153.5123
AK3L1	968.8235	AK3L1	875.0633
AK3	1859.383	AK3	2784.9237
AK5	88.0471	AK5	1042.0314
AK7	24.4575	AK7	31.5416
AKAP10	1290.4399	AKAP10	625.0452
AKAP11	2406.62	AKAP11	2823.989
AKAP12	1101.8113	AKAP12	5768.3571
AKAP13	2328.9674	AKAP13	4132.5327
AKAP1	3603.51	AKAP1	3149.5334
AKAP2	360.1829	AKAP2	2274.2039
AKAP3	14.9802	AKAP3	55.5596
AKAP5	582.7004	AKAP5	79.2881
AKAP6	135.1278	AKAP6	259.5674
AKAP7	148.2737	AKAP7	305.5777
AKAP8L	220.7291	AKAP8L	686.3922
AKAP8	470.1958	AKAP8	694.4947
AKAP9	2295.3383	AKAP9	3165.7383
AKD1	97.8301	AKD1	160.0231
AKIRIN1	1367.7868	AKIRIN1	1632.9306
AKIRIN2	812.2954	AKIRIN2	822.6868
AKNA	264.1412	AKNA	971.4244
AKR1A1	1328.3491	AKR1A1	1313.1737
AKR1B15	9.783	removed	removed
AKR1B1	555.1857	AKR1B1	853.071
AKR1C1	663.4408	AKR1C1	3848.0793
AKR1C2	500.7677	AKR1C2	2783.4768
AKR1C3	678.0848	AKR1C3	2863.0543
AKR1D1	7.643	removed	removed
AKR1E2	38.7957	AKR1E2	39.3547
AKR7A2	330.4822	AKR7A2	820.0825
AKR7A3	30.5719	AKR7A3	36.461
removed	removed	AKR7L	8.1024
AKT1S1	847.1474	AKT1S1	812.5588
AKT1	1885.3691	AKT1	2944.6575
AKT2	1051.3677	AKT2	4899.9494
AKT3	806.7925	AKT3	1388.7
AKTIP	901.8497	AKTIP	616.5434
ALAD	916.8513	ALAD	3100.0506
ALAS1	1122.6002	ALAS1	1071.5474
removed	removed	ALAS2	8.9706
ALB	8.8659	ALB	2047.8912
ALCAM	8965.2099	ALCAM	2225.2767
ALDH16A1	149.4966	ALDH16A1	399.0451
ALDH18A1	1667.3915	ALDH18A1	864.0671
ALDH1A1	491.2904	ALDH1A1	4129.3496
ALDH1A2	48.3036	ALDH1A2	513.9261
ALDH1A3	300.9039	ALDH1A3	1005.4836
ALDH1B1	1331.1006	ALDH1B1	728.6407
ALDH1L1	120.1476	ALDH1L1	3607.8999
ALDH1L2	1138.8033	ALDH1L2	421.3268
ALDH2	3169.6947	ALDH2	17909.8604
removed	removed	ALDH3A1	39.9334
ALDH3A2	2183.7509	ALDH3A2	4287.3472
ALDH3B1	249.4667	ALDH3B1	140.3458
ALDH3B2	5186.8287	ALDH3B2	546.0464
ALDH4A1	449.1012	ALDH4A1	1501.8448
ALDH5A1	1310.6174	ALDH5A1	762.4973
ALDH6A1	482.2381	ALDH6A1	2016.8299
ALDH7A1	714.1596	ALDH7A1	2264.6314
ALDH8A1	19.8717	ALDH8A1	14.1793
ALDH9A1	3054.1329	ALDH9A1	5914.7797
ALDOA	13098.5309	ALDOA	15809.5927
removed	removed	ALDOB	5.4981
ALDOC	368.3914	ALDOC	3514.7218
ALG10B	476.9217	ALG10B	393.2576
ALG10	190.7687	ALG10	118.6428
ALG11	13.7574	ALG11	10.7068
ALG12	297.4646	ALG12	401.0707
ALG13	675.3333	ALG13	510.1642
ALG14	483.3418	ALG14	171.5981
ALG1L	231.2734	ALG1L	5.3331
ALG1	599.7351	ALG1	353.709
ALG2	1454.9168	ALG2	665.8468
ALG3	1318.8718	ALG3	340.5918
ALG5	1013.1528	ALG5	556.4639
ALG6	1785.0933	ALG6	209.5059
ALG8	1093.5569	ALG8	597.5548
ALG9	697.6508	ALG9	705.7802
ALKBH1	348.5197	ALKBH1	193.8798
ALKBH2	75.8183	ALKBH2	185.1986
ALKBH3	369.0028	ALKBH3	322.6507
ALKBH4	64.7605	ALKBH4	166.3373
ALKBH5	1581.7902	ALKBH5	2045.5154
ALKBH6	55.0294	ALKBH6	73.7901
ALKBH7	127.1791	ALKBH7	341.1705
ALKBH8	208.8061	ALKBH8	212.1103
ALK	7.3373	ALK	29.516
ALMS1	686.3392	ALMS1	908.9199
removed	removed	ALOX12P2	22.8604
ALOX15B	23.8461	ALOX15B	87.3906
removed	removed	ALOX15	23.4392
ALOX5AP	573.2231	ALOX5AP	187.5136
ALOX5	1188.0241	ALOX5	396.7301
removed	removed	ALOXE3	6.0768
ALPK1	462.5529	ALPK1	722.2745
ALPK2	33.9348	ALPK2	42.2484
ALPK3	401.1033	ALPK3	2028.5032
ALPL	155.611	ALPL	988.4974
ALS2CL	40.3549	ALS2CL	444.766
ALS2CR11	6.4201	ALS2CR11	24.3073
ALS2CR12	28.1261	ALS2CR12	6.0768
ALS2CR4	745.6487	ALS2CR4	1263.9803
ALS2CR8	144.2994	ALS2CR8	283.5853
ALS2	935.8059	ALS2	855.0966
removed	removed	ALX3	30.0948
removed	removed	ALX4	38.1972
AMACR	710.491	AMACR	256.3843
removed	removed	AMBP	6.0768
AMBRA1	664.3274	AMBRA1	1086.8842
AMD1	1934.862	AMD1	1504.5764
AMDHD1	51.3608	AMDHD1	14.1793
