gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
SLC4A3	14.3688	SLC4A3	239.89
SLC4A4	73.6783	SLC4A4	831.368
SLC4A5	177.8276	SLC4A5	137.8688
SLC4A7	2023.5541	SLC4A7	1335.166
SLC4A8	468.973	SLC4A8	120.0897
SLC5A1	15.286	SLC5A1	352.1667
SLC5A3	1441.511	SLC5A3	1466.2837
removed	removed	SLC5A4	31.2523
removed	removed	SLC5A5	11.5749
SLC5A6	3051.8584	SLC5A6	1474.3196
removed	removed	SLC5A8	8.9706
removed	removed	SLC5A9	26.0436
removed	removed	SLC6A10P	6.6556
SLC6A12	7.643	SLC6A12	13.6005
SLC6A14	114.9503	SLC6A14	142.6608
removed	removed	SLC6A15	9.5493
removed	removed	SLC6A16	51.7977
SLC6A17	6.4201	SLC6A17	11.8643
SLC6A1	45.8579	SLC6A1	16.4942
SLC6A20	13.1459	SLC6A20	6.9449
removed	removed	SLC6A2	35.8822
SLC6A4	9.4773	SLC6A4	14.4686
SLC6A6	1723.3381	SLC6A6	762.4973
SLC6A8	214.0033	SLC6A8	1216.8126
SLC6A9	197.5189	SLC6A9	105.6616
SLC7A10	102.7766	SLC7A10	854.0982
SLC7A11	161.7254	SLC7A11	25.4648
SLC7A13	13.4516	removed	removed
removed	removed	SLC7A14	9.8387
SLC7A1	1211.2587	SLC7A1	699.7034
SLC7A2	1905.8523	SLC7A2	1661.2892
removed	removed	SLC7A3	76.6838
removed	removed	SLC7A4	49.1934
SLC7A5	900.9539	SLC7A5	248.5712
SLC7A6OS	48.912	SLC7A6OS	217.0933
SLC7A6	1138.8064	SLC7A6	1898.8005
SLC7A7	449.1012	SLC7A7	241.9156
SLC7A8	1916.2467	SLC7A8	1554.8
SLC7A9	8.2544	removed	removed
SLC8A1	256.4982	SLC8A1	197.3522
SLC8A2	8.8659	removed	removed
SLC8A3	6.4201	SLC8A3	26.9117
SLC9A1	1163.5665	SLC9A1	1304.2031
SLC9A2	6.4201	SLC9A2	21.1242
SLC9A3R1	8712.686	SLC9A3R1	1173.9854
SLC9A3R2	776.2206	SLC9A3R2	1964.2625
removed	removed	SLC9A4	22.2817
SLC9A5	14.9802	SLC9A5	39.0653
SLC9A6	303.2733	SLC9A6	491.355
SLC9A7	303.2733	SLC9A7	142.082
SLC9A8	743.5086	SLC9A8	658.0337
SLC9A9	167.8397	SLC9A9	408.8837
removed	removed	SLCO1A2	27.201
SLCO1C1	8.2544	SLCO1C1	72.3432
SLCO2A1	796.398	SLCO2A1	708.6739
SLCO2B1	749.0116	SLCO2B1	875.3527
SLCO3A1	267.8099	SLCO3A1	603.921
SLCO4A1	12.8402	SLCO4A1	83.458
SLCO4C1	23.2346	SLCO4C1	136.0052
SLFN11	800.3724	SLFN11	1374.8101
removed	removed	SLFN12L	35.5929
SLFN12	191.9915	SLFN12	136.584
SLFN13	552.74	SLFN13	465.3114
SLFN5	1512.3919	SLFN5	2273.3126
removed	removed	SLIT1	17.3624
SLIT2	343.0167	SLIT2	678.2898
SLIT3	679.3076	SLIT3	4895.3194
SLITRK2	9.783	SLITRK2	7.8131
SLITRK4	93.2443	SLITRK4	76.105
removed	removed	SLITRK5	42.2484
SLITRK6	6.1144	SLITRK6	221.3702
SLK	2045.5659	SLK	2958.5473
SLMAP	2447.2807	SLMAP	1660.9998
SLMO1	25.3747	SLMO1	28.0692
SLMO2	4156.2499	SLMO2	1099.6166
SLN	17.1203	removed	removed
SLPI	276.6757	SLPI	457.209
SLTM	1768.8902	SLTM	2464.0093
SLU7	981.0523	SLU7	1497.2148
SMAD1	1155.3121	SMAD1	1051.8701
SMAD2	2016.5226	SMAD2	2326.5572
SMAD3	911.0426	SMAD3	1843.594
SMAD4	1791.5898	SMAD4	2271.7182
removed	removed	SMAD5OS	8.9706
SMAD5	1807.7165	SMAD5	2556.3192
SMAD6	155.611	SMAD6	168.9937
SMAD7	965.7663	SMAD7	950.3002
SMAD9	28.1261	SMAD9	113.7235
SMAGP	334.4566	SMAGP	194.1691
SMAP1	819.3055	SMAP1	753.3907
SMAP2	1523.7035	SMAP2	1034.7971
SMARCA1	1130.2432	SMARCA1	1594.444
SMARCA2	2420.6831	SMARCA2	6406.1347
SMARCA4	1756.05	SMARCA4	1619.9088
SMARCA5	3714.4646	SMARCA5	2344.4983
SMARCAD1	1471.7313	SMARCAD1	978.6588
SMARCAL1	660.3531	SMARCAL1	617.8109
SMARCB1	732.8085	SMARCB1	899.9494
SMARCC1	4555.8247	SMARCC1	2477.8992
SMARCC2	1872.8346	SMARCC2	4068.8707
SMARCD1	1498.0231	SMARCD1	1232.1493
SMARCD2	2405.3972	SMARCD2	2160.1678
SMARCD3	91.41	SMARCD3	487.5931
SMARCE1	2494.6671	SMARCE1	2832.6702
SMC1A	3148.6001	SMC1A	2516.6751
SMC1B	94.7729	SMC1B	5.7875
SMC2	1435.045	SMC2	563.1194
SMC3	1290.4399	SMC3	1719.7425
SMC4	3004.9121	SMC4	699.9928
SMC5	1567.4214	SMC5	1259.9291
SMC6	1303.8916	SMC6	592.9248
SMCHD1	1954.1559	SMCHD1	1704.4057
SMCR7L	895.1453	SMCR7L	1371.627
SMCR7	133.2935	SMCR7	324.9656
SMCR8	737.2139	SMCR8	1360.7437
SMEK1	2210.9599	SMEK1	1713.6656
SMEK2	3738.332	SMEK2	2312.3779
SMG1	3227.4756	SMG1	4154.8144
SMG5	752.3745	SMG5	1645.9524
SMG6	678.0848	SMG6	1605.1508
SMG7	2806.8062	SMG7	1957.3175
SMN1	7.2364	removed	removed
SMN2	726.1835	SMN2	724.3637
SMNDC1	974.3265	SMNDC1	670.1874
SMOC1	107.0017	SMOC1	362.5841
SMOC2	2250.7033	SMOC2	2121.1025
SMOX	150.108	SMOX	125.009
SMO	192.2973	SMO	447.081
SMPD1	792.7294	SMPD1	613.4703
SMPD2	92.0214	SMPD2	113.1448
SMPD3	79.4869	SMPD3	75.2369
SMPD4	1926.9469	SMPD4	1368.1545
SMPDL3A	348.8254	SMPDL3A	246.2562
SMPDL3B	47.3864	SMPDL3B	74.9476
SMS	2454.6179	SMS	805.6138
removed	removed	SMTNL1	5.7875
removed	removed	SMTNL2	18.8092
SMTN	426.1723	SMTN	1638.4287
SMU1	1646.9083	SMU1	1601.0996
SMUG1	416.3893	SMUG1	338.8555
SMURF1	732.7015	SMURF1	1190.7603
SMURF2	831.5557	SMURF2	586.848
removed	removed	SMYD1	146.1333
SMYD2	1081.9396	SMYD2	619.8365
SMYD3	921.1314	SMYD3	164.6531
SMYD4	223.7863	SMYD4	534.7609
SMYD5	446.6555	SMYD5	531.5778
SNAI1	271.4785	SNAI1	176.228
SNAI2	812.2954	SNAI2	651.9569
removed	removed	SNAI3	8.9706
SNAP23	2071.552	SNAP23	1453.8089
SNAP25	5.5029	SNAP25	18.5199
SNAP29	863.9619	SNAP29	880.8508
SNAP47	571.6089	SNAP47	628.998
SNAPC1	361.0541	SNAPC1	263.6186
SNAPC2	218.2834	SNAPC2	235.8388
SNAPC3	482.7303	SNAPC3	523.4754
SNAPC4	100.5816	SNAPC4	279.8235
SNAPC5	42.1434	SNAPC5	95.5856
SNAPIN	1021.7129	SNAPIN	583.3755
SNCAIP	68.1753	SNCAIP	214.7146
SNCA	44.0235	SNCA	99.8336
SNCG	35.4634	SNCG	864.9353
SND1	2077.3607	SND1	3276.568
SNED1	691.2307	SNED1	1512.2622
SNF8	2150.1218	SNF8	673.0811
SNHG10	44.635	SNHG10	38.1972
SNHG11	157.7204	SNHG11	121.4179
SNHG12	44.0235	SNHG12	125.6717
SNHG1	415.4721	SNHG1	383.1296
SNHG3-RCC1	48.6949	SNHG3-RCC1	134.3008
SNHG3	22.9289	SNHG3	14.4686
SNHG5	872.5221	SNHG5	1689.6477
SNHG6	660.3531	SNHG6	599.291
SNHG7	210.3714	SNHG7	582.4032
SNHG8	221.3406	SNHG8	463.5752
SNHG9	73.6783	SNHG9	27.7798
SNIP1	365.3342	SNIP1	388.6276
SNN	539.2883	SNN	2442.885
SNORA39	6.145	removed	removed
removed	removed	SNORA53	5.2087
removed	removed	SNORA7B	10.4956
SNORA8	160.2273	SNORA8	197.1931
removed	removed	SNORD116-20	18.5199
removed	removed	SNORD116-28	54.2314
removed	removed	SNORD116-4	125.3245
SNORD17	5.8087	SNORD17	8.9706
SNORD1C	5.7873	SNORD1C	6.9652
SNPH	43.1064	SNPH	145.2651
SNRK	1389.4929	SNRK	2350.8645
SNRNP200	6434.468	SNRNP200	6916.2989
SNRNP25	467.7501	SNRNP25	346.958
SNRNP27	584.5347	SNRNP27	673.0811
SNRNP35	172.8872	SNRNP35	320.2894
SNRNP40	734.3371	SNRNP40	517.9773
SNRNP48	778.0549	SNRNP48	470.2308
SNRNP70	767.9662	SNRNP70	2029.082
SNRPA1	366.8628	SNRPA1	202.8503
SNRPA	1031.8017	SNRPA	890.6894
SNRPB2	3498.3426	SNRPB2	729.5088
SNRPB	2107.0154	SNRPB	1094.1185
SNRPC	1471.1199	SNRPC	618.1003
SNRPD1	567.1088	SNRPD1	388.6276
SNRPD2	1324.069	SNRPD2	1528.7564
SNRPD3	1458.7138	SNRPD3	946.7236
SNRPE	1663.7228	SNRPE	395.5726
SNRPF	523.0852	SNRPF	338.2768
SNRPG	844.0902	SNRPG	314.2588
SNRPN	301.1332	SNRPN	1410.2756
SNTA1	302.6618	SNTA1	873.3271
SNTB1	300.2161	SNTB1	327.57
SNTB2	1434.1279	SNTB2	2635.0286
removed	removed	SNTG2	70.3176
SNUPN	225.9263	SNUPN	452.8684
removed	removed	SNURF	79.7888
SNW1	1177.3239	SNW1	1396.5131
SNX10	830.9443	SNX10	362.8735
SNX11	5022.0462	SNX11	594.3717
SNX12	150.108	SNX12	216.1615
SNX13	1372.0669	SNX13	1508.5003
SNX14	1883.5348	SNX14	965.637
SNX15	421.5865	SNX15	760.7611
SNX16	317.6421	SNX16	361.1372
SNX17	1820.5567	SNX17	2328.5828
SNX18	903.094	SNX18	1411.8498
SNX19	2352.5078	SNX19	2534.3268
SNX1	2113.4355	SNX1	5085.1479
SNX20	12.2288	SNX20	20.1664
SNX21	232.1691	SNX21	979.9175
SNX22	33.733	SNX22	75.2427
SNX24	268.727	SNX24	92.0205
SNX25	811.0725	SNX25	320.625
SNX27	1707.7647	SNX27	1209.6216
SNX29	938.8631	SNX29	1247.1967
SNX2	1922.0554	SNX2	2050.4956
SNX30	1197.1956	SNX30	746.5818
SNX31	22.0118	removed	removed
SNX33	679.9191	SNX33	1555.6681
SNX3	3666.4881	SNX3	3729.1471
SNX4	1557.6384	SNX4	825.5806
SNX5	3399.5954	SNX5	2472.4011
SNX6	3454.9305	SNX6	1508.5003
SNX7	463.7757	SNX7	368.9503
SNX8	149.1909	SNX8	463.8646
SNX9	1976.4734	SNX9	2664.834
SOAT1	1115.8744	SOAT1	587.1374
SOBP	110.3646	SOBP	307.8926
SOCS1	22.9289	SOCS1	61.6364
SOCS2	359.2198	SOCS2	940.1722
SOCS3	2996.352	SOCS3	20576.1412
SOCS4	1029.9673	SOCS4	635.1733
SOCS5	1183.1326	SOCS5	1303.335
SOCS6	945.2832	SOCS6	864.3565
SOCS7	29.0433	SOCS7	159.7338
SOD1	3867.0397	SOD1	3080.0839
SOD2	3975.57	SOD2	6373.725
SOD3	391.6261	SOD3	1610.9383
SOHLH2	6.4201	SOHLH2	7.5237
SOLH	179.7628	SOLH	371.2653
SON	7656.4269	SON	9208.7101
SORBS1	3178.8663	SORBS1	18575.1284
SORBS2	889.0309	SORBS2	1980.178
SORBS3	782.3349	SORBS3	2810.3885
removed	removed	SORCS1	36.461
SORCS2	100.8873	SORCS2	122.4047
SORD	2439.332	SORD	237.5751
SORL1	2108.544	SORL1	1701.512
SORT1	2963.3344	SORT1	5566.3749
SOS1	2075.8321	SOS1	3788.4685
SOS2	2124.1357	SOS2	1766.9102
removed	removed	SOSTDC1	448.5278
SOX10	5.1972	SOX10	1293.7857
SOX11	42.4949	SOX11	72.3432
SOX12	1054.7306	SOX12	265.0655
SOX13	911.9598	SOX13	1355.1327
removed	removed	SOX15	37.9078
SOX17	103.9445	SOX17	350.7198
SOX18	127.7905	SOX18	351.0092
SOX2	222.8692	removed	removed
SOX3	6.7258	removed	removed
SOX4	8902.2318	SOX4	2064.9642
SOX5	24.4575	SOX5	219.0552
SOX6	156.5281	SOX6	290.8196
SOX7	253.1781	SOX7	842.6535
removed	removed	SOX8	39.3547
SOX9	1874.669	SOX9	2577.4434
SP100	1552.1354	SP100	1953.845
SP110	711.7139	SP110	510.743
SP140L	295.3246	SP140L	355.6392
SP140	17.7317	SP140	26.9117
SP1	3950.1953	SP1	4936.4103
SP2	3287.7022	SP2	884.0339
SP3	3736.192	SP3	2509.4408
SP4	215.2262	SP4	412.935
SP5	7.3373	SP5	27.4904
SP6	555.1857	SP6	101.2805
SP7	26.2918	removed	removed
SPA17	111.2817	SPA17	52.3765
SPAG16	645.6785	SPAG16	373.5803
removed	removed	SPAG17	30.9629
SPAG1	744.4258	SPAG1	117.7747
SPAG4	33.3234	SPAG4	25.1754
SPAG5	2907.5682	SPAG5	107.936
removed	removed	SPAG6	11.8643
SPAG7	177.9285	SPAG7	772.0466
SPAG8	5.1972	SPAG8	23.1498
SPAG9	8005.8637	SPAG9	3333.5745
SPARCL1	4292.2949	SPARCL1	20380.2358
SPARC	103572.4031	SPARC	48085.9437
SPAST	980.1351	SPAST	560.5151
SPATA13	200.5517	SPATA13	586.4863
SPATA17	147.3566	SPATA17	7.5237
SPATA18	195.3544	SPATA18	376.7634
SPATA20	2421.906	SPATA20	1139.6976
SPATA22	5.1819	SPATA22	31.7471
removed	removed	SPATA24	26.0436
SPATA2L	38.2149	SPATA2L	163.2063
SPATA2	622.7496	SPATA2	443.3191
SPATA5L1	158.9739	SPATA5L1	141.2139
SPATA5	297.4646	SPATA5	282.1385
SPATA6	84.9899	SPATA6	211.8209
SPATA7	201.4688	SPATA7	288.794
SPATA9	10.7002	SPATA9	30.9629
SPATS2L	1184.0497	SPATS2L	1503.581
SPATS2	861.2104	SPATS2	418.1437
SPC25	342.711	SPC25	6.0768
SPCS1	3635.2772	SPCS1	1177.1685
SPCS2	686.3392	SPCS2	472.2564
SPCS3	3554.5949	SPCS3	2206.1781
SPDEF	1995.7337	SPDEF	490.1975
SPDYA	27.796	SPDYA	13.0276
removed	removed	SPDYE1	8.6812
SPDYE3	108.0625	SPDYE3	87.0347
SPDYE5	5.1972	removed	removed
SPDYE6	10.7002	SPDYE6	23.7286
removed	removed	SPDYE7P	5.4981
SPDYE8P	17.426	SPDYE8P	14.758
SPEF1	9.1716	removed	removed
SPEF2	31.7948	SPEF2	216.4508
SPEG	20.4832	SPEG	465.6008
SPEN	915.3227	SPEN	3506.9088
SPESP1	14.9802	SPESP1	31.4924
SPG11	1911.0495	SPG11	2087.5353
SPG20	991.7525	SPG20	2453.3025
SPG21	2396.2256	SPG21	1733.0536
SPG7	384.9002	SPG7	1040.2952
SPHAR	165.9749	SPHAR	124.8441
SPHK1	198.482	SPHK1	199.8871
SPHK2	86.5246	SPHK2	302.7621
removed	removed	SPHKAP	38.776
SPI1	151.0252	SPI1	167.8362
removed	removed	SPIB	20.5455
SPIN1	5353.1398	SPIN1	2961.7304
SPIN2B	118.4722	SPIN2B	81.1546
SPIN3	508.105	SPIN3	342.0386
SPIN4	401.4091	SPIN4	164.9425
removed	removed	SPINK1	16.4942
removed	removed	SPINK5	19.0986
SPINK8	14.0631	SPINK8	13.0218
removed	removed	SPINLW1	6.6556
SPINT1	2037.9229	SPINT1	1288.2876
SPINT2	3995.136	SPINT2	2651.8122
SPIRE1	1519.4235	SPIRE1	731.5344
SPIRE2	56.8637	SPIRE2	54.1127
SPNS1	712.6555	SPNS1	559.4994
SPNS2	219.6561	SPNS2	584.044
SPN	83.1556	SPN	155.1038
SPOCD1	124.4276	SPOCD1	10.9962
SPOCK1	6111.323	SPOCK1	1103.9572
SPOCK2	52.8466	SPOCK2	297.7646
SPON1	2398.3656	SPON1	2318.7441
SPON2	323.7564	SPON2	878.8251
SPOPL	2584.5485	SPOPL	1220.285
SPOP	5790.6238	SPOP	1329.9573
SPP1	9978.3627	SPP1	5409.5348
SPPL2A	1324.6805	SPPL2A	668.1618
SPPL2B	348.5197	SPPL2B	634.69
SPPL3	1418.5362	SPPL3	1364.9714
SPRED1	1209.1187	SPRED1	1282.7896
SPRED2	1398.3587	SPRED2	1173.9854
SPRN	15.286	SPRN	50.9296
SPRR3	752.0688	removed	removed
SPRY1	2990.5433	SPRY1	3519.0624
SPRY2	383.3716	SPRY2	1426.6078
SPRY3	99.3587	SPRY3	102.7273
SPRY4	810.1554	SPRY4	743.3987
SPRYD3	926.6343	SPRYD3	1334.0085
SPRYD4	490.0676	SPRYD4	295.739
SPR	334.7623	SPR	534.1822
SPSB1	549.0713	SPSB1	1032.4821
SPSB2	63.8953	SPSB2	86.2331
SPSB3	258.3326	SPSB3	682.341
SPSB4	11.3116	removed	removed
SPTAN1	3292.5937	SPTAN1	8746.003
SPTBN1	6121.7174	SPTBN1	30862.4756
SPTBN2	1002.4526	SPTBN2	381.104
SPTBN4	6.4201	SPTBN4	113.4341
SPTBN5	25.6284	SPTBN5	104.3276
SPTB	29.349	SPTB	555.5957
SPTLC1	3013.1666	SPTLC1	1808.8693
SPTLC2	5051.7009	SPTLC2	2057.7299
SPTLC3	80.0984	SPTLC3	377.6315
SPTY2D1	1873.9291	SPTY2D1	1136.6968
SQLE	5717.2512	SQLE	207.1909
SQRDL	1433.8222	SQRDL	951.1683
SQSTM1	7998.3827	SQSTM1	7398.6081
SR140	2768.2856	SR140	2472.1117
SRA1	275.7585	SRA1	379.6571
SRBD1	814.7412	SRBD1	462.7071
SRCAP	3105.7994	SRCAP	3787.8897
SRCIN1	73.6783	SRCIN1	149.027
SRCRB4D	32.5163	SRCRB4D	49.0111
SRC	689.3964	SRC	643.2757
SRD5A1	225.6206	SRD5A1	143.2395
SRD5A3	4000.1926	SRD5A3	456.6158
SREBF1	1859.383	SREBF1	4367.7928
SREBF2	2571.0969	SREBF2	2286.3344
SRFBP1	262.9183	SRFBP1	270.5636
SRF	988.6953	SRF	2554.2936
SRGAP1	520.9452	SRGAP1	625.624
SRGAP2	1354.9466	SRGAP2	801.2732
SRGAP3	226.2321	SRGAP3	317.7313
SRGN	1637.431	SRGN	1880.055
SRI	2599.223	SRI	1454.3876
SRL	22.3175	SRL	63.662
SRMS	25.3747	removed	removed
SRM	274.23	SRM	599.291
SRP14	3330.5029	SRP14	3282.9342
SRP19	621.0437	SRP19	506.0378
SRP54	2583.9371	SRP54	885.7701
SRP68	2777.1515	SRP68	2066.4111
SRP72	3929.7121	SRP72	2415.684
SRP9	11847.5288	SRP9	2821.9634
SRPK1	2366.8766	SRPK1	719.0914
SRPK2	1427.7078	SRPK2	1157.2018
SRPK3	8.4073	SRPK3	14.9432
SRPRB	1319.789	SRPRB	671.0555
SRPR	3117.4167	SRPR	3278.3043
SRPX2	919.2971	SRPX2	272.8785
SRPX	810.7668	SRPX	3125.5154
SRRD	354.0226	SRRD	245.0987
SRRM1	1755.1328	SRRM1	2521.8838
SRRM2	9118.6778	SRRM2	19734.6452
SRRM3	33.0177	SRRM3	78.1307
SRRM5	13.5372	SRRM5	17.1164
SRRT	705.5995	SRRT	1207.2633
SRR	473.1124	SRR	343.8298
SRXN1	1562.8356	SRXN1	571.2219
SS18L1	801.5952	SS18L1	491.9337
SS18L2	355.5512	SS18L2	202.8503
SS18	2263.5435	SS18	1821.8911
SSBP1	1166.6237	SSBP1	739.6368
SSBP2	383.3716	SSBP2	700.8609
SSBP3	499.2391	SSBP3	809.3757
SSBP4	205.7489	SSBP4	301.5264
SSB	3049.969	SSB	2159.2939
SSC5D	1176.7125	SSC5D	579.6137
SSFA2	2339.9733	SSFA2	3794.8347
SSH1	1056.2592	SSH1	1337.7704
SSH2	440.8468	SSH2	910.0774
SSH3	710.491	SSH3	859.7265
SSNA1	281.5672	SSNA1	430.8761
SSPN	1319.1775	SSPN	2329.1615
removed	removed	SSPO	71.1857
SSR1	6386.1644	SSR1	3371.1929
SSR2	4697.984	SSR2	3291.3261
SSR3	6056.5993	SSR3	3312.1609
SSR4	1717.8351	SSR4	1523.8371
SSRP1	2459.2037	SSRP1	2816.4653
SSSCA1	173.9541	SSSCA1	189.2498
SSTR1	50.1379	SSTR1	73.7901
SSTR2	258.0268	SSTR2	44.274
SSU72	1078.5767	SSU72	2123.7069
SSX2IP	1902.1837	SSX2IP	185.7773
ST13	6854.8316	ST13	7394.6321
ST14	937.3345	ST14	1097.0122
ST18	8.5601	removed	removed
ST20	48.0927	ST20	39.0364
ST3GAL1	1990.2307	ST3GAL1	1815.8142
ST3GAL2	225.0092	ST3GAL2	624.4665
ST3GAL3	59.0038	ST3GAL3	362.0054
ST3GAL4	334.4566	ST3GAL4	338.5662
ST3GAL5	236.0151	ST3GAL5	543.7315
ST3GAL6	180.0685	ST3GAL6	422.1949
ST5	795.4809	ST5	1994.6466
ST6GAL1	1284.937	ST6GAL1	1785.4301
ST6GAL2	997.5611	ST6GAL2	78.9988
ST6GALNAC1	491.5962	ST6GALNAC1	63.0833
ST6GALNAC2	1504.1375	ST6GALNAC2	537.3653
ST6GALNAC3	119.8419	ST6GALNAC3	340.013
ST6GALNAC4	277.8986	ST6GALNAC4	244.2306
ST6GALNAC5	40.9663	ST6GALNAC5	163.4956
ST6GALNAC6	452.1584	ST6GALNAC6	3014.1069
ST7L	327.1193	ST7L	353.0348
ST7OT1	17.7653	ST7OT1	83.7011
ST7	668.5708	ST7	554.6292
ST8SIA1	43.7178	ST8SIA1	196.4841
removed	removed	ST8SIA2	77.8413
ST8SIA4	460.4128	ST8SIA4	392.3895
ST8SIA6	15.286	ST8SIA6	72.9219
STAB1	575.3632	STAB1	1758.5184
STAB2	11.0059	STAB2	188.3817
removed	removed	STAC2	2727.6279
STAC3	9.1716	STAC3	21.0085
STAC	29.0433	STAC	142.9502
STAG1	913.2469	STAG1	1324.6502
STAG2	3553.372	STAG2	3843.4493
removed	removed	STAG3L1	155.6826
STAG3L2	7.9487	STAG3L2	79.8669
STAG3L3	47.1969	STAG3L3	173.7626
STAG3L4	62.3667	STAG3L4	146.1333
STAG3	9.2755	STAG3	14.6596
STAM2	2435.6633	STAM2	1104.2465
STAMBPL1	78.8755	STAMBPL1	195.3266
STAMBP	830.3328	STAMBP	638.3564
STAM	1025.3816	STAM	597.5548
removed	removed	STAP1	5.2087
STAP2	265.6698	STAP2	196.4841
STARD10	2684.2129	STARD10	562.2513
STARD13	959.0405	STARD13	1349.0559
STARD3NL	655.1558	STARD3NL	572.9581
STARD3	4957.2337	STARD3	653.6931
STARD4	62.9781	STARD4	47.4571
STARD5	109.4474	STARD5	96.3611
STARD7	5820.7493	STARD7	2809.0169
STARD8	165.394	STARD8	538.8121
removed	removed	STAR	11.8643
STAT1	6641.134	STAT1	3414.5989
STAT2	1874.3632	STAT2	2546.1911
STAT3	6007.99	STAT3	6009.1152
STAT4	27.8204	STAT4	117.7747
STAT5A	482.7303	STAT5A	5249.8011
STAT5B	1049.2276	STAT5B	4758.7354
STAT6	1708.9693	STAT6	3803.8053
STAU1	4961.5138	STAU1	2736.0197
STAU2	1637.1253	STAU2	936.6997
STBD1	701.46	STBD1	4459.3214
STC1	385.8174	STC1	1042.0314
STC2	250.6896	STC2	4300.369
STEAP1	675.639	STEAP1	549.5189
STEAP2	671.0532	STEAP2	1171.6704
STEAP3	431.6752	STEAP3	898.2131
STEAP4	1214.0102	STEAP4	2718.0786
STIL	413.3321	STIL	62.7939
STIM1	1542.3524	STIM1	2096.7952
STIM2	850.5103	STIM2	792.3027
STIP1	3031.5097	STIP1	1462.2007
STK10	369.6143	STK10	782.7534
STK11IP	181.9028	STK11IP	289.9515
STK11	248.2438	STK11	769.7316
STK16	591.872	STK16	520.2923
STK17A	994.8097	STK17A	581.0606
STK17B	2268.1293	STK17B	1230.1237
STK19	724.2147	STK19	250.1367
STK24	2398.3656	STK24	3016.4219
STK25	596.4578	STK25	1550.17
removed	removed	STK32A	16.2049
STK32B	58.0866	STK32B	175.6493
STK32C	11.923	STK32C	69.4495
STK35	1078.2709	STK35	1121.3195
STK36	890.2538	STK36	521.7391
STK38L	2889.9618	STK38L	1059.1044
STK38	3344.8717	STK38	1219.4169
STK39	1919.3039	STK39	955.7983
STK3	901.5654	STK3	590.3205
STK40	664.0217	STK40	1803.3712
STK4	1544.1867	STK4	1008.1748
removed	removed	STL	11.0367
STMN1	3142.4857	STMN1	888.3744
STMN2	202.9974	STMN2	14.4686
STMN3	393.4604	STMN3	501.7724
STOML1	58.698	STOML1	227.447
STOML2	833.39	STOML2	1254.431
STOM	15043.2096	STOM	10615.93
STON1	768.5776	STON1	1444.0368
STON2	390.4032	STON2	275.7723
STOX1	298.6875	STOX1	890.1107
STOX2	7.0315	STOX2	98.0974
STRA13	231.4293	STRA13	209.7953
STRA6	69.0925	STRA6	21.1242
STRADA	688.7849	STRADA	513.3473
STRADB	470.5016	STRADB	714.172
STRAP	3503.2341	STRAP	2061.4917
STRBP	1712.3322	STRBP	438.3998
STRC	14.3688	STRC	19.388
STRN3	1130.2432	STRN3	874.4846
STRN4	821.1613	STRN4	1470.8819
STRN	435.6496	STRN	653.1144
STS	4578.4479	STS	1305.9394
STT3A	3758.5095	STT3A	2550.8211
STT3B	3044.0442	STT3B	1761.7015
STUB1	480.8196	STUB1	1114.5337
STX10	35.4634	STX10	215.004
STX11	196.883	STX11	1127.3964
STX12	1878.6433	STX12	2513.492
STX16	2200.2597	STX16	1885.8424
STX17	1047.0876	STX17	1159.2274
STX18	401.4091	STX18	441.5829
STX19	13.7574	STX19	23.1498
STX1A	56.8484	STX1A	39.8843
STX1B	25.069	STX1B	70.0282
STX2	358.9141	STX2	365.7672
STX3	1322.2347	STX3	548.9402
STX4	230.8179	STX4	539.1015
STX5	886.5851	STX5	875.3527
STX6	1467.8762	STX6	886.9855
STX7	2129.0272	STX7	2108.0807
STX8	236.3208	STX8	313.9695
STXBP1	819.9384	STXBP1	2053.3893
STXBP2	682.9763	STXBP2	463.5752
STXBP3	1352.8066	STXBP3	867.5396
STXBP4	593.0949	STXBP4	128.1921
STXBP5	419.743	STXBP5	657.3624
STXBP6	12.2288	STXBP6	68.292
STYK1	135.4335	STYK1	40.2228
STYXL1	688.7849	STYXL1	296.0284
STYX	1186.4955	STYX	681.4729
SUB1	4166.6444	SUB1	3291.6154
SUCLA2	1625.8718	SUCLA2	1843.3625
SUCLG1	1251.6136	SUCLG1	2852.9263
SUCLG2	1825.7539	SUCLG2	1838.3853
SUCNR1	14.3688	SUCNR1	19.9667
SUDS3	2125.97	SUDS3	1075.888
SUFU	401.1033	SUFU	733.8494
SUGT1L1	19.2297	SUGT1L1	54.3037
removed	removed	SUGT1P1	8.3918
SUGT1	829.4157	SUGT1	490.4869
SULF1	14345.8645	SULF1	1427.7653
SULF2	3612.0701	SULF2	2415.9734
SULT1A1	125.9562	SULT1A1	295.1602
removed	removed	SULT1A2	22.8604
SULT1A3	360.5375	SULT1A3	726.6527
SULT1C4	18.6489	SULT1C4	99.2549
removed	removed	SULT1E1	6.9449
SULT2B1	190.7687	SULT2B1	97.808
removed	removed	SULT4A1	5.4981
SUMF1	1553.664	SUMF1	904.5793
SUMF2	1996.3451	SUMF2	2219.1999
SUMO1P3	238.4608	SUMO1P3	125.2984
SUMO1	3633.1647	SUMO1	1438.7615
SUMO2	4650.2918	SUMO2	2321.6378
SUMO3	2305.7328	SUMO3	1542.9357
SUN1	1834.3141	SUN1	3674.4556
