gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
AFG3L2	1159.3599	AFG3L2	1672.2263
AFMID	707.4104	AFMID	686.5369
AFP	9.2775	AFP	53.9335
AFTPH	2126.4061	AFTPH	2112.7332
AG2	160.0371	AG2	20.2758
AGAP11	8.8136	AGAP11	184.1727
AGAP1	384.5529	AGAP1	523.5199
AGAP2	83.1126	AGAP2	95.5434
AGAP3	1709.8458	AGAP3	1693.0251
AGAP4	116.8967	AGAP4	373.0738
AGAP5	33.5939	AGAP5	129.5783
AGAP6	57.5206	AGAP6	167.0722
AGAP7	6.0304	AGAP7	10.5434
AGAP8	29.688	AGAP8	100.1622
AGA	1077.5832	AGA	612.7332
AGBL2	27.3687	AGBL2	24.7364
AGBL3	7.422	AGBL3	12.1655
removed	removed	AGBL4	9.7324
AGBL5	636.4699	AGBL5	974.8783
AGER	20.4105	AGER	40.146
AGFG1	1164.7918	AGFG1	1678.0211
AGFG2	278.3254	AGFG2	422.9521
AGGF1	863.2726	AGGF1	923.3577
AGK	596.5441	AGK	594.8905
AGL	752.8702	AGL	1892.944
AGMAT	26.9048	AGMAT	24.3309
AGPAT1	2452.0469	AGPAT1	1558.1711
AGPAT2	3171.9819	AGPAT2	182.4818
AGPAT3	2181.1435	AGPAT3	1244.9311
AGPAT4	154.4706	AGPAT4	316.7072
AGPAT5	552.9398	AGPAT5	755.0689
AGPAT6	1973.3271	AGPAT6	2514.5985
AGPAT9	30.1519	AGPAT9	98.1346
AGPHD1	53.8096	AGPHD1	72.9927
AGPS	718.5434	AGPS	903.8929
AGR2	1550.7364	AGR2	2131.7924
AGR3	1282.6163	AGR3	181.6707
AGRN	7131.6247	AGRN	4615.1663
AGTPBP1	168.3869	AGTPBP1	410.7867
AGTR1	1769.6857	AGTR1	144.7689
AGTRAP	1999.7681	AGTRAP	357.2587
AGT	127.5658	AGT	6.4882
AGXT2L2	375.6187	AGXT2L2	449.0268
AHCTF1	1156.9059	AHCTF1	1979.3187
AHCYL1	4403.5718	AHCYL1	3549.8783
AHCYL2	552.0121	AHCYL2	639.4972
AHCY	3201.67	AHCY	4212.8954
AHDC1	818.2767	AHDC1	2141.9303
AHI1	108.5469	AHI1	619.6269
AHNAK2	1486.7216	AHNAK2	341.8491
AHNAK	21418.5318	AHNAK	62224.6553
AHRR	43.6043	AHRR	58.7997
AHR	877.6528	AHR	3151.2571
AHSA1	2091.6154	AHSA1	1494.3228
AHSA2	228.2268	AHSA2	748.5807
AIDA	1211.1794	AIDA	633.4509
AIF1L	1052.5339	AIF1L	3298.0535
AIF1	584.4834	AIF1	184.9148
AIFM1	1246.434	AIFM1	526.764
AIFM2	764.0032	AIFM2	360.9084
