gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
ADH5	2301.6186	ADH5	3015.9519
ADHFE1	440.9966	ADHFE1	150.5367
ADI1	1268.5362	ADI1	1252.0636
ADIPOQ	71.3264	ADIPOQ	81.8919
ADIPOR1	2479.1677	ADIPOR1	2633.388
ADIPOR2	2503.3266	ADIPOR2	1973.4353
ADK	393.8291	ADK	372.9295
ADM2	80.1463	ADM2	104.7735
ADM	78.6124	ADM	83.0962
ADNP2	507.3378	ADNP2	835.3781
ADNP	2442.7376	ADNP	3275.2764
ADORA1	224.7165	ADORA1	285.8189
ADORA2A	77.0785	ADORA2A	55.3975
ADORA2B	46.4005	ADORA2B	148.9309
ADORA3	97.4027	ADORA3	83.4977
ADO	617.3952	ADO	905.2271
ADPGK	707.5119	ADPGK	849.5848
ADPRHL1	259.6128	ADPRHL1	91.9277
ADPRHL2	1354.8182	ADPRHL2	657.1427
ADPRH	578.6642	ADPRH	426.3198
removed	removed	ADRA1A	5.2186
removed	removed	ADRA1B	6.0215
ADRA2A	891.1966	ADRA2A	473.6887
ADRA2B	13.4216	ADRA2B	427.1227
ADRA2C	7.6695	ADRA2C	42.5517
ADRB1	16.8729	ADRB1	13.6487
ADRB2	13.4216	ADRB2	133.6766
ADRBK1	1024.2625	ADRBK1	1335.9627
ADRBK2	595.9206	ADRBK2	965.8432
ADRM1	1870.9759	ADRM1	964.6389
ADSL	756.9802	ADSL	885.1556
ADSSL1	525.3611	ADSSL1	131.268
ADSS	1958.0248	ADSS	1573.2085
AEBP1	13183.4968	AEBP1	2777.1004
AEBP2	585.1833	AEBP2	790.0164
AEN	222.0322	AEN	474.4916
AES	4748.5744	AES	5782.2136
AFAP1L1	144.1867	AFAP1L1	195.0955
AFAP1L2	403.0325	AFAP1L2	1459.2021
AFAP1	856.2926	AFAP1	1212.3099
AFF1	1082.5507	AFF1	2189.4052
AFF2	10.3538	AFF2	23.283
AFF3	946.8005	AFF3	2934.8628
AFF4	1188.0064	AFF4	3568.3211
AFG3L1	199.4071	AFG3L1	293.8476
AFG3L2	1459.0774	AFG3L2	1247.2304
AFMID	769.2514	AFMID	642.2898
removed	removed	AFP	591.7094
AFTPH	1337.9453	AFTPH	2111.1262
AG2	100.4705	AG2	131.268
AGAP11	182.4767	AGAP11	151.0465
AGAP1	447.5157	AGAP1	505.4018
AGAP2	46.7495	AGAP2	43.2863
AGAP3	1181.8708	AGAP3	1122.8028
AGAP4	222.0322	AGAP4	205.1313
AGAP5	46.2164	AGAP5	62.4506
AGAP6	105.0722	AGAP6	131.268
removed	removed	AGAP7	6.4229
AGAP8	19.9407	AGAP8	22.0787
AGA	787.2748	AGA	669.9885
AGBL2	34.1293	AGBL2	27.2973
removed	removed	AGBL3	6.4229
AGBL4	13.4216	AGBL4	16.4587
AGBL5	503.898	AGBL5	1003.9912
AGER	37.9641	AGER	32.1145
AGFG1	1229.0383	AGFG1	1738.5981
AGFG2	464.0051	AGFG2	484.1259
AGGF1	709.4293	AGGF1	886.3599
AGK	1194.142	AGK	574.4479
AGL	472.4415	AGL	1288.1924
AGMAT	39.8814	AGMAT	18.8673
AGPAT1	2532.1218	AGPAT1	1942.1518
AGPAT2	226.2504	AGPAT2	353.2594
AGPAT3	1635.9056	AGPAT3	1816.0743
AGPAT4	95.1019	AGPAT4	250.0916
AGPAT5	192.5046	AGPAT5	822.9338
AGPAT6	1521.2464	AGPAT6	1677.982
AGPAT9	20.3242	AGPAT9	96.3435
AGPHD1	49.4683	AGPHD1	58.6089
AGPS	272.6509	AGPS	904.0228
AGR2	6017.4941	AGR2	7316.8847
AGR3	1021.9616	AGR3	1767.5011
AGRN	5975.6953	AGRN	4526.1357
AGTPBP1	113.8922	AGTPBP1	314.3206
AGTR1	26.0763	AGTR1	157.361
AGTRAP	830.224	AGTRAP	1069.011
AGT	33.3623	AGT	29.7059
AGXT2L2	162.9962	AGXT2L2	294.0403
AHCTF1	1300.3647	AHCTF1	1215.1319
AHCYL1	6620.7008	AHCYL1	4440.6308
AHCYL2	496.217	AHCYL2	616.5982
AHCY	4789.9898	AHCY	3392.0928
AHDC1	362.0007	AHDC1	1142.4729
AHI1	77.8455	AHI1	417.8898
AHNAK2	342.8269	AHNAK2	718.5617
AHNAK	19284.5885	AHNAK	64203.2847
AHRR	15.339	AHRR	13.2472
AHR	1729.857	AHR	2477.6328
AHSA1	4261.1773	AHSA1	1662.7276
AHSA2	245.0407	AHSA2	432.3413
AIDA	1700.3639	AIDA	805.2708
AIF1L	123.479	AIF1L	1571.2013
AIF1	296.4264	AIF1	261.3316
AIFM1	2018.2304	AIFM1	733.0132
AIFM2	279.5535	AIFM2	252.0987
AIFM3	11.1208	AIFM3	11.509
AIG1	732.0543	AIG1	1180.2074
AIM1L	8.4365	removed	removed
AIM1	1044.5867	AIM1	4921.9467
AIM2	16.106	AIM2	5.62
AIMP1	1091.3668	AIMP1	1214.8871
AIMP2	726.2792	AIMP2	285.3131
AIP	1020.4277	AIP	736.2246
removed	removed	AJAP1	18.4658
AK1	485.8632	AK1	448.3985
AK2	2066.1648	AK2	2124.3734
AK3L1	139.9685	AK3L1	375.7395
AK3	1279.657	AK3	1591.6743
AK5	45.6336	AK5	3047.2635
AK7	73.6273	AK7	41.3474
AKAP10	270.3501	AKAP10	487.7388
AKAP11	1001.6374	AKAP11	1789.1784
AKAP12	346.6617	AKAP12	422.3055
AKAP13	1020.0443	AKAP13	2946.5043
AKAP1	1501.6892	AKAP1	1728.9638
AKAP2	246.7548	AKAP2	1354.0592
AKAP3	7.286	AKAP3	43.756
AKAP5	65.5743	AKAP5	160.9739
AKAP6	68.6421	AKAP6	236.8444
AKAP7	86.2819	AKAP7	172.2139
AKAP8L	1386.2631	AKAP8L	612.1824
AKAP8	516.9247	AKAP8	567.2221
AKAP9	1025.7964	AKAP9	2643.4238
removed	removed	AKD1	185.4612
AKIRIN1	910.7538	AKIRIN1	1635.8317
AKIRIN2	443.2974	AKIRIN2	686.4472
AKNA	350.1129	AKNA	524.269
AKR1A1	2945.0902	AKR1A1	2081.8217
removed	removed	AKR1B10	8.4301
AKR1B15	14.5721	AKR1B15	6.4229
AKR1B1	350.4964	AKR1B1	833.7724
AKR1C1	29.9111	AKR1C1	181.4469
AKR1C2	28.3772	AKR1C2	146.5224
AKR1C3	115.8095	AKR1C3	495.7674
AKR1D1	14.9555	removed	removed
AKR1E2	9.2034	AKR1E2	12.8458
AKR7A2	1107.8601	AKR7A2	1449.9691
AKR7A3	306.3968	AKR7A3	692.8701
AKR7L	17.6399	AKR7L	51.3832
AKT1S1	1235.5574	AKT1S1	781.5864
AKT1	6962.3772	AKT1	3246.3733
AKT2	3615.7884	AKT2	2003.9441
AKT3	273.8014	AKT3	1050.9466
AKTIP	455.5034	AKTIP	722.7085
ALAD	1246.6781	ALAD	1684.4049
ALAS1	1330.2758	ALAS1	998.3592
removed	removed	ALB	3473.9848
ALCAM	4786.5385	ALCAM	4060.4756
ALDH16A1	872.4063	ALDH16A1	402.234
ALDH18A1	3465.4661	ALDH18A1	2136.0149
ALDH1A1	200.1741	ALDH1A1	606.161
ALDH1A2	32.5954	ALDH1A2	130.8665
ALDH1A3	249.6961	ALDH1A3	2412.6571
ALDH1B1	822.5545	ALDH1B1	537.5162
removed	removed	ALDH1L1	59.8132
ALDH1L2	243.8903	ALDH1L2	158.9667
ALDH2	8319.8797	ALDH2	1450.772
removed	removed	ALDH3A1	60.6161
ALDH3A2	3835.1363	ALDH3A2	2400.9594
ALDH3B1	202.0915	ALDH3B1	160.9739
ALDH3B2	31.8284	ALDH3B2	4088.9772
ALDH4A1	448.6661	ALDH4A1	819.3209
ALDH5A1	768.8679	ALDH5A1	563.6093
ALDH6A1	942.1374	ALDH6A1	591.597
ALDH7A1	1554.2253	ALDH7A1	2769.4732
ALDH8A1	6.1356	ALDH8A1	18.0644
ALDH9A1	5109.0412	ALDH9A1	3284.5093
ALDOA	31898.6245	ALDOA	24071.816
removed	removed	ALDOB	14.0501
ALDOC	63.6569	ALDOC	639.4797
ALG10B	274.5683	ALG10B	445.5885
ALG10	132.6824	ALG10	124.8451
ALG11	56.7543	ALG11	16.0572
ALG12	521.5264	ALG12	574.8493
ALG13	449.8165	ALG13	545.5449
ALG14	259.9962	ALG14	187.0669
ALG1L	113.7273	ALG1L	14.5599
ALG1	1121.4543	ALG1	475.9287
ALG2	717.8657	ALG2	1179.806
ALG3	1586.4372	ALG3	592.9137
ALG5	688.7216	ALG5	681.63
ALG6	467.4564	ALG6	350.4494
ALG8	3015.6496	ALG8	811.2923
ALG9	884.294	ALG9	667.5799
ALKBH1	690.639	ALKBH1	268.9588
ALKBH2	575.2129	ALKBH2	277.7903
ALKBH3	444.0644	ALKBH3	424.7141
ALKBH4	545.9192	ALKBH4	217.3749
ALKBH5	2480.6364	ALKBH5	2623.5088
ALKBH6	225.4835	ALKBH6	57.4046
ALKBH7	441.3801	ALKBH7	464.0544
ALKBH8	292.9751	ALKBH8	261.3316
