gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
ADAT2	71.8636	ADAT2	110.0179
ADAT3	19.1839	ADAT3	23.703
ADA	227.162	ADA	150.7156
ADCK1	179.0499	ADCK1	181.127
ADCK2	653.4714	ADCK2	481.2165
ADCK4	593.179	ADCK4	340.3399
ADCK5	88.6114	ADCK5	75.5814
ADCY1	83.4348	ADCY1	445.8855
ADCY2	78.8672	ADCY2	81.8426
ADCY3	438.4896	ADCY3	1479.6467
ADCY4	130.0244	ADCY4	786.6726
removed	removed	ADCY5	531.7531
ADCY6	657.7345	ADCY6	3048.3005
ADCY7	1219.5493	ADCY7	1056.7979
removed	removed	ADCY8	9.3918
ADCY9	736.9062	ADCY9	753.5778
removed	removed	ADCYAP1R1	34.8837
removed	removed	ADCYAP1	6.2612
ADC	243.9099	ADC	105.9928
ADD1	5986.6017	ADD1	7504.025
ADD2	24.056	ADD2	102.415
ADD3	1632.1559	ADD3	3607.7818
removed	removed	ADH1A	499.9821
removed	removed	ADH1B	53801.4311
removed	removed	ADH1C	445.4383
removed	removed	ADH4	13.864
ADH5	2150.7308	ADH5	4455.2773
ADHFE1	40.8039	ADHFE1	338.1038
ADI1	1463.4592	ADI1	1887.746
removed	removed	ADIPOQ	56835.4204
ADIPOR1	2695.1888	ADIPOR1	2152.9517
ADIPOR2	2289.5859	ADIPOR2	4038.4615
ADK	455.2375	ADK	416.3685
ADM2	47.1985	ADM2	22.3614
ADM	1040.4994	ADM	1834.9732
ADNP2	665.3471	ADNP2	581.3953
ADNP	3176.9184	ADNP	2147.585
ADORA1	62.1194	ADORA1	156.0823
ADORA2A	93.7881	ADORA2A	33.542
ADORA2B	59.6833	ADORA2B	84.0787
ADORA3	666.8697	ADORA3	135.0626
ADO	713.1547	ADO	627.4597
ADPGK	1039.257	ADPGK	788.314
ADPRHL1	97.7467	ADPRHL1	63.5063
ADPRHL2	757.0037	ADPRHL2	545.1699
ADPRH	431.1815	ADPRH	655.1878
removed	removed	ADRA1A	78.2648
ADRA1B	12.4848	ADRA1B	63.9535
ADRA1D	14.0073	removed	removed
ADRA2A	783.1912	ADRA2A	2077.3703
ADRA2B	9.1352	ADRA2B	31.3059
removed	removed	ADRA2C	101.9678
ADRB1	9.4397	ADRB1	193.6494
ADRB2	29.5371	ADRB2	529.9642
ADRBK1	1455.542	ADRBK1	1423.0769
ADRBK2	380.0244	ADRBK2	2430.2326
ADRM1	1089.8295	ADRM1	1163.2379
ADSL	651.9488	ADSL	671.7352
ADSSL1	173.2643	ADSSL1	95.2594
ADSS	2012.7893	ADSS	1119.4097
AEBP1	66478.6845	AEBP1	7981.2165
AEBP2	669.9147	AEBP2	736.5832
AEN	433.922	AEN	361.8068
AES	3649.8173	AES	6118.9624
AFAP1L1	626.0658	AFAP1L1	1328.712
AFAP1L2	661.084	AFAP1L2	688.2826
AFAP1	2125.1309	AFAP1	1699.8971
AFF1	2197.9294	AFF1	3702.5939
AFF2	16.4434	AFF2	52.7728
AFF3	740.8648	AFF3	812.6118
AFF4	4080.6943	AFF4	3477.6386
AFG3L1	120.2801	AFG3L1	171.288
AFG3L2	869.4123	AFG3L2	1213.6449
AFMID	357.1864	AFMID	334.9732
AFTPH	1682.095	AFTPH	1275.0447
AG2	292.3264	AG2	1503.1306
AGAP11	18.5749	AGAP11	345.4383
AGAP1	526.1876	AGAP1	463.7746
AGAP2	111.8879	AGAP2	107.6476
AGAP3	1172.6553	AGAP3	1010.7335
AGAP4	96.5286	AGAP4	133.2737
AGAP5	41.6352	AGAP5	54.3784
AGAP6	47.8076	AGAP6	46.9589
AGAP7	14.3118	AGAP7	16.9946
AGAP8	14.9208	AGAP8	12.9696
AGA	432.704	AGA	382.3792
AGBL2	13.7028	AGBL2	6.2612
removed	removed	AGBL3	14.3113
AGBL4	9.7442	removed	removed
AGBL5	468.6419	AGBL5	544.28
AGER	16.7479	AGER	24.5975
AGFG1	1756.6991	AGFG1	3340.3399
AGFG2	276.7966	AGFG2	363.1485
AGGF1	1093.4836	AGGF1	822.0036
AGK	467.7223	AGK	393.1127
AGL	3224.1169	AGL	1203.9356
AGMAT	12.7893	AGMAT	8.0501
AGPAT1	1731.5104	AGPAT1	1399.2129
AGPAT2	944.2753	AGPAT2	5014.7585
AGPAT3	1448.2339	AGPAT3	2156.9767
AGPAT4	340.134	AGPAT4	330.5009
AGPAT5	619.3666	AGPAT5	405.1878
AGPAT6	1587.3934	AGPAT6	1572.898
AGPAT9	82.5213	AGPAT9	127.4597
AGPHD1	28.6236	AGPHD1	59.034
AGPS	2729.5981	AGPS	1972.2719
AGR2	5550.5481	AGR2	680.2326
AGR3	2410.1705	AGR3	261.1807
AGRN	4991.7783	AGRN	2162.7907
AGTPBP1	387.028	AGTPBP1	609.1234
AGTR1	589.8295	AGTR1	593.0233
AGTRAP	422.0463	AGTRAP	284.4365
AGT	80.9988	AGT	180.6798
AGXT2L2	293.1912	AGXT2L2	691.6905
AHCTF1	1299.0256	AHCTF1	1646.2433
AHCYL1	4645.5542	AHCYL1	4790.2504
AHCYL2	679.3544	AHCYL2	700.3578
AHCY	1605.9683	AHCY	1367.6208
AHDC1	1055.7247	AHDC1	569.3202
AHI1	271.011	AHI1	398.9267
AHNAK2	3876.0658	AHNAK2	1830.5009
AHNAK	54956.0171	AHNAK	208436.4937
AHRR	47.1985	AHRR	49.195
AHR	5736.9062	AHR	4107.3345
AHSA1	2011.2667	AHSA1	1385.0626
AHSA2	169.0012	AHSA2	292.0394
AIDA	1331.0049	AIDA	1924.4186
AIF1L	217.7223	AIF1L	2201.2522
AIF1	1109.0134	AIF1	868.068
AIFM1	908.9525	AIFM1	686.941
AIFM2	214.3727	AIFM2	2737.4776
removed	removed	AIFM3	6.7084
AIG1	735.9927	AIG1	1182.0215
AIM1L	105.6638	removed	removed
AIM1	1609.6224	AIM1	2736.136
AIM2	28.9281	removed	removed
AIMP1	1090.4385	AIMP1	933.0143
AIMP2	397.092	AIMP2	298.9669
AIP	788.9769	AIP	666.3685
AJAP1	20.0974	AJAP1	18.7835
AK1	702.8015	AK1	690.966
AK2	1917.4787	AK2	1721.3775
AK3L1	380.9379	AK3L1	539.8032
AK3	1522.5335	AK3	2851.0733
AK5	301.7661	AK5	737.0304
AK7	21.3155	AK7	19.2308
