gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
SESN2	485.3837	SESN2	575.1342
SESN3	80.9988	SESN3	203.9356
SESTD1	2163.8246	SESTD1	4842.1288
SETBP1	861.754	SETBP1	863.1485
SETD1A	841.961	SETD1A	756.2612
removed	removed	SETD1B	717.7996
SETD2	2221.0719	SETD2	2528.1753
SETD3	1646.1632	SETD3	2333.6315
SETD4	227.4665	SETD4	238.3721
SETD5	2485.9927	SETD5	2025.0447
SETD6	187.2838	SETD6	295.7648
SETD7	3846.2241	SETD7	7843.9177
SETD8	689.7077	SETD8	726.297
SETDB1	798.7211	SETDB1	667.263
SETDB2	362.972	SETDB2	415.4741
SETMAR	329.7808	SETMAR	417.263
SETX	2868.7576	SETX	3253.5778
SET	8404.6894	SET	4639.9821
SEZ6L2	801.1571	SEZ6L2	157.8712
SEZ6L	5.1766	removed	removed
SF1	4317.905	SF1	4372.093
SF3A1	2554.7046	SF3A1	3103.2782
SF3A2	653.7759	SF3A2	574.6869
SF3A3	1920.5238	SF3A3	1569.7674
SF3B14	1331.9123	SF3B14	908.7657
SF3B1	6090.4385	SF3B1	6970.9302
SF3B2	4588.3069	SF3B2	4285.7782
SF3B3	3136.419	SF3B3	2740.161
SF3B4	1563.9464	SF3B4	1101.0733
SF3B5	894.0317	SF3B5	840.3399
SF4	543.5445	SF4	364.9374
SFI1	207.6736	SFI1	205.2773
SFMBT1	450.0609	SFMBT1	282.2004
SFMBT2	102.9233	SFMBT2	105.5456
SFN	1016.4829	SFN	451.7263
SFPQ	5973.8672	SFPQ	3722.254
SFRP1	100.7917	SFRP1	9705.2773
SFRP2	26847.1376	SFRP2	4888.1932
SFRP4	5959.8051	SFRP4	4130.1431
SFRS11	2181.7905	SFRS11	2127.907
SFRS12IP1	573.3861	SFRS12IP1	630.5903
SFRS12	1633.6784	SFRS12	1275.9392
SFRS13A	1744.8234	SFRS13A	1566.1896
SFRS13B	11.5713	SFRS13B	13.4168
SFRS14	897.4665	SFRS14	916.3685
SFRS15	875.4568	SFRS15	841.2343
SFRS16	402.2533	SFRS16	319.3202
SFRS17A	526.1876	SFRS17A	649.3739
SFRS18	1045.676	SFRS18	1402.5045
SFRS1	4734.4702	SFRS1	3434.7048
SFRS2B	755.7856	SFRS2B	1130.1431
SFRS2IP	2686.0536	SFRS2IP	3419.0519
SFRS2	2360.8557	SFRS2	2402.1601
SFRS3	5432.095	SFRS3	5755.3667
SFRS4	2088.0024	SFRS4	2121.6458
SFRS5	2393.1181	SFRS5	3756.7084
SFRS6	2795.3715	SFRS6	3100.1789
SFRS7	1922.3508	SFRS7	2045.6172
SFRS8	692.1437	SFRS8	674.8658
SFRS9	1945.4933	SFRS9	1228.5331
SFT2D1	471.3764	SFT2D1	435.5993
SFT2D2	66.3825	SFT2D2	68.4258
SFT2D3	259.4397	SFT2D3	247.7639
SFTA1P	19.4884	SFTA1P	33.9893
SFTPD	5.4811	SFTPD	47.8533
SFXN1	706.76	SFXN1	275.4919
SFXN2	288.3678	SFXN2	124.3292
SFXN3	2298.7211	SFXN3	1224.0608
SFXN4	251.827	SFXN4	253.1306
SFXN5	466.1998	SFXN5	188.7299
SGCA	19.7929	SGCA	11.6279
SGCB	1975.335	SGCB	3630.1431
SGCD	1502.7406	SGCD	790.2504
SGCE	1129.7199	SGCE	1266.1002
removed	removed	SGCG	267.8891
SGEF	269.4884	SGEF	384.1682
SGIP1	704.324	SGIP1	54.5617
SGK196	24.056	SGK196	23.703
SGK1	725.0305	SGK1	2181.5742
SGK223	976.8575	SGK223	684.2576
SGK269	2209.1961	SGK269	2867.1735
removed	removed	SGK2	319.3202
SGK3	313.1364	SGK3	634.5394
SGK494	10.3532	SGK494	16.5474
SGMS1	832.5213	SGMS1	1056.3506
SGMS2	1080.3898	SGMS2	885.5098
SGOL1	44.1535	SGOL1	7.6029
SGOL2	148.5993	SGOL2	84.9732
SGPL1	2009.4397	SGPL1	1381.0376
SGPP1	538.0633	SGPP1	581.8426
SGPP2	54.5067	SGPP2	8.4973
SGSH	1080.6943	SGSH	746.4222
SGSM1	13.7028	SGSM1	50.9839
SGSM2	661.6931	SGSM2	933.8104
SGSM3	608.7089	SGSM3	632.8265
SGTA	873.0207	SGTA	1092.1288
SGTB	347.1376	SGTB	342.3032
SH2B1	626.0658	SH2B1	741.9499
SH2B2	28.0146	SH2B2	19.678
SH2B3	1522.5335	SH2B3	1933.8104
SH2D1A	20.7065	SH2D1A	36.2254
removed	removed	SH2D1B	14.3113
SH2D2A	35.6273	SH2D2A	19.678
SH2D3A	114.19	SH2D3A	105.0984
SH2D3C	405.9074	SH2D3C	685.5993
SH2D4A	508.2217	SH2D4A	333.1843
SH3BGRL2	481.7296	SH3BGRL2	1386.4043
SH3BGRL3	4862.363	SH3BGRL3	3211.0912
SH3BGRL	5217.4178	SH3BGRL	3537.1199
SH3BGR	105.3593	SH3BGR	112.7013
SH3BP1	254.4306	SH3BP1	193.4839
SH3BP2	685.7491	SH3BP2	909.6601
SH3BP4	3080.0853	SH3BP4	1676.6547
SH3BP5L	591.0475	SH3BP5L	503.5778
SH3BP5	1643.7972	SH3BP5	3167.6878
SH3D19	1967.7223	SH3D19	9590.3399
SH3D20	5.7856	SH3D20	7.6029
SH3GL1	1511.2667	SH3GL1	1299.6422
SH3GLB1	3747.8685	SH3GLB1	6399.8211
SH3GLB2	885.81	SH3GLB2	917.7102
SH3KBP1	1302.9842	SH3KBP1	2287.5671
SH3PXD2A	4785.6273	SH3PXD2A	2144.9016
SH3PXD2B	2588.6114	SH3PXD2B	1728.9803
SH3RF1	1450.9744	SH3RF1	695.4383
SH3RF2	163.8246	SH3RF2	168.6047
SH3RF3	623.6297	SH3RF3	483.0054
SH3TC1	389.7686	SH3TC1	279.9642
SH3TC2	65.7734	SH3TC2	58.1395
SH3YL1	685.1401	SH3YL1	493.2916
SHANK1	21.011	removed	removed
SHANK2	485.0792	SHANK2	394.9016
SHANK3	486.2972	SHANK3	1872.5403
SHARPIN	736.9062	SHARPIN	654.7406
removed	removed	SHBG	7.1556
SHB	408.039	SHB	502.2361
SHC1	3559.6833	SHC1	3222.2719
SHC2	227.4665	SHC2	349.7317
SHC3	9.7442	SHC3	6.7084
SHC4	11.5713	SHC4	10.7335
SHCBP1	98.3557	SHCBP1	26.3864
SHE	187.8806	SHE	1112.254
SHFM1	1292.0219	SHFM1	954.8301
SHF	147.0767	SHF	82.2898
SHISA2	528.3191	SHISA2	177.102
removed	removed	SHISA3	110.0179
SHISA4	375.7613	SHISA4	174.8658
SHISA5	4249.391	SHISA5	2670.3936
SHISA6	47.503	SHISA6	23.2558
SHISA9	161.3886	SHISA9	13.4168
SHKBP1	1197.3203	SHKBP1	619.8569
SHMT1	567.5822	SHMT1	1207.907
SHMT2	1422.6553	SHMT2	620.3041
SHOC2	1720.4629	SHOC2	1983.8998
SHOX2	122.4117	SHOX2	199.4633
SHOX	15.8343	removed	removed
SHPK	448.1882	SHPK	383.7209
SHPRH	322.5548	SHPRH	660.8542
SHQ1	672.9598	SHQ1	365.8318
SHROOM1	468.3313	SHROOM1	178.8909
SHROOM2	459.1961	SHROOM2	100.6261
SHROOM3	1842.8745	SHROOM3	1151.61
SHROOM4	444.8843	SHROOM4	877.4597
SIAE	546.5895	SIAE	1221.3775
SIAH1	419.3514	SIAH1	627.4463
SIAH2	974.4214	SIAH2	552.3256
SIDT1	510.6577	SIDT1	253.5778
SIDT2	994.4093	SIDT2	2493.5376
SIGIRR	337.0889	SIGIRR	316.6369
SIGLEC10	317.905	SIGLEC10	82.2898
SIGLEC11	13.0938	SIGLEC11	34.8837
SIGLEC12	61.2058	removed	removed
SIGLEC14	86.7844	SIGLEC14	46.0644
SIGLEC15	17.3569	removed	removed
removed	removed	SIGLEC16	6.7084
SIGLEC1	595.0061	SIGLEC1	1587.2093
SIGLEC5	109.9269	SIGLEC5	45.1699
SIGLEC6	10.0487	SIGLEC6	16.5474
SIGLEC7	94.3971	SIGLEC7	25.9392
SIGLEC8	52.0706	SIGLEC8	31.7531
SIGLEC9	124.5432	SIGLEC9	38.9088
SIGLECP3	12.1803	SIGLECP3	22.8086
SIGMAR1	956.151	SIGMAR1	785.3309
SIK1	975.944	SIK1	3920.8408
SIK2	450.0609	SIK2	5720.0358
SIK3	897.0767	SIK3	1476.7442
SIKE1	806.6382	SIKE1	795.1699
SIL1	747.8685	SIL1	779.0698
SILV	26.7966	SILV	11.6279
SIM1	7.0037	SIM1	138.1932
SIM2	43.5445	SIM2	23.2558
SIN3A	2108.0999	SIN3A	1869.8569
SIN3B	697.0158	SIN3B	966.0107
SIP1	169.3057	SIP1	133.7209
SIPA1L1	1396.1632	SIPA1L1	1146.6905
SIPA1L2	1277.7101	SIPA1L2	635.0626
SIPA1L3	1423.2643	SIPA1L3	515.2057
SIPA1	818.514	SIPA1	576.0286
SIRPA	1889.7686	SIRPA	2796.0644
SIRPB1	85.8709	SIRPB1	143.5599
SIRPB2	132.4604	SIRPB2	77.3703
SIRPG	13.3983	removed	removed
SIRT1	661.9976	SIRT1	1018.7835
SIRT2	1013.3983	SIRT2	1400.2683
SIRT3	717.1772	SIRT3	602.5671
SIRT4	22.5335	SIRT4	16.1002
SIRT5	274.665	SIRT5	371.1986
SIRT6	194.8843	SIRT6	110.9123
SIRT7	255.7856	SIRT7	159.2129
SIT1	17.0524	SIT1	11.6279
SIVA1	613.581	SIVA1	495.5277
SIX1	452.497	SIX1	223.6136
SIX2	41.7174	SIX2	84.5259
SIX4	281.6687	SIX4	51.8784
SIX5	580.3898	SIX5	334.5259
SKA1	54.8112	SKA1	11.1807
SKA2	654.6894	SKA2	520.5725
SKA3	70.9501	SKA3	11.1896
SKAP1	153.4714	SKAP1	52.7728
SKAP2	893.7272	SKAP2	2084.9732
SKIL	1313.6419	SKIL	1040.6977
SKIV2L2	1627.8776	SKIV2L2	1598.9535
SKIV2L	904.1535	SKIV2L	654.5349
SKI	2381.2424	SKI	4420.8408
SKP1	6228.989	SKP1	5500.8945
SKP2	134.8965	SKP2	127.4597
SLA2	17.3569	SLA2	18.3363
removed	removed	SLAIN1	63.5063
SLAIN2	1978.6845	SLAIN2	1934.2576
SLAMF1	23.1425	SLAMF1	20.5725
SLAMF6	59.0743	SLAMF6	35.3309
SLAMF7	56.3337	SLAMF7	87.6565
SLAMF8	1269.1809	SLAMF8	161.1047
SLAMF9	21.3155	SLAMF9	5.814
SLA	671.7418	SLA	318.873
SLBP	912.3021	SLBP	776.8336
SLC10A3	690.6212	SLC10A3	628.8014
removed	removed	SLC10A6	43.381
SLC10A7	201.2789	SLC10A7	262.5224
SLC11A1	285.3228	SLC11A1	62.6118
SLC11A2	1403.4714	SLC11A2	877.4597
SLC12A2	4633.9829	SLC12A2	1837.2093
SLC12A4	1265.4963	SLC12A4	1932.8488
SLC12A6	738.2004	SLC12A6	860.9928
SLC12A7	1266.1389	SLC12A7	1036.2254
SLC12A8	752.4361	SLC12A8	63.059
SLC12A9	588.3069	SLC12A9	443.6494
removed	removed	SLC13A2	79.1592
SLC13A3	44.7625	SLC13A3	38.9088
SLC14A1	10.3532	SLC14A1	44.2755
removed	removed	SLC14A2	57.2451
SLC15A1	15.2253	removed	removed
SLC15A2	14.0073	SLC15A2	42.4866
SLC15A3	817.296	SLC15A3	618.068
SLC15A4	967.7223	SLC15A4	771.0197
SLC16A10	55.7247	SLC16A10	12.0751
removed	removed	SLC16A11	18.7835
SLC16A12	5.4811	SLC16A12	16.5474
SLC16A13	41.4129	SLC16A13	23.703
SLC16A14	103.5323	SLC16A14	255.814
SLC16A1	932.095	SLC16A1	829.6064
SLC16A2	861.4495	SLC16A2	1355.9928
SLC16A3	1932.095	SLC16A3	221.3775
SLC16A4	249.6955	SLC16A4	239.7138
SLC16A5	203.106	SLC16A5	142.6655
SLC16A6	73.3861	SLC16A6	47.4061
SLC16A7	33.4957	SLC16A7	404.7406
SLC16A9	43.24	SLC16A9	57.2451
SLC17A5	825.8222	SLC17A5	932.0215
SLC17A7	17.3569	SLC17A7	182.9159
SLC17A9	59.3788	SLC17A9	37.5671
SLC18A2	38.9769	SLC18A2	25.9392
removed	removed	SLC19A1	210.644
SLC19A2	603.5323	SLC19A2	616.2791
removed	removed	SLC19A3	4235.2415
SLC1A1	4376.6748	SLC1A1	355.5456
SLC1A2	52.0706	SLC1A2	62.6118
SLC1A3	922.9598	SLC1A3	1538.9088
SLC1A4	1330.3898	SLC1A4	667.263
SLC1A5	3403.1669	SLC1A5	3319.3202
SLC1A7	29.2326	SLC1A7	50.5367
SLC20A1	3186.6626	SLC20A1	889.5349
SLC20A2	1446.7113	SLC20A2	796.0644
removed	removed	SLC22A12	14.3113
SLC22A15	232.9476	SLC22A15	61.7174
removed	removed	SLC22A16	5.814
SLC22A17	455.8465	SLC22A17	323.7925
SLC22A18AS	19.7929	SLC22A18AS	6.7084
SLC22A18	294.7625	SLC22A18	130.5903
SLC22A23	507.8806	SLC22A23	922.5
SLC22A3	10.0487	SLC22A3	287.1199
SLC22A4	40.4994	SLC22A4	59.034
SLC22A5	334.0438	SLC22A5	247.7639
SLC23A1	7.3082	removed	removed
SLC23A2	472.2899	SLC23A2	930.2326
SLC23A3	5.1766	SLC23A3	5.3667
SLC24A1	344.7016	SLC24A1	407.8712
SLC24A2	44.7625	removed	removed
SLC24A3	663.8246	SLC24A3	949.9106
SLC24A4	5.4811	SLC24A4	31.3059
SLC24A5	16.8514	SLC24A5	6.4893
SLC24A6	753.9586	SLC24A6	768.7835
SLC25A10	574.9086	SLC25A10	412.3435
SLC25A11	854.4458	SLC25A11	703.4884
SLC25A12	559.6833	SLC25A12	533.542
SLC25A13	572.1681	SLC25A13	431.5742
SLC25A14	142.5091	SLC25A14	98.8372
SLC25A15	235.8892	SLC25A15	139.5394
SLC25A16	371.1937	SLC25A16	611.8068
SLC25A17	431.7905	SLC25A17	423.9714
SLC25A18	5.4811	SLC25A18	44.2755
SLC25A19	211.3276	SLC25A19	145.7961
SLC25A1	569.123	SLC25A1	1162.7907
SLC25A20	350.1827	SLC25A20	766.9946
SLC25A21	6.9762	SLC25A21	8.0769
SLC25A22	437.5761	SLC25A22	155.1878
SLC25A23	792.0219	SLC25A23	1135.9571
SLC25A24	1678.7454	SLC25A24	1617.6208
SLC25A25	312.4239	SLC25A25	2864.4902
SLC25A26	321.821	SLC25A26	380.0671
SLC25A27	18.8794	SLC25A27	96.6011
SLC25A28	364.4945	SLC25A28	603.7567
SLC25A29	446.4068	SLC25A29	305.9034
SLC25A30	534.4093	SLC25A30	875.6708
SLC25A32	510.7065	SLC25A32	654.7943
SLC25A33	125.4568	SLC25A33	356.4401
SLC25A34	9.4397	SLC25A34	15.2057
SLC25A35	162.4147	SLC25A35	99.1011
SLC25A36	1105.0548	SLC25A36	1600.1789
SLC25A37	378.5018	SLC25A37	588.1038
SLC25A38	643.7272	SLC25A38	467.3524
SLC25A39	1515.2253	SLC25A39	928.4436
SLC25A3	4485.9927	SLC25A3	6152.0572
SLC25A40	150.7308	SLC25A40	156.0823
SLC25A42	145.2497	SLC25A42	299.195
SLC25A43	605.3593	SLC25A43	846.6011
SLC25A44	788.3678	SLC25A44	802.3256
SLC25A45	126.3703	SLC25A45	132.3792
SLC25A46	686.6626	SLC25A46	773.2558
SLC25A4	581.6078	SLC25A4	683.3631
SLC25A5	3575.5177	SLC25A5	2814.4007
SLC25A6	3898.2948	SLC25A6	7283.9893
SLC26A10	11.9854	removed	removed
SLC26A11	339.8295	SLC26A11	246.8694
SLC26A1	17.3691	SLC26A1	18.7835
SLC26A2	1226.2485	SLC26A2	961.9857
SLC26A4	7.0037	SLC26A4	35.7782
SLC26A6	205.8465	SLC26A6	88.9982
SLC26A7	6.3946	SLC26A7	35.3309
SLC27A1	605.6638	SLC27A1	993.2916
SLC27A2	21.62	SLC27A2	69.3202
SLC27A3	615.1035	SLC27A3	689.1771
SLC27A4	776.1876	SLC27A4	496.4222
SLC27A5	90.0853	SLC27A5	55.6798
removed	removed	SLC27A6	68.873
SLC28A3	214.0682	SLC28A3	105.9928
SLC29A1	1818.514	SLC29A1	4290.6977
SLC29A2	137.3112	SLC29A2	102.8265
SLC29A3	627.5883	SLC29A3	227.1914
SLC29A4	52.3752	SLC29A4	885.5098
SLC2A10	2258.8307	SLC2A10	555.9034
SLC2A11	135.81	SLC2A11	124.3292
SLC2A12	87.0889	SLC2A12	81.8426
SLC2A13	165.9562	SLC2A13	262.0751
SLC2A14	38.9769	SLC2A14	151.1628
SLC2A1	3538.3678	SLC2A1	460.1968
SLC2A3	1753.0451	SLC2A3	6110.9123
SLC2A4RG	736.6017	SLC2A4RG	1045.6172
removed	removed	SLC2A4	401.61
SLC2A5	381.8514	SLC2A5	106.4401
SLC2A6	109.0134	SLC2A6	47.4061
SLC2A8	235.3837	SLC2A8	271.0197
SLC2A9	97.7467	SLC2A9	75.5814
SLC30A1	496.0414	SLC30A1	473.1664
removed	removed	SLC30A2	13.4168
SLC30A4	171.4373	SLC30A4	196.3327
SLC30A5	1368.1486	SLC30A5	1202.1467
SLC30A6	366.9306	SLC30A6	350.1789
SLC30A7	1400.1218	SLC30A7	727.6386
SLC30A8	13.3983	removed	removed
SLC30A9	1503.9586	SLC30A9	1112.7013
SLC31A1	1327.0402	SLC31A1	1035.3309
SLC31A2	832.5213	SLC31A2	1011.6279
SLC33A1	573.3861	SLC33A1	512.0751
removed	removed	SLC34A2	631.932
SLC35A1	1000.1583	SLC35A1	549.195
SLC35A2	824.9086	SLC35A2	363.1485
SLC35A3	685.7491	SLC35A3	398.0322
SLC35A4	1699.4519	SLC35A4	1744.6333
SLC35A5	811.2058	SLC35A5	889.0877
SLC35B1	690.3167	SLC35B1	483.8998
SLC35B2	1443.9708	SLC35B2	796.9589
SLC35B3	504.8721	SLC35B3	478.0859
SLC35B4	412.9111	SLC35B4	573.7925
SLC35C1	630.6334	SLC35C1	1419.4991
SLC35C2	844.0926	SLC35C2	598.39
SLC35D1	761.8758	SLC35D1	501.7889
SLC35D2	345.0061	SLC35D2	380.1431
SLC35D3	29.2326	removed	removed
SLC35E1	1515.8343	SLC35E1	1721.3775
SLC35E2	944.0256	SLC35E2	1476.3864
SLC35E2	48.3618	SLC35E2	37.4776
SLC35E3	192.1437	SLC35E3	201.2522
SLC35E4	81.3337	SLC35E4	78.8014
SLC35F1	14.0073	SLC35F1	30.4114
SLC35F2	375.4568	SLC35F2	183.3631
SLC35F3	30.7552	SLC35F3	60.8229
SLC35F5	1049.9391	SLC35F5	738.3721
SLC36A1	415.6516	SLC36A1	375.6708
SLC36A4	158.3435	SLC36A4	181.5742
SLC37A1	397.0767	SLC37A1	164.1324
SLC37A2	332.8258	SLC37A2	594.3649
SLC37A3	919.3057	SLC37A3	1107.3345
SLC37A4	253.6541	SLC37A4	264.7585
SLC38A10	2322.4726	SLC38A10	2898.0322
SLC38A11	9.4397	SLC38A11	6.2612
SLC38A1	3060.2923	SLC38A1	2162.3435
SLC38A2	4307.5518	SLC38A2	4454.3828
SLC38A3	7.0037	SLC38A3	15.653
SLC38A4	50.8526	SLC38A4	24.5975
SLC38A5	541.4129	SLC38A5	34.8837
SLC38A6	145.5542	SLC38A6	199.4633
SLC38A7	238.1242	SLC38A7	211.5385
SLC38A9	230.5116	SLC38A9	232.5581
SLC39A10	936.9671	SLC39A10	727.6386
SLC39A11	1054.5067	SLC39A11	399.3739
SLC39A13	1345.6151	SLC39A13	721.3775
SLC39A14	2793.849	SLC39A14	1895.7961
SLC39A1	3320.341	SLC39A1	2605.9928
SLC39A3	290.1949	SLC39A3	314.8479
SLC39A4	218.3313	SLC39A4	78.712
SLC39A6	18638.5505	SLC39A6	4852.415
SLC39A7	4043.5445	SLC39A7	2521.0197
SLC39A8	1200.6699	SLC39A8	566.6369
SLC39A9	2335.5664	SLC39A9	1792.0394
SLC3A1	6.5804	SLC3A1	8.0501
SLC3A2	1635.5055	SLC3A2	2030.8587
SLC40A1	6976.2485	SLC40A1	4700.3578
SLC41A1	588.3069	SLC41A1	896.6905
SLC41A2	411.084	SLC41A2	383.2737
SLC41A3	573.0816	SLC41A3	837.6565
SLC43A1	603.2278	SLC43A1	238.8193
SLC43A2	444.8843	SLC43A2	693.2021
SLC43A3	1459.6742	SLC43A3	1783.9893
SLC44A1	6862.972	SLC44A1	1943.6494
SLC44A2	3628.8063	SLC44A2	4490.161
SLC44A3	314.2509	SLC44A3	149.3739
SLC44A4	1958.8916	SLC44A4	157.8712
SLC44A5	35.6273	SLC44A5	15.2057
SLC45A1	38.9769	SLC45A1	47.8533
SLC45A3	88.6114	SLC45A3	81.0957
SLC45A4	204.0195	SLC45A4	227.6386
SLC46A1	379.6376	SLC46A1	869.7361
SLC46A2	22.838	SLC46A2	6.2612
SLC46A3	1012.7893	SLC46A3	675.7603
SLC47A1	56.9428	SLC47A1	41.1449
SLC48A1	506.6991	SLC48A1	931.5742
SLC4A11	149.8173	SLC4A11	42.9338
SLC4A1AP	766.1389	SLC4A1AP	636.4043
SLC4A2	1369.5493	SLC4A2	1340.246
SLC4A3	43.5445	SLC4A3	104.6512
SLC4A4	74.6041	SLC4A4	525.0447
SLC4A5	84.0895	SLC4A5	73.144
SLC4A7	1323.9951	SLC4A7	1235.6887
SLC4A8	446.1023	SLC4A8	57.2451
removed	removed	SLC5A1	192.7549
SLC5A3	1978.9921	SLC5A3	1294.6154
removed	removed	SLC5A4	21.4669
SLC5A6	1197.4817	SLC5A6	1229.8166
SLC6A12	47.503	SLC6A12	16.1002
SLC6A14	130.3289	SLC6A14	163.6852
removed	removed	SLC6A15	12.9696
removed	removed	SLC6A16	53.22
SLC6A17	45.9805	SLC6A17	6.2612
SLC6A1	166.5652	SLC6A1	17.8891
removed	removed	SLC6A20	8.0501
removed	removed	SLC6A2	30.8587
removed	removed	SLC6A4	8.4973
SLC6A6	3865.408	SLC6A6	1000
SLC6A8	518.5749	SLC6A8	798.7478
SLC6A9	157.2046	SLC6A9	148.2737
removed	removed	SLC7A10	683.2424
SLC7A11	52.9842	SLC7A11	21.9141
SLC7A1	584.0438	SLC7A1	968.6941
SLC7A2	3563.6419	SLC7A2	1518.7835
removed	removed	SLC7A4	61.7174
SLC7A5	335.8709	SLC7A5	361.8068
SLC7A6OS	156.3672	SLC7A6OS	203.864
SLC7A6	717.2625	SLC7A6	1474.5796
SLC7A7	646.1632	SLC7A7	339.8927
SLC7A8	1902.8624	SLC7A8	893.5599
SLC8A1	392.2046	SLC8A1	423.5242
removed	removed	SLC8A3	9.3918
SLC9A1	1845.6151	SLC9A1	842.1288
SLC9A2	9.1352	SLC9A2	9.839
SLC9A3R1	2947.9294	SLC9A3R1	944.0966
SLC9A3R2	2529.8417	SLC9A3R2	1830.0537
SLC9A5	7.6127	SLC9A5	12.5224
SLC9A6	409.5615	SLC9A6	567.9785
SLC9A7	145.2497	SLC9A7	76.0286
SLC9A8	372.7162	SLC9A8	550.9839
SLC9A9	214.9817	SLC9A9	746.4222
removed	removed	SLCO1A2	6.7084
removed	removed	SLCO1C1	19.2308
SLCO2A1	912.3021	SLCO2A1	411.449
SLCO2B1	3166.2607	SLCO2B1	2715.5635
SLCO3A1	503.9586	SLCO3A1	746.4222
SLCO4A1	23.3831	SLCO4A1	173.8014
SLCO4C1	11.2667	SLCO4C1	9.839
SLFN11	1336.4799	SLFN11	1763.864
SLFN12L	11.2667	SLFN12L	28.1753
SLFN12	335.5664	SLFN12	211.5385
SLFN13	388.5505	SLFN13	273.2558
SLFN5	728.6845	SLFN5	1509.839
SLIT1	13.0938	SLIT1	11.1807
SLIT2	488.1242	SLIT2	816.1896
SLIT3	2706.76	SLIT3	6049.6422
removed	removed	SLITRK2	23.703
removed	removed	SLITRK3	5.814
SLITRK4	259.4397	SLITRK4	141.771
removed	removed	SLITRK5	36.2254
SLITRK6	99.2692	SLITRK6	154.7406
SLK	2384.2875	SLK	3088.551
SLMAP	1789.8904	SLMAP	1444.0966
SLMO1	26.1876	SLMO1	35.7782
SLMO2	1220.4629	SLMO2	1219.1413
SLPI	522.229	SLPI	566.1896
SLTM	2151.0353	SLTM	2135.5098
SLU7	1241.1693	SLU7	1307.2451
SMAD1	1153.1669	SMAD1	696.3327
SMAD2	2617.2351	SMAD2	2588.551
SMAD3	1244.5189	SMAD3	2054.5617
SMAD4	1725.6973	SMAD4	1997.8444
removed	removed	SMAD5OS	8.0501
SMAD5	1603.2278	SMAD5	1778.1753
SMAD6	100.4872	SMAD6	298.3005
SMAD7	1256.3946	SMAD7	1289.8032
SMAD9	17.6614	SMAD9	79.1592
SMAGP	130.6334	SMAGP	156.0823
SMAP1	1016.2637	SMAP1	932.5939
SMAP2	1345.9196	SMAP2	1149.3739
SMARCA1	1232.6431	SMARCA1	1559.9284
SMARCA2	3071.5591	SMARCA2	4665.9213
SMARCA4	1993.9099	SMARCA4	1415.9213
SMARCA5	3601.7052	SMARCA5	2512.5224
SMARCAD1	1022.5335	SMARCAD1	895.3488
SMARCAL1	720.1583	SMARCAL1	581.3953
SMARCB1	1480.2071	SMARCB1	973.1664
SMARCC1	3842.8745	SMARCC1	2047.8533
SMARCC2	2584.0438	SMARCC2	3051.8784
SMARCD1	1332.2168	SMARCD1	1190.0716
SMARCD2	2578.2582	SMARCD2	1766.9946
SMARCD3	214.6772	SMARCD3	272.3614
SMARCE1	3083.1303	SMARCE1	2688.2826
SMC1A	2235.0792	SMC1A	2190.0716
SMC2	735.9927	SMC2	570.2147
SMC3	1929.9635	SMC3	1703.9356
SMC4	1176.9184	SMC4	617.1735
SMC5	753.6541	SMC5	1013.864
SMC6	875.1523	SMC6	629.6959
SMCHD1	1075.8222	SMCHD1	1619.4097
SMCR7L	533.1912	SMCR7L	996.8694
SMCR7	293.24	SMCR7	212.8801
SMCR8	673.5871	SMCR8	856.4937
SMEK1	1671.1328	SMEK1	1505.3667
SMEK2	2027.7101	SMEK2	2377.907
SMG1	3245.7369	SMG1	3360.0179
SMG5	1146.7722	SMG5	1663.6852
SMG6	1157.43	SMG6	1269.678
SMG7	1854.7503	SMG7	1570.6619
SMN2	536.9032	SMN2	440.2728
SMNDC1	813.3374	SMNDC1	706.619
SMOC1	450.6699	SMOC1	164.1324
SMOC2	6318.2095	SMOC2	3623.8819
SMOX	186.6626	SMOX	96.6011
SMO	305.1157	SMO	216.458
SMPD1	1100.1827	SMPD1	750.4472
SMPD2	186.0536	SMPD2	116.7263
SMPD3	20.0974	SMPD3	48.3005
SMPD4	1228.38	SMPD4	1089.4454
SMPDL3A	238.4287	SMPDL3A	258.0501
SMPDL3B	295.676	SMPDL3B	55.0089
SMS	1122.7162	SMS	1051.4311
SMTN	1078.2582	SMTN	1059.4812
SMU1	1837.3934	SMU1	1681.5742
SMUG1	646.7722	SMUG1	384.1682
SMURF1	1179.9208	SMURF1	1045.6932
SMURF2	695.7978	SMURF2	734.347
removed	removed	SMYD1	390.4293
SMYD2	660.1705	SMYD2	637.746
SMYD3	453.4105	SMYD3	181.5742
SMYD4	235.6882	SMYD4	445.4383
SMYD5	608.7089	SMYD5	480.322
SNAI1	111.4495	SNAI1	255.3667
SNAI2	873.9342	SNAI2	262.0751
SNAI3	24.056	SNAI3	12.9696
SNAP23	1876.6748	SNAP23	1343.9177
SNAP25	18.8794	SNAP25	10.2862
SNAP29	852.3143	SNAP29	1048.7478
SNAP47	539.327	SNAP47	392.6878
SNAP91	6.6991	removed	removed
SNAPC1	257.3082	SNAPC1	290.6977
SNAPC2	347.4421	SNAPC2	304.5617
SNAPC3	574.2996	SNAPC3	572.0036
SNAPC4	241.7783	SNAPC4	239.2665
SNAPC5	95.1279	SNAPC5	88.144
