gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
AKNA	646.4694	AKNA	869.1053
AKR1A1	2249.4196	AKR1A1	1316.439
AKR1B1	507.6254	AKR1B1	860.2909
AKR1C1	292.7478	AKR1C1	3479.5064
AKR1C2	250.8742	AKR1C2	2975.3195
AKR1C3	456.9363	AKR1C3	2529.3081
AKR1E2	49.5871	AKR1E2	22.9176
AKR7A2	979.2542	AKR7A2	851.9171
AKR7A3	178.1464	AKR7A3	54.6496
AKR7L	25.3445	AKR7L	14.9846
AKT1S1	941.7884	AKT1S1	752.3138
AKT1	3736.6666	AKT1	3123.8431
AKT2	1977.976	AKT2	2870.4275
AKT3	662.9984	AKT3	1402.3799
AKTIP	1018.2187	AKTIP	729.7708
ALAD	1691.1052	ALAD	2133.0983
ALAS1	809.556	ALAS1	940.5024
ALB	122.6823	ALB	51.5646
ALCAM	2754.8412	ALCAM	2802.5562
ALDH16A1	510.9312	ALDH16A1	444.2486
ALDH18A1	2611.2221	ALDH18A1	1420.4495
ALDH1A1	734.6243	ALDH1A1	4083.7373
ALDH1A2	35.9966	ALDH1A2	369.3257
ALDH1A3	482.5563	ALDH1A3	1019.9383
ALDH1B1	1245.1882	ALDH1B1	606.8753
ALDH1L1	60.9738	ALDH1L1	792.4196
ALDH1L2	614.5132	ALDH1L2	452.1816
ALDH2	2582.9391	ALDH2	8929.0436
ALDH3A1	7.3462	ALDH3A1	66.1084
ALDH3A2	1953.366	ALDH3A2	2951.9612
ALDH3B1	236.549	ALDH3B1	187.3072
ALDH3B2	940.3191	ALDH3B2	911.4147
ALDH4A1	966.031	ALDH4A1	1315.9982
ALDH5A1	442.6111	ALDH5A1	617.4526
ALDH6A1	566.8875	ALDH6A1	570.4716
ALDH7A1	2458.053	ALDH7A1	2205.8175
ALDH8A1	16.529	ALDH8A1	20.714
ALDH9A1	2543.2694	ALDH9A1	3355.6633
ALDOA	30688.9307	ALDOA	14925.9586
ALDOC	133.3343	ALDOC	1938.7395
ALG10B	258.2204	ALG10B	353.9004
ALG10	91.0934	ALG10	99.1626
ALG11	22.0387	ALG11	12.3402
ALG12	393.024	ALG12	385.1917
ALG13	465.0172	ALG13	473.777
ALG14	186.9619	ALG14	172.3226
ALG1	785.0048	ALG1	397.2234
ALG2	644.2655	ALG2	729.3962
ALG3	604.5958	ALG3	367.1221
ALG5	512.0331	ALG5	460.996
ALG6	375.393	ALG6	249.0084
ALG8	1296.2446	ALG8	669.0172
ALG9	384.2085	ALG9	622.7413
ALKBH1	252.7108	ALKBH1	215.9542
ALKBH2	276.5861	ALKBH2	211.5469
ALKBH3	327.2751	ALKBH3	291.7585
ALKBH4	187.3365	ALKBH4	178.5897
ALKBH5	2241.6436	ALKBH5	2196.4654
