gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
RNPEP	3596.3533	RNPEP	1499.7796
RNPS1	2955.3936	RNPS1	1905.6853
ROBLD3	602.0246	ROBLD3	448.6558
ROBO1	544.3566	ROBO1	792.4196
ROBO2	308.1749	ROBO2	146.7607
ROBO3	47.7506	ROBO3	154.253
ROBO4	525.991	ROBO4	1932.5694
ROCK1	1992.3011	ROCK1	2287.792
ROCK2	1361.9935	ROCK2	2139.7091
ROD1	2936.6607	ROD1	2102.6884
ROGDI	1121.7713	ROGDI	372.4108
ROM1	73.4624	ROM1	78.8894
ROMO1	379.4335	ROMO1	356.104
removed	removed	ROPN1B	22.9176
ROPN1L	8.0809	removed	removed
removed	removed	ROPN1	32.1728
ROR1	79.3394	ROR1	152.4901
ROR2	979.2542	ROR2	447.7743
RORA	464.2826	RORA	732.922
removed	removed	RORB	5.2887
RORC	406.6146	RORC	502.424
ROS1	6.2443	removed	removed
RP1L1	5.877	RP1L1	13.2217
RP1	21.3041	RP1	40.1058
RP2	428.6533	RP2	451.7409
RP9P	133.7016	RP9P	130.4539
RP9	92.93	RP9	85.9409
RPA1	2495.8861	RPA1	2137.9462
RPA2	1137.1984	RPA2	905.2446
RPA3	285.0342	RPA3	193.918
RPAIN	462.4717	RPAIN	496.3596
RPAP1	785.6807	RPAP1	657.9991
RPAP2	311.848	RPAP2	279.4182
RPAP3	647.204	RPAP3	547.3777
RPE	695.0758	RPE	605.6413
RPF1	698.2604	RPF1	547.8184
RPF2	333.8868	RPF2	309.3874
RPGRIP1L	439.3053	RPGRIP1L	212.4284
RPGRIP1	11.0194	RPGRIP1	13.2217
RPGR	153.9038	RPGR	372.8515
RPH3AL	148.7614	RPH3AL	209.784
RPIA	329.479	RPIA	379.903
RPL10A	12071.714	RPL10A	11301.8951
RPL10	15712.5525	RPL10	12952.2345
RPL11	13845.0971	RPL11	14714.4116
RPL12	10243.6014	RPL12	7353.019
RPL13AP20	26.0792	RPL13AP20	25.5619
RPL13AP3	8.0809	RPL13AP3	8.3737
RPL13A	18473.9649	RPL13A	13776.5535
RPL13P5	14.3252	RPL13P5	16.3067
RPL13	8783.9029	RPL13	11932.5694
RPL14	7322.3678	RPL14	6140.1498
RPL15	16557.3301	RPL15	17608.1974
RPL17	5441.7369	RPL17	6558.5015
RPL18A	1510.3876	RPL18A	1372.8515
RPL18	10043.7836	RPL18	9278.0961
RPL19P12	37.0985	RPL19P12	48.4795
RPL19	14392.0249	RPL19	13799.9119
RPL22L1	447.0189	RPL22L1	274.5703
RPL22	7132.8348	RPL22	7517.8493
RPL23AP53	200.5524	RPL23AP53	302.7766
RPL23AP7	60.6065	RPL23AP7	99.1626
RPL23AP82	68.3201	RPL23AP82	83.7946
RPL23A	3999.6621	RPL23A	3330.1014
RPL23P8	68.6874	RPL23P8	92.5518
RPL23	7878.1111	RPL23	8192.5959
RPL24	6921.263	RPL24	6730.2777
RPL26L1	294.217	RPL26L1	137.9462
RPL26	12576.0336	RPL26	10613.9268
RPL27A	10404.8515	RPL27A	8209.3433
RPL27	8267.8293	RPL27	7736.8885
RPL28	9811.275	RPL28	7817.1
RPL29	9337.4423	RPL29	7021.5954
RPL30	8431.6506	RPL30	8669.0172
RPL31	11739.6638	RPL31	11236.6681
RPL32P3	139.417	RPL32P3	189.859
RPL32	12693.2062	RPL32	13246.8048
RPL34	6073.1392	RPL34	6556.6329
RPL35A	6907.3051	RPL35A	7286.9105
RPL35	4700.1264	RPL35	4191.7144
RPL36AL	1998.1781	RPL36AL	2323.4905
RPL36A	40.4043	RPL36A	90.7889
RPL36	5548.6174	RPL36	5733.3627
RPL37A	10240.2956	RPL37A	10897.7523
RPL37	10645.4409	RPL37	8453.9445
RPL38	3800.2116	RPL38	3807.4041
RPL39L	206.0621	RPL39L	115.0286
RPL39	486.3213	RPL39	410.7536
RPL3	31348.256	RPL3	37784.4866
RPL41	15694.1465	RPL41	11966.9458
RPL4	21050.6597	RPL4	22014.1031
RPL5	14901.8468	RPL5	18402.3799
RPL6	7456.8041	RPL6	7567.2102
RPL7A	15815.3595	RPL7A	13657.5584
RPL7L1	1411.2133	RPL7L1	1091.2296
RPL7	1184.949	RPL7	1561.0401
RPL8	31224.8391	RPL8	19526.6637
RPL9	201.2871	RPL9	226.9722
RPLP0P2	69.7893	RPLP0P2	24.2398
RPLP0	28314.6249	RPLP0	15291.7585
RPLP1	23445.1676	RPLP1	15960.3349
RPLP2	9444.6975	RPLP2	7944.0282
RPN1	4802.9738	RPN1	3994.7113
RPN2	6362.5775	RPN2	4572.4857
RPP14	475.3019	RPP14	495.8131
RPP21	225.897	RPP21	198.3253
RPP25	105.7859	RPP25	119.4359
RPP30	418.3685	RPP30	470.6919
RPP38	231.0393	RPP38	219.4799
RPP40	152.4345	RPP40	75.3636
RPPH1	10.2847	RPPH1	48.9202
RPRD1A	1431.7828	RPRD1A	1142.7942
RPRD1B	725.4415	RPRD1B	825.9145
RPRD2	1791.3814	RPRD2	1805.2005
RPS10P7	97.3377	RPS10P7	62.5826
RPS10	5002.0569	RPS10	4464.0811
RPS11	17145.7642	RPS11	18977.9639
RPS12	13953.0869	RPS12	10010.1366
RPS13	9029.6347	RPS13	6327.0163
RPS14	15439.5992	RPS14	9148.5236
RPS15A	10171.9756	RPS15A	7975.7602
RPS15	2567.1447	RPS15	2467.1662
RPS16	7334.1218	RPS16	8338.4751
RPS17	7567.365	RPS17	10531.071
RPS18	22869.9568	RPS18	20279.4182
RPS19BP1	397.4318	RPS19BP1	577.3468
RPS19	9218.4332	RPS19	9604.2309
RPS20	9165.1729	RPS20	12306.7431
RPS21	3467.7941	RPS21	3392.2433
RPS23	14268.9753	RPS23	11905.6853
RPS24	12639.9459	RPS24	12382.9881
RPS25	4857.7033	RPS25	7588.8056
RPS26	547.6624	RPS26	348.6117
RPS27A	8002.63	RPS27A	8987.219
RPS27L	1203.6819	RPS27L	1153.3715
RPS27	69.422	RPS27	72.2785
RPS28	664.1004	RPS28	702.9528
RPS29	4253.8421	RPS29	4070.0749
removed	removed	RPS2P32	7.0516
RPS2	19715.1127	RPS2	9184.4645
RPS3A	5661.3823	RPS3A	5453.063
RPS3	22988.5986	RPS3	17710.8859
RPS4X	34883.6355	RPS4X	30204.0546
RPS5	9674.6349	RPS5	9102.2477
RPS6KA1	1105.2423	RPS6KA1	691.0533
RPS6KA2	1098.6307	RPS6KA2	2113.7065
RPS6KA3	716.9933	RPS6KA3	1557.5143
RPS6KA4	761.8054	RPS6KA4	508.1534
RPS6KA5	322.8674	RPS6KA5	353.019
RPS6KA6	53.9949	RPS6KA6	60.8197
RPS6KB1	905.0572	RPS6KB1	967.3865
RPS6KB2	1092.019	RPS6KB2	517.8493
RPS6KC1	1087.244	RPS6KC1	599.383
RPS6KL1	65.3816	RPS6KL1	91.6703
RPS6	23734.9769	RPS6	22603.3495
RPS7	4479.3717	RPS7	4543.4112
RPS8	16587.0824	RPS8	15550.4628
RPS9	9941.6708	RPS9	8730.2777
RPSAP58	8548.8231	RPSAP58	5043.6316
RPSAP9	13.9579	RPSAP9	16.7475
RPSA	5458.9933	RPSA	3276.7739
RPTOR	833.7986	RPTOR	950.1983
RPUSD1	448.8555	RPUSD1	239.3125
RPUSD2	137.7421	RPUSD2	124.7245
RPUSD3	376.1276	RPUSD3	305.4209
RPUSD4	305.971	RPUSD4	473.777
RQCD1	258.5878	RQCD1	185.5443
RRAD	12.8559	RRAD	117.673
RRAGA	1682.657	RRAGA	1837.814
RRAGB	229.5701	RRAGB	335.8308
RRAGC	442.6111	RRAGC	547.8184
RRAGD	119.0091	RRAGD	400.617
RRAS2	366.9448	RRAS2	451.3001
RRAS	631.4096	RRAS	838.6955
RRBP1	4005.1718	RRBP1	4239.3125
RREB1	1338.8528	RREB1	1352.1375
RRM1	2832.7114	RRM1	1379.903
RRM2B	1353.9126	RRM2B	1109.2993
RRM2	675.1197	RRM2	138.8277
RRN3P1	9.9174	RRN3P1	49.361
RRN3P2	8.8155	RRN3P2	8.3737
RRN3P3	50.1528	RRN3P3	71.353
RRN3	2062.0904	RRN3	1226.9722
RRP12	861.347	RRP12	602.0273
RRP15	875.3049	RRP15	517.4086
RRP1B	916.8111	RRP1B	966.9458
RRP1	329.479	RRP1	377.6994
RRP7A	390.4528	RRP7A	468.929
RRP7B	58.061	RRP7B	128.2503
RRP8	458.7729	RRP8	242.3975
RRP9	344.9061	RRP9	260.0264
RRS1	265.934	RRS1	259.5857
RSAD1	740.5013	RSAD1	806.9634
RSAD2	1145.2793	RSAD2	470.6919
RSBN1L	541.3483	RSBN1L	489.3345
RSBN1	653.081	RSBN1	821.5073
RSC1A1	363.9953	RSC1A1	353.182
RSF1	1507.0818	RSF1	1092.1111
RSL1D1	5451.647	RSL1D1	3952.8427
RSL24D1	1537.5687	RSL24D1	1857.2058
RSPH1	19.8349	RSPH1	18.5104
RSPH3	189.1658	RSPH3	174.9669
RSPH4A	19.8349	RSPH4A	18.9511
removed	removed	RSPH9	6.6108
RSPO1	41.5063	RSPO1	50.6831
RSPO3	160.5154	RSPO3	390.4804
RSPO4	11.0194	RSPO4	14.5439
RSPRY1	1068.8784	RSPRY1	550.9035
RSRC1	254.18	RSRC1	189.0701
RSRC2	1689.2686	RSRC2	1622.3006
RSU1	1839.4993	RSU1	1904.8039
RTCD1	624.798	RTCD1	532.3931
RTEL1	366.1478	RTEL1	347.3513
RTF1	1228.6592	RTF1	1650.0661
RTKN2	119.7438	RTKN2	50.6831
RTKN	831.962	RTKN	423.5346
RTN1	1094.5902	RTN1	408.55
RTN2	278.7899	RTN2	230.9387
RTN3	6454.7765	RTN3	5401.9392
RTN4IP1	142.8844	RTN4IP1	130.4539
RTN4RL1	1046.105	RTN4RL1	411.6351
RTN4RL2	65.3816	RTN4RL2	26.8841
RTN4R	38.2005	RTN4R	39.2243
RTN4	5502.7034	RTN4	7675.628
RTP4	251.6088	RTP4	134.4204
RTTN	255.6493	RTTN	325.6941
RUFY1	1968.0585	RUFY1	1168.7968
RUFY2	318.827	RUFY2	395.3283
RUFY3	747.1129	RUFY3	843.5434
RUFY4	5.877	removed	removed
RUNDC1	1066.3072	RUNDC1	957.6906
RUNDC2A	94.0319	RUNDC2A	97.8405
RUNDC2C	50.8617	RUNDC2C	47.1838
removed	removed	RUNDC3A	8.3737
RUNDC3B	49.9545	RUNDC3B	123.4024
RUNX1T1	104.684	RUNX1T1	157.338
RUNX1	4880.8439	RUNX1	3108.4178
RUNX2	568.2319	RUNX2	231.3795
RUNX3	168.5963	RUNX3	350.8153
RUSC1	957.9501	RUSC1	546.0555
RUSC2	920.117	RUSC2	966.9458
RUVBL1	850.4525	RUVBL1	592.2477
RUVBL2	1457.8619	RUVBL2	941.8246
RWDD1	1111.4866	RWDD1	929.9251
RWDD2A	113.1321	RWDD2A	106.6549
RWDD2B	434.163	RWDD2B	384.751
RWDD3	192.8389	RWDD3	238.8717
RWDD4A	499.5445	RWDD4A	495.8131
RXRA	1843.5397	RXRA	3065.227
RXRB	1047.207	RXRB	1240.6346
removed	removed	RXRG	11.4588
RYBP	1875.4959	RYBP	1579.5505
RYK	1279.7156	RYK	1550.9035
RYR1	78.9721	RYR1	305.8616
RYR2	27.1811	RYR2	33.4949
RYR3	15.0598	RYR3	133.539
S100A10	3295.5247	S100A10	3087.2631
S100A11	6851.1063	S100A11	3484.7951
removed	removed	S100A12	18.0696
S100A13	1606.2561	S100A13	1503.7461
S100A14	4526.755	S100A14	918.907
S100A16	3478.8134	S100A16	2018.9511
S100A1	936.646	S100A1	560.1587
S100A2	27.5484	S100A2	54.6496
S100A4	765.4785	S100A4	1601.1459
S100A6	2422.4237	S100A6	6513.0013
S100A8	38.5678	S100A8	221.6836
S100A9	164.1885	S100A9	427.9418
S100B	57.3007	S100B	956.3684
S100PBP	658.5907	S100PBP	609.9603
removed	removed	S100P	27.3248
S1PR1	811.0252	S1PR1	2034.8171
S1PR2	237.2837	S1PR2	405.9057
S1PR3	546.5201	S1PR3	839.5461
S1PR4	20.5695	S1PR4	34.8171
S1PR5	14.6925	S1PR5	28.647
SAA1	907.261	SAA1	17445.13
SAA2	147.2922	SAA2	7916.7034
SAA4	7.3462	SAA4	126.4874
SAAL1	278.7899	SAAL1	156.0159
SAC3D1	186.9619	SAC3D1	83.2966
SACM1L	1264.2884	SACM1L	1255.1785
SACS	469.0576	SACS	842.2212
SAE1	2518.2921	SAE1	1398.8541
SAFB2	935.5441	SAFB2	1349.0524
SAFB	1794.3199	SAFB	1791.0974
SALL1	62.0758	SALL1	37.4614
SALL2	669.6101	SALL2	587.4835
SALL4	56.9334	SALL4	11.8995
SAMD10	185.86	SAMD10	81.093
SAMD11	144.3463	SAMD11	14.4645
SAMD12	1324.8949	SAMD12	428.8233
SAMD13	10.2847	SAMD13	32.6135
SAMD14	17.2637	SAMD14	11.8995
SAMD1	286.1362	SAMD1	152.0494
SAMD3	22.0387	SAMD3	21.5954
SAMD4A	332.0502	SAMD4A	807.8449
SAMD4B	1741.7942	SAMD4B	1806.9634
SAMD5	228.1008	SAMD5	825.4738
SAMD8	164.9232	SAMD8	241.9568
SAMD9L	1705.4303	SAMD9L	1087.2631
SAMD9	1917.7368	SAMD9	778.3164
SAMHD1	1507.6511	SAMHD1	2013.9136
SAMM50	787.5173	SAMM50	1027.3248
SAMSN1	155.7404	SAMSN1	149.8457
SAP130	825.3504	SAP130	616.1305
SAP18	2382.3866	SAP18	2208.4619
SAP30BP	764.7439	SAP30BP	948.8762
SAP30L	1228.6592	SAP30L	1586.1613
SAP30	131.8651	SAP30	146.32
SAPS1	1738.1211	SAPS1	1410.7536
SAPS2	770.6209	SAPS2	1130.0132
SAPS3	2248.685	SAPS3	2194.3587
SAR1A	2812.1419	SAR1A	3150.2865
SAR1B	821.31	SAR1B	489.2023
SARDH	198.7159	SARDH	123.8431
SARM1	145.1287	SARM1	350.3878
SARNP	911.1619	SARNP	630.5333
SARS2	350.0485	SARS2	229.6166
SARS	2945.4762	SARS	2627.1485
SART1	1143.4427	SART1	1156.4566
SART3	1399.092	SART3	1393.1247
SASH1	1247.3921	SASH1	4242.3975
SASH3	267.7706	SASH3	214.1913
SASS6	197.9813	SASS6	128.6911
SAT1	2183.3035	SAT1	3845.3063
SAT2	323.9693	SAT2	667.695
SATB1	342.3349	SATB1	798.5897
SATB2	87.4203	SATB2	129.1318
SATL1	22.0387	SATL1	18.9511
SAV1	1084.6728	SAV1	1697.2234
SBDSP1	452.8959	SBDSP1	541.6483
SBDS	1729.3056	SBDS	2765.9762
SBF1	794.8635	SBF1	1751.8731
SBF2	2093.1908	SBF2	1709.8193
SBK1	512.7678	SBK1	185.1036
SBNO1	764.7439	SBNO1	775.6721
SBNO2	1763.833	SBNO2	1157.7788
SC4MOL	1113.3231	SC4MOL	610.4011
SC5DL	1016.3527	SC5DL	2009.2552
SC65	803.679	SC65	323.4905
SCAF1	1285.5925	SCAF1	1165.271
SCAI	358.864	SCAI	426.6197
SCAMP1	2297.9049	SCAMP1	1500.2204
SCAMP2	2245.3792	SCAMP2	2037.4614
SCAMP3	1289.2657	SCAMP3	985.0154
SCAMP4	1885.7806	SCAMP4	1307.6245
SCAMP5	242.426	SCAMP5	264.8744
SCAND1	327.2751	SCAND1	257.3821
SCAND2	310.3788	SCAND2	279.4182
SCAND3	11.3867	SCAND3	50.2424
SCAPER	374.2911	SCAPER	424.416
SCAP	1905.9571	SCAP	1906.0203
SCARA3	704.5047	SCARA3	891.1415
SCARA5	58.7699	SCARA5	853.68
SCARB1	2332.0649	SCARB1	2171.8819
SCARB2	6455.5112	SCARB2	6692.3755
SCARF1	157.5769	SCARF1	533.7153
SCARF2	354.4562	SCARF2	265.7558
removed	removed	SCARNA10	6.6108
removed	removed	SCARNA17	5.7294
removed	removed	SCARNA9	6.1701
SCCPDH	3449.4285	SCCPDH	1228.7351
SCD5	263.3628	SCD5	460.5553
SCD	32273.5153	SCD	87343.323
SCFD1	950.2365	SCFD1	971.7937
SCFD2	361.4352	SCFD2	320.8462
SCG2	136.6401	SCG2	110.6214
removed	removed	SCG3	5.7294
SCG5	90.3588	SCG5	144.1164
SCGB1D2	287.6054	SCGB1D2	438.0784
SCGB2A1	53.2603	SCGB2A1	39.6651
SCGB2A2	989.5389	SCGB2A2	799.9119
SCGB3A1	5.877	SCGB3A1	64.3455
SCHIP1	141.4152	SCHIP1	255.6192
SCIN	669.9333	SCIN	190.4143
SCLT1	141.7825	SCLT1	170.119
SCLY	251.2415	SCLY	173.2041
SCMH1	945.4615	SCMH1	991.1855
SCML1	194.6754	SCML1	282.0626
SCML2	39.6697	SCML2	47.5981
SCML4	17.9983	SCML4	26.8841
SCN11A	10.6521	SCN11A	39.6651
SCN1B	111.2956	SCN1B	195.6809
SCN2A	37.4658	SCN2A	197.0031
SCN2B	34.5273	SCN2B	194.3587
SCN3A	24.9772	SCN3A	201.4103
SCN3B	36.7312	SCN3B	130.8947
SCN4A	37.8332	SCN4A	298.3693
SCN4B	279.1572	SCN4B	1238.431
SCN5A	12.8559	SCN5A	38.7836
SCN7A	47.016	SCN7A	225.6501
SCN8A	26.0792	SCN8A	59.4976
SCN9A	12.8559	SCN9A	59.4976
SCNM1	314.4192	SCNM1	332.305
SCNN1A	4299.7561	SCNN1A	2038.7836
SCNN1B	128.5593	SCNN1B	364.4777
SCNN1D	36.3639	SCNN1D	40.5465
SCNN1G	199.0832	SCNN1G	178.4927
SCO1	570.4358	SCO1	384.3103
SCO2	305.2364	SCO2	277.2146
SCOC	1769.71	SCOC	1415.1609
SCP2	2835.2825	SCP2	2724.5483
SCPEP1	1608.4599	SCPEP1	3028.647
removed	removed	SCRG1	12.3402
SCRIB	1887.2499	SCRIB	1068.7528
SCRN1	1933.8985	SCRN1	1591.8907
SCRN2	457.3036	SCRN2	974.8788
SCRN3	423.5109	SCRN3	345.5267
SCT	12.1213	removed	removed
SCUBE1	65.0143	SCUBE1	49.8017
SCUBE2	39879.0808	SCUBE2	8446.0115
SCUBE3	69.422	SCUBE3	29.5284
SCYL1	2153.7054	SCYL1	1544.6276
SCYL2	1368.6051	SCYL2	999.5593
SCYL3	429.465	SCYL3	381.7761
SDAD1	1003.8641	SDAD1	904.8039
SDC1	5382.225	SDC1	1938.7395
SDC2	2556.8599	SDC2	2687.5275
SDC3	3107.8282	SDC3	4298.3693
SDC4	3080.2797	SDC4	5144.9978
SDCBP2	39.2767	SDCBP2	62.0802
SDCBP	2759.2489	SDCBP	4898.6338
SDCCAG1	1196.703	SDCCAG1	1031.732
SDCCAG3	534.8065	SDCCAG3	446.0115
SDCCAG8	718.8299	SDCCAG8	585.2799
SDF2L1	165.2905	SDF2L1	145.4385
SDF2	617.0844	SDF2	662.8471
SDF4	2026.8285	SDF4	2338.9158
SDHAF1	143.2517	SDHAF1	126.4874
SDHAF2	728.38	SDHAF2	548.6999
SDHAP1	128.5593	SDHAP1	285.1476
SDHAP2	103.9493	SDHAP2	189.9515
SDHAP3	87.053	SDHAP3	148.5236
SDHA	2464.2973	SDHA	2289.9956
SDHB	1292.2042	SDHB	964.3015
SDHC	1790.6468	SDHC	1464.5218
SDHD	946.1961	SDHD	1529.7488
SDK1	301.5633	SDK1	818.4222
SDK2	91.4607	SDK2	220.3614
SDPR	483.0155	SDPR	3710.8859
SDR16C5	114.6014	SDR16C5	70.0749
SDR39U1	457.1714	SDR39U1	516.3288
SDR42E1	134.8036	SDR42E1	169.6783
SDSL	357.0274	SDSL	185.5443
SDS	210.8372	SDS	107.0956
SEC11A	2499.1919	SEC11A	2061.2605
SEC11C	604.9631	SEC11C	388.7175
SEC13	1677.1473	SEC13	1454.3852
SEC14L1	1590.0943	SEC14L1	3276.3332
SEC14L2	935.8195	SEC14L2	977.7876
removed	removed	SEC14L5	24.2398
SEC16A	4760.3655	SEC16A	3781.8422
SEC16B	96.3827	SEC16B	250.7228
SEC1	5.877	SEC1	17.1882
SEC22A	336.0906	SEC22A	356.5447
SEC22B	1789.5448	SEC22B	1517.8493
SEC22C	808.0867	SEC22C	831.2032
SEC23A	1635.2737	SEC23A	1760.2468
SEC23B	2337.5746	SEC23B	1372.8515
SEC23IP	1773.3831	SEC23IP	1191.7144
SEC24A	1342.1586	SEC24A	1008.8145
SEC24B	1449.7811	SEC24B	1364.037
SEC24C	3334.0924	SEC24C	2724.1075
SEC24D	2708.9272	SEC24D	1176.2891
SEC31A	5295.6642	SEC31A	4323.6756
SEC31B	114.2378	SEC31B	206.981
SEC61A1	7796.1785	SEC61A1	5815.0198
SEC61A2	119.5601	SEC61A2	107.7699
SEC61B	1074.0207	SEC61B	828.5588
SEC61G	822.0446	SEC61G	457.0295
SEC62	2844.8327	SEC62	4040.1058
SEC63	2783.8588	SEC63	2824.1516
SECISBP2L	1053.4513	SECISBP2L	2073.16
SECISBP2	1094.2229	SECISBP2	1041.4279
SECTM1	481.5462	SECTM1	307.6245
SEH1L	883.753	SEH1L	683.561
removed	removed	SEL1L2	21.1547
SEL1L3	503.2177	SEL1L3	561.9216
SEL1L	4383.5033	SEL1L	3802.1155
SELENBP1	3515.5447	SELENBP1	2402.8206
SELE	337.5599	SELE	1801.6747
SELK	362.9044	SELK	538.5632
SELL	242.0587	SELL	297.0472
SELM	755.1938	SELM	630.2336
SELO	221.1219	SELO	323.0498
SELPLG	446.6516	SELPLG	447.3336
SELP	393.3913	SELP	521.8158
SELS	706.7086	SELS	615.6897
SELT	2228.4829	SELT	1567.2102
SEMA3A	31.5888	SEMA3A	191.7144
SEMA3B	620.3902	SEMA3B	523.1379
SEMA3C	4751.5501	SEMA3C	5692.8162
SEMA3D	256.7512	SEMA3D	432.3491
SEMA3E	106.8878	SEMA3E	207.1397
SEMA3F	3091.2991	SEMA3F	1416.0423
SEMA3G	853.6335	SEMA3G	3719.2596
SEMA4A	455.4671	SEMA4A	520.0529
SEMA4B	3069.995	SEMA4B	1475.5399
SEMA4C	916.0765	SEMA4C	1230.498
SEMA4D	638.0212	SEMA4D	514.3235
SEMA4F	271.0764	SEMA4F	263.9929
SEMA4G	81.3413	SEMA4G	85.8748
SEMA5A	948.0327	SEMA5A	2608.1974
SEMA5B	24.9772	SEMA5B	29.9691
SEMA6A	259.6897	SEMA6A	1031.732
SEMA6B	245.7318	SEMA6B	539.8854
SEMA6C	119.7438	SEMA6C	288.6734
SEMA6D	233.2432	SEMA6D	673.4244
SEMA7A	122.3149	SEMA7A	126.0467
SENP1	726.9108	SENP1	463.1996
SENP2	686.1391	SENP2	904.8039
SENP3	940.6864	SENP3	877.9374
SENP5	698.2604	SENP5	815.3372
SENP6	1897.5346	SENP6	2018.9511
SENP7	412.4916	SENP7	602.468
SENP8	101.7455	SENP8	48.4795
SEP15	2658.6054	SEP15	2535.4782
SEPHS1	965.6637	SEPHS1	1033.9357
SEPHS2	2203.5056	SEPHS2	1213.3098
SEPN1	4282.4924	SEPN1	3791.5381
SEPP1	7282.7863	SEPP1	13772.2918
SEPSECS	291.2785	SEPSECS	396.2098
SEPT10	1736.6519	SEPT10	1974.4381
SEPT11	3545.2969	SEPT11	3840.4584
SEPT1	52.1583	SEPT1	60.8197
SEPT2	7374.8935	SEPT2	9333.1864
SEPT3	64.2796	SEPT3	172.3226
SEPT4	181.4522	SEPT4	468.4883
SEPT5	363.639	SEPT5	540.7669
SEPT6	754.4592	SEPT6	750.1102
SEPT7P2	139.9459	SEPT7P2	234.9052
SEPT7	3151.9056	SEPT7	3565.4473
SEPT8	2844.5535	SEPT8	1591.7629
SEPT9	6775.8074	SEPT9	4421.331
SEPW1	2773.5741	SEPW1	2313.3539
SEPX1	467.9557	SEPX1	354.7818
SERAC1	228.8355	SERAC1	234.4645
SERBP1	6476.0806	SERBP1	5510.357
SERF1A	590.2706	SERF1A	441.6042
SERF2	5321.9785	SERF2	4559.9339
SERGEF	323.602	SERGEF	262.2301
SERHL2	175.9168	SERHL2	212.4284
SERHL	112.0302	SERHL	153.8123
SERINC1	6786.4594	SERINC1	9181.5778
SERINC2	5535.0269	SERINC2	1498.0167
SERINC3	2552.8195	SERINC3	3351.2561
removed	removed	SERINC4	6.7739
SERINC5	380.9027	SERINC5	285.1476
SERP1	4281.2509	SERP1	3200.6963
SERP2	29.0177	SERP2	54.6496
SERPINA10	5.877	removed	removed
SERPINA11	444.4477	SERPINA11	102.6884
SERPINA12	11.0194	SERPINA12	5.2887
SERPINA1	16904.8074	SERPINA1	7216.8356
SERPINA3	16760.0864	SERPINA3	6877.4791
SERPINA5	1262.4519	SERPINA5	659.3213
SERPINA6	642.7963	SERPINA6	640.8109
SERPINA9	9.5501	removed	removed
SERPINB1	934.0748	SERPINB1	931.2472
removed	removed	SERPINB2	5.7294
SERPINB5	246.4665	SERPINB5	757.6025
SERPINB6	1934.6331	SERPINB6	1984.134
SERPINB8	198.7159	SERPINB8	185.5443
SERPINB9	251.8953	SERPINB9	427.0604
SERPINE1	1987.1588	SERPINE1	2771.7056
SERPINE2	710.3817	SERPINE2	449.978
SERPINF1	3871.8374	SERPINF1	7594.535
SERPINF2	80.8087	SERPINF2	148.5236
SERPING1	7951.5736	SERPING1	11973.1159
SERPINH1	6069.8334	SERPINH1	4113.2658
SERPINI1	201.6544	SERPINI1	248.1269
SERTAD1	333.5194	SERTAD1	1039.2243
SERTAD2	1334.4451	SERTAD2	1433.6712
SERTAD3	999.8237	SERTAD3	1030.4099
SERTAD4	286.1362	SERTAD4	212.4284
SESN1	1071.8169	SESN1	1089.9074
SESN2	756.2957	SESN2	568.0917
SESN3	470.5269	SESN3	413.8387
SESTD1	1539.7726	SESTD1	1983.6933
SETBP1	887.0589	SETBP1	968.7087
SETD1A	1007.5372	SETD1A	822.3887
SETD1B	958.6847	SETD1B	1036.1393
SETD2	2524.9038	SETD2	2542.9705
SETD3	1365.6666	SETD3	1520.9343
SETD4	302.6652	SETD4	319.524
SETD5	2793.409	SETD5	2720.5818
SETD6	333.2697	SETD6	301.2428
SETD7	2524.1691	SETD7	4088.5853
SETD8	619.6556	SETD8	738.2107
SETDB1	1100.8345	SETDB1	947.9947
SETDB2	334.6214	SETDB2	486.9987
SETMAR	495.8714	SETMAR	697.2234
SETX	2833.0787	SETX	3038.7836
SET	7567.365	SET	4959.0128
SEZ6L2	293.4824	SEZ6L2	423.5346
SEZ6L	5.877	SEZ6L	12.3402
SF1	5933.5606	SF1	5182.0185
SF3A1	2802.5367	SF3A1	3580.4187
SF3A2	997.9871	SF3A2	940.0617
SF3A3	1774.485	SF3A3	1596.2979
SF3B14	974.4792	SF3B14	833.4068
SF3B1	7439.1731	SF3B1	7762.8911
SF3B2	6155.7844	SF3B2	4488.7616
SF3B3	3620.5959	SF3B3	3191.7144
SF3B4	1729.6729	SF3B4	1265.7558
SF3B5	982.56	SF3B5	872.6311
SF4	717.728	SF4	494.0502
SFI1	362.9044	SFI1	380.3438
SFMBT1	479.7097	SFMBT1	337.5937
SFMBT2	76.7682	SFMBT2	182.4592
SFN	610.5757	SFN	707.9683
SFPQ	5515.4749	SFPQ	3994.9625
SFRP1	3139.417	SFRP1	13348.6117
SFRP2	23323.9546	SFRP2	9628.03
SFRP4	5816.7553	SFRP4	3682.6796
removed	removed	SFRP5	7.4923
SFRS11	3057.8737	SFRS11	3225.2093
SFRS12IP1	632.5115	SFRS12IP1	620.097
SFRS12	2092.21	SFRS12	1634.6408
SFRS13A	1843.5397	SFRS13A	1695.9013
SFRS13B	16.1617	SFRS13B	15.866
SFRS14	1283.4328	SFRS14	1328.3385
SFRS15	824.2485	SFRS15	929.0436
SFRS16	357.0274	SFRS16	404.5835
SFRS17A	527.0929	SFRS17A	830.3217
SFRS18	1438.3944	SFRS18	2412.067
