gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
AGBL2	13.4616	AGBL2	5.8795
AGBL4	11.086	removed	removed
AGBL5	550.7413	AGBL5	1043.1945
AGER	7.9186	AGER	10.2891
AGFG1	1318.4438	AGFG1	1457.6188
AGFG2	405.0354	AGFG2	592.3567
AGGF1	924.8903	AGGF1	806.9574
AGK	496.0991	AGK	571.7785
AGL	495.7032	AGL	883.3905
AGMAT	22.9639	AGMAT	11.269
AGPAT1	1678.9411	AGPAT1	1815.4777
AGPAT2	994.5738	AGPAT2	377.266
AGPAT3	3151.9912	AGPAT3	1551.2004
AGPAT4	82.7492	AGPAT4	167.5649
AGPAT5	924.4943	AGPAT5	816.7565
AGPAT6	3543.1691	AGPAT6	3977.462
AGPAT9	25.3395	AGPAT9	87.2122
AGPHD1	28.111	AGPHD1	54.8751
AGPS	2477.724	AGPS	920.1372
AGR2	10802.9243	AGR2	3460.0686
AGR3	3606.1219	AGR3	454.1891
AGRN	6415.6344	AGRN	5442.4302
AGTPBP1	351.585	AGTPBP1	385.5953
AGTR1	404.2436	AGTR1	203.8217
AGTRAP	783.5436	AGTRAP	678.5889
AGT	4262.5722	AGT	36.7467
AGXT2L2	290.2516	AGXT2L2	364.1891
AHCTF1	3081.1199	AHCTF1	1454.6791
AHCYL1	6315.8603	AHCYL1	4146.0069
AHCYL2	995.3657	AHCYL2	617.3444
AHCY	5446.796	AHCY	5770.7006
AHDC1	756.6204	AHDC1	1947.5747
AHI1	509.9566	AHI1	262.6164
AHNAK2	1063.8614	AHNAK2	426.2616
AHNAK	20962.8599	AHNAK	52644.782
AHRR	12.2738	AHRR	23.0279
AHR	4113.307	AHR	2130.3283
AHSA1	1995.4824	AHSA1	2218.0304
AHSA2	87.8963	AHSA2	244.488
AIDA	1843.9327	AIDA	713.5522
AIF1L	739.5955	AIF1L	4046.0559
AIF1	159.5594	AIF1	262.6164
AIFM1	1044.0649	AIFM1	684.4684
AIFM2	453.7347	AIFM2	333.66
AIFM3	31.6743	AIFM3	11.269
AIG1	821.5528	AIG1	951.4944
AIM1L	29.6947	removed	removed
AIM1	346.042	AIM1	2296.9133
AIMP1	1027.9269	AIMP1	1457.1289
AIMP2	446.0022	AIMP2	340.3822
AIP	835.0144	AIP	1012.2489
AJAP1	26.9232	AJAP1	43.1161
AK1	1257.4707	AK1	427.2415
AK2	1999.0458	AK2	2250.3675
AK3L1	170.2495	AK3L1	671.7295
AK3	1881.4549	AK3	1331.2102
AK5	461.6533	AK5	1599.706
AK7	31.2784	AK7	35.7668
AKAP10	468.78	AKAP10	520.8231
AKAP11	1473.252	AKAP11	1340.0294
AKAP12	569.346	AKAP12	582.0676
AKAP13	2481.2874	AKAP13	4713.3758
AKAP1	1071.78	AKAP1	3682.5086
AKAP2	602.513	AKAP2	1329.7746
AKAP3	18.2127	AKAP3	61.7344
AKAP5	232.0144	AKAP5	31.8471
AKAP6	95.023	AKAP6	368.9368
AKAP7	105.3171	AKAP7	212.1509
AKAP8L	593.4977	AKAP8L	721.705
AKAP8	551.1332	AKAP8	881.4307
AKAP9	2445.6538	AKAP9	1767.2709
AKD1	212.6139	AKD1	162.6654
AKIRIN1	992.1982	AKIRIN1	1032.3371
AKIRIN2	607.7511	AKIRIN2	799.608
AKNAD1	5.1471	AKNAD1	5.8795
AKNA	367.4222	AKNA	508.5742
AKR1A1	3065.2828	AKR1A1	2022.538
removed	removed	AKR1B10	151.3964
AKR1B1	262.105	AKR1B1	819.6962
AKR1C1	17.8168	AKR1C1	435.0808
AKR1C2	13.0657	AKR1C2	165.6051
AKR1C3	403.0558	AKR1C3	756.9819
removed	removed	AKR1E2	47.5257
AKR7A2	1503.3426	AKR7A2	1162.6654
AKR7A3	948.2501	AKR7A3	165.1151
AKR7L	51.4708	AKR7L	11.269
AKT1S1	1147.7983	AKT1S1	958.8437
AKT1	5286.4448	AKT1	3316.0216
AKT2	2540.2808	AKT2	2162.1754
AKT3	1060.6939	AKT3	471.3376
AKTIP	415.8087	AKTIP	602.5527
ALAD	1304.9822	ALAD	1690.3479
ALAS1	1069.4044	ALAS1	617.3444
ALB	78.394	ALB	38.7065
ALCAM	4599.1119	ALCAM	1846.6438
ALDH16A1	757.8082	ALDH16A1	618.3244
ALDH18A1	3285.4193	ALDH18A1	1970.6026
ALDH1A1	121.5502	ALDH1A1	709.4561
ALDH1A2	22.9639	ALDH1A2	289.5639
ALDH1A3	370.0274	ALDH1A3	3849.3239
ALDH1B1	747.5141	ALDH1B1	454.6791
removed	removed	ALDH1L1	205.2915
ALDH1L2	270.8155	ALDH1L2	154.8261
ALDH2	479.4701	ALDH2	2076.9231
removed	removed	ALDH3A1	228.8094
ALDH3A2	3201.0864	ALDH3A2	1535.0318
ALDH3B1	153.6205	ALDH3B1	98.4811
ALDH3B2	202.3197	ALDH3B2	227.8295
ALDH4A1	457.2981	ALDH4A1	646.7418
ALDH5A1	633.0906	ALDH5A1	689.368
ALDH6A1	454.8869	ALDH6A1	424.145
ALDH7A1	2259.1712	ALDH7A1	4123.9588
ALDH8A1	6.7308	ALDH8A1	9.3092
ALDH9A1	4854.8821	ALDH9A1	5155.316
ALDOA	18491.4707	ALDOA	15268.0059
ALDOC	97.7945	ALDOC	766.291
ALG10B	160.3513	ALG10B	237.6286
ALG10	71.6632	ALG10	72.0235
ALG11	14.2534	ALG11	12.7389
ALG12	634.6743	ALG12	674.1793
