gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
removed	removed	ALX4	28.7971
AMACR	480.2756	AMACR	188.3282
removed	removed	AMBP	8.1549
AMBRA1	934.2877	AMBRA1	944.1896
AMD1	1207.6853	AMD1	1839.4495
AMDHD1	5.3818	AMDHD1	27.2681
AMDHD2	75.1305	AMDHD2	136.9546
AMFR	6430.0091	AMFR	3265.5454
AMH	10.979	removed	removed
AMICA1	94.0746	AMICA1	185.525
AMIGO1	90.1997	AMIGO1	203.3639
AMIGO2	348.7412	AMIGO2	2359.0724
AMIGO3	75.3458	AMIGO3	41.0296
AMMECR1L	979.9257	AMMECR1L	1048.9297
AMMECR1	429.9015	AMMECR1	259.684
AMN1	169.8509	AMN1	279.5617
AMOTL1	871.8583	AMOTL1	2859.0724
AMOTL2	1254.3997	AMOTL2	3642.2018
AMOT	1012.6473	AMOT	1132.7727
AMPD1	8.8262	AMPD1	45.8716
AMPD2	474.4632	AMPD2	547.1458
AMPD3	225.6068	AMPD3	212.0285
AMPH	58.985	AMPH	71.6106
AMT	44.9362	AMT	244.1922
removed	removed	AMY1A	34.6585
AMY2B	91.7152	AMY2B	479.3705
AMZ1	5.5971	AMZ1	7.3904
AMZ2P1	366.6111	AMZ2P1	277.2681
AMZ2	1940.4768	AMZ2	958.9704
ANAPC10	153.2749	ANAPC10	142.4567
ANAPC11	673.5913	ANAPC11	361.6208
ANAPC13	2094.0767	ANAPC13	1118.7997
ANAPC16	2409.5582	ANAPC16	2553.5168
ANAPC1	888.6497	ANAPC1	950.051
ANAPC2	506.1084	ANAPC2	606.7788
ANAPC4	548.7326	ANAPC4	691.6412
ANAPC5	2341.7469	ANAPC5	1926.8603
ANAPC7	985.0923	ANAPC7	777.7778
ANGEL1	501.3724	ANGEL1	750
ANGEL2	1164.6305	ANGEL2	967.6351
ANGPT1	60.2766	ANGPT1	501.5291
ANGPT2	311.0704	ANGPT2	788.2263
