gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
AHNAK2	339.6534	AHNAK2	1109.1082
AHNAK	37484.9973	AHNAK	76152.7514
removed	removed	AHRR	5.6926
AHR	883.752	AHR	4113.3776
AHSA1	1725.3739	AHSA1	1144.2125
AHSA2	137.1677	AHSA2	562.1442
AIDA	1510.5464	AIDA	908.4535
AIF1L	134.8816	AIF1L	1615.2751
AIF1	335.0811	AIF1	657.9696
AIFM1	1094.0758	AIFM1	710.6262
AIFM2	196.2805	AIFM2	1537.9507
AIFM3	64.4035	AIFM3	22.7704
AIG1	637.5033	AIG1	954.9336
AIM1	902.6942	AIM1	4072.1063
removed	removed	AIM2	9.962
AIMP1	1419.4507	AIMP1	914.5161
AIMP2	417.2642	AIMP2	232.4763
AIP	583.2894	AIP	794.592
AJAP1	18.6156	AJAP1	11.3852
AK1	454.2864	AK1	449.7154
AK2	2354.7124	AK2	1904.1746
AK3L1	321.3644	AK3L1	398.482
AK3	1356.0008	AK3	1865.2751
AK5	14.37	AK5	1581.1195
AK7	96.0174	AK7	45.0664
AKAP10	829.2115	AKAP10	524.1935
AKAP11	910.5324	AKAP11	1738.6148
AKAP12	184.8498	AKAP12	3921.2524
AKAP13	1328.8939	AKAP13	3340.1328
AKAP1	1662.3421	AKAP1	2120.019
AKAP2	187.6977	AKAP2	2185.3368
AKAP3	18.9422	AKAP3	29.4118
AKAP5	427.506	AKAP5	84.9146
AKAP6	57.4798	AKAP6	141.8406
AKAP7	61.7255	AKAP7	241.4611
AKAP8L	681.5929	AKAP8L	894.2125
AKAP8	753.4427	AKAP8	739.0892
AKAP9	2017.9984	AKAP9	2495.7306
AKD1	72.5029	AKD1	141.8406
AKIRIN1	1196.625	AKIRIN1	1592.5047
AKIRIN2	251.4741	AKIRIN2	750.9488
AKNAD1	5.2254	removed	removed
AKNA	284.7863	AKNA	856.7362
AKR1A1	2294.9465	AKR1A1	1670.778
AKR1B10	78.7081	AKR1B10	5.2182
removed	removed	AKR1B15	71.1575
AKR1B1	581.983	AKR1B1	1585.8634
AKR1C1	8.8179	AKR1C1	1831.5939
removed	removed	AKR1C2	1844.8767
AKR1C3	218.4886	AKR1C3	1822.1063
removed	removed	AKR1D1	27.0398
removed	removed	AKR1E2	33.2068
AKR7A2	2537.2761	AKR7A2	1018.0266
AKR7A3	5178.0813	AKR7A3	129.5066
AKR7L	168.8469	AKR7L	18.5009
AKT1S1	804.7173	AKT1S1	666.0342
AKT1	3614.0427	AKT1	3401.8027
AKT2	1869.4	AKT2	3188.8046
AKT3	138.4741	AKT3	1137.0968
AKTIP	794.4232	AKTIP	617.1347
ALAD	2475.2241	ALAD	2047.4383
ALAS1	746.9109	ALAS1	1335.8634
ALB	9.4711	ALB	644.6869
ALCAM	5856.7349	ALCAM	2902.277
ALDH16A1	287.0724	ALDH16A1	478.6528
ALDH18A1	3668.9098	ALDH18A1	1225.3321
ALDH1A1	266.1707	ALDH1A1	2433.112
removed	removed	ALDH1A2	359.1082
ALDH1A3	45.1543	ALDH1A3	2797.6423
ALDH1B1	859.5843	ALDH1B1	591.0816
removed	removed	ALDH1L1	1144.6869
ALDH1L2	88.8324	ALDH1L2	174.5731
ALDH2	916.7376	ALDH2	9181.6888
removed	removed	ALDH3A1	26.0911
ALDH3A2	1930.1457	ALDH3A2	2583.0171
ALDH3B1	145.6591	ALDH3B1	341.556
ALDH3B2	2053.2701	ALDH3B2	3267.0778
ALDH4A1	457.5523	ALDH4A1	1983.3966
ALDH5A1	796.8791	ALDH5A1	522.7704
ALDH6A1	922.8742	ALDH6A1	462.0731
ALDH7A1	2426.8888	ALDH7A1	1751.8975
removed	removed	ALDH8A1	6.167
ALDH9A1	4304.4535	ALDH9A1	3251.8975
ALDOA	49046.2761	ALDOA	17738.1404
removed	removed	ALDOB	10.4364
ALDOC	13.0636	ALDOC	1940.2277
ALG10B	431.4251	ALG10B	302.1822
ALG10	176.6851	ALG10	91.0816
ALG11	6.2052	ALG11	10.9108
ALG12	759.3213	ALG12	367.6471
ALG13	522.2171	ALG13	506.6414
ALG14	309.9337	ALG14	184.5351
removed	removed	ALG1L	7.0256
ALG1	770.7323	ALG1	367.1347
ALG2	1620.212	ALG2	691.6509
ALG3	872.6479	ALG3	381.8786
ALG5	528.0957	ALG5	530.3605
ALG6	338.0204	ALG6	252.3719
ALG8	1784.1601	ALG8	544.1176
ALG9	422.2806	ALG9	563.093
ALKBH1	360.5551	ALKBH1	246.2049
ALKBH2	371.9858	ALKBH2	245.7306
ALKBH3	409.8702	ALKBH3	360.5313
ALKBH4	275.1617	ALKBH4	177.5664
ALKBH5	1805.6823	ALKBH5	1850.5693
ALKBH6	91.4451	ALKBH6	86.8121
ALKBH7	583.2894	ALKBH7	338.2353
ALKBH8	403.9916	ALKBH8	242.4099
removed	removed	ALK	31.3093
ALMS1	1080.0325	ALMS1	750.4744
ALOX12P2	36.5781	ALOX12P2	45.5408
ALOX15B	97.6503	ALOX15B	772.7704
removed	removed	ALOX15	26.0911
ALOX5AP	350.1043	ALOX5AP	461.575
ALOX5	174.0724	ALOX5	1195.4459
removed	removed	ALOXE3	10.4364
ALPK1	619.5408	ALPK1	706.8311
ALPK2	21.2283	ALPK2	6.167
ALPK3	68.2573	ALPK3	140.8918
ALPL	1009.8157	ALPL	724.3833
ALS2CL	50.6214	ALS2CL	387.5712
ALS2CR11	21.8815	ALS2CR11	11.3852
ALS2CR4	362.1881	ALS2CR4	1074.0038
ALS2CR8	177.6649	ALS2CR8	204.4592
ALS2	635.5437	ALS2	642.7894
removed	removed	ALX3	25.6167
AMACR	543.772	AMACR	233.871
AMBRA1	1072.1943	AMBRA1	1074.0038
AMD1	564.0206	AMD1	1829.222
AMDHD1	11.7572	AMDHD1	37.9507
AMDHD2	178.9092	AMDHD2	185.1755
AMFR	10567.1395	AMFR	3247.6281
AMICA1	87.8527	AMICA1	406.5465
AMIGO1	207.0579	AMIGO1	104.8387
AMIGO2	218.8152	AMIGO2	1731.9687
AMIGO3	115.9394	AMIGO3	32.7324
AMMECR1L	848.4803	AMMECR1L	935.4839
AMMECR1	193.6678	AMMECR1	182.6376
AMN1	329.5291	AMN1	225.8065
AMOTL1	150.8845	AMOTL1	1951.6129
AMOTL2	1107.7926	AMOTL2	5252.8463
AMOT	1308.9719	AMOT	847.723
removed	removed	AMPD1	6.6414
AMPD2	537.2402	AMPD2	602.9412
AMPD3	224.6938	AMPD3	346.7742
AMPH	10.1243	AMPH	26.5655
AMT	17.9624	AMT	211.8548
removed	removed	AMY1A	7.1157
removed	removed	AMY2A	8.5389
AMY2B	15.1146	AMY2B	375.9488
removed	removed	AMZ1	5.6926
AMZ2P1	310.5869	AMZ2P1	254.2694
AMZ2	2468.0391	AMZ2	1102.9412
ANAPC10	165.581	ANAPC10	156.0721
ANAPC11	1287.0904	ANAPC11	650.8539
ANAPC13	1827.2307	ANAPC13	1220.5693
ANAPC16	2411.2125	ANAPC16	2400.3795
ANAPC1	607.1304	ANAPC1	554.0797
ANAPC2	640.4426	ANAPC2	712.9981
ANAPC4	409.8702	ANAPC4	602.4668
ANAPC5	1952.3538	ANAPC5	2199.7154
ANAPC7	1397.8043	ANAPC7	811.6698
ANGEL1	412.1563	ANGEL1	534.1556
ANGEL2	1503.2928	ANGEL2	572.5806
ANGPT1	23.8411	ANGPT1	515.1803
ANGPT2	151.2111	ANGPT2	277.9886
removed	removed	ANGPT4	31.7837
ANGPTL1	10.4509	ANGPTL1	150.8539
ANGPTL2	261.5984	ANGPTL2	4298.3871
removed	removed	ANGPTL3	5.6926
ANGPTL4	83.9336	ANGPTL4	2071.1575
removed	removed	ANGPTL5	5.2182
removed	removed	ANGPTL7	113.852
ANG	640.1748	ANG	454.7106
removed	removed	ANK1	13.7571
ANK2	116.266	ANK2	907.4953
ANK3	1171.151	ANK3	975.3321
ANKAR	42.4567	ANKAR	54.5541
ANKDD1A	10.1243	ANKDD1A	322.1063
ANKFN1	17.3093	removed	removed
ANKFY1	979.1162	ANKFY1	1701.1385
ANKHD1-EIF4EBP3	1898.9205	ANKHD1-EIF4EBP3	1148.3776
ANKHD1	1763.7907	ANKHD1	2008.7381
ANKH	412.8095	ANKH	2169.3548
ANKIB1	1131.3071	ANKIB1	1295.0664
ANKK1	23.8411	ANKK1	29.4118
removed	removed	ANKLE1	9.0133
ANKLE2	1363.1858	ANKLE2	1679.7913
ANKMY1	343.8991	ANKMY1	294.592
ANKMY2	484.0061	ANKMY2	596.2998
ANKRA2	415.0956	ANKRA2	281.3093
ANKRD10	533.9743	ANKRD10	1620.0522
ANKRD11	1316.8721	ANKRD11	2294.7106
ANKRD12	1451.3651	ANKRD12	1546.9639
ANKRD13A	755.0756	ANKRD13A	1351.0436
ANKRD13B	56.1734	ANKRD13B	89.1841
ANKRD13C	683.879	ANKRD13C	627.1347
ANKRD13D	434.691	ANKRD13D	522.296
ANKRD16	253.4337	ANKRD16	135.5313
ANKRD17	2724.0855	ANKRD17	2540.797
ANKRD19	22.2081	ANKRD19	76.3757
ANKRD20A3	5.552	ANKRD20A3	10.4364
ANKRD22	82.3006	ANKRD22	85.389
ANKRD23	21.5549	ANKRD23	45.5408
ANKRD24	106.7949	ANKRD24	31.7837
ANKRD26	338.0204	ANKRD26	232.9222
ANKRD27	672.1218	ANKRD27	731.4991
ANKRD28	1012.1018	ANKRD28	1422.2011
ANKRD29	85.2399	ANKRD29	258.0645
ANKRD30A	1047.0469	ANKRD30A	833.9658
ANKRD30B	205.0984	ANKRD30B	44.592
ANKRD31	6.8584	removed	removed
ANKRD32	162.3151	ANKRD32	138.0455
ANKRD34A	12.4104	ANKRD34A	7.5901
ANKRD35	158.7226	ANKRD35	174.5731
ANKRD36BP1	58.133	ANKRD36BP1	97.723
ANKRD36B	10.7775	ANKRD36B	42.6945
ANKRD36	60.7457	ANKRD36	307.4004
ANKRD37	127.272	ANKRD37	166.888
ANKRD39	145.6591	ANKRD39	105.7875
ANKRD40	1766.8508	ANKRD40	2187.3814
ANKRD42	708.6999	ANKRD42	293.1689
ANKRD43	171.7862	ANKRD43	135.6736
ANKRD44	54.5405	ANKRD44	63.093
removed	removed	ANKRD45	13.7571
ANKRD46	461.2852	ANKRD46	537.9507
ANKRD49	274.9886	ANKRD49	262.8083
ANKRD50	595.3732	ANKRD50	1194.0228
ANKRD52	694.0033	ANKRD52	1321.6319
removed	removed	ANKRD53	37.4763
ANKRD54	559.4483	ANKRD54	310.7211
ANKRD56	216.2024	ANKRD56	98.6717
ANKRD57	659.3848	ANKRD57	603.8899
ANKRD58	20.9017	ANKRD58	43.6433
ANKRD5	466.3702	ANKRD5	170.3036
ANKRD6	113.098	ANKRD6	263.1689
ANKRD9	64.3382	ANKRD9	57.4004
ANKS1A	806.0236	ANKS1A	1145.1613
ANKS1B	282.8268	ANKS1B	74.9526
ANKS3	176.0319	ANKS3	225.8065
ANKS6	23.8411	ANKS6	172.6755
ANKZF1	474.2084	ANKZF1	583.9658
ANLN	186.8094	ANLN	53.6053
ANO10	999.0382	ANO10	851.518
ANO1	1840.0069	ANO1	4192.1252
ANO2	7.185	ANO2	82.5427
