gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
SMARCA2	4292.0431	SMARCA2	4387.0968
SMARCA4	2285.802	SMARCA4	2011.8596
SMARCA5	3085.2938	SMARCA5	2268.0266
SMARCAD1	926.2087	SMARCAD1	897.0588
SMARCAL1	813.5352	SMARCAL1	488.1404
SMARCB1	1178.9892	SMARCB1	1130.9298
SMARCC1	3444.216	SMARCC1	2451.6129
SMARCC2	2827.9411	SMARCC2	2754.7438
SMARCD1	1189.1135	SMARCD1	1284.63
SMARCD2	3371.0599	SMARCD2	2064.0417
SMARCD3	195.6273	SMARCD3	726.7552
SMARCE1	4788.7862	SMARCE1	2825.4269
SMC1A	1452.0182	SMC1A	2061.6698
SMC2	540.5061	SMC2	457.7799
SMC3	2049.351	SMC3	1335.389
SMC4	1391.2725	SMC4	594.8767
SMC5	1009.4891	SMC5	1134.7249
SMC6	762.9138	SMC6	511.8596
SMCHD1	1283.8245	SMCHD1	1362.4288
SMCR7L	871.9948	SMCR7L	1081.5939
SMCR7	326.9164	SMCR7	305.9772
SMCR8	507.5369	SMCR8	1066.4611
SMEK1	2118.588	SMEK1	1499.5256
SMEK2	2756.4179	SMEK2	1994.7818
SMG1	2567.3224	SMG1	3108.6338
SMG5	1576.449	SMG5	1742.4099
SMG6	585.2489	SMG6	1204.9336
SMG7	3906.3406	SMG7	1579.6964
SMN2	1047.2853	SMN2	903.6101
SMNDC1	664.9368	SMNDC1	696.3947
SMOC1	241.6765	SMOC1	66.888
SMOC2	1496.761	SMOC2	1360.5313
SMOX	56.5	SMOX	153.7002
SMO	373.2921	SMO	374.7628
SMPD1	1178.0094	SMPD1	644.2125
SMPD2	242.9828	SMPD2	220.5882
SMPD3	217.1822	SMPD3	119.5446
SMPD4	1532.3593	SMPD4	1297.9127
SMPDL3A	175.0521	SMPDL3A	394.2125
SMPDL3B	378.5176	SMPDL3B	202.0873
SMS	1289.0499	SMS	1351.0436
SMTNL1	5.2254	removed	removed
SMTN	229.266	SMTN	1297.9127
SMU1	2038.9001	SMU1	1654.1746
SMUG1	572.1853	SMUG1	415.5598
SMURF1	556.3914	SMURF1	1097.5664
SMURF2	597.3327	SMURF2	563.5674
removed	removed	SMYD1	29.4118
SMYD2	635.2172	SMYD2	668.8805
SMYD3	165.2544	SMYD3	163.6622
SMYD4	151.2111	SMYD4	376.186
SMYD5	909.226	SMYD5	498.5769
SNAI1	41.1503	SNAI1	315.4649
SNAI2	83.2804	SNAI2	321.1575
SNAI3	13.0636	SNAI3	16.129
SNAP23	1915.7758	SNAP23	1224.3833
removed	removed	SNAP25	16.129
SNAP29	1753.134	SNAP29	857.685
SNAP47	1614.5522	SNAP47	522.0873
removed	removed	SNAP91	5.2182
SNAPC1	221.4279	SNAPC1	224.3833
SNAPC2	541.1593	SNAPC2	315.9393
SNAPC3	771.0785	SNAPC3	485.2941
SNAPC4	338.6736	SNAPC4	283.6812
SNAPC5	110.2143	SNAPC5	94.3406
SNAPIN	1307.339	SNAPIN	512.8083
SNCAIP	7.185	SNCAIP	165.5598
SNCA	40.4971	SNCA	223.9089
SNCG	104.5087	SNCG	2533.6812
SND1	4331.5605	SND1	3277.0398
SNED1	452.6535	SNED1	739.0892
SNF8	925.5555	SNF8	769.9241
SNHG10	28.0867	SNHG10	63.093
SNHG11	194.6475	SNHG11	136.7505
SNHG12	104.5545	SNHG12	344.4023
SNHG1	373.9453	SNHG1	570.2087
SNHG3-RCC1	143.0594	SNHG3-RCC1	85.1755
SNHG3	20.5752	SNHG3	32.7324
SNHG5	1085.9111	SNHG5	2972.4858
SNHG6	551.9368	SNHG6	773.2448
SNHG7	448.9793	SNHG7	352.2059
SNHG8	1490.5558	SNHG8	740.5123
SNHG9	43.4364	SNHG9	56.926
SNIP1	397.7864	SNIP1	367.6471
SNN	362.1881	SNN	1726.2808
removed	removed	SNORA7B	5.0569
SNORA8	89.0643	SNORA8	361.3235
removed	removed	SNORD116-20	12.8083
SNORD116-28	10.072	SNORD116-28	54.1888
SNORD116-4	6.5677	SNORD116-4	58.0361
SNORD1C	20.1963	SNORD1C	23.7002
SNPH	81.6474	SNPH	198.2922
SNRK	924.2491	SNRK	1939.7533
SNRNP200	4615.0404	SNRNP200	5609.5825
SNRNP25	606.8038	SNRNP25	351.0436
SNRNP27	676.6941	SNRNP27	482.9222
SNRNP35	410.9479	SNRNP35	336.371
SNRNP40	1077.4197	SNRNP40	638.5199
SNRNP48	443.5089	SNRNP48	351.0436
SNRNP70	1753.7872	SNRNP70	2915.5598
SNRPA1	334.428	SNRPA1	268.0266
SNRPA	812.5554	SNRPA	721.0626
SNRPB2	995.7723	SNRPB2	784.1556
SNRPB	2351.4465	SNRPB	1663.6622
SNRPC	1105.5065	SNRPC	735.7685
SNRPD1	782.8357	SNRPD1	559.7723
SNRPD2	2150.5938	SNRPD2	1960.6262
SNRPD3	2286.2494	SNRPD3	1147.8083
SNRPE	1384.4142	SNRPE	626.6603
SNRPF	718.4976	SNRPF	483.871
SNRPG	655.7923	SNRPG	463.9469
SNRPN	1647.5378	SNRPN	1449.8197
SNTA1	411.1766	SNTA1	598.1973
SNTB1	142.0666	SNTB1	508.0645
SNTB2	551.9368	SNTB2	1054.0797
removed	removed	SNTG2	20.8729
SNTN	6.2052	removed	removed
SNUPN	729.275	SNUPN	484.8197
SNURF	58.5706	SNURF	102.7182
SNW1	1928.8393	SNW1	1320.6831
SNX10	394.1939	SNX10	441.6509
SNX11	895.8358	SNX11	474.3833
SNX12	216.529	SNX12	222.4858
SNX13	923.5959	SNX13	1163.6622
SNX14	905.9601	SNX14	1139.9431
SNX15	542.7922	SNX15	473.4345
SNX16	316.7921	SNX16	344.8767
SNX17	2426.8888	SNX17	2272.7704
SNX18	721.4369	SNX18	1308.3491
SNX19	1835.1081	SNX19	1953.0361
SNX1	2784.5046	SNX1	3861.0057
SNX20	17.76	SNX20	40.3226
SNX21	420.7652	SNX21	661.7932
SNX22	113.1111	SNX22	117.7372
SNX24	296.8701	SNX24	198.2922
SNX25	552.5899	SNX25	382.3529
SNX27	2464.3029	SNX27	894.1556
SNX29	330.1823	SNX29	798.3871
SNX2	1734.845	SNX2	1562.6186
SNX30	731.2346	SNX30	718.6907
SNX33	655.4657	SNX33	1149.4307
SNX3	1206.0961	SNX3	2962.0493
SNX4	827.5785	SNX4	759.0133
SNX5	1665.608	SNX5	1912.7135
SNX6	1585.9201	SNX6	1313.093
SNX7	449.3876	SNX7	404.1746
SNX8	249.8412	SNX8	344.8767
SNX9	1767.8306	SNX9	2279.4118
SOAT1	856.9716	SOAT1	974.8577
SOBP	16.3295	SOBP	154.1746
removed	removed	SOCS1	51.7078
SOCS2	75.4422	SOCS2	1155.5977
SOCS3	497.0697	SOCS3	17844.8767
SOCS4	606.4773	SOCS4	584.9146
SOCS5	710.3328	SOCS5	1420.778
SOCS6	1973.5822	SOCS6	1038.425
SOCS7	32.0058	SOCS7	105.3131
SOD1	4861.6157	SOD1	3037.0019
SOD2	1240.3881	SOD2	11126.6603
SOD3	188.1157	SOD3	899.9051
removed	removed	SOHLH2	18.2211
SOLH	280.5406	SOLH	373.3397
SON	6211.0848	SON	7233.3966
SORBS1	509.4801	SORBS1	13852.4668
SORBS2	3935.0805	SORBS2	2400.8539
SORBS3	1727.3334	SORBS3	2286.5275
SORCS1	297.1967	SORCS1	32.7324
SORCS2	26.1272	SORCS2	46.4896
SORD	2922.9787	SORD	337.7609
SORL1	3156.1638	SORL1	2172.2011
SORT1	4675.4596	SORT1	3562.1442
SOS1	1117.2637	SOS1	2234.3454
SOS2	1223.732	SOS2	1697.3435
removed	removed	SOSTDC1	437.8558
removed	removed	SOX10	1488.6148
SOX11	11.4306	SOX11	46.0152
SOX12	767.1594	SOX12	245.2562
SOX13	855.6653	SOX13	900.3795
removed	removed	SOX15	38.8994
SOX17	24.1676	SOX17	707.7799
SOX18	71.5232	SOX18	289.8482
SOX2OT	30.0463	removed	removed
SOX4	1925.5735	SOX4	3046.4896
SOX5	5.8786	SOX5	69.7343
SOX6	10.1243	SOX6	124.7628
SOX7	48.7795	SOX7	1446.2713
SOX8	6.8584	SOX8	34.63
SOX9	2480.4495	SOX9	3180.74
SP100	1407.2754	SP100	1671.7268
SP110	483.0263	SP110	431.2144
SP140L	92.7515	SP140L	382.3529
SP140	13.3902	SP140	36.0531
SP1	3584.323	SP1	3474.3833
SP2	644.6883	SP2	793.6433
SP3	3321.4182	SP3	2218.6907
SP4	205.0984	SP4	268.9753
SP5	104.1821	SP5	6.6414
SP6	98.6301	SP6	116.2239
SP7	405.9511	removed	removed
SPA17	376.2314	SPA17	84.4402
SPAG16	532.668	SPAG16	323.055
SPAG17	63.0318	SPAG17	16.129
SPAG1	453.9598	SPAG1	189.2789
SPAG4	56.1734	SPAG4	23.7192
SPAG5	129.3296	SPAG5	71.6319
SPAG6	2629.3745	SPAG6	35.5787
SPAG7	426.1997	SPAG7	820.6831
SPAG8	15.3497	SPAG8	21.8216
SPAG9	1957.9058	SPAG9	2341.556
SPARCL1	2255.7557	SPARCL1	17908.444
SPARC	13618.468	SPARC	36558.3491
SPAST	602.5582	SPAST	466.3188
removed	removed	SPATA12	20.8729
SPATA13	686.1586	SPATA13	508.5389
SPATA17	235.7978	SPATA17	10.4364
SPATA18	243.9626	SPATA18	411.2903
SPATA20	803.0843	SPATA20	1052.6565
SPATA24	43.763	SPATA24	32.7324
SPATA2L	244.9423	SPATA2L	214.4213
SPATA2	363.821	SPATA2	290.797
SPATA4	51.9278	removed	removed
SPATA5L1	197.5868	SPATA5L1	167.4573
SPATA5	318.0985	SPATA5	248.1025
SPATA6	264.8643	SPATA6	126.6603
SPATA7	145.3325	SPATA7	196.8691
SPATA9	5.2254	SPATA9	22.296
SPATS2L	426.8529	SPATS2L	1184.0607
SPATS2	682.5727	SPATS2	473.4345
SPC25	37.2312	SPC25	7.1157
SPCS1	3290.0068	SPCS1	1394.2125
SPCS2	928.4948	SPCS2	489.0892
SPCS3	3250.5483	SPCS3	2417.9317
SPDEF	6554.3307	SPDEF	956.3567
SPDYA	9.3437	SPDYA	7.277
SPDYE1	7.8382	SPDYE1	11.3852
SPDYE3	110.7629	SPDYE3	71.907
SPDYE5	7.5116	SPDYE5	7.5901
SPDYE6	28.0867	SPDYE6	18.0266
SPDYE7P	5.552	SPDYE7P	7.5901
SPDYE8P	16.0029	SPDYE8P	19.9241
SPEF1	68.9104	SPEF1	8.0645
SPEF2	501.3153	SPEF2	213.9469
SPEG	38.8642	SPEG	758.5389
SPEN	1623.1513	SPEN	2668.8805
SPESP1	10.4215	SPESP1	121.9165
SPG11	2641.1317	SPG11	2010.9108
SPG20	1055.5382	SPG20	1609.5825
SPG21	2017.6718	SPG21	1563.5674
SPG7	893.2231	SPG7	1093.9279
SPHAR	127.7913	SPHAR	126.9877
SPHK1	49.5763	SPHK1	318.3824
SPHK2	353.4126	SPHK2	208.4962
removed	removed	SPHKAP	52.1822
SPI1	259.6389	SPI1	567.3624
removed	removed	SPIB	19.9241
SPIN1	2921.3457	SPIN1	2666.9829
removed	removed	SPIN2A	7.1157
SPIN2B	117.863	SPIN2B	77.3055
SPIN3	296.5435	SPIN3	296.4896
SPIN4	112.0203	SPIN4	166.5085
removed	removed	SPINK5	53.1309
SPINK8	5.552	SPINK8	13.7571
SPINT1	4354.0952	SPINT1	2937.8558
SPINT2	11483.5505	SPINT2	5370.019
SPIRE1	1005.57	SPIRE1	932.6376
SPIRE2	150.5579	SPIRE2	82.5427
SPNS1	404.5207	SPNS1	545.5171
SPNS2	73.8224	SPNS2	861.1575
SPNS3	5.552	SPNS3	8.0645
SPN	64.3382	SPN	374.7628
SPOCD1	29.7197	SPOCD1	27.0398
SPOCK1	135.2082	SPOCK1	299.8102
SPOCK2	61.0723	SPOCK2	321.1575
removed	removed	SPOCK3	32.2581
SPON1	232.8585	SPON1	1873.3397
SPON2	105.8151	SPON2	424.0987
SPOPL	2454.9755	SPOPL	1545.5408
SPOP	3624.8202	SPOP	1183.5863
SPP1	1316.8101	SPP1	3152.277
SPPL2A	1134.8995	SPPL2A	602.4668
SPPL2B	438.9367	SPPL2B	656.3283
SPPL3	1549.9952	SPPL3	1194.9715
SPRED1	710.986	SPRED1	1333.9658
SPRED2	1709.6976	SPRED2	1193.5484
SPRN	20.2486	SPRN	54.0797
SPRY1	368.3933	SPRY1	4658.444
SPRY2	177.0117	SPRY2	901.8027
SPRY3	24.4942	SPRY3	49.3359
SPRY4	752.7895	SPRY4	1216.7932
SPRYD3	1756.0733	SPRYD3	1413.6622
SPRYD4	555.2027	SPRYD4	256.6414
SPR	1388.0066	SPR	484.3454
SPSB1	301.1158	SPSB1	993.3586
SPSB2	345.532	SPSB2	150.8539
SPSB3	451.3471	SPSB3	736.2429
removed	removed	SPSB4	5.6926
SPTAN1	6048.1165	SPTAN1	6866.2239
SPTBN1	4393.9391	SPTBN1	20096.7742
SPTBN2	921.963	SPTBN2	760.4364
SPTBN4	219.7949	SPTBN4	41.2713
SPTBN5	28.7399	SPTBN5	179.8197
SPTB	12.0838	SPTB	161.7647
SPTLC1	1873.9723	SPTLC1	1521.8216
SPTLC2	3390.3287	SPTLC2	1701.6129
SPTLC3	481.72	SPTLC3	289.3738
SPTY2D1	1461.6788	SPTY2D1	1148.3776
SQLE	1485.3304	SQLE	206.8311
SQRDL	3575.8317	SQRDL	1449.241
SQSTM1	10805.0994	SQSTM1	8349.4687
SR140	2005.588	SR140	2116.2239
SRA1	578.7171	SRA1	498.5769
SRBD1	924.2491	SRBD1	381.4042
SRCAP	2969.3544	SRCAP	3296.4896
SRCIN1	358.9222	SRCIN1	288.8994
SRCRB4D	26.1435	SRCRB4D	37.3814
SRC	1162.9863	SRC	921.7268
SRD5A1	119.5319	SRD5A1	153.2258
SRD5A3	972.5681	SRD5A3	516.5512
SREBF1	3812.6093	SREBF1	3253.3207
SREBF2	2485.675	SREBF2	1935.9583
SRFBP1	423.587	SRFBP1	277.9886
SRF	697.2692	SRF	2900.3795
SRGAP1	452.3269	SRGAP1	373.814
SRGAP2	561.0813	SRGAP2	544.1176
SRGAP3	349.1245	SRGAP3	231.4991
SRGN	408.2372	SRGN	2375.7116
SRI	1427.8506	SRI	1564.9905
SRL	6.5318	SRL	37.9507
SRMS	42.1301	removed	removed
SRM	630.6449	SRM	630.9298
SRP14	4042.2019	SRP14	3822.1063
SRP19	915.7284	SRP19	600.8017
SRP54	1829.5561	SRP54	1024.6679
SRP68	2978.499	SRP68	1711.1006
SRP72	3312.9269	SRP72	2140.8918
SRP9	12762.4761	SRP9	3321.1575
SRPK1	1173.1106	SRPK1	847.723
SRPK2	1739.7439	SRPK2	936.4326
removed	removed	SRPK3	9.0038
SRPRB	1718.8421	SRPRB	799.8102
SRPR	4153.5691	SRPR	3409.8672
SRPX2	75.7688	SRPX2	587.2865
SRPX	44.0896	SRPX	1246.2049
SRRD	449.7142	SRRD	207.3055
SRRM1	1942.2295	SRRM1	1675.9962
SRRM2	8126.8573	SRRM2	13179.3169
SRRM3	17.6358	SRRM3	73.5294
SRRM5	17.8775	SRRM5	27.3529
SRRT	1375.9228	SRRT	1480.0759
SRR	385.2878	SRR	317.4573
SRXN1	919.6769	SRXN1	546.0152
SS18L1	294.584	SS18L1	381.4042
SS18L2	322.0175	SS18L2	261.8596
SS18	2544.4611	SS18	1970.1139
SSBP1	1151.229	SSBP1	916.5085
SSBP2	430.1188	SSBP2	564.9905
SSBP3	496.7431	SSBP3	624.2884
SSBP4	379.4973	SSBP4	319.7343
SSB	2449.2667	SSB	2064.1888
SSC5D	171.1331	SSC5D	167.4573
SSFA2	3460.2189	SSFA2	3656.0721
SSH1	654.1594	SSH1	1411.2903
SSH2	273.6823	SSH2	529.4118
SSH3	1251.4921	SSH3	1074.0038
SSNA1	625.7461	SSNA1	642.315
SSPN	400.3991	SSPN	1386.148
SSPO	15.0231	SSPO	26.5655
SSR1	5338.4368	SSR1	3112.4288
SSR2	12291.2071	SSR2	3823.055
SSR3	3350.1582	SSR3	3087.7609
SSR4	3290.0656	SSR4	1614.8008
SSRP1	3166.9413	SSRP1	2504.2694
SSSCA1	395.1737	SSSCA1	245.7306
removed	removed	SSTR1	37.9507
SSTR2	2800.1809	SSTR2	42.6945
SSU72	2719.1867	SSU72	2280.8349
SSX2IP	762.2606	SSX2IP	352.4668
ST13	6404.7525	ST13	5554.5541
ST14	2717.5537	ST14	2460.1518
removed	removed	ST18	5.2182
ST20	38.6486	ST20	31.3615
ST3GAL1	1251.4921	ST3GAL1	1887.0968
ST3GAL2	135.5348	ST3GAL2	387.0968
ST3GAL3	148.5984	ST3GAL3	285.5787
ST3GAL4	337.6939	ST3GAL4	367.1727
ST3GAL5	99.9365	ST3GAL5	294.1176
ST3GAL6	116.5926	ST3GAL6	162.7135
ST5	502.6217	ST5	1679.7913
ST6GAL1	10049.8213	ST6GAL1	1323.5294
ST6GAL2	49.3151	ST6GAL2	35.5787
removed	removed	ST6GALNAC1	54.5541
ST6GALNAC2	1777.3017	ST6GALNAC2	705.408
ST6GALNAC3	34.2919	ST6GALNAC3	186.907
ST6GALNAC4	172.4394	ST6GALNAC4	233.3966
ST6GALNAC5	3330.5628	ST6GALNAC5	396.1101
ST6GALNAC6	636.5235	ST6GALNAC6	1782.7324
ST7L	400.3991	ST7L	304.5541
ST7OT1	34.2135	ST7OT1	53.6006
ST7	737.4692	ST7	465.3748
ST8SIA1	9.1445	ST8SIA1	217.7419
removed	removed	ST8SIA2	55.5028
ST8SIA4	164.2747	ST8SIA4	338.7097
ST8SIA6	250.4944	ST8SIA6	95.8254
STAB1	433.7113	STAB1	1464.9051
removed	removed	STAC2	7487.1917
STAC3	48.9427	STAC3	61.6224
removed	removed	STAC	83.4915
STAG1	965.8893	STAG1	924.3786
STAG2	3002.6666	STAG2	2627.1347
STAG3L1	16.9827	STAG3L1	108.6338
STAG3L2	74.4625	STAG3L2	88.2353
STAG3L3	99.9365	STAG3L3	152.9507
STAG3L4	65.9711	STAG3L4	77.7989
STAG3	5.5422	STAG3	15.37
STAM2	1375.2696	STAM2	1071.6319
STAMBPL1	81.3209	STAMBPL1	105.7875
STAMBP	831.8242	STAMBP	518.5009
STAM	661.3443	STAM	467.7419
STAP2	530.7084	STAP2	374.7628
STARD10	3241.0772	STARD10	1046.4896
STARD13	487.9252	STARD13	788.425
STARD3NL	418.0349	STARD3NL	601.0436
STARD3	782.1826	STARD3	681.6888
STARD4	17.6358	STARD4	28.9374
STARD5	101.2428	STARD5	96.7742
STARD7	3659.2983	STARD7	2130.574
STARD8	89.8122	STARD8	334.4402
removed	removed	STAR	7.1157
STAT1	3058.1869	STAT1	3091.556
STAT2	1275.3332	STAT2	1851.0436
STAT3	9334.263	STAT3	7573.5294
STAT4	7.8382	STAT4	60.2467
STAT5A	855.0121	STAT5A	2567.8368
STAT5B	1974.5619	STAT5B	3162.2391
STAT6	2129.3655	STAT6	3912.2391
STAU1	2976.5394	STAU1	2623.3397
STAU2	1225.3649	STAU2	829.6964
STBD1	650.4689	STBD1	1955.4222
STC1	6761.062	STC1	3540.797
STC2	16600.886	STC2	6534.63
STEAP1	265.8441	STEAP1	355.3131
STEAP2	730.5814	STEAP2	705.408
STEAP3	2131.6516	STEAP3	1390.8918
STEAP4	5366.5236	STEAP4	2143.7381
STIL	121.1648	STIL	57.8748
STIM1	2180.6401	STIM1	1960.1518
STIM2	771.7317	STIM2	602.9412
STIP1	2723.7589	STIP1	1946.3947
STK10	394.5205	STK10	1147.0588
STK11IP	328.5493	STK11IP	377.1347
STK11	829.2115	STK11	766.129
STK16	932.7405	STK16	519.4497
STK17A	307.321	STK17A	686.4326
STK17B	424.5667	STK17B	1229.6015
STK19	258.5938	STK19	321.2097
STK24	1105.1799	STK24	2112.9032
STK25	983.0353	STK25	1415.0854
removed	removed	STK31	5.2182
removed	removed	STK32A	9.962
STK32B	1783.1803	STK32B	211.1006
STK32C	62.0619	STK32C	86.8121
removed	removed	STK33	5.2182
STK35	549.324	STK35	923.1499
STK36	605.1709	STK36	447.3435
STK38L	875.2607	STK38L	1312.6186
STK38	675.7143	STK38	1252.3719
STK39	537.5668	STK39	948.2922
STK3	348.4713	STK3	595.351
removed	removed	STK40	1591.0816
STK4	815.4947	STK4	944.4972
removed	removed	STL	6.6983
STMN1	961.1538	STMN1	1136.6224
STMN2	29.0665	STMN2	9.962
STMN3	567.6131	STMN3	712.9981
STOML1	313.1996	STOML1	236.2429
STOML2	1741.3768	STOML2	1168.4061
STOM	3292.6783	STOM	8918.4061
STON1-GTF2A1L	6.1138	STON1-GTF2A1L	13.8899
STON1	53.9788	STON1	630.0047
STON2	539.5263	STON2	168.4061
STOX1	349.7777	STOX1	154.649
removed	removed	STOX2	49.3359
STRA13	804.0641	STRA13	275.1423
STRA6	35.9249	STRA6	41.7457
STRADA	687.4715	STRADA	500
STRADB	258.6591	STRADB	369.5446
STRAP	2472.938	STRAP	2207.7799
STRBP	699.2288	STRBP	577.7989
removed	removed	STRC	19.9241
STRN3	893.5497	STRN3	818.3112
STRN4	1357.9604	STRN4	1427.8937
STRN	421.3008	STRN	455.408
STS	211.6302	STS	1085.8634
STT3A	5168.6101	STT3A	2241.4611
STT3B	2637.2126	STT3B	1494.3074
STUB1	1215.8122	STUB1	1215.4602
STX10	181.9105	STX10	260.4364
STX11	39.5174	STX11	804.0797
STX12	1571.8767	STX12	2100.5693
STX16	778.9167	STX16	1752.3719
STX17	1040.8417	STX17	1000.4744
STX18	693.0236	STX18	507.5901
STX19	5.552	STX19	54.0797
STX1A	55.5203	STX1A	78.24
removed	removed	STX1B	55.0285
STX2	134.2284	STX2	282.2581
STX3	1062.3966	STX3	808.8235
STX4	531.035	STX4	794.592
STX5	1311.5846	STX5	1151.8027
STX6	1885.576	STX6	1130.7021
STX7	647.301	STX7	1721.537
STX8	293.9308	STX8	348.6717
STXBP1	611.3761	STXBP1	1016.129
STXBP2	1817.4722	STXBP2	1113.3776
STXBP3	1757.7063	STXBP3	1140.4175
STXBP4	391.9078	STXBP4	117.1727
STXBP5	169.167	STXBP5	401.8027
removed	removed	STXBP6	69.26
STYK1	151.2111	STYK1	97.723
STYXL1	621.5004	STYXL1	338.2353
STYX	688.1247	STYX	543.1689
SUB1	12484.8748	SUB1	3980.5503
SUCLA2	519.6501	SUCLA2	1134.5304
SUCLG1	1827.2699	SUCLG1	1873.3397
SUCLG2	2079.7238	SUCLG2	1268.9753
removed	removed	SUCNR1	40.3226
SUDS3	1917.0821	SUDS3	1140.4175
SUFU	674.0813	SUFU	583.4915
SUGT1L1	26.15	SUGT1L1	43.112
removed	removed	SUGT1P1	5.2182
SUGT1	367.7401	SUGT1	536.5275
SULF1	1144.0441	SULF1	992.8843
SULF2	1045.0874	SULF2	3729.1271
SULT1A1	263.8846	SULT1A1	372.3909
SULT1A2	28.7399	SULT1A2	48.3871
SULT1A3	300.185	SULT1A3	852.4953
removed	removed	SULT1C2	32.7324
removed	removed	SULT1C3	15.1803
SULT1C4	13.7168	SULT1C4	88.7097
removed	removed	SULT1E1	56.926
SULT2B1	300.4626	SULT2B1	130.9298
SULT4A1	5.2254	SULT4A1	14.2315
SUMF1	2061.7614	SUMF1	1110.0569
SUMF2	5663.0671	SUMF2	2517.5522
SUMO1P3	179.951	SUMO1P3	137.5712
SUMO1	2846.5567	SUMO1	1655.5977
SUMO2	3779.2971	SUMO2	2506.6414
SUMO3	2040.5331	SUMO3	1979.6015
SUN1	1460.183	SUN1	3286.0531
SUN2	2388.6778	SUN2	6045.5408
SUOX	841.6219	SUOX	713.4725
SUPT16H	3625.4734	SUPT16H	2773.2448
SUPT3H	71.5232	SUPT3H	143.7381
SUPT4H1	1844.7849	SUPT4H1	1048.1926
SUPT5H	2383.4523	SUPT5H	2414.1366
SUPT6H	2724.4121	SUPT6H	3037.4763
SUPT7L	905.9601	SUPT7L	979.1271
SUPV3L1	588.8414	SUPV3L1	460.6262
SURF1	1137.1857	SURF1	716.3188
SURF2	211.9568	SURF2	157.9696
SURF4	5357.0525	SURF4	4703.0361
SURF6	648.9339	SURF6	501.4231
SUSD1	212.2834	SUSD1	359.1082
SUSD2	121.4914	SUSD2	266.6034
SUSD3	1498.394	SUSD3	498.5769
SUSD4	3249.5685	SUSD4	280.3605
SUSD5	31.6792	SUSD5	43.1689
SUV39H1	178.318	SUV39H1	180.74
SUV39H2	185.1764	SUV39H2	100.0949
SUV420H1	1416.42	SUV420H1	1275.1423
SUV420H2	136.8411	SUV420H2	115.7495
SUZ12P	117.2457	SUZ12P	117.6471
SUZ12	1399.4373	SUZ12	883.7761
SV2A	14.6965	SV2A	129.5066
SV2B	10.4509	SV2B	193.5484
SVEP1	117.2457	SVEP1	3641.6509
SVIL	1367.9148	SVIL	3444.3501
SVIP	643.0553	SVIP	366.6983
removed	removed	SVOPL	5.2182
SWAP70	1996.4434	SWAP70	3198.7666
SYAP1	2641.7849	SYAP1	851.9924
SYBU	440.8374	SYBU	674.0987
removed	removed	SYCE1	9.4023
SYCE2	6.5318	removed	removed
SYCP2	712.2924	SYCP2	282.2581
SYDE1	132.922	SYDE1	359.1082
SYDE2	185.8296	SYDE2	122.3909
SYF2	1501.9865	SYF2	1147.5332
SYK	286.7458	SYK	999.0512
SYMPK	1848.1717	SYMPK	1518.0266
SYN1	20.5752	SYN1	16.6034
SYN2	5.2254	SYN2	287.0019
removed	removed	SYN3	10.4364
SYNCRIP	2463.4668	SYNCRIP	4504.2694
SYNC	863.6798	SYNC	367.9554
removed	removed	SYNE1	1905.5977
SYNE2	2244.6517	SYNE2	5577.7989
SYNGAP1	176.0319	SYNGAP1	332.0683
SYNGR1	664.2739	SYNGR1	766.5085
SYNGR2	8856.4622	SYNGR2	2930.74
removed	removed	SYNGR3	17.0778
SYNJ1	417.0552	SYNJ1	319.7343
SYNJ2BP	1337.7118	SYNJ2BP	1245.2562
SYNJ2	578.7171	SYNJ2	645.1613
SYNM	200.1995	SYNM	25677.4194
SYNPO2L	91.7717	SYNPO2L	9.0133
SYNPO2	259.6389	SYNPO2	2988.6148
SYNPO	456.5725	SYNPO	5785.1044
SYNRG	1161.3533	SYNRG	1161.2903
SYPL1	5398.856	SYPL1	2794.1176
removed	removed	SYPL2	16.6034
SYP	59.7659	SYP	62.1442
SYS1-DBNDD2	16.594	SYS1-DBNDD2	48.648
SYS1	1361.2589	SYS1	887.3055
SYT11	154.1504	SYT11	435.0095
SYT12	1685.5299	SYT12	1011.8596
SYT13	6.8584	SYT13	9.4877
removed	removed	SYT14	13.2827
SYT15	34.2919	SYT15	183.5863
SYT17	45.396	SYT17	90.6072
removed	removed	SYT1	112.4288
removed	removed	SYT2	21.3472
removed	removed	SYT3	9.962
SYT6	9.1445	SYT6	12.8083
SYT7	7082.4264	SYT7	944.4972
removed	removed	SYT8	81.5939
SYT9	170.1533	SYT9	62.6186
SYTL1	635.8703	SYTL1	373.3397
SYTL2	2589.8571	SYTL2	2114.8008
SYTL3	150.8845	SYTL3	197.3435
SYTL4	491.5176	SYTL4	748.1025
SYTL5	70.87	SYTL5	197.3435
SYVN1	2181.2933	SYVN1	1421.7268
TAB1	690.094	TAB1	659.0133
TAB2	1340.3245	TAB2	2725.3321
TAB3	1017.6538	TAB3	921.2524
removed	removed	TAC1	44.1176
TACC1	453.6332	TACC1	4863.3776
TACC2	1082.9718	TACC2	1118.5958
TACC3	177.0117	TACC3	178.3681
TACO1	628.3588	TACO1	285.5787
TACR1	8.8179	TACR1	583.0171
TACR2	16.6561	TACR2	10.9108
TACR3	5.8786	removed	removed
TACSTD2	10203.6451	TACSTD2	10974.8577
TADA1	702.1681	TADA1	203.5104
