gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
ANKRD13B	90.7691	ANKRD13B	131.3983
ANKRD13C	660.3452	ANKRD13C	586.9326
ANKRD13D	460.329	ANKRD13D	343.3796
ANKRD16	139.3662	ANKRD16	123.5806
ANKRD17	3798.3629	ANKRD17	2275.8674
ANKRD19	45.0604	ANKRD19	65.8495
removed	removed	ANKRD20A3	6.0137
ANKRD22	192.5602	ANKRD22	104.9383
ANKRD23	27.2307	ANKRD23	23.1526
ANKRD24	12.6428	ANKRD24	19.2437
ANKRD26	163.7086	ANKRD26	169.2844
ANKRD27	814.6527	ANKRD27	895.4331
ANKRD28	1613.4209	ANKRD28	1262.5667
ANKRD29	119.2965	ANKRD29	312.71
ANKRD30A	562.4443	ANKRD30A	82.3871
ANKRD30B	59.3241	ANKRD30B	14.7335
ANKRD32	176.3514	ANKRD32	101.6308
ANKRD34A	16.8571	ANKRD34A	16.8382
ANKRD35	74.8845	ANKRD35	286.2499
ANKRD36BP1	154.6317	ANKRD36BP1	113.6581
ANKRD36B	31.1208	ANKRD36B	13.23
ANKRD36	129.346	ANKRD36	114.2594
ANKRD37	80.5316	ANKRD37	119.5124
ANKRD39	84.9339	ANKRD39	96.8198
ANKRD40	953.724	ANKRD40	2066.5922
ANKRD42	222.7085	ANKRD42	265.2021
ANKRD43	549.1531	ANKRD43	25.8587
ANKRD44	244.4282	ANKRD44	89.9041
ANKRD45	15.5604	ANKRD45	12.0273
ANKRD46	361.4555	ANKRD46	593.1147
ANKRD49	184.1316	ANKRD49	229.4209
ANKRD50	2329.5243	ANKRD50	807.9344
ANKRD52	1961.261	ANKRD52	983.2324
ANKRD53	8.7527	ANKRD53	66.1502
ANKRD54	355.6204	ANKRD54	326.8421
ANKRD55	17.5055	removed	removed
ANKRD56	125.78	ANKRD56	67.0522
