gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ALDH5A1	692.6095	ALDH5A1	1039.4778
ALDH6A1	1014.2098	ALDH6A1	1077.5163
ALDH7A1	2955.6828	ALDH7A1	1716.8169
ALDH8A1	10.2914	removed	removed
ALDH9A1	5457.5159	ALDH9A1	5064.9674
ALDOA	31766.6431	ALDOA	13135.53
removed	removed	ALDOB	14.299
ALDOC	25.7284	ALDOC	1603.668
ALG10B	367.6594	ALG10B	277.277
ALG10	167.4921	ALG10	110.3513
ALG11	10.0341	ALG11	10.5689
ALG12	434.5533	ALG12	348.7721
ALG13	668.9393	ALG13	509.4809
ALG14	248.0221	ALG14	225.9869
removed	removed	ALG1L	5.2005
ALG1	821.9515	ALG1	364.1654
ALG2	1106.3228	ALG2	738.5763
ALG3	846.9801	ALG3	427.106
ALG5	587.3802	ALG5	586.2605
ALG6	639.6089	ALG6	278.8312
ALG8	1396.7968	ALG8	840.2238
ALG9	821.7663	ALG9	752.5645
ALKBH1	422.9755	ALKBH1	220.0808
ALKBH2	162.6037	ALKBH2	161.9521
ALKBH3	205.8275	ALKBH3	301.2123
ALKBH4	192.4487	ALKBH4	181.4237
ALKBH5	2571.0015	ALKBH5	2113.7053
ALKBH6	104.972	ALKBH6	55.6419
ALKBH7	390.8149	ALKBH7	241.2185
ALKBH8	633.9487	ALKBH8	277.5878
removed	removed	ALK	7.7712
ALMS1P	5.9175	removed	removed
ALMS1	1238.0524	ALMS1	913.2732
ALOX12P2	13.1215	removed	removed
ALOX15B	22.641	ALOX15B	16.475
ALOX15	12.0924	ALOX15	14.299
ALOX5AP	439.1844	ALOX5AP	410.631
ALOX5	968.1611	ALOX5	415.2938
ALPK1	763.1054	ALPK1	530.3077
ALPK2	42.9665	ALPK2	73.982
ALPK3	208.4003	ALPK3	987.5661
ALPL	511.9959	ALPL	565.4336
ALS2CL	168.5213	ALS2CL	341.0009
ALS2CR11	10.8059	ALS2CR11	17.7184
removed	removed	ALS2CR12	11.8122
ALS2CR4	667.1384	ALS2CR4	1099.7824
ALS2CR8	267.5757	ALS2CR8	188.996
ALS2	677.687	ALS2	733.9136
removed	removed	ALX1	5.2844
ALX3	9.005	ALX3	23.0028
removed	removed	ALX4	9.0146
AMACR	755.6442	AMACR	297.1713
removed	removed	AMBP	5.9061
AMBRA1	779.8289	AMBRA1	706.8698
AMD1	1042.6835	AMD1	1435.1881
AMDHD1	16.4662	AMDHD1	9.3255
AMDHD2	110.2541	AMDHD2	115.2875
AMFR	3574.7089	AMFR	2828.7224
AMICA1	25.7284	AMICA1	165.3715
AMIGO1	142.021	AMIGO1	175.6295
AMIGO2	261.6556	AMIGO2	918.2468
AMIGO3	97.2535	AMIGO3	36.0584
AMMECR1L	795.5233	AMMECR1L	884.6752
AMMECR1	293.0469	AMMECR1	179.6705
AMN1	249.5658	AMN1	136.7734
AMOTL1	576.317	AMOTL1	2631.9552
AMOTL2	1248.601	AMOTL2	4171.5884
AMOT	1241.6543	AMOT	1079.8881
removed	removed	AMPD1	12.7448
AMPD2	515.5979	AMPD2	499.8446
AMPD3	317.7462	AMPD3	299.3472
AMPH	72.8115	AMPH	452.9064
AMT	298.8281	AMT	171.0755
removed	removed	AMY1A	20.2052
removed	removed	AMY2A	5.9061
AMY2B	203.1028	AMY2B	421.6102
AMZ1	16.9808	AMZ1	5.5953
AMZ2P1	204.5411	AMZ2P1	246.1921
AMZ2	1971.8274	AMZ2	1673.9198
ANAPC10	146.1375	ANAPC10	129.313
ANAPC11	667.3956	ANAPC11	596.5185
ANAPC13	1516.8611	ANAPC13	1313.1489
ANAPC16	1915.4821	ANAPC16	2787.6904
ANAPC1	651.1867	ANAPC1	807.8956
ANAPC2	465.1701	ANAPC2	502.9531
ANAPC4	534.8942	ANAPC4	563.8794
ANAPC5	2492.8282	ANAPC5	2161.6413
ANAPC7	1268.1546	ANAPC7	793.5965
ANGEL1	630.0894	ANGEL1	555.4865
ANGEL2	1356.6604	ANGEL2	656.5123
ANGPT1	29.845	ANGPT1	1381.7221
ANGPT2	609.7639	ANGPT2	619.5213
removed	removed	ANGPT4	67.1433
ANGPTL1	21.3546	ANGPTL1	1198.3214
ANGPTL2	790.1203	ANGPTL2	12430.2145
ANGPTL4	14.6652	ANGPTL4	2576.6242
removed	removed	ANGPTL5	124.3394
removed	removed	ANGPTL7	116.8791
ANG	391.2369	ANG	581.7812
ANK1	7.9758	ANK1	45.3839
ANK2	155.9143	ANK2	2705.3155
ANK3	1259.1497	ANK3	627.6034
ANKAR	48.1122	ANKAR	51.9117
ANKDD1A	55.0589	ANKDD1A	366.4905
ANKFN1	187.5603	removed	removed
ANKFY1	2491.5418	ANKFY1	2662.7293
ANKHD1-EIF4EBP3	2636.3954	ANKHD1-EIF4EBP3	1149.5555
ANKHD1	3041.1346	ANKHD1	2011.8713
ANKH	703.1582	ANKH	2006.5278
ANKIB1	1662.5716	ANKIB1	1734.8461
ANKK1	16.4662	ANKK1	8.7038
ANKLE1	6.4321	removed	removed
ANKLE2	1264.5526	ANKLE2	1407.2117
ANKMY1	249.3085	ANKMY1	195.5238
ANKMY2	407.0239	ANKMY2	688.5297
ANKRA2	572.4577	ANKRA2	277.277
ANKRD10	1567.8909	ANKRD10	1420.7181
ANKRD11	1146.737	ANKRD11	2065.5984
ANKRD12	2459.8958	ANKRD12	1832.4526
ANKRD13A	917.7333	ANKRD13A	1215.7289
ANKRD13B	94.6806	ANKRD13B	111.2838
ANKRD13C	587.6375	ANKRD13C	639.1048
ANKRD13D	340.6445	ANKRD13D	327.9453
ANKRD16	156.6579	ANKRD16	96.2885
ANKRD17	3223.5158	ANKRD17	2767.1744
ANKRD19	41.1655	ANKRD19	26.1113
ANKRD20A3	5.1457	ANKRD20A3	15.5424
removed	removed	ANKRD20B	7.1495
ANKRD22	148.1958	ANKRD22	12.1231
ANKRD23	41.4228	ANKRD23	25.4896
ANKRD24	52.7433	ANKRD24	18.3401
removed	removed	ANKRD26P1	6.5278
ANKRD26	567.5693	ANKRD26	306.4967
ANKRD27	752.5568	ANKRD27	878.769
ANKRD28	892.2622	ANKRD28	1604.9114
ANKRD29	45.5393	ANKRD29	401.3056
ANKRD30A	4438.6698	ANKRD30A	262.9779
ANKRD30B	1940.4387	ANKRD30B	81.1315
ANKRD32	247.2503	ANKRD32	136.1517
ANKRD34A	25.7284	ANKRD34A	16.1641
ANKRD34C	8.4904	removed	removed
ANKRD35	12.0924	ANKRD35	188.6851
ANKRD36BP1	100.3409	ANKRD36BP1	125.8937
ANKRD36B	39.8791	ANKRD36B	48.4924
ANKRD36	181.9	ANKRD36	222.5676
ANKRD37	81.2555	ANKRD37	50.2362
ANKRD39	118.0935	ANKRD39	82.064
ANKRD40	1521.3224	ANKRD40	4601.1812
ANKRD42	663.0218	ANKRD42	217.594
ANKRD43	192.9633	ANKRD43	38.5452
ANKRD44	53.5151	ANKRD44	122.4744
ANKRD45	5.1457	ANKRD45	6.8387
ANKRD46	452.3368	ANKRD46	868.6571
ANKRD49	394.1596	ANKRD49	310.5378
ANKRD50	1102.9781	ANKRD50	918.2468
ANKRD52	1418.1514	ANKRD52	1155.7352
removed	removed	ANKRD53	89.8353
ANKRD54	283.7847	ANKRD54	289.7109
ANKRD56	82.0737	ANKRD56	18.9618
ANKRD57	674.8569	ANKRD57	561.7035
ANKRD58	5.9175	ANKRD58	5.5953
ANKRD5	461.8254	ANKRD5	218.8374
ANKRD6	172.1052	ANKRD6	261.3522
ANKRD9	72.8115	ANKRD9	51.29
