gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
ADRM1	1719.3875	ADRM1	1033.4862
ADSL	747.9367	ADSL	578.4404
ADSSL1	399.3536	ADSSL1	153.6697
ADSS	1270.5017	ADSS	866.055
AEBP1	127297.212	AEBP1	11620.1835
AEBP2	590.6718	AEBP2	586.2385
AEN	582.6229	AEN	214.6789
AES	6789.6304	AES	6597.7064
AFAP1L1	503.9904	AFAP1L1	1195.4128
AFAP1L2	562.1908	AFAP1L2	412.844
AFAP1	1390.605	AFAP1	1898.6101
removed	removed	AFARP1	5.0459
AFF1	1642.6126	AFF1	4821.1009
AFF2	32.1959	AFF2	53.6697
AFF3	584.4803	AFF3	505.0459
AFF4	2801.0476	AFF4	3376.6055
AFG3L1	213.6077	AFG3L1	214.6789
AFG3L2	2058.3304	AFG3L2	1079.3073
AFMID	346.1065	AFMID	283.945
AFP	33.4343	removed	removed
AFTPH	1512.5905	AFTPH	985.7798
AG2	306.4807	AG2	805.0459
AGAP11	46.5541	AGAP11	573.8853
AGAP1	160.9797	AGAP1	563.3028
AGAP2	180.7741	AGAP2	103.633
AGAP3	1506.3989	AGAP3	1127.9817
AGAP4	132.4987	AGAP4	157.3394
AGAP5	35.075	AGAP5	44.2569
AGAP6	106.4943	AGAP6	116.9725
AGAP7	8.049	AGAP7	6.8807
AGAP8	36.53	AGAP8	32.5688
AGA	1074.2302	AGA	427.5229
AGBL3	15.4788	AGBL3	7.3394
AGBL5	499.0496	AGBL5	528.9037
AGER	16.098	AGER	38.0734
AGFG1	2002.3404	AGFG1	3364.6789
AGFG2	238.3739	AGFG2	352.2936
AGGF1	964.021	AGGF1	908.2569
AGK	646.3956	AGK	386.2385
AGL	694.6895	AGL	1321.1009
AGMAT	9.9064	removed	removed
AGPAT1	1533.2021	AGPAT1	1788.1468
AGPAT2	1016.0299	AGPAT2	5424.7706
AGPAT3	1300.8402	AGPAT3	2367.8899
AGPAT4	313.2914	AGPAT4	420.1835
AGPAT5	515.7543	AGPAT5	437.156
AGPAT6	1372.6619	AGPAT6	1764.2202
AGPAT9	24.147	AGPAT9	107.7982
AGPHD1	82.9665	AGPHD1	42.2018
AGPS	1092.8048	AGPS	2135.7798
AGR2	1976.336	removed	removed
AGR3	2035.7747	removed	removed
AGRN	4787.29	AGRN	1561.0092
AGTPBP1	266.2357	AGTPBP1	542.6606
AGTR1	119.4965	AGTR1	772.9358
AGTRAP	920.6803	AGTRAP	513.3028
AGT	451.9816	AGT	249.0826
AGXT2L2	377.8133	AGXT2L2	850.6239
AHCTF1	1136.1455	AHCTF1	1892.6606
AHCYL1	4543.9629	AHCYL1	5789.4495
AHCYL2	437.7411	AHCYL2	670.6422
AHCY	3727.9195	AHCY	1229.3578
AHDC1	1064.3238	AHDC1	568.8073
AHI1	334.3426	AHI1	352.2936
AHNAK2	2296.438	AHNAK2	3902.7523
AHNAK	33675.7249	AHNAK	232235.7798
AHRR	78.6324	AHRR	25.2294
AHR	1351.6107	AHR	3538.0734
AHSA1	3261.6973	AHSA1	1277.5229
AHSA2	1072.3728	AHSA2	517.8899
removed	removed	AICDA	7.3394
AIDA	1795.661	AIDA	1840.4771
AIF1L	872.3864	AIF1L	2349.0826
AIF1	602.4357	AIF1	803.6697
AIFM1	1216.0162	AIFM1	751.8349
AIFM2	362.2044	AIFM2	3322.4771
AIFM3	38.5732	AIFM3	10.0917
AIG1	1022.2214	AIG1	971.5596
AIM1L	6.8107	removed	removed
AIM1	1906.9909	AIM1	1750
AIM2	22.9087	removed	removed
AIMP1	770.8577	AIMP1	762.6376
AIMP2	332.4108	AIMP2	297.6239
AIP	933.6825	AIP	765.1376
AJAP1	13.6214	AJAP1	53.211
AK1	666.2085	AK1	756.422
AK2	2376.9279	AK2	1741.2798
AK3L1	430.9304	AK3L1	577.5229
AK3	1204.8715	AK3	3110.0917
AK5	217.9418	AK5	26.1468
AK7	16.7171	AK7	16.5138
AKAP10	442.6943	AKAP10	609.1743
AKAP11	1385.045	AKAP11	3048.6239
AKAP12	1122.5242	AKAP12	10743.578
AKAP13	2723.6535	AKAP13	5760.0917
AKAP1	1100.8538	AKAP1	2987.6147
AKAP2	881.4756	AKAP2	3355.3532
AKAP3	13.6214	AKAP3	16.055
AKAP5	239.6122	AKAP5	23.8532
AKAP6	44.579	AKAP6	194.9541
AKAP7	61.9153	AKAP7	213.7615
AKAP8L	868.0523	AKAP8L	516.5138
AKAP8	695.9278	AKAP8	580.2752
AKAP9	1525.5927	AKAP9	1908.7156
AKD1	81.7282	AKD1	134.4037
AKIRIN1	811.7094	AKIRIN1	1252.2936
AKIRIN2	564.0483	AKIRIN2	759.1743
AKNAD1	17.9554	removed	removed
AKNA	686.6405	AKNA	1209.1743
AKR1A1	3065.4259	AKR1A1	1435.3211
AKR1B10	30.9576	removed	removed
removed	removed	AKR1B15	48.1651
AKR1B1	1388.1407	AKR1B1	1557.7982
AKR1C1	22.9087	AKR1C1	8292.6606
AKR1C2	30.3385	AKR1C2	9469.2661
AKR1C3	269.3315	AKR1C3	4247.7064
AKR1E2	30.3385	AKR1E2	30.2752
AKR7A2	1120.6667	AKR7A2	866.5138
AKR7A3	563.4291	AKR7A3	5.9633
AKR7L	33.4343	AKR7L	7.3394
AKT1S1	1305.1743	AKT1S1	785.7798
AKT1	6652.7976	AKT1	3370.6422
AKT2	1598.6527	AKT2	4496.789
AKT3	1072.9919	AKT3	1637.156
AKTIP	480.2274	AKTIP	648.9771
ALAD	1237.0674	ALAD	2068.8073
ALAS1	754.7474	ALAS1	1179.3578
removed	removed	ALAS2	11.4679
ALB	82.9665	removed	removed
ALCAM	10014.7978	ALCAM	1022.9358
ALDH16A1	638.9658	ALDH16A1	596.3303
ALDH18A1	3391.7194	ALDH18A1	1044.9541
ALDH1A1	390.0663	ALDH1A1	3931.1927
ALDH1A2	53.2471	ALDH1A2	757.7982
ALDH1A3	799.3202	ALDH1A3	2382.7248
ALDH1B1	2857.3905	ALDH1B1	731.6514
removed	removed	ALDH1L1	1842.6606
ALDH1L2	1593.6995	ALDH1L2	698.1651
ALDH2	3549.6034	ALDH2	21105.5046
removed	removed	ALDH3A1	16.5138
ALDH3A2	1650.6616	ALDH3A2	5107.3394
ALDH3B1	426.5963	ALDH3B1	447.7064
ALDH3B2	1804.8306	removed	removed
ALDH4A1	576.4313	ALDH4A1	2174.3119
ALDH5A1	162.8372	ALDH5A1	566.5138
ALDH6A1	527.5987	ALDH6A1	625.555
ALDH7A1	1620.3231	ALDH7A1	982.5688
ALDH8A1	29.1002	ALDH8A1	8.2569
ALDH9A1	1970.1444	ALDH9A1	3444.4954
ALDOA	55224.1024	ALDOA	12863.3028
removed	removed	ALDOB	9.1743
ALDOC	281.7146	ALDOC	866.9725
ALG10B	322.5786	ALG10B	314.6789
ALG10	98.4453	ALG10	121.5596
ALG11	19.1937	ALG11	15.1376
ALG12	399.3536	ALG12	371.5596
ALG13	490.9882	ALG13	423.8532
ALG14	242.7079	ALG14	191.2844
ALG1L	112.5125	removed	removed
ALG1	891.5678	ALG1	346.3486
ALG2	912.6313	ALG2	536.6972
ALG3	1398.0472	ALG3	433.0275
ALG5	741.7451	ALG5	479.8165
ALG6	260.6634	ALG6	197.7064
ALG8	1396.8089	ALG8	683.4862
ALG9	428.4538	ALG9	681.1927
ALKBH1	483.5584	ALKBH1	163.3028
ALKBH2	352.9171	ALKBH2	133.0275
ALKBH3	346.7256	ALKBH3	286.6972
ALKBH4	210.2581	ALKBH4	141.3028
ALKBH5	1953.9412	ALKBH5	2345.7706
ALKBH6	88.5389	ALKBH6	60.0917
ALKBH7	801.1838	ALKBH7	224.7706
ALKBH8	208.6545	ALKBH8	251.3761
ALK	9.2873	ALK	15.1376
ALMS1P	6.8107	removed	removed
ALMS1	514.516	ALMS1	792.6606
ALOX12P2	57.5812	removed	removed
removed	removed	ALOX12	5.555
ALOX15B	442.0752	ALOX15B	8.2569
ALOX15	104.6368	removed	removed
ALOX5AP	256.9484	ALOX5AP	822.9358
ALOX5	350.4405	ALOX5	400
ALPK1	398.7345	ALPK1	525.6881
ALPK2	253.8527	ALPK2	148.1651
ALPK3	358.4895	ALPK3	919.2661
ALPL	264.3783	ALPL	336.6972
ALS2CL	191.9374	ALS2CL	311.4679
removed	removed	ALS2CR11	8.7156
removed	removed	ALS2CR12	5.0459
ALS2CR4	562.81	ALS2CR4	754.5872
ALS2CR8	169.6479	ALS2CR8	153.211
ALS2	642.6807	ALS2	707.3394
removed	removed	ALX1	13.3028
ALX3	8.6681	ALX3	25.2294
AMACR	535.5672	AMACR	385.3211
AMBP	27.8619	removed	removed
AMBRA1	785.705	AMBRA1	725.6881
AMD1	1514.4479	AMD1	1258.2569
removed	removed	AMDHD1	8.7156
AMDHD2	406.4677	AMDHD2	211.1881
AMFR	3924.1909	AMFR	2711.4679
AMH	47.6748	removed	removed
AMICA1	96.5878	AMICA1	92.6606
AMIGO1	26.0044	AMIGO1	175.6881
AMIGO2	664.9702	AMIGO2	612.367
AMIGO3	70.5834	AMIGO3	68.8073
AMMECR1L	679.8299	AMMECR1L	878.4404
AMMECR1	585.0995	AMMECR1	198.6239
AMN1	152.3116	AMN1	129.3578
AMOTL1	637.1083	AMOTL1	2854.5872
AMOTL2	2067.9706	AMOTL2	5738.5321
AMOT	658.7787	AMOT	606.422
AMPD2	829.6649	AMPD2	466.9725
AMPD3	219.7993	AMPD3	343.578
AMPH	139.9285	AMPH	124.3119
AMT	41.9166	AMT	112.5872
AMY2B	180.6131	AMY2B	254.0917
AMZ1	18.5746	removed	removed
AMZ2P1	313.2914	AMZ2P1	182.1101
AMZ2	2045.6811	AMZ2	1103.6697
ANAPC10	167.7904	ANAPC10	97.2477
ANAPC11	1421.575	ANAPC11	569.2661
ANAPC13	2307.8862	ANAPC13	1255.0138
ANAPC16	1645.0892	ANAPC16	1996.3303
ANAPC1	521.9459	ANAPC1	735.7798
ANAPC2	678.5916	ANAPC2	488.0734
ANAPC4	339.9149	ANAPC4	436.6972
ANAPC5	2924.259	ANAPC5	2049.0826
ANAPC7	1278.5507	ANAPC7	739.4495
ANGEL1	509.5628	ANGEL1	675.6881
ANGEL2	474.8903	ANGEL2	547.7064
ANGPT1	314.5297	ANGPT1	1400.4587
ANGPT2	1087.8516	ANGPT2	801.3761
removed	removed	ANGPT4	78.4404
ANGPTL1	80.4899	ANGPTL1	985.7798
ANGPTL2	7423.643	ANGPTL2	15618.3486
ANGPTL4	165.3138	ANGPTL4	4898.1651
removed	removed	ANGPTL5	144.0367
removed	removed	ANGPTL7	11.9266
ANG	239.736	ANG	520.4954
ANK1	17.3363	ANK1	132.1101
ANK2	243.9462	ANK2	3435.7798
ANK3	246.4228	ANK3	67.8899
ANKAR	35.2917	ANKAR	44.0367
ANKDD1A	76.1558	ANKDD1A	616.5138
ANKFY1	1483.4903	ANKFY1	2542.2018
ANKHD1-EIF4EBP3	1081.4867	ANKHD1-EIF4EBP3	1148.2018
ANKHD1	2456.0185	ANKHD1	1776.6789
ANKH	3519.2649	ANKH	2184.4037
ANKIB1	1505.1606	ANKIB1	1787.156
ANKK1	8.049	ANKK1	5.9633
ANKLE2	1497.1117	ANKLE2	1595.8716
ANKMY1	113.305	ANKMY1	189.9083
ANKMY2	307.719	ANKMY2	505.9633
ANKRA2	253.2335	ANKRA2	196.789
ANKRD10	1758.778	ANKRD10	1213.4954
ANKRD11	1651.8441	ANKRD11	2534.6376
ANKRD12	1296.5061	ANKRD12	1927.9817
ANKRD13A	1094.0431	ANKRD13A	938.9908
ANKRD13B	187.6033	ANKRD13B	148.6239
ANKRD13C	564.0483	ANKRD13C	717.8899
ANKRD13D	528.1374	ANKRD13D	373.8532
ANKRD16	157.884	ANKRD16	106.9587
ANKRD17	2885.2524	ANKRD17	2870.1835
ANKRD19	74.2983	ANKRD19	33.945
ANKRD1	13.6214	ANKRD1	8.7156
removed	removed	ANKRD20A3	25.6881
removed	removed	ANKRD20B	8.2569
ANKRD22	118.8774	removed	removed
ANKRD23	21.0512	ANKRD23	16.9725
ANKRD24	47.6748	ANKRD24	11.9266
ANKRD26	130.6413	ANKRD26	194.4954
ANKRD27	603.6741	ANKRD27	843.578
ANKRD28	1435.8155	ANKRD28	1450
ANKRD29	17.3363	ANKRD29	288.9908
ANKRD30A	866.814	ANKRD30A	19.7248
ANKRD30B	159.1223	removed	removed
ANKRD32	141.786	ANKRD32	108.2569
ANKRD34A	39.6258	ANKRD34A	10.0917
removed	removed	ANKRD34C	11.9266
ANKRD35	70.5834	ANKRD35	169.7248
ANKRD36BP1	34.6726	ANKRD36BP1	136.2385
ANKRD36B	15.4788	ANKRD36B	33.4862
ANKRD36	85.4431	ANKRD36	227.0642
ANKRD37	134.1023	ANKRD37	56.9128
ANKRD39	117.639	ANKRD39	89.9083
ANKRD40	1393.094	ANKRD40	4497.7064
ANKRD42	230.3249	ANKRD42	163.7615
ANKRD43	7.4298	ANKRD43	22.4771
ANKRD44	62.5344	ANKRD44	194.0367
ANKRD45	8.6681	ANKRD45	5.5046
ANKRD46	501.099	ANKRD46	663.922
ANKRD49	362.2044	ANKRD49	249.0826
ANKRD50	1098.3772	ANKRD50	999.0826
ANKRD52	946.0656	ANKRD52	1225.6881
