gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
SNX30	628.4402	SNX30	725.6881
SNX33	924.3952	SNX33	1693.1193
SNX3	3216.4992	SNX3	4022.0183
SNX4	952.2571	SNX4	660.0917
SNX5	2419.0303	SNX5	2580.2752
SNX6	1718.7684	SNX6	2141.2844
SNX7	686.0214	SNX7	408.7156
SNX8	172.7437	SNX8	414.6789
SNX9	3940.2889	SNX9	4985.7798
SOAT1	622.2486	SOAT1	813.7615
SOBP	220.4184	SOBP	453.6697
SOCS1	40.2449	SOCS1	47.7064
SOCS2	109.5901	SOCS2	631.6514
SOCS3	1058.1323	SOCS3	6666.055
SOCS4	715.7407	SOCS4	673.3945
SOCS5	877.9588	SOCS5	1010.5505
SOCS6	727.5046	SOCS6	689.4495
SOCS7	15.4788	SOCS7	77.5229
SOD1	4903.6908	SOD1	3443.578
SOD2	2828.9095	SOD2	7083.945
SOD3	185.7459	SOD3	3663.7615
SOHLH1	102.1602	removed	removed
SOHLH2	30.3694	SOHLH2	9.555
SOLH	740.5068	SOLH	483.945
SON	3922.3335	SON	7884.4037
SORBS1	1157.8159	SORBS1	33479.3578
SORBS2	370.2534	SORBS2	1428.4404
SORBS3	3129.1986	SORBS3	3581.1927
SORCS2	403.0685	SORCS2	217.4312
SORD	1105.1879	SORD	194.0367
SORL1	836.4755	SORL1	773.8532
SORT1	2474.1349	SORT1	7214.2202
SOS1	1306.4126	SOS1	2894.9541
SOS2	1164.6266	SOS2	1440.367
removed	removed	SOX10	8.2569
SOX11	151.0733	removed	removed
SOX12	932.4442	SOX12	120.6422
SOX13	825.9499	SOX13	1078.4404
SOX15	9.9064	SOX15	6.8807
SOX17	75.5367	SOX17	352.2936
SOX18	232.1823	SOX18	431.1927
SOX30	9.2873	removed	removed
SOX4	2942.8336	SOX4	456.8807
SOX5	25.3853	SOX5	350
SOX6	32.8151	SOX6	209.633
SOX7	164.6947	SOX7	475.2294
SOX8	22.9087	SOX8	21.5596
SOX9	998.6936	SOX9	115.1376
SP100	2212.8524	SP100	1842.2018
SP110	582.6229	SP110	411.0092
SP140L	269.3315	SP140L	333.7385
SP140	62.5344	SP140	30.0229
SP1	3081.5239	SP1	3651.3761
SP2	517.6118	SP2	661.9266
SP3	2822.718	SP3	2209.633
SP4	201.8438	SP4	210.0917
SP5	8.6681	SP5	9.633
SP6	387.5897	SP6	9.1743
SPA17	139.3094	SPA17	47.7064
SPAG16	125.688	SPAG16	237.156
SPAG17	17.3363	SPAG17	338.5321
SPAG1	107.1134	SPAG1	67.8899
SPAG4	248.8995	removed	removed
SPAG5	328.7702	SPAG5	78.4404
SPAG7	764.6538	SPAG7	720.6422
SPAG8	16.098	SPAG8	17.8899
SPAG9	2440.0815	SPAG9	4027.5229
SPARCL1	7250.8993	SPARCL1	18118.8073
SPARC	233003.3249	SPARC	83527.5229
SPAST	465.603	SPAST	463.7615
SPATA12	8.049	removed	removed
SPATA13	885.1348	SPATA13	395.367
SPATA17	30.3385	removed	removed
SPATA18	208.0354	SPATA18	204.5872
SPATA1	5.5848	removed	removed
SPATA20	1299.6019	SPATA20	713.3028
removed	removed	SPATA22	11.8211
SPATA24	29.7193	SPATA24	21.1009
SPATA2L	201.8438	SPATA2L	98.1651
SPATA2	394.4004	SPATA2	252.2936
SPATA5L1	199.3672	SPATA5L1	159.633
SPATA5	134.3562	SPATA5	199.0826
SPATA6	78.0133	SPATA6	112.3853
SPATA7	190.0799	SPATA7	179.8165
SPATA9	6.8107	SPATA9	10.0917
SPATS2L	3989.8211	SPATS2L	1928.8991
SPATS2	711.4067	SPATS2	240.367
SPC24	16.7171	removed	removed
SPC25	117.0199	SPC25	8.7156
SPCS1	1895.7904	SPCS1	1048.6239
SPCS2	741.7451	SPCS2	445.4128
SPCS3	4080.8366	SPCS3	2399.0826
SPDEF	2293.3422	removed	removed
SPDYA	8.9344	removed	removed
SPDYC	81.109	removed	removed
SPDYE1	8.049	SPDYE1	5.5046
SPDYE3	108.488	SPDYE3	66.4174
removed	removed	SPDYE5	10.5505
SPDYE6	13.0022	SPDYE6	19.2661
removed	removed	SPDYE7P	5.9633
SPDYE8P	18.5746	SPDYE8P	11.0092
SPEF1	9.9064	removed	removed
SPEF2	105.256	SPEF2	66.9725
SPEG	194.414	SPEG	244.4954
SPEN	2011.0085	SPEN	3517.8899
SPESP1	93.4921	SPESP1	24.2798
SPG11	2061.7791	SPG11	2044.9541
SPG20	1136.7647	SPG20	2213.7615
SPG21	2678.4553	SPG21	1677.5229
SPG7	957.8295	SPG7	944.9541
SPHAR	69.3204	SPHAR	101.0596
SPHK1	580.1091	SPHK1	97.7844
SPHK2	163.4811	SPHK2	197.7064
SPI1	666.2085	SPI1	1172.9358
SPIN1	2412.2196	SPIN1	2243.578
SPIN2A	7.4298	SPIN2A	6.8807
SPIN2B	62.1444	SPIN2B	79.5
SPIN3	277.9996	SPIN3	225.2294
SPIN4	152.3116	SPIN4	75.6881
SPINK1	19.8129	removed	removed
SPINK4	124.4497	removed	removed
SPINK5	6.8107	SPINK5	55.0459
SPINK8	30.9576	removed	removed
SPINT1	2506.95	SPINT1	69.7248
SPINT2	4958.7954	SPINT2	226.6055
SPIRE1	1107.0453	SPIRE1	1082.1101
SPIRE2	126.3072	SPIRE2	24.3119
SPNS1	947.7311	SPNS1	592.9404
SPNS2	238.0952	SPNS2	558.8211
SPN	106.4943	SPN	169.7248
SPOCD1	194.414	SPOCD1	134.8624
SPOCK1	4030.0661	SPOCK1	1660.5505
SPOCK2	311.4339	SPOCK2	243.4908
SPON1	5530.2735	SPON1	1375.6881
SPON2	1838.2649	SPON2	854.1284
SPOPL	813.5669	SPOPL	914.2202
SPOP	1135.5264	SPOP	1262.3853
SPP1	7075.0599	SPP1	3767.4312
SPPL2A	911.393	SPPL2A	933.4862
SPPL2B	1085.9941	SPPL2B	533.4862
SPPL3	1247.593	SPPL3	1145.8716
SPRED1	1744.1536	SPRED1	1797.7064
SPRED2	1357.1831	SPRED2	1395.8716
SPRN	71.8217	SPRN	41.2844
removed	removed	SPRR2A	7.3394
removed	removed	SPRR2B	7.7982
removed	removed	SPRR2E	11.0092
removed	removed	SPRR2F	34.8624
SPRY1	1232.1142	SPRY1	2307.7982
SPRY2	316.3871	SPRY2	1248.6239
SPRY3	43.3407	SPRY3	119.2661
SPRY4	1804.8306	SPRY4	1017.4312
SPRYD3	1683.4767	SPRYD3	3011.9266
SPRYD4	424.7389	SPRYD4	203.6697
SPR	1585.0314	SPR	567.4312
SPSB1	1934.2336	SPSB1	1949.5413
SPSB2	104.0177	SPSB2	61.4679
SPSB3	752.8899	SPSB3	511.9266
SPSB4	37.1492	SPSB4	179.8165
removed	removed	SPTA1	12.844
SPTAN1	7338.1999	SPTAN1	11730.7339
SPTBN1	5228.746	SPTBN1	61735.3211
SPTBN2	526.8991	SPTBN2	53.6697
SPTBN4	13.6214	SPTBN4	94.9541
SPTBN5	146.7392	SPTBN5	63.3028
SPTB	24.147	SPTB	278.8991
SPTLC1	1602.9868	SPTLC1	1726.6055
SPTLC2	2654.9275	SPTLC2	2610.5505
SPTLC3	183.2693	SPTLC3	237.6147
SPTY2D1	828.4265	SPTY2D1	805.9633
SQLE	608.0081	SQLE	178.8991
SQRDL	2206.0417	SQRDL	1185.3211
SQSTM1	13597.9097	SQSTM1	13305.8624
SR140	2348.4469	SR140	1844.4954
SRA1	477.986	SRA1	325.2294
SRBD1	565.2866	SRBD1	462.844
SRCAP	3457.3497	SRCAP	3512.3853
SRCIN1	170.8862	SRCIN1	51.3761
SRCRB4D	66.8685	SRCRB4D	67.9541
SRC	723.7897	SRC	577.9817
SRD5A1	175.2203	SRD5A1	78.8991
SRD5A2	17.9554	removed	removed
SRD5A3	1347.8958	SRD5A3	365.1193
SREBF1	5010.1355	SREBF1	1346.789
SREBF2	1072.9919	SREBF2	2014.6789
SRFBP1	206.1779	SRFBP1	245.8716
SRF	1101.473	SRF	1422.9358
SRGAP1	517.6118	SRGAP1	438.0734
SRGAP2	1281.0273	SRGAP2	1509.633
SRGAP3	62.5344	SRGAP3	79.8165
SRGN	684.7831	SRGN	2875.2294
SRI	1339.2277	SRI	1228.8991
SRL	10.5256	SRL	110.5505
SRMS	32.1959	removed	removed
SRM	1410.4302	SRM	703.6697
SRP14	4999.0403	SRP14	3108.2569
SRP19	689.5134	SRP19	476.8624
SRP54	2085.926	SRP54	824.7706
SRP68	1942.9017	SRP68	1809.1743
SRP72	2233.2844	SRP72	2233.945
SRP9	6150.0455	SRP9	2387.6147
SRPK1	676.7341	SRPK1	552.7523
SRPK2	1028.4129	SRPK2	991.2844
SRPK3	44.9938	SRPK3	6.1193
SRPRB	2236.3802	SRPRB	820.1835
SRPR	5397.1556	SRPR	3607.7982
SRPX2	1395.5706	SRPX2	3248.1651
SRPX	1026.5555	SRPX	2690.367
SRRD	305.8615	SRRD	213.7615
SRRM1	1663.6638	SRRM1	1685.7798
SRRM2	11893.9205	SRRM2	14152.7523
SRRM3	113.9241	SRRM3	71.1009
SRRM5	15.7946	SRRM5	9.5046
SRRT	1830.8351	SRRT	1103.6697
SRR	387.4349	SRR	239.8853
SRXN1	1749.1069	SRXN1	833.0275
SS18L1	422.2623	SS18L1	236.2385
SS18L2	278.6188	SS18L2	131.1927
SS18	1711.9577	SS18	1385.7798
SSBP1	1750.3452	SSBP1	618.3486
SSBP2	318.8637	SSBP2	534.4037
SSBP3	880.4354	SSBP3	620.6422
SSBP4	699.0236	SSBP4	447.2477
SSB	3033.2361	SSB	2419.2844
SSC5D	1071.7536	SSC5D	2538.5321
SSFA2	2705.0789	SSFA2	3014.2202
SSH1	1365.2321	SSH1	1701.8349
SSH2	464.3647	SSH2	1494.4954
SSH3	1219.112	SSH3	596.3303
SSNA1	1252.5463	SSNA1	481.1927
SSPN	1950.3316	SSPN	2785.7798
SSPO	43.3407	SSPO	13.7615
SSR1	4519.816	SSR1	3646.3303
SSR2	7377.2065	SSR2	2453.211
SSR3	7322.1019	SSR3	3461.9266
SSR4	4222.6226	SSR4	1030.7339
SSRP1	2405.4089	SSRP1	2289.9083
SSSCA1	383.2556	SSSCA1	208.2569
removed	removed	SSTR1	116.055
SSTR2	61.2961	SSTR2	71.1009
SSU72	2931.0697	SSU72	2178.4404
SSX2IP	606.7698	SSX2IP	67.8899
ST13	4285.7762	ST13	5745.8716
ST14	2745.3238	ST14	747.2477
removed	removed	ST18	5.9633
ST20	91.9504	ST20	15.844
ST3GAL1	953.4954	ST3GAL1	2355.5046
ST3GAL2	647.0148	ST3GAL2	784.4037
ST3GAL3	211.7503	ST3GAL3	423.3945
ST3GAL4	638.3466	ST3GAL4	532.1101
ST3GAL5	548.5694	ST3GAL5	648.1651
ST3GAL6	122.5923	ST3GAL6	151.8349
ST5	2047.5386	ST5	765.1376
ST6GAL1	953.4954	ST6GAL1	1803.211
ST6GAL2	900.8674	ST6GAL2	8.2569
removed	removed	ST6GALNAC1	72.0183
ST6GALNAC2	200.6055	ST6GALNAC2	233.4862
ST6GALNAC3	43.3407	ST6GALNAC3	312.3853
ST6GALNAC4	1542.3098	ST6GALNAC4	224.7706
ST6GALNAC5	232.1823	removed	removed
ST6GALNAC6	943.589	ST6GALNAC6	3719.2661
ST7L	240.2313	ST7L	270.6422
ST7OT1	17.2001	ST7OT1	39.7202
ST7	676.2388	ST7	845.1055
ST8SIA1	146.7392	ST8SIA1	131.1927
ST8SIA2	114.5433	removed	removed
ST8SIA4	463.1264	ST8SIA4	463.7615
ST8SIA5	16.7171	removed	removed
ST8SIA6	17.9554	ST8SIA6	11.4679
STAB1	2052.8323	STAB1	8721.9037
removed	removed	STAB2	23.8532
STAC2	8.049	STAC2	12.3853
STAC3	77.3941	STAC3	61.0092
STAC	17.9554	STAC	33.4862
STAG1	1180.3902	STAG1	1556.5963
STAG2	2133.6008	STAG2	3079.3578
STAG3L1	10.5256	STAG3L1	69.2661
STAG3L2	91.0155	STAG3L2	90.8257
STAG3L3	75.549	STAG3L3	160.0459
STAG3L4	222.895	STAG3L4	146.789
STAG3	14.7049	STAG3	20.0046
STAM2	997.4553	STAM2	1108.7156
STAMBPL1	92.2538	STAMBPL1	138.0734
STAMBP	655.6829	STAMBP	497.7064
STAM	494.084	STAM	604.5872
STAP1	6.8107	removed	removed
STAP2	608.0081	STAP2	24.7706
STARD10	3772.4985	STARD10	239.4495
STARD13	950.3997	STARD13	1649.0826
STARD3NL	809.852	STARD3NL	574.7706
STARD3	727.5046	STARD3	685.3211
STARD4	70.5834	STARD4	89.4495
STARD5	170.8862	STARD5	92.2018
STARD7	1967.8969	STARD7	2821.6606
STARD8	298.4317	STARD8	874.7706
STAT1	7375.9682	STAT1	3593.578
STAT2	3097.0027	STAT2	2247.7064
STAT3	3945.2421	STAT3	6863.7615
STAT4	42.1024	STAT4	57.3394
STAT5A	609.2464	STAT5A	3977.0642
STAT5B	1318.1765	STAT5B	5058.7156
STAT6	2892.6822	STAT6	5547.2477
STAU1	3587.3718	STAU1	2627.5229
STAU2	635.87	STAU2	772.9358
STBD1	778.0027	STBD1	2770.6468
STC1	278.6188	STC1	1186.6972
STC2	3750.209	STC2	127.0642
STEAP1	225.3716	STEAP1	587.6147
STEAP2	313.2914	STEAP2	946.3303
STEAP3	440.2177	STEAP3	617.8899
STEAP4	912.6313	STEAP4	2581.6514
STIL	190.0799	STIL	38.5321
STIM1	1029.6512	STIM1	2526.6055
STIM2	474.2711	STIM2	520.1835
STIP1	3715.5364	STIP1	1960.0917
STK10	670.5426	STK10	899.0826
STK11IP	607.389	STK11IP	239.9083
STK11	812.9477	STK11	778.4404
STK16	702.7385	STK16	360.5505
STK17A	1058.7514	STK17A	479.8165
STK17B	1461.8199	STK17B	1397.2477
STK19	305.8491	STK19	216.4633
STK24	2707.5555	STK24	2354.1284
STK25	1015.4107	STK25	1524.3119
STK31	9.9064	removed	removed
removed	removed	STK32A	6.422
STK32B	94.7304	STK32B	445.4128
STK32C	178.316	STK32C	135.7798
STK35	868.0523	STK35	894.4954
STK36	971.4509	STK36	293.578
STK38L	1600.5102	STK38L	1414.2202
STK38	1278.5507	STK38	1806.422
STK39	647.6339	STK39	617.4312
STK3	529.9949	STK3	554.5872
STK40	1231.4951	STK40	2731.6514
STK4	1654.3765	STK4	1200.4587
STMN1	2095.2133	STMN1	1162.3853
STMN2	105.8751	STMN2	6.422
STMN3	1084.7558	STMN3	510.5505
STOML1	330.6276	STOML1	330.2752
STOML2	1151.0052	STOML2	1131.6514
STOM	3648.6679	STOM	7464.6789
STON1-GTF2A1L	47.9534	STON1-GTF2A1L	92.4771
STON1	522.2864	STON1	1036.8807
STON2	313.9105	STON2	290.367
STOX1	56.3429	STOX1	76.1468
STOX2	25.3853	STOX2	57.3394
STRA13	845.1437	STRA13	194.4954
STRA6	87.9197	removed	removed
STRADA	673.6383	STRADA	459.1743
STRADB	250.1378	STRADB	437.156
STRAP	2546.5758	STRAP	2230.7339
STRBP	933.0634	STRBP	238.5321
STRC	35.2917	STRC	5.9633
STRN3	588.8144	STRN3	929.3394
STRN4	1235.8291	STRN4	1516.5138
STRN	331.2468	STRN	694.4954
STS	610.4847	STS	3169.2661
STT3A	4307.4466	STT3A	2517.4312
STT3B	1498.35	STT3B	1761.9266
STUB1	2115.2739	STUB1	1274.2477
STX10	438.3602	STX10	246.789
STX11	71.2026	STX11	1081.6514
STX12	1560.8844	STX12	2582.1101
STX16	1285.9805	STX16	1483.0275
STX17	775.7986	STX17	925.6881
STX18	641.4424	STX18	413.3028
STX19	24.147	removed	removed
STX1A	176.4586	STX1A	27.9817
STX1B	73.06	STX1B	70.1835
STX2	469.3179	STX2	738.9908
STX3	1136.1455	STX3	449.0826
STX4	1134.9072	STX4	994.4954
STX5	946.6847	STX5	903.211
STX6	1271.2756	STX6	851.0734
STX7	1876.0332	STX7	3098.6239
STX8	410.4984	STX8	468.3486
STXBP1	688.498	STXBP1	2124.3119
STXBP2	1917.5165	STXBP2	382.5688
STXBP3	1045.7492	STXBP3	861.9266
STXBP4	140.5477	STXBP4	119.2661
STXBP5L	5.5724	removed	removed
STXBP5	858.053	STXBP5	648.5459
STXBP6	6.1915	STXBP6	165.1376
STYK1	104.6368	removed	removed
STYXL1	746.0792	STYXL1	205.9633
STYX	773.9411	STYX	520.6422
SUB1	6068.3173	SUB1	2016.9725
SUCLA2	620.1249	SUCLA2	1547.6376
SUCLG1	1343.5617	SUCLG1	1759.1743
SUCLG2	887.2461	SUCLG2	1498.1651
removed	removed	SUCNR1	118.3486
SUDS3	1165.2457	SUDS3	733.0275
SUFU	687.8788	SUFU	643.578
SUGT1L1	46.1826	SUGT1L1	35.0183
removed	removed	SUGT1P1	11.4679
SUGT1	800.5647	SUGT1	457.3394
SULF1	9702.1256	SULF1	2412.844
SULF2	10713.8213	SULF2	2064.2202
SULT1A1	708.93	SULT1A1	440.367
SULT1A2	60.0578	SULT1A2	16.9725
SULT1A3	716.0627	SULT1A3	693.3486
removed	removed	SULT1B1	7.7982
SULT1C2	9.9064	removed	removed
SULT1C4	17.3363	SULT1C4	64.2202
SULT2B1	211.1311	removed	removed
SUMF1	1091.5665	SUMF1	953.211
SUMF2	3027.6576	SUMF2	2336.6972
SUMO1P3	183.2693	SUMO1P3	100.4587
SUMO1	2982.4594	SUMO1	1360.5505
SUMO2	3667.8616	SUMO2	2044.0367
SUMO3	2684.0277	SUMO3	2107.3394
SUN1	1146.052	SUN1	4061.4679
SUN2	2790.522	SUN2	7482.5688
SUOX	625.9636	SUOX	570.1835
SUPT16H	2340.3979	SUPT16H	2774.7706
SUPT3H	73.06	SUPT3H	77.9817
SUPT4H1	1729.2692	SUPT4H1	1004.0872
SUPT5H	2366.4023	SUPT5H	2311.4679
SUPT6H	2139.7923	SUPT6H	3155.0459
SUPT7L	803.0413	SUPT7L	991.2844
SUPV3L1	495.9415	SUPV3L1	366.055
SURF1	660.017	SURF1	501.3761
SURF2	227.8483	SURF2	122.4771
SURF4	7693.5936	SURF4	6271.1009
SURF6	1047.6067	SURF6	527.0642
SUSD1	254.4718	SUSD1	281.1927
SUSD2	743.6026	SUSD2	195.4128
SUSD3	272.4273	SUSD3	30.7339
SUSD4	30.3385	removed	removed
SUSD5	131.2604	SUSD5	234.4037
SUV39H1	273.0464	SUV39H1	163.7615
SUV39H2	139.9285	SUV39H2	91.2844
SUV420H1	1072.9919	SUV420H1	1077.9817
SUV420H2	87.9197	SUV420H2	72.4771
SUZ12P	121.354	SUZ12P	77.9817
SUZ12	746.6984	SUZ12	728.8991
SV2A	109.5901	SV2A	16.9725
SV2B	22.2895	SV2B	522.4771
SVEP1	2462.7611	SVEP1	9099.9128
SVIL	2028.7782	SVIL	2092.4771
SVIP	182.0309	SVIP	84.4037
SWAP70	2025.8682	SWAP70	3037.156
SYAP1	2730.4642	SYAP1	881.1927
SYBU	331.2468	SYBU	580.2752
removed	removed	SYCE1	7.2064
SYCE2	37.7683	removed	removed
SYCP2	155.4074	SYCP2	21.1009
SYDE1	835.2372	SYDE1	705.0459
SYDE2	90.3963	SYDE2	135.3211
SYF2	984.4531	SYF2	914.2202
SYK	690.3555	SYK	1353.211
SYMPK	1327.4638	SYMPK	1411.4679
SYN1	24.7661	SYN1	7.3394
removed	removed	SYN2	871.1009
SYN3	23.5278	SYN3	14.6789
SYNCRIP	4663.4595	SYNCRIP	3862.3853
SYNC	746.0854	SYNC	668.4174
SYNE1	1566.4568	SYNE1	5942.6606
SYNE2	1760.2516	SYNE2	5542.6606
SYNGAP1	263.14	SYNGAP1	385.3211
SYNGR1	98.6496	SYNGR1	294.3073
SYNGR2	3575.6079	SYNGR2	1962.844
SYNGR3	42.7215	removed	removed
SYNJ1	283.572	SYNJ1	652.2936
SYNJ2BP	1131.8115	SYNJ2BP	1371.1009
SYNJ2	759.7006	SYNJ2	491.7431
SYNM	1445.722	SYNM	4019.7248
SYNPO2L	178.316	removed	removed
SYNPO2	1470.4881	SYNPO2	6745.8716
SYNPO	2483.4222	SYNPO	16055.0459
SYNRG	817.9009	SYNRG	1140.367
SYPL1	2251.859	SYPL1	2825.2294
SYPL2	45.1982	SYPL2	121.5596
SYP	60.0578	SYP	68.8073
SYS1-DBNDD2	26.5307	SYS1-DBNDD2	13.1881
SYS1	1525.4193	SYS1	763.9266
SYT11	516.3735	SYT11	745.4128
SYT12	1661.1872	SYT12	72.9358
SYT13	27.2427	removed	removed
SYT15	45.1982	SYT15	239.9083
SYT17	192.5565	SYT17	44.9541
SYT1	14.2405	SYT1	22.0183
SYT2	6.1915	SYT2	14.2202
SYT3	26.6236	removed	removed
SYT5	6.8107	removed	removed
SYT6	12.3831	removed	removed
SYT7	1254.4037	SYT7	238.5321
SYTL1	300.9083	SYTL1	9.633
SYTL2	2605.3953	SYTL2	467.8899
SYTL3	175.8394	SYTL3	193.1193
SYTL4	435.8836	SYTL4	1340.8257
SYTL5	364.0619	removed	removed
SYVN1	2057.445	SYVN1	1580.7339
TAB1	466.0178	TAB1	555.2339
TAB2	2571.961	TAB2	2870.6422
TAB3	617.2954	TAB3	788.5321
TACC1	2368.2597	TACC1	13862.844
TACC2	414.8324	TACC2	2454.1284
TACC3	741.126	TACC3	238.5321
TACO1	457.554	TACO1	278.8991
TACR1	21.0512	TACR1	538.9908
TACR2	10.5256	TACR2	19.7248
TACSTD2	3473.4476	TACSTD2	46.3303
TADA1	286.0486	TADA1	215.1376
TADA2A	115.7816	TADA2A	149.5413
TADA2B	952.8763	TADA2B	804.5872
TADA3	1698.7759	TADA3	1307.0183
TAF10	744.8409	TAF10	472.9358
TAF11	474.8903	TAF11	396.789
TAF12	625.3444	TAF12	377.9817
TAF13	203.7013	TAF13	187.156
TAF15	2103.8815	TAF15	2282.5688
TAF1A	79.2516	TAF1A	72.4771
TAF1B	183.8884	TAF1B	328.4404
TAF1C	419.7856	TAF1C	553.211
TAF1D	828.8166	TAF1D	376.7385
TAF1L	17.9554	TAF1L	43.578
TAF1	1147.9094	TAF1	1656.422
TAF2	756.6048	TAF2	672.4771
TAF3	130.6413	TAF3	238.5321
TAF4B	94.1112	TAF4B	190.8257
TAF4	409.8792	TAF4	340.8257
TAF5L	423.5006	TAF5L	671.5596
TAF5	121.354	TAF5	108.2569
TAF6L	244.5654	TAF6L	179.8165
TAF6	1111.9986	TAF6	819.7248
TAF7	3179.9692	TAF7	2106.8807
TAF8	323.817	TAF8	650.4587
TAF9B	759.7006	TAF9B	674.3119
TAF9	1476.6796	TAF9	998.8303
TAGAP	165.933	TAGAP	506.422
TAGLN2	15188.4392	TAGLN2	13086.6972
TAGLN	25677.7185	TAGLN	14443.1789
TAL1	47.6748	TAL1	269.2661
TALDO1	3259.8399	TALDO1	3226.6055
TANC1	1270.5017	TANC1	1256.8807
TANC2	1035.2236	TANC2	811.4679
TANK	983.2148	TANK	900
TAOK1	333.7234	TAOK1	1489.4495
TAOK2	1517.5437	TAOK2	1815.5963
TAOK3	941.1124	TAOK3	1140.8257
TAP1	2130.505	TAP1	1238.5321
TAP2	1131.1737	TAP2	1355.344
TAPBPL	887.2832	TAPBPL	485.8303
TAPBP	3451.7773	TAPBP	2576.1468
TAPT1	394.4004	TAPT1	663.3028
TARBP1	331.2468	TARBP1	469.7248
TARBP2	564.0483	TARBP2	153.6697
TARDBP	3342.8064	TARDBP	3013.3028
TARP	10.5256	TARP	10.0917
TARS2	626.5827	TARS2	390.8257
TARSL2	694.0704	TARSL2	266.5138
TARS	1804.2115	TARS	1632.1101
TAS1R3	188.2225	removed	removed
TAS2R14	6.1296	TAS2R14	6.4174
TAS2R20	17.9554	TAS2R20	15.1376
removed	removed	TAS2R5	9.633
TASP1	207.4162	TASP1	201.3761
TATDN1	462.5072	TATDN1	265.1376
TATDN2	1012.9341	TATDN2	1256.422
TATDN3	170.267	TATDN3	431.6514
TAT	39.0066	removed	removed
TAX1BP1	5139.588	TAX1BP1	2511.4679
TAX1BP3	3671.0131	TAX1BP3	2391.2156
TAZ	385.1131	TAZ	301.3761
TBC1D10A	428.7696	TBC1D10A	542.6972
TBC1D10B	1647.5658	TBC1D10B	1066.5138
TBC1D10C	65.0111	TBC1D10C	34.4037
TBC1D12	332.4851	TBC1D12	857.3394
TBC1D13	549.8078	TBC1D13	1211.0092
TBC1D14	786.9433	TBC1D14	1895.4128
TBC1D15	952.8763	TBC1D15	1609.633
TBC1D16	203.7013	TBC1D16	1991.2844
TBC1D17	1002.2104	TBC1D17	1047.2706
TBC1D19	114.5433	TBC1D19	122.9358
TBC1D1	1377.6151	TBC1D1	1348.1651
TBC1D20	1602.9868	TBC1D20	1547.7064
TBC1D22A	248.8995	TBC1D22A	428.8991
TBC1D22B	211.7503	TBC1D22B	295.5734
TBC1D23	1050.0833	TBC1D23	1100.9174
TBC1D24	1139.0617	TBC1D24	293.1422
TBC1D25	362.8236	TBC1D25	545.8716
TBC1D2B	1274.8358	TBC1D2B	3739.9083
TBC1D2	673.6383	TBC1D2	322.4771
TBC1D3B	77.3941	TBC1D3B	48.6239
TBC1D3C	38.3875	TBC1D3C	17.4312
TBC1D3H	6.8107	removed	removed
TBC1D3	176.9229	TBC1D3	172.8486
TBC1D4	653.2063	TBC1D4	1676.1468
TBC1D5	895.2951	TBC1D5	2375.6881
TBC1D7	300.9083	TBC1D7	134.8624
TBC1D8B	427.8346	TBC1D8B	308.2569
TBC1D8	214.2269	TBC1D8	744.9541
TBC1D9B	3243.7419	TBC1D9B	5265.5963
TBC1D9	5747.5961	TBC1D9	2818.8073
TBCA	1428.3857	TBCA	703.211
TBCB	900.7498	TBCB	655.5367
TBCCD1	338.6766	TBCCD1	272.4771
TBCC	391.9238	TBCC	261.9266
TBCD	1589.0435	TBCD	1245.6881
TBCEL	402.4494	TBCEL	487.156
TBCE	399.2979	TBCE	289.8991
TBCK	525.6484	TBCK	692.867
TBK1	902.1057	TBK1	626.6055
TBKBP1	173.982	TBKBP1	413.7615
TBL1XR1	7426.7387	TBL1XR1	2653.211
TBL1X	1781.922	TBL1X	919.2661
TBL2	1273.5975	TBL2	708.7156
TBL3	1255.642	TBL3	526.6055
TBPL1	277.3805	TBPL1	189.9083
TBP	282.9529	TBP	181.6514
TBRG1	723.7897	TBRG1	1058.8716
TBRG4	1192.4884	TBRG4	587.156
TBX15	703.9768	TBX15	1300.4587
TBX18	291.621	TBX18	320.6422
TBX19	45.1982	TBX19	59.2706
TBX1	21.6704	TBX1	16.5138
TBX21	11.7639	TBX21	20.6422
TBX2	395.0195	TBX2	305.5046
TBX3	611.1039	TBX3	628.4404
removed	removed	TBX4	6.8807
TBX5	404.926	TBX5	214.6789
TBX6	53.8663	TBX6	12.3853
TBXA2R	115.7816	TBXA2R	67.8899
TBXAS1	302.7658	TBXAS1	677.0642
TC2N	5598.9994	TC2N	836.2385
TCAM1P	5.5724	removed	removed
removed	removed	TCAP	5.0459
TCEA1	1575.1249	TCEA1	1211.9266
TCEA2	327.5319	TCEA2	232.5688
TCEA3	1220.9695	TCEA3	314.6789
TCEAL1	380.779	TCEAL1	284.4037
removed	removed	TCEAL2	8.7156
TCEAL3	581.3845	TCEAL3	292.2018
TCEAL4	2788.6645	TCEAL4	1309.633
TCEAL5	6.1915	TCEAL5	5.0459
TCEAL6	31.5768	TCEAL6	19.7248
TCEAL7	119.4965	TCEAL7	47.7064
TCEAL8	1267.4059	TCEAL8	653.6697
TCEANC	88.5389	TCEANC	66.5138
TCEB1	993.1212	TCEB1	418.3486
TCEB2	2491.4712	TCEB2	761.0092
TCEB3	1548.0556	TCEB3	1618.7706
TCERG1	919.442	TCERG1	744.0367
TCF12	2716.2237	TCF12	2294.656
TCF15	9.2873	TCF15	50
TCF19	318.8637	TCF19	240.8257
