gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
ALDH3B1	185.7355	ALDH3B1	124.8811
ALDH3B2	21049.3314	ALDH3B2	2216.4818
ALDH4A1	2893.3135	ALDH4A1	721.0777
ALDH5A1	308.1724	ALDH5A1	803.4865
ALDH6A1	1566.9629	ALDH6A1	1053.252
ALDH7A1	2665.6761	ALDH7A1	2162.916
ALDH8A1	26.7459	ALDH8A1	13.6292
ALDH9A1	2727.786	ALDH9A1	3902.0602
ALDOA	35138.1872	ALDOA	13893.8193
removed	removed	ALDOB	6.0222
ALDOC	172.6597	ALDOC	1513.7876
ALG10B	719.1679	ALG10B	483.6767
ALG10	249.9257	ALG10	145.8003
ALG11	29.4205	ALG11	10.7765
ALG12	375.6315	ALG12	448.8114
ALG13	374.74	ALG13	539.1442
ALG14	202.3774	ALG14	166.0856
ALG1L	97.5602	ALG1L	6.4501
ALG1	487.9525	ALG1	362.5642
ALG2	1069.5394	ALG2	833.5975
ALG3	929.8663	ALG3	408.2409
ALG5	673.6999	ALG5	516.3233
ALG6	370.2823	ALG6	284.6276
ALG8	4670.4309	ALG8	707.4485
ALG9	356.9094	ALG9	671.9493
ALKBH1	384.844	ALKBH1	197.1474
ALKBH2	465.6761	ALKBH2	248.4945
ALKBH3	297.1768	ALKBH3	356.2599
ALKBH4	210.4547	ALKBH4	187.981
ALKBH5	1725.6077	ALKBH5	2171.6482
ALKBH6	125.7058	ALKBH6	70.0475
ALKBH7	371.471	ALKBH7	296.355
ALKBH8	187.8158	ALKBH8	286.8463
removed	removed	ALK	7.9239
removed	removed	ALMS1P	7.29
ALMS1	727.786	ALMS1	998.0983
ALOX12B	7.7266	removed	removed
ALOX12P2	82.0208	ALOX12P2	9.8257
removed	removed	ALOX12	6.3899
ALOX15B	62.7043	ALOX15B	151.1886
ALOX15	9.2125	ALOX15	9.8257
ALOX5AP	193.7593	ALOX5AP	193.6609
ALOX5	187.2214	ALOX5	328.0507
ALOXE3	101.3373	ALOXE3	14.897
ALPK1	579.792	ALPK1	762.2821
ALPK2	19.0193	ALPK2	20.9192
ALPK3	58.841	ALPK3	1215.5309
ALPL	143.2392	ALPL	716.9572
ALS2CL	72.214	ALS2CL	383.8352
removed	removed	ALS2CR11	11.0935
ALS2CR12	19.3165	removed	removed
ALS2CR4	749.1828	ALS2CR4	1293.8193
ALS2CR8	120.3566	ALS2CR8	290.9667
ALS2	822.5854	ALS2	800.9509
ALX3	17.8306	ALX3	30.1109
removed	removed	ALX4	74.168
AMACR	293.0163	AMACR	256.4184
AMBP	331.3522	removed	removed
AMBRA1	1034.1753	AMBRA1	942.6307
AMD1	2810.6984	AMD1	1854.5166
AMDHD1	82.0208	AMDHD1	21.87
AMDHD2	229.0282	AMDHD2	150.4437
AMFR	3261.5156	AMFR	3175.9113
AMH	15.7504	removed	removed
AMICA1	198.2169	AMICA1	173.0586
AMIGO1	56.4636	AMIGO1	221.5531
AMIGO2	1611.2927	AMIGO2	1792.71
AMIGO3	38.9302	AMIGO3	44.0571
AMMECR1L	1265.6761	AMMECR1L	900.7924
AMMECR1	175.3343	AMMECR1	237.7179
AMN1	191.679	AMN1	229.1601
AMOTL1	734.0267	AMOTL1	3343.5816
AMOTL2	961.367	AMOTL2	4038.9857
AMOT	524.5171	AMOT	1464.3423
AMPD1	9.5097	AMPD1	210.4596
AMPD2	894.2051	AMPD2	665.9271
AMPD3	249.0342	AMPD3	198.7322
AMPH	21.0996	AMPH	140.729
AMT	26.841	AMT	203.794
removed	removed	AMY1A	6.9731
AMY2B	172.5914	AMY2B	377.8035
AMZ2P1	136.9985	AMZ2P1	242.7892
AMZ2	4562.8529	AMZ2	1299.5246
ANAPC10	284.9926	ANAPC10	141.046
ANAPC11	360.7727	ANAPC11	438.3518
ANAPC13	1495.0936	ANAPC13	1128.5071
ANAPC16	985.4383	ANAPC16	2534.7068
ANAPC1	1487.0728	ANAPC1	903.3281
ANAPC2	861.2184	ANAPC2	640.5705
ANAPC4	473.4027	ANAPC4	671.6323
ANAPC5	4485.5869	ANAPC5	2458.954
ANAPC7	2013.373	ANAPC7	780.9826
ANGEL1	775.0371	ANGEL1	739.1442
ANGEL2	1106.3893	ANGEL2	689.3819
ANGPT1	29.4205	ANGPT1	432.9635
ANGPT2	189.0045	ANGPT2	364.5008
removed	removed	ANGPT4	12.6783
ANGPTL1	22.5854	ANGPTL1	718.225
ANGPTL2	806.5379	ANGPTL2	4134.0729
ANGPTL4	51.7088	ANGPTL4	939.1442
removed	removed	ANGPTL5	7.607
ANGPTL7	13.373	ANGPTL7	23.7718
ANG	81.4264	ANG	628.8494
ANK1	47.5483	ANK1	16.4818
ANK2	132.838	ANK2	1164.8177
ANK3	1671.3224	ANK3	1356.2599
ANKAR	31.2036	ANKAR	69.4136
ANKDD1A	48.1426	ANKDD1A	142.9477
ANKFN1	5.9435	ANKFN1	10.1426
ANKFY1	2030.6092	ANKFY1	2510.6181
ANKHD1-EIF4EBP3	624.3774	ANKHD1-EIF4EBP3	1059.8067
ANKHD1	3186.5973	ANKHD1	3413.9049
ANKH	669.8366	ANKH	1841.5214
ANKIB1	1745.0223	ANKIB1	1631.3788
ANKK1	13.6701	ANKK1	69.0967
ANKLE1	7.7266	ANKLE1	14.897
ANKLE2	2340.2675	ANKLE2	1602.5357
ANKMY1	375.6315	ANKMY1	275.4358
ANKMY2	518.2764	ANKMY2	890.9667
ANKRA2	283.8039	ANKRA2	383.8352
ANKRD10	1382.4844	ANKRD10	1386.0063
