gene_id	TCGA-BH-A18V-01A-11R-A12D-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
AIG1	177.9766	AIG1	869.9833
AIM1L	7.6228	removed	removed
AIM1	1515.95	AIM1	1584.857
AIM2	76.2284	AIM2	5.3823
AIMP1	1984.6947	AIMP1	1142.2958
AIMP2	350.3555	AIMP2	421.0416
AIP	577.3469	AIP	1904.8621
AJAP1	8.2857	AJAP1	14.1898
AK1	457.0387	AK1	949.2506
AK2	4552.1584	AK2	2500.3456
AK3L1	118.9825	AK3L1	193.2752
AK3	1222.3051	AK3	1309.3786
AK5	21.8742	AK5	2201.8699
AK7	14.9142	AK7	9.7861
AKAP10	400.696	AKAP10	159.0239
AKAP11	1515.95	AKAP11	516.7055
AKAP12	280.0563	AKAP12	1406.2609
AKAP13	3106.8026	AKAP13	2306.0917
AKAP1	966.443	AKAP1	2039.9101
AKAP2	1439.2079	AKAP2	109.5602
AKAP3	21.5428	AKAP3	77.7994
AKAP5	69.2684	AKAP5	45.9946
AKAP6	43.0856	AKAP6	118.4117
AKAP7	146.8224	AKAP7	218.7191
AKAP8L	606.1811	AKAP8L	1161.6087
AKAP8	708.5923	AKAP8	665.9433
removed	removed	AKAP9	1026.5607
AKD1	88.4912	AKD1	72.9064
AKIRIN1	1255.7793	AKIRIN1	886.6196
AKIRIN2	708.5923	AKIRIN2	1292.253
removed	removed	AKNAD1	9.7861
AKNA	695.0037	AKNA	650.7749
AKR1A1	1502.3614	AKR1A1	2482.7306
removed	removed	AKR1B15	164.8956
AKR1B1	882.9232	AKR1B1	967.3548
AKR1C1	43.1419	AKR1C1	3247.5134
AKR1C2	13.2571	AKR1C2	2263.5222
AKR1C3	70.5941	AKR1C3	1684.6751
removed	removed	AKR1D1	30.8262
AKR1E2	192.5031	AKR1E2	44.5267
AKR7A2	609.4954	AKR7A2	1459.1058
removed	removed	AKR7A3	149.2378
removed	removed	AKR7L	41.1016
AKT1S1	692.6837	AKT1S1	1436.5978
AKT1	5071.1741	AKT1	3048.8558
AKT2	3241.3622	AKT2	2378.0195
AKT3	2566.2441	AKT3	359.1494
AKTIP	920.0099	AKTIP	587.5323
ALAD	1050.2941	ALAD	1906.33
ALAS1	1726.4065	ALAS1	962.4618
removed	removed	ALB	1584.857
removed	removed	ALCAM	2749.8908
ALDH16A1	299.942	ALDH16A1	788.7587
ALDH18A1	5364.4875	ALDH18A1	1259.9589
ALDH1A1	153.7824	ALDH1A1	1908.2872
ALDH1A2	16.9028	ALDH1A2	317.5586
ALDH1A3	2126.9302	ALDH1A3	1142.1637
ALDH1B1	1990.5543	ALDH1B1	442.8205
removed	removed	ALDH1L1	572.9755
ALDH1L2	3423.6474	ALDH1L2	129.6657
ALDH2	1653.8238	ALDH2	8058.3544
removed	removed	ALDH3A1	65.0775
ALDH3A2	549.8384	ALDH3A2	2371.6585
ALDH3B1	869.0032	ALDH3B1	213.3367
ALDH3B2	759.6321	ALDH3B2	1181.1809
ALDH4A1	268.7878	ALDH4A1	1167.9696
ALDH5A1	667.1638	ALDH5A1	512.791
ALDH6A1	108.8607	ALDH6A1	135.4395
ALDH7A1	804.7063	ALDH7A1	2927.019
removed	removed	ALDH8A1	30.3369
ALDH9A1	1950.783	ALDH9A1	3252.4065
ALDOA	20408.6503	ALDOA	18453.6268
ALDOC	175.6566	ALDOC	1373.4775
ALG10B	411.6331	ALG10B	190.3394
ALG10	172.0109	ALG10	41.5909
ALG11	17.8971	ALG11	5.3823
ALG12	468.9701	ALG12	612.6091
ALG13	301.5991	ALG13	329.7912
ALG14	77.2226	ALG14	235.8447
removed	removed	ALG1L	25.9772
ALG1	505.5928	ALG1	440.0902
ALG2	985.0029	ALG2	801.9699
ALG3	2095.2854	ALG3	793.6518
ALG5	703.9523	ALG5	699.216
ALG6	384.7875	ALG6	253.4597
ALG8	664.5124	ALG8	905.2132
ALG9	306.902	ALG9	631.692
ALKBH1	171.6795	ALKBH1	292.1147
ALKBH2	158.091	ALKBH2	634.1385
ALKBH3	221.7251	ALKBH3	561.2322
ALKBH4	160.7557	ALKBH4	392.0062
ALKBH5	1614.5828	ALKBH5	2627.0754
ALKBH6	110.6968	ALKBH6	137.4945
ALKBH7	103.4054	ALKBH7	897.3843
ALKBH8	144.5024	ALKBH8	205.5079
removed	removed	ALK	32.7834
ALMS1	1160.991	ALMS1	335.6628
ALOX12B	10.9371	removed	removed
removed	removed	ALOX12P2	17.1257
ALOX12	8.9485	removed	removed
ALOX15B	25.1885	ALOX15B	938.4859
removed	removed	ALOX15	19.5722
ALOX5AP	372.5246	ALOX5AP	381.6574
ALOX5	396.7189	ALOX5	472.6681
ALOXE3	5.6343	ALOXE3	14.1898
ALPK1	618.4439	ALPK1	471.6895
ALPK2	68.2741	ALPK2	23.4866
removed	removed	ALPK3	103.2432
ALPL	16502.1129	ALPL	1787.9183
ALS2CL	118.3197	ALS2CL	654.6893
ALS2CR11	18.2285	ALS2CR11	5.8717
ALS2CR4	521.6671	ALS2CR4	1016.7746
ALS2CR8	107.714	ALS2CR8	84.6497
ALS2	662.8552	ALS2	430.5879
ALX3	105.394	ALX3	18.5936
removed	removed	ALX4	7.3396
AMACR	134.891	AMACR	214.8046
removed	removed	AMBP	15.1684
AMBRA1	927.0031	AMBRA1	846.9859
AMD1	3248.6536	AMD1	1382.285
removed	removed	AMDHD1	31.3155
AMDHD2	200.4574	AMDHD2	372.713
AMFR	2281.8792	AMFR	3179.0108
AMICA1	119.3139	AMICA1	297.9864
AMIGO1	28.8342	AMIGO1	53.3342
AMIGO2	178.6395	AMIGO2	3181.9466
AMIGO3	71.5884	AMIGO3	68.9919
AMMECR1L	1123.8711	AMMECR1L	663.4968
AMMECR1	735.1065	AMMECR1	161.4705
AMN1	82.8569	AMN1	254.4383
AMN	20.5485	removed	removed
AMOTL1	1409.2303	AMOTL1	1127.3574
AMOTL2	2260.005	AMOTL2	4013.7641
AMOT	1736.3493	AMOT	822.5207
removed	removed	AMPD1	88.5641
AMPD2	936.6145	AMPD2	877.8121
AMPD3	342.3647	AMPD3	209.9116
AMPH	23.8628	AMPH	30.8262
AMT	135.4412	AMT	686.8953
AMY1A	5.6343	AMY1A	25.4438
removed	removed	AMY2A	12.7219
AMY2B	35.1313	AMY2B	702.9592
AMZ1	12.5942	AMZ1	10.2754
AMZ2P1	156.4338	AMZ2P1	437.9275
AMZ2	876.2946	AMZ2	1437.0871
ANAPC10	268.7878	ANAPC10	148.7485
ANAPC11	524.9814	ANAPC11	1226.1969
ANAPC13	709.5567	ANAPC13	1620.3903
ANAPC16	1204.0766	ANAPC16	2727.3828
ANAPC1	2296.7934	ANAPC1	261.7779
ANAPC2	481.2329	ANAPC2	1066.6836
ANAPC4	460.0215	ANAPC4	640.9888
ANAPC5	2738.255	ANAPC5	2833.0726
ANAPC7	703.9523	ANAPC7	1054.451
ANGEL1	609.4954	ANGEL1	408.5692
ANGEL2	546.5242	ANGEL2	410.0371
ANGPT1	443.1187	ANGPT1	83.6711
ANGPT2	187.9195	ANGPT2	172.2352
ANGPTL1	24.1942	ANGPTL1	175.171
ANGPTL2	1123.8711	ANGPTL2	4147.3442
ANGPTL4	167.0395	ANGPTL4	3323.3556
removed	removed	ANGPTL5	10.2754
removed	removed	ANGPTL7	239.2699
ANG	96.3062	ANG	831.9007
ANK1	14.2514	ANK1	20.0615
ANK2	184.2738	ANK2	1114.1462
ANK3	2186.7595	ANK3	545.5744
ANKAR	33.8056	ANKAR	43.0588
ANKDD1A	43.7484	ANKDD1A	126.7298
ANKFY1	1656.1438	ANKFY1	1429.2582
ANKHD1-EIF4EBP3	316.7056	ANKHD1-EIF4EBP3	855.676
ANKHD1	2924.8289	ANKHD1	1513.7219
ANKH	5396.636	ANKH	1572.1351
ANKIB1	1861.2975	ANKIB1	461.9034
removed	removed	ANKK1	65.0775
ANKLE1	18.8914	ANKLE1	29.3583
ANKLE2	1476.1786	ANKLE2	1875.0145
ANKMY1	99.4283	ANKMY1	228.0159
ANKMY2	210.1251	ANKMY2	649.7963
ANKRA2	139.531	ANKRA2	315.6013
ANKRD10	1157.7728	ANKRD10	1536.4159
ANKRD11	7427.3892	ANKRD11	1634.1936
ANKRD12	735.1065	ANKRD12	993.7773
ANKRD13A	802.0549	ANKRD13A	1112.1889
ANKRD13B	187.9195	ANKRD13B	218.2298
ANKRD13C	375.8389	ANKRD13C	382.1467
ANKRD13D	388.4332	ANKRD13D	872.9191
ANKRD16	204.0799	ANKRD16	202.0044
ANKRD17	2754.8264	ANKRD17	1047.1115
ANKRD19	72.9141	ANKRD19	86.1176
ANKRD1	40.7656	removed	removed
ANKRD20A3	10.6057	ANKRD20A3	8.8075
ANKRD20B	8.2857	ANKRD20B	7.8289
ANKRD22	186.5938	ANKRD22	56.27
ANKRD23	41.4285	ANKRD23	50.3984
removed	removed	ANKRD24	106.1791
ANKRD26	355.2904	ANKRD26	132.6015
ANKRD27	1937.1945	ANKRD27	763.8042
ANKRD28	1010.8543	ANKRD28	793.1625
ANKRD29	11.2685	ANKRD29	155.5988
removed	removed	ANKRD2	6.361
removed	removed	ANKRD30A	39.1444
removed	removed	ANKRD30B	34.7406
ANKRD32	159.0853	ANKRD32	109.6042
ANKRD34A	7.6228	ANKRD34A	29.8476
ANKRD35	6.6286	ANKRD35	376.7644
ANKRD36BP1	946.2259	removed	removed
ANKRD36B	74.2398	ANKRD36B	81.2245
ANKRD36	294.6392	ANKRD36	306.7939
ANKRD37	87.5532	ANKRD37	412.9044
ANKRD39	140.1939	ANKRD39	190.3394
ANKRD40	1398.2931	ANKRD40	1211.0284
ANKRD42	122.9596	ANKRD42	315.6013
ANKRD43	7.6228	ANKRD43	35.2299
ANKRD44	159.7481	ANKRD44	15.6577
removed	removed	ANKRD45	8.8075
ANKRD46	569.6711	ANKRD46	452.6066
ANKRD49	530.9471	ANKRD49	349.8527
ANKRD50	703.2894	ANKRD50	516.7055
ANKRD52	1345.5962	ANKRD52	762.8256
ANKRD53	17.5657	ANKRD53	73.885
ANKRD54	357.6104	ANKRD54	667.4112
ANKRD55	5.9657	removed	removed
ANKRD56	86.834	ANKRD56	70.4598
ANKRD57	803.3806	ANKRD57	638.5423
ANKRD58	6.96	ANKRD58	11.7433
ANKRD5	135.2225	ANKRD5	82.6924
