gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
AGAP5	53.1164	AGAP5	20.053
AGAP6	116.3525	AGAP6	107.8479
AGAP7	6.5066	AGAP7	19.2585
AGAP8	23.347	AGAP8	6.7405
AGA	758.9704	AGA	458.3534
AGBL2	81.906	AGBL2	8.6663
removed	removed	AGBL4	7.7034
AGBL5	574.4943	AGBL5	687.5927
AGER	39.8048	AGER	72.701
AGFG1	1442.5414	AGFG1	1241.6948
AGFG2	577.5524	AGFG2	841.117
AGGF1	1048.3207	AGGF1	602.7925
AGK	506.363	AGK	462.6866
AGL	2699.4546	AGL	624.4584
AGMAT	38.6566	AGMAT	8.1849
AGPAT1	1627.5878	AGPAT1	2336.7838
AGPAT2	1715.4339	AGPAT2	4400.5778
AGPAT3	2198.4499	AGPAT3	1764.5643
AGPAT4	101.043	AGPAT4	413.0958
AGPAT5	275.5717	AGPAT5	349.0611
AGPAT6	1077.4089	AGPAT6	2148.2908
AGPAT9	30.6191	AGPAT9	119.8844
AGPHD1	13.0131	AGPHD1	38.0356
AGPS	2546.3592	AGPS	898.4112
AGR2	6747.2969	AGR2	530.5729
AGR3	5459.3819	AGR3	258.0645
AGRN	2968.5198	AGRN	7033.221
AGTPBP1	130.5138	AGTPBP1	237.3616
AGTR1	58.1763	AGTR1	388.5412
AGTRAP	1450.5789	AGTRAP	1459.7978
AGT	3957.8988	AGT	84.2561
AGXT2L2	366.4185	AGXT2L2	605.8113
removed	removed	AGXT	5.2961
AHCTF1	2044.589	AHCTF1	643.2354
AHCYL1	4337.5754	AHCYL1	2473.7602
AHCYL2	672.0888	AHCYL2	336.0616
AHCY	3076.0693	AHCY	2450.65
AHDC1	651.4209	AHDC1	1401.5407
AHI1	252.9901	AHI1	186.8079
AHNAK2	3934.9345	AHNAK2	1683.6784
AHNAK	16561.0946	AHNAK	52783.8228
AHRR	94.9191	AHRR	52.4795
AHR	1657.2577	AHR	2157.9201
AHSA1	2910.3435	AHSA1	1853.1536
AHSA2	408.7647	AHSA2	458.8349
removed	removed	AHSP	6.259
AICDA	10.3339	removed	removed
AIDA	1169.3656	AIDA	1822.8214
AIF1L	532.0065	AIF1L	2821.377
AIF1	313.0801	AIF1	996.1483
AIFM1	1261.1233	AIFM1	706.7886
AIFM2	479.5713	AIFM2	1509.3885
AIFM3	36.3755	AIFM3	17.8142
AIG1	434.4082	AIG1	849.7833
AIM1L	212.8026	AIM1L	9.6293
AIM1	1233.9489	AIM1	1603.274
AIM2	31.7673	AIM2	9.6293
AIMP1	691.5472	AIMP1	849.6726
AIMP2	319.4374	AIMP2	349.3597
AIP	1690.1732	AIP	2132.884
AJAP1	9.5685	AJAP1	24.0732
AK1	814.0848	AK1	1360.1348
AK2	1939.7187	AK2	2181.0303
AK3L1	16.4578	AK3L1	241.2133
AK3	593.6274	AK3	1587.8671
AK5	159.602	AK5	1909.0034
AK7	10.3339	AK7	24.5546
AKAP10	360.1569	AKAP10	254.6943
AKAP11	1202.9471	AKAP11	674.5306
AKAP12	286.6711	AKAP12	1922.9658
AKAP13	2203.0428	AKAP13	2612.9032
AKAP1	1683.2839	AKAP1	1996.1483
AKAP2	457.7629	AKAP2	1138.2619
AKAP3	10.3339	AKAP3	30.3322
AKAP5	244.1872	AKAP5	28.4064
AKAP6	34.4465	AKAP6	76.5527
AKAP7	74.2513	AKAP7	156.4757
AKAP8L	923.1652	AKAP8L	998.0741
AKAP8	731.0305	AKAP8	625.9027
AKAP9	2964.6924	AKAP9	758.7867
AKD1	219.6919	AKD1	63.0717
AKIRIN1	1138.647	AKIRIN1	814.155
AKIRIN2	608.9369	AKIRIN2	1060.183
removed	removed	AKNAD1	6.7501
AKNA	1115.3	AKNA	1265.2865
AKR1A1	3617.2615	AKR1A1	2480.9822
removed	removed	AKR1B10	6.7405
removed	removed	AKR1B15	9.1478
AKR1B1	465.7927	AKR1B1	1663.9384
AKR1C1	66.2138	AKR1C1	3303.8036
AKR1C2	53.5834	AKR1C2	4093.8854
AKR1C3	114.8215	AKR1C3	3556.0905
AKR1E2	16.4578	AKR1E2	30.8137
AKR7A2	1630.0832	AKR7A2	1362.0607
AKR7A3	1067.0749	AKR7A3	53.4425
AKR7L	105.6358	AKR7L	11.0737
AKT1S1	1126.7821	AKT1S1	1591.7188
AKT1	7704.9086	AKT1	4181.9933
AKT2	2190.7951	AKT2	2975.4454
AKT3	248.3973	AKT3	994.2224
AKTIP	360.5511	AKTIP	620.2744
ALAD	1390.8717	ALAD	1839.6726
ALAS1	1127.9303	ALAS1	1088.5893
removed	removed	ALAS2	44.2947
ALB	48.6078	ALB	78.4786
ALCAM	2350.0144	ALCAM	1009.6293
ALDH16A1	807.1955	ALDH16A1	1206.0664
ALDH18A1	3614.1996	ALDH18A1	1122.2918
ALDH1A1	130.5138	ALDH1A1	2194.5113
removed	removed	ALDH1A2	570.053
ALDH1A3	214.6359	ALDH1A3	2409.0515
ALDH1B1	758.5877	ALDH1B1	546.4612
removed	removed	ALDH1L1	572.9417
ALDH1L2	229.6431	ALDH1L2	162.2532
ALDH2	1551.2391	ALDH2	8231.584
removed	removed	ALDH3A1	156.4757
ALDH3A2	1521.3855	ALDH3A2	2310.0626
ALDH3B1	200.9377	ALDH3B1	422.2436
ALDH3B2	5968.4241	ALDH3B2	640.8281
ALDH4A1	1629.7005	ALDH4A1	1891.1892
ALDH5A1	184.48	ALDH5A1	280.2118
ALDH6A1	648.5848	ALDH6A1	181.714
ALDH7A1	1565.7832	ALDH7A1	1390.467
removed	removed	ALDH8A1	12.5181
ALDH9A1	3009.09	ALDH9A1	2792.0077
ALDOA	33117.5964	ALDOA	18690.4189
ALDOC	58.559	ALDOC	1100.1444
ALG10B	531.241	ALG10B	136.7357
ALG10	201.3204	ALG10	51.5166
ALG11	28.7054	ALG11	9.1478
ALG12	941.5367	ALG12	769.3789
ALG13	494.1154	ALG13	302.3592
ALG14	321.8831	ALG14	202.2147
ALG1L	6.2731	ALG1L	20.8474
ALG1	1220.8478	ALG1	482.8021
ALG2	817.9122	ALG2	685.6042
ALG3	893.6944	ALG3	840.6355
ALG5	770.0698	ALG5	632.1618
ALG6	432.8772	ALG6	211.844
ALG8	1263.4198	ALG8	677.4194
ALG9	331.8343	ALG9	534.9061
ALKBH1	560.3292	ALKBH1	221.4733
ALKBH2	197.4931	ALKBH2	441.5022
ALKBH3	422.926	ALKBH3	402.0221
ALKBH4	305.4483	ALKBH4	419.1237
ALKBH5	2539.8144	ALKBH5	2951.8055
ALKBH6	135.1067	ALKBH6	135.7727
ALKBH7	450.1005	ALKBH7	1097.7371
ALKBH8	143.5269	ALKBH8	164.6606
removed	removed	ALK	8.6663
ALMS1	776.9591	ALMS1	367.8382
removed	removed	ALOX12P2	5.7776
ALOX15B	14.1613	ALOX15B	64.9976
ALOX15	184.8627	removed	removed
ALOX5AP	496.0291	ALOX5AP	363.0236
ALOX5	447.4213	ALOX5	886.3746
ALOXE3	52.4352	ALOXE3	6.7405
ALPK1	656.3965	ALPK1	446.7983
ALPK2	28.3226	ALPK2	8.1849
ALPK3	161.5156	ALPK3	129.9952
ALPL	243.8044	ALPL	2902.7443
ALS2CL	246.4836	ALS2CL	470.8714
ALS2CR4	535.4512	ALS2CR4	800.1926
ALS2CR8	156.1573	ALS2CR8	57.2942
ALS2	507.894	ALS2	401.0592
ALX3	20.6679	ALX3	28.8878
AMACR	416.4195	AMACR	257.1016
AMBP	22.5816	AMBP	11.0737
AMBRA1	1318.9169	AMBRA1	961.9644
AMD1	1087.2184	AMD1	1186.3264
AMDHD1	6.8893	AMDHD1	6.7405
AMDHD2	323.1193	AMDHD2	385.6428
AMFR	2390.5846	AMFR	2441.0207
AMH	43.6322	removed	removed
removed	removed	AMICA1	661.5311
AMIGO1	56.2626	AMIGO1	76.5527
AMIGO2	113.6733	AMIGO2	1620.5922
AMIGO3	179.8871	AMIGO3	75.5898
AMMECR1L	709.2144	AMMECR1L	659.6052
AMMECR1	345.9956	AMMECR1	137.2171
AMN1	263.3241	AMN1	137.2171
AMOTL1	423.6915	AMOTL1	1939.817
AMOTL2	1435.2694	AMOTL2	4223.3991
AMOT	357.8605	AMOT	606.6442
AMPD1	8.0375	removed	removed
AMPD2	576.4042	AMPD2	851.2277
AMPD3	215.8645	AMPD3	219.5474
AMPH	34.8292	AMPH	130.9581
AMT	58.7083	AMT	198.0164
removed	removed	AMY1A	13.9624
AMY2B	40.1875	AMY2B	289.9904
AMZ1	9.5685	removed	removed
AMZ2P1	221.9883	AMZ2P1	259.9904
AMZ2	1185.7239	AMZ2	968.7049
ANAPC10	106.0186	ANAPC10	128.5508
ANAPC11	1088.5083	ANAPC11	1582.0896
ANAPC13	1820.9128	ANAPC13	1404.9494
ANAPC16	2246.2922	ANAPC16	2076.5527
ANAPC1	496.7946	ANAPC1	243.6206
ANAPC2	958.7599	ANAPC2	1016.8512
ANAPC4	399.579	ANAPC4	401.0592
ANAPC5	2260.8363	ANAPC5	2083.2932
ANAPC7	1048.7035	ANAPC7	911.8922
ANGEL1	614.678	ANGEL1	593.1632
ANGEL2	1217.8739	ANGEL2	393.3558
ANGPT1	17.2232	ANGPT1	281.1748
ANGPT2	308.1045	ANGPT2	733.2691
removed	removed	ANGPT4	12.9995
ANGPTL1	12.6304	ANGPTL1	429.947
ANGPTL2	959.5254	ANGPTL2	6742.8984
ANGPTL4	210.5062	ANGPTL4	4495.4261
removed	removed	ANGPTL5	80.4044
ANGPTL6	9.3809	removed	removed
removed	removed	ANGPTL7	450.65
ANG	396.7888	ANG	723.5147
ANK1	14.1613	ANK1	88.5893
ANK2	186.0109	ANK2	1384.208
ANK3	1748.3494	ANK3	450.65
ANKAR	27.9399	ANKAR	21.6659
ANKDD1A	37.1256	ANKDD1A	178.1416
ANKFY1	2059.1331	ANKFY1	1591.7188
ANKHD1-EIF4EBP3	1339.7225	ANKHD1-EIF4EBP3	696.8801
ANKHD1	1548.1121	ANKHD1	1120.6789
ANKH	1558.1284	ANKH	1740.4911
ANKIB1	1256.9132	ANKIB1	490.13
removed	removed	ANKK1	46.702
ANKLE1	11.0994	ANKLE1	9.1478
ANKLE2	1392.4026	ANKLE2	1448.7241
ANKMY1	274.0408	ANKMY1	219.066
ANKMY2	346.7611	ANKMY2	533.4617
ANKRA2	373.5528	ANKRA2	201.7333
ANKRD10	2057.7284	ANKRD10	1464.6124
ANKRD11	1198.3274	ANKRD11	2391.04
ANKRD12	1202.1816	ANKRD12	676.4564
ANKRD13A	1082.0017	ANKRD13A	1134.8098
ANKRD13B	192.5175	ANKRD13B	289.8411
