gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
SLC46A1	887.5208	SLC46A1	964.5498
SLC46A2	6.1238	SLC46A2	7.7034
SLC46A3	116.7352	SLC46A3	458.3534
SLC47A1	33.681	SLC47A1	85.7005
removed	removed	SLC47A2	19.74
SLC48A1	756.2913	SLC48A1	1551.7573
SLC4A11	220.4574	SLC4A11	83.7747
SLC4A1AP	701.1769	SLC4A1AP	522.8695
removed	removed	SLC4A1	18.2956
SLC4A2	2266.1181	SLC4A2	2143.558
SLC4A3	8.0375	SLC4A3	394.3187
SLC4A4	24.1125	SLC4A4	105.922
SLC4A5	240.532	SLC4A5	103.6399
SLC4A7	1031.863	SLC4A7	321.1363
SLC4A8	491.819	SLC4A8	134.8098
SLC5A11	8.0375	removed	removed
SLC5A1	1155.8703	SLC5A1	277.3231
SLC5A3	307.8825	SLC5A3	583.1151
SLC5A5	16.075	removed	removed
SLC5A6	1882.6753	SLC5A6	2003.8276
SLC5A9	21.8161	SLC5A9	8.6663
SLC6A10P	97.2156	removed	removed
SLC6A12	20.6679	SLC6A12	30.3322
removed	removed	SLC6A14	346.1724
removed	removed	SLC6A15	8.1849
SLC6A16	17.2232	SLC6A16	42.3688
SLC6A17	13.0131	removed	removed
SLC6A1	14.5441	SLC6A1	21.6659
SLC6A20	30.6191	SLC6A20	9.1478
removed	removed	SLC6A2	51.5166
SLC6A4	183.3317	removed	removed
SLC6A6	1270.3091	SLC6A6	774.675
SLC6A8	511.7214	SLC6A8	714.0106
SLC6A9	760.2871	SLC6A9	326.5768
removed	removed	SLC7A10	337.689
SLC7A11	53.2007	SLC7A11	12.0366
SLC7A13	12.6304	removed	removed
SLC7A1	749.402	SLC7A1	621.5696
SLC7A2	40.953	SLC7A2	842.0799
removed	removed	SLC7A3	57.2942
removed	removed	SLC7A4	55.3683
SLC7A5	380.0593	SLC7A5	602.7925
SLC7A6OS	142.6198	SLC7A6OS	192.5566
SLC7A6	808.4853	SLC7A6	792.5181
SLC7A7	398.048	SLC7A7	415.5031
SLC7A8	5275.2847	SLC7A8	926.3361
SLC8A1	138.9341	SLC8A1	167.5494
removed	removed	SLC8A2	6.259
removed	removed	SLC8A3	9.1478
SLC9A1	2195.388	SLC9A1	1657.1979
removed	removed	SLC9A2	10.1107
SLC9A3R1	5617.0701	SLC9A3R1	1881.0785
SLC9A3R2	4293.1777	SLC9A3R2	3918.1512
SLC9A5	76.5477	SLC9A5	18.2956
SLC9A6	119.0317	SLC9A6	317.2845
SLC9A7	179.1216	SLC9A7	39.48
SLC9A8	978.6623	SLC9A8	592.6818
SLC9A9	81.1406	SLC9A9	376.5046
removed	removed	SLCO1A2	11.5551
removed	removed	SLCO1C1	15.4068
SLCO2A1	662.9031	SLCO2A1	807.4145
SLCO2B1	667.4959	SLCO2B1	1143.4762
SLCO3A1	153.4781	SLCO3A1	1117.9586
SLCO4A1	19.1369	SLCO4A1	298.8252
SLCO4C1	8.4202	removed	removed
SLCO5A1	7.6548	removed	removed
SLFN11	399.9617	SLFN11	770.8233
SLFN12L	14.5441	SLFN12L	13.481
SLFN12	39.8048	SLFN12	89.0708
SLFN13	49.3733	SLFN13	311.9884
SLFN5	367.0462	SLFN5	397.2075
SLFNL1	5.7411	SLFNL1	8.6663
removed	removed	SLIT1	21.6659
SLIT2	126.6864	SLIT2	272.9899
SLIT3	539.6613	SLIT3	4071.7381
removed	removed	SLITRK2	14.4439
SLITRK4	16.4578	SLITRK4	21.6659
removed	removed	SLITRK5	12.9995
SLITRK6	171.4668	SLITRK6	91.4781
SLK	1620.8975	SLK	775.6379
SLMAP	1815.7114	SLMAP	772.7492
SLMO1	41.3358	SLMO1	45.2576
SLMO2	1249.6412	SLMO2	706.3072
SLPI	546.1678	SLPI	2426.5768
SLTM	2679.9349	SLTM	1515.1661
SLU7	1015.0225	SLU7	1065.9605
SMAD1	767.3907	SMAD1	892.6336
SMAD2	1676.7773	SMAD2	1702.4555
SMAD3	1577.6481	SMAD3	1776.1194
SMAD4	1611.3444	SMAD4	1616.7549
removed	removed	SMAD5OS	12.5181
SMAD5	1202.1816	SMAD5	1126.6249
SMAD6	151.1817	SMAD6	312.9514
SMAD7	670.9406	SMAD7	727.973
SMAD9	8.0375	SMAD9	22.6288
SMAGP	124.7727	SMAGP	305.7294
SMAP1	642.9624	SMAP1	674.2273
SMAP2	1344.1776	SMAP2	974.001
SMARCA1	176.4424	SMARCA1	859.4126
SMARCA2	4637.2596	SMARCA2	3053.4425
SMARCA4	3562.5299	SMARCA4	2529.1286
SMARCA5	2327.4328	SMARCA5	1148.2908
SMARCAD1	701.9424	SMARCAD1	446.3168
SMARCAL1	753.6121	SMARCAL1	649.4945
SMARCB1	2059.1331	SMARCB1	1495.4261
SMARCC1	3032.8198	SMARCC1	1550.313
SMARCC2	3038.1782	SMARCC2	2974.4824
SMARCD1	1888.4317	SMARCD1	1358.209
SMARCD2	4049.756	SMARCD2	3314.3958
SMARCD3	618.1227	SMARCD3	1298.026
SMARCE1	3646.7324	SMARCE1	2684.6413
SMC1A	3671.2276	SMC1A	1479.5378
SMC1B	8.4202	removed	removed
SMC2	1130.6095	SMC2	274.4343
SMC3	1860.1091	SMC3	911.4107
SMC4	2524.1604	SMC4	315.3587
SMC5	845.4693	SMC5	518.5364
SMC6	1009.6641	SMC6	344.728
SMCHD1	1318.1514	SMCHD1	577.7564
SMCR7L	816.7639	SMCR7L	891.1892
SMCR7	368.5772	SMCR7	455.9461
SMCR8	1396.7927	SMCR8	471.9018
SMEK1	2924.5048	SMEK1	1111.6996
SMEK2	1814.5632	SMEK2	1041.4059
SMG1	4367.8117	SMG1	1231.584
SMG5	2488.5657	SMG5	2291.2855
SMG6	1176.5381	SMG6	1851.7092
SMG7	2513.061	SMG7	1752.5277
SMN1	7.3792	removed	removed
SMN2	1039.7933	SMN2	1011.5599
SMNDC1	664.434	SMNDC1	485.7968
removed	removed	SMOC1	205.585
SMOC2	421.0123	SMOC2	3864.7087
SMOX	91.4745	SMOX	231.584
SMO	235.3842	SMO	752.5277
SMPD1	780.7865	SMPD1	1213.7699
SMPD2	305.4253	SMPD2	233.9913
SMPD3	107.5495	SMPD3	102.5518
SMPD4	2659.6498	SMPD4	1623.4954
SMPDL3A	228.8776	SMPDL3A	222.9177
SMPDL3B	394.6034	SMPDL3B	237.843
removed	removed	SMR3A	6.259
removed	removed	SMR3B	256.6201
SMS	1333.4609	SMS	1284.0636
removed	removed	SMTNL2	41.8873
SMTN	786.9103	SMTN	2246.5094
SMU1	1977.6098	SMU1	1480.9822
SMUG1	674.0025	SMUG1	661.0496
SMURF1	816.1401	SMURF1	929.3741
SMURF2	361.3051	SMURF2	400.5778
removed	removed	SMYD1	209.9182
SMYD2	482.6332	SMYD2	534.4247
SMYD3	426.3707	SMYD3	228.6952
SMYD4	261.0277	SMYD4	290.804
SMYD5	547.316	SMYD5	755.8979
SNAI1	115.2043	SNAI1	291.767
SNAI2	281.3128	SNAI2	470.39
SNAI3	29.8536	SNAI3	43.3317
SNAP23	2013.5872	SNAP23	1091.9596
removed	removed	SNAP25	7.222
SNAP29	1628.5523	SNAP29	849.3019
SNAP47	1052.3548	SNAP47	692.4169
removed	removed	SNAP91	5.2961
SNAPC1	203.9996	SNAPC1	187.2894
SNAPC2	704.6216	SNAPC2	900.337
SNAPC3	404.9373	SNAPC3	272.027
SNAPC4	355.1813	SNAPC4	452.5758
SNAPC5	88.4585	SNAPC5	125.0602
SNAPIN	861.1616	SNAPIN	792.4892
SNCAIP	24.1125	SNCAIP	320.6548
SNCA	29.8536	SNCA	359.1719
SNCG	161.1329	SNCG	4500.7222
SND1	4733.7097	SND1	4322.5806
SNED1	306.1908	SNED1	1395.2817
SNF8	896.7563	SNF8	1201.2518
SNHG10	107.1668	SNHG10	54.4054
SNHG11	245.6722	SNHG11	178.0886
SNHG12	181.418	SNHG12	194.9928
SNHG1	355.9468	SNHG1	496.389
SNHG3-RCC1	263.083	SNHG3-RCC1	161.1314
SNHG3	51.287	SNHG3	62.1088
SNHG5	296.6223	SNHG5	1942.2244
SNHG6	158.071	SNHG6	1633.1247
SNHG7	345.7774	SNHG7	1485.0409
SNHG8	180.6526	SNHG8	1328.8397
SNHG9	17.9887	SNHG9	90.9966
SNIP1	329.9206	SNIP1	276.8416
SNN	866.9027	SNN	1516.129
SNORA39	11.5281	removed	removed
SNORA8	123.2188	SNORA8	174.0876
SNORD116-28	21.6515	removed	removed
SNORD116-4	16.2549	SNORD116-4	11.8633
SNORD1C	19.3819	SNORD1C	10.0915
SNPH	206.6788	SNPH	274.4343
SNRK	1066.6922	SNRK	1564.7569
SNRNP200	7154.1479	SNRNP200	4188.7338
SNRNP25	1445.2206	SNRNP25	558.0164
SNRNP27	606.6405	SNRNP27	436.2061
SNRNP35	405.5535	SNRNP35	684.1984
SNRNP40	984.4034	SNRNP40	670.6789
SNRNP48	289.733	SNRNP48	264.3235
SNRNP70	2508.8508	SNRNP70	3232.0655
SNRPA1	545.4024	SNRPA1	299.9519
SNRPA	1225.9114	SNRPA	1818.9697
SNRPB2	1071.6678	SNRPB2	900.8185
SNRPB	3254.8082	SNRPB	2987.4819
SNRPC	1173.859	SNRPC	1278.286
SNRPD1	944.9813	SNRPD1	571.0159
SNRPD2	2359.5828	SNRPD2	3856.5238
SNRPD3	2303.0944	SNRPD3	1458.7482
SNRPE	1275.6674	SNRPE	744.8243
SNRPF	809.4919	SNRPF	924.4102
SNRPG	662.1376	SNRPG	633.6062
SNRPN	1191.3157	SNRPN	2432.4651
SNTA1	532.0065	SNTA1	971.5936
SNTB1	139.3168	SNTB1	220.9918
SNTB2	618.1227	SNTB2	887.819
removed	removed	SNTG2	20.7029
SNUPN	525.5	SNUPN	637.9393
SNURF	52.9672	removed	removed
SNW1	2422.3519	SNW1	1549.8315
SNX10	325.3277	SNX10	235.9172
SNX11	515.5488	SNX11	635.532
SNX12	186.0109	SNX12	194.5113
SNX13	780.7865	SNX13	372.1714
SNX14	1786.2406	SNX14	799.2297
SNX15	607.406	SNX15	775.6379
SNX16	243.4217	SNX16	175.7342
SNX17	2552.8658	SNX17	3624.4584
SNX18	447.4213	SNX18	771.3048
SNX19	1300.9281	SNX19	1458.3534
SNX1	2956.2721	SNX1	2983.6302
SNX20	91.4745	SNX20	23.0525
SNX21	294.6015	SNX21	1355.3635
SNX22	159.1733	SNX22	213.3558
SNX24	135.1067	SNX24	168.9937
SNX25	334.5134	SNX25	214.2513
SNX27	1374.9268	SNX27	846.5142
SNX29	910.5349	SNX29	728.936
SNX2	1061.3338	SNX2	1191.1411
SNX30	528.1791	SNX30	298.9889
removed	removed	SNX32	5.7776
SNX33	1169.2661	SNX33	1666.3457
SNX3	2182.7576	SNX3	3614.8291
SNX4	819.0604	SNX4	474.7232
SNX5	1948.9044	SNX5	1949.9278
SNX6	1132.5232	SNX6	1109.7737
SNX7	333.3652	SNX7	408.7626
SNX8	379.2938	SNX8	375.5416
SNX9	1907.5687	SNX9	2693.7891
SOAT1	445.1249	SOAT1	296.5816
removed	removed	SOAT2	5.2961
SOBP	29.4709	SOBP	302.3592
SOCS1	50.5215	SOCS1	163.6976
SOCS2	61.2382	SOCS2	695.2335
SOCS3	1098.0767	SOCS3	13588.83
SOCS4	895.9908	SOCS4	367.3568
SOCS5	544.2541	SOCS5	958.5941
SOCS6	1328.8681	SOCS6	498.3149
SOCS7	39.0393	SOCS7	14.4439
SOD1	3120.0842	SOD1	4544.5354
SOD2	1976.4616	SOD2	5596.5335
SOD3	221.2228	SOD3	4916.7068
SOLH	1122.572	SOLH	892.6336
SON	6098.5552	SON	3032.7395
SORBS1	1426.4664	SORBS1	4402.9851
SORBS2	709.5972	SORBS2	1691.3818
SORBS3	1442.1586	SORBS3	5980.26
SORCS1	262.5586	SORCS1	17.8142
SORCS2	187.9246	SORCS2	239.2874
SORD	1165.056	SORD	198.363
SORL1	1971.1032	SORL1	910.4478
SORT1	1902.9758	SORT1	2212.8069
SOS1	868.8164	SOS1	1010.5922
SOS2	1468.1849	SOS2	811.2662
removed	removed	SOSTDC1	347.1353
removed	removed	SOX10	3397.689
SOX11	25.2607	SOX11	126.1435
SOX12	1291.3597	SOX12	632.6432
SOX13	1636.5898	SOX13	1324.025
SOX15	12.2476	SOX15	86.6635
SOX17	29.0881	SOX17	842.5614
SOX18	135.4894	SOX18	2373.1343
SOX4	3368.8642	SOX4	2472.3158
SOX5	7.6548	SOX5	20.2215
removed	removed	SOX6	58.2571
SOX7	86.8816	SOX7	812.2292
SOX8	14.9268	SOX8	94.3669
SOX9	3166.3956	SOX9	2321.6177
SP100	1689.4077	SP100	1563.7939
SP110	893.6944	SP110	433.7987
SP140L	468.8547	SP140L	340.3948
SP140	145.0579	SP140	39.48
SP1	3463.7834	SP1	2612.4218
SP2	574.8732	SP2	676.9379
SP3	2363.4102	SP3	1279.2489
SP4	180.6526	SP4	71.7381
SP5	21.0506	SP5	53.4425
SP6	337.1926	SP6	329.8026
SPA17	162.2811	SPA17	94.3669
SPACA4	11.8649	removed	removed
SPAG16	22.1988	SPAG16	259.9904
SPAG17	90.709	SPAG17	25.0361
SPAG1	313.4628	SPAG1	70.2937
SPAG4	53.2007	SPAG4	25.999
SPAG5	1072.0505	SPAG5	94.8483
SPAG6	755.9085	SPAG6	18.7771
SPAG7	727.5859	SPAG7	1244.5835
SPAG8	19.9024	SPAG8	12.9995
SPAG9	1229.356	SPAG9	1417.9104
SPARCL1	3942.5892	SPARCL1	23816.0809
SPARC	41439.4795	SPARC	41948.0019
SPAST	494.8809	SPAST	334.1358
SPATA12	5.7411	SPATA12	6.259
SPATA13	527.0577	SPATA13	108.3293
SPATA17	135.1067	SPATA17	7.222
SPATA18	49.3733	SPATA18	202.2147
SPATA20	1599.0814	SPATA20	1746.2687
removed	removed	SPATA22	12.2388
SPATA24	25.6435	SPATA24	43.8132
SPATA2L	152.7127	SPATA2L	337.506
SPATA2	615.0608	SPATA2	538.2764
SPATA5L1	182.1835	SPATA5L1	131.921
SPATA5	331.8343	SPATA5	152.1425
SPATA6	195.9621	SPATA6	43.8132
SPATA7	149.6508	SPATA7	219.066
removed	removed	SPATA9	17.3327
SPATS2L	815.9985	SPATS2L	1503.611
SPATS2	796.0961	SPATS2	344.2465
SPC24	47.4596	removed	removed
SPC25	192.5175	SPC25	11.0737
SPCS1	2054.4905	SPCS1	1750.4574
SPCS2	395.3689	SPCS2	684.1598
SPCS3	1987.1783	SPCS3	1851.7092
SPDEF	3594.2972	SPDEF	854.598
SPDYA	9.0862	SPDYA	5.7439
SPDYE1	7.8576	removed	removed
SPDYE3	63.5384	SPDYE3	43.3943
removed	removed	SPDYE5	5.2961
SPDYE6	11.4822	removed	removed
SPDYE8P	17.9887	SPDYE8P	20.7029
SPEF1	63.5346	SPEF1	12.0366
SPEF2	71.1894	SPEF2	98.7
SPEG	135.8722	SPEG	875.7824
SPEN	2433.4513	SPEN	1620.6066
SPESP1	66.5965	SPESP1	51.0351
SPG11	2400.1531	SPG11	929.7063
SPG20	297.0051	SPG20	1226.7694
SPG21	1584.9201	SPG21	1617.2364
SPG7	829.7771	SPG7	1572.9417
SPHAR	165.4234	SPHAR	140.1444
SPHK1	303.4466	SPHK1	791.247
SPHK2	308.8968	SPHK2	389.4559
removed	removed	SPHKAP	24.5546
SPI1	473.4475	SPI1	878.6712
SPIB	94.1537	SPIB	27.9249
SPIN1	2152.1386	SPIN1	1597.0149
removed	removed	SPIN2A	6.259
SPIN2B	64.7708	SPIN2B	165.142
SPIN3	238.4461	SPIN3	170.9196
SPIN4	204.7651	SPIN4	75.5898
removed	removed	SPINK1	70.2937
removed	removed	SPINK2	5.2961
SPINK4	13.7786	removed	removed
removed	removed	SPINK5	118.4401
SPINK8	8.4202	removed	removed
SPINT1	4465.41	SPINT1	3376.5046
SPINT2	12950.3397	SPINT2	6668.753
SPIRE1	618.5054	SPIRE1	445.8353
SPIRE2	148.8853	SPIRE2	86.182
SPNS1	1070.7301	SPNS1	1250.4478
SPNS2	224.9622	SPNS2	2223.3462
SPNS3	6.8893	SPNS3	15.4068
SPN	362.0706	SPN	228.6952
SPOCD1	102.5739	SPOCD1	51.0351
SPOCK1	437.0874	SPOCK1	532.4988
SPOCK2	1026.8874	SPOCK2	874.338
SPON1	848.914	SPON1	737.1208
SPON2	750.9329	SPON2	2072.701
SPOPL	1223.9977	SPOPL	417.9104
SPOP	1228.9733	SPOP	1089.0708
SPP1	6953.593	SPP1	968.7049
SPPL2A	788.0586	SPPL2A	420.3178
SPPL2B	1002.7749	SPPL2B	1143.4762
SPPL3	1059.4202	SPPL3	1591.2374
SPRED1	850.8277	SPRED1	881.0785
SPRED2	1855.5162	SPRED2	943.6688
SPRN	72.7203	SPRN	135.2913
removed	removed	SPRR2F	12.0366
SPRY1	297.7705	SPRY1	2632.1618
SPRY2	68.8929	SPRY2	1123.2547
SPRY3	21.0506	SPRY3	60.6644
SPRY4	352.1194	SPRY4	692.8262
SPRYD3	993.2064	SPRYD3	2662.9754
SPRYD4	274.0408	SPRYD4	268.1753
SPR	2182.7576	SPR	1112.181
SPSB1	598.603	SPSB1	874.338
SPSB2	162.6639	SPSB2	233.0284
SPSB3	1461.2956	SPSB3	1626.3842
SPSB4	7.272	SPSB4	25.5176
SPTAN1	8019.1369	SPTAN1	8963.4088
SPTBN1	6465.2186	SPTBN1	16961.4829
SPTBN2	3939.1446	SPTBN2	540.2022
SPTBN4	28.3226	SPTBN4	38.5171
SPTBN5	115.587	SPTBN5	101.5792
SPTB	143.9097	SPTB	127.1064
SPTLC1	2191.5606	SPTLC1	1200.2889
SPTLC2	5164.6732	SPTLC2	1196.4372
SPTLC3	127.8347	SPTLC3	172.8455
SPTY2D1	1181.6477	SPTY2D1	467.9827
SQLE	995.8856	SQLE	139.6245
SQRDL	2113.0992	SQRDL	1591.2374
SQSTM1	9024.7708	SQSTM1	13010.1011
SR140	1998.6604	SR140	983.1488
SRA1	804.5163	SRA1	701.0111
SRBD1	636.4941	SRBD1	264.3235
SRCAP	6777.916	SRCAP	3382.2821
SRCIN1	639.556	SRCIN1	155.5128
SRCRB4D	116.1382	SRCRB4D	58.339
SRC	819.4431	SRC	1115.5513
SRD5A1	150.4162	SRD5A1	164.6606
SRD5A3	1674.8522	SRD5A3	607.6071
SREBF1	11012.9174	SREBF1	2198.363
SREBF2	3461.8697	SREBF2	2205.1035
SRFBP1	198.2585	SRFBP1	90.5152
SRF	955.698	SRF	2198.363
SRGAP1	266.7687	SRGAP1	379.8748
SRGAP2	1176.1554	SRGAP2	864.2273
SRGAP3	608.1715	SRGAP3	148.2908
SRGN	1126.0166	SRGN	1873.8565
SRI	961.8218	SRI	1784.3043
SRL	15.3095	SRL	106.8849
SRMS	77.6959	SRMS	5.2961
SRM	817.1467	SRM	2471.8344
SRP14	4352.5022	SRP14	7157.4386
SRP19	780.4038	SRP19	496.5961
SRP54	1191.8477	SRP54	739.5282
SRP68	1984.1164	SRP68	1888.7819
SRP72	2234.4273	SRP72	1336.5431
SRP9	9826.4281	SRP9	2716.8994
SRPK1	999.7129	SRPK1	555.1276
SRPK2	1321.2133	SRPK2	468.4641
SRPK3	11.2984	SRPK3	23.6062
SRPRB	1361.4008	SRPRB	1157.4386
SRPR	2765.2856	SRPR	3392.3929
SRPX2	360.9224	SRPX2	956.1868
SRPX	177.5907	SRPX	2921.5214
SRRD	224.6675	SRRD	169.9567
SRRM1	2068.3188	SRRM1	1155.0313
SRRM2	20122.0898	SRRM2	7815.5994
SRRM3	133.193	SRRM3	249.3982
SRRM5	31.3846	SRRM5	26.8223
SRRT	2999.1388	SRRT	1895.5224
SRR	395.3459	SRR	192.7588
SRXN1	795.7133	SRXN1	672.1233
SS18L1	412.2094	SS18L1	220.5104
SS18L2	300.8325	SS18L2	406.8368
SS18	2107.3581	SS18	1668.753
SSBP1	1113.769	SSBP1	1084.7376
SSBP2	334.8962	SSBP2	665.8642
SSBP3	820.5913	SSBP3	878.1897
SSBP4	727.5859	SSBP4	1297.0631
SSB	1682.8016	SSB	1986.0761
SSC5D	701.9424	SSC5D	1677.4194
SSFA2	4342.9337	SSFA2	1714.0106
SSH1	889.867	SSH1	943.6688
SSH2	649.89	SSH2	436.6875
SSH3	3438.5226	SSH3	1448.2427
SSNA1	1215.5775	SSNA1	1480.0193
SSPN	439.0011	SSPN	1311.507
SSPO	60.0899	SSPO	21.6659
SSR1	3197.7801	SSR1	2616.2735
SSR2	6918.7638	SSR2	6174.7713
SSR3	3322.9356	SSR3	2538.7578
SSR4	2487.4175	SSR4	3486.7597
SSRP1	4494.1154	SSRP1	3407.7997
SSSCA1	322.2658	SSSCA1	479.0563
removed	removed	SSTR1	82.8117
SSTR2	40.5703	SSTR2	59.7015
SSU72	2000.5741	SSU72	3145.402
SSX1	321.1176	removed	removed
SSX2IP	802.9854	SSX2IP	122.7732
SSX2	71.1894	removed	removed
ST13	4190.221	ST13	4899.3741
ST14	1916.7544	ST14	3431.3914
ST20	71.8515	ST20	76.1916
ST3GAL1	2808.5351	ST3GAL1	1066.9234
ST3GAL2	329.9206	ST3GAL2	825.7102
ST3GAL3	143.9097	ST3GAL3	513.2403
ST3GAL4	519.3761	ST3GAL4	688.0116
ST3GAL5	181.0353	ST3GAL5	639.3837
ST3GAL6	44.7804	ST3GAL6	109.7737
ST5	1036.8386	ST5	2549.35
ST6GAL1	1429.5283	ST6GAL1	2063.5532
ST6GAL2	145.4406	ST6GAL2	43.3317
ST6GALNAC1	79.6096	ST6GALNAC1	108.8108
ST6GALNAC2	1492.2974	ST6GALNAC2	802.1184
ST6GALNAC3	14.5441	ST6GALNAC3	175.7342
ST6GALNAC4	520.9071	ST6GALNAC4	784.7857
ST6GALNAC5	32.9155	ST6GALNAC5	230.1396
ST6GALNAC6	829.3943	ST6GALNAC6	4363.5051
ST7L	231.1741	ST7L	216.1772
ST7OT1	21.4334	ST7OT1	34.9494
ST7	628.449	ST7	601.064
ST8SIA1	62.7691	ST8SIA1	339.9133
removed	removed	ST8SIA2	32.7395
ST8SIA4	281.6955	ST8SIA4	215.6957
ST8SIA6	215.4818	ST8SIA6	8.6663
STAB1	1162.2122	STAB1	4802.5373
removed	removed	STAB2	30.3322
removed	removed	STAC2	6312.9514
STAC3	53.2007	STAC3	79.923
STAC	13.3958	STAC	175.2528
STAG1	951.8132	STAG1	428.5797
STAG2	2414.6972	STAG2	1422.7251
STAG3L1	29.0881	STAG3L1	44.2947
STAG3L2	32.9155	STAG3L2	14.4439
STAG3L3	99.868	STAG3L3	128.0019
STAG3L4	91.4745	STAG3L4	98.7
STAG3	20.3885	STAG3	31.3288
STAM2	1228.5906	STAM2	508.9071
STAMBPL1	127.4519	STAMBPL1	125.1805
STAMBP	724.524	STAMBP	546.4612
STAM	479.9541	STAM	363.9865
STAP1	31.7673	STAP1	7.222
STAP2	753.9948	STAP2	917.6697
STARD10	2538.7044	STARD10	1608.5701
STARD13	612.3816	STARD13	569.5715
STARD3NL	357.8605	STARD3NL	558.4978
STARD3	922.3998	STARD3	1377.4675
STARD4	21.4334	STARD4	15.4068
STARD5	303.1289	STARD5	123.2547
STARD7	3231.7443	STARD7	3197.7371
STARD8	144.2924	STARD8	416.9475
removed	removed	STAR	8.1849
STAT1	6441.8716	STAT1	1823.7843
STAT2	2002.8705	STAT2	1934.0395
STAT3	7063.0562	STAT3	5234.9543
STAT4	86.4989	STAT4	70.7752
STAT5A	847.7658	STAT5A	2897.9297
STAT5B	1532.8677	STAT5B	2978.3341
STAT6	3115.8741	STAT6	4798.2667
STAU1	3611.5204	STAU1	2358.209
STAU2	866.1372	STAU2	434.7617
STBD1	373.4762	STBD1	854.1598
STC1	2272.3184	STC1	433.3173
STC2	7904.6981	STC2	3843.5243
STEAP1	85.7334	STEAP1	355.8016
STEAP2	544.2541	STEAP2	608.5701
STEAP3	1372.5002	STEAP3	1415.9846
STEAP4	94.1537	STEAP4	2526.2398
STIL	426.3707	STIL	40.9244
STIM1	1199.5024	STIM1	2025.999
STIM2	486.0779	STIM2	637.9393
STIP1	3732.4658	STIP1	2462.2051
STK10	933.8819	STK10	1306.2109
STK11IP	536.5994	STK11IP	404.9109
STK11	1034.5421	STK11	1541.6466
STK16	744.0436	STK16	680.7896
STK17A	514.4005	STK17A	632.1618
STK17B	910.5349	STK17B	589.3115
STK19	457.0127	STK19	553.8902
STK24	2618.314	STK24	2158.4015
STK25	1531.7195	STK25	2127.5879
STK32B	417.185	STK32B	159.3645
STK32C	153.4781	STK32C	205.1035
removed	removed	STK33	5.7776
STK35	1200.6507	STK35	872.4121
STK36	1007.7505	STK36	349.0611
STK38L	1163.525	STK38L	596.5335
STK38	1176.1554	STK38	1676.9379
STK39	1087.7428	STK39	472.3158
STK3	506.363	STK3	427.5397
STK40	918.9551	STK40	1782.3784
STK4	1113.3863	STK4	645.6428
STMN1	6381.3989	STMN1	1953.298
STMN2	10.3339	STMN2	23.5917
STMN3	514.4005	STMN3	1448.2427
STMN4	10.3339	removed	removed
STOML1	194.0484	STOML1	562.831
STOML2	1918.2853	STOML2	1417.429
STOM	3632.9538	STOM	8261.4348
STON1	96.0674	STON1	325.9509
STON2	1008.8987	STON2	311.0255
STOX1	93.3882	STOX1	54.4054
removed	removed	STOX2	12.5181
STRA13	643.0007	STRA13	620.1252
STRA6	70.8066	STRA6	102.0703
STRADA	450.4832	STRADA	623.9769
STRADB	362.0706	STRADB	281.1748
STRAP	1788.537	STRAP	1672.1233
STRBP	1702.4208	STRBP	300.4333
STRC	8.0643	STRC	9.6293
STRN3	776.1937	STRN3	406.3553
STRN4	1783.5614	STRN4	1966.779
STRN	305.8081	STRN	68.8493
STS	802.9854	STS	760.2311
STT3A	2684.1451	STT3A	2634.0876
STT3B	1673.7154	STT3B	585.9413
STUB1	2929.0862	STUB1	2868.0356
STX10	312.3146	STX10	516.6105
STX11	68.1275	STX11	284.0636
STX12	1140.5607	STX12	1381.3192
STX16	1118.3619	STX16	1266.7309
STX17	733.327	STX17	605.1998
STX18	728.3514	STX18	516.129
removed	removed	STX19	30.8137
STX1A	168.3131	STX1A	90.9292
STX1B	108.315	STX1B	74.6269
STX2	223.902	STX2	351.4685
STX3	466.1755	STX3	541.6466
STX4	1448.6652	STX4	1250.3611
STX5	829.0116	STX5	1387.5782
STX6	1278.7408	STX6	1013.9961
STX7	699.2632	STX7	1293.6928
STX8	309.2527	STX8	651.4203
STXBP1	787.2931	STXBP1	1017.8142
STXBP2	2836.0922	STXBP2	1064.9976
STXBP3	863.458	STXBP3	750.1204
STXBP4	198.2585	STXBP4	50.5537
STXBP5	261.0085	STXBP5	197.4001
removed	removed	STXBP6	75.5898
STYK1	47.4596	STYK1	41.4059
STYXL1	913.9795	STYXL1	619.6437
STYX	767.0079	STYX	324.988
SUB1	5446.7515	SUB1	2318.2475
SUCLA2	694.8158	SUCLA2	814.9013
SUCLG1	1524.0647	SUCLG1	1775.6379
SUCLG2	1922.8782	SUCLG2	1128.5508
SUCNR1	11.0994	SUCNR1	8.1849
SUDS3	1625.4904	SUDS3	936.9283
SUFU	621.1846	SUFU	778.5267
SUGT1L1	24.2044	SUGT1L1	43.1488
SUGT1P1	6.1238	SUGT1P1	9.1478
SUGT1	513.2523	SUGT1	706.7886
SULF1	7289.6374	SULF1	1529.1286
SULF2	7588.9389	SULF2	5005.7776
SULT1A1	1418.0461	SULT1A1	947.5205
SULT1A2	107.9323	SULT1A2	50.5537
SULT1A3	1790.5617	SULT1A3	1361.117
SULT1C4	7.6548	SULT1C4	35.6283
SULT2B1	190.6038	SULT2B1	193.0669
removed	removed	SULT4A1	6.259
SUMF1	1258.4442	SUMF1	1363.9865
