gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
AHCTF1	1761.2971	AHCTF1	1284.3137
AHCYL1	4017.4347	AHCYL1	3864.9733
AHCYL2	432.9855	AHCYL2	537.8788
AHCY	3604.7181	AHCY	2565.508
AHDC1	1187.1282	AHDC1	967.9144
AHI1	420.0554	AHI1	407.3084
AHNAK2	8378.7418	AHNAK2	1191.6221
AHNAK	44171.1638	AHNAK	99115.4189
AHRR	54.8658	AHRR	21.3904
AHR	2230.9763	AHR	3558.3779
AHSA1	2136.9706	AHSA1	1730.8378
AHSA2	116.0219	AHSA2	557.041
AIDA	2245.1366	AIDA	1072.8922
AIF1L	1046.6438	AIF1L	2140.82
AIF1	359.9476	AIF1	299.4652
AIFM1	1079.1439	AIFM1	691.6221
AIFM2	505.3245	AIFM2	1226.8271
AIFM3	6.2903	AIFM3	5.7932
AIG1	819.4924	AIG1	631.4617
AIM1L	69.1938	removed	removed
AIM1	1137.1549	AIM1	3223.262
AIM2	7.3387	removed	removed
AIMP1	693.0285	AIMP1	1026.426
AIMP2	568.7836	AIMP2	295.0758
AIP	1321.6717	AIP	831.9964
AJAP1	13.2796	AJAP1	15.5971
AK1	627.2873	AK1	395.7219
AK2	1215.4348	AK2	2096.7023
AK3L1	515.459	AK3L1	512.0321
AK3	639.5186	AK3	1376.1141
AK5	96.8014	AK5	1039.2157
AK7	9.4355	AK7	16.4884
AKAP10	282.7161	AKAP10	482.6203
AKAP11	1545.3285	AKAP11	1855.1693
AKAP12	551.1043	AKAP12	3344.4742
AKAP13	2747.1342	AKAP13	4073.5294
AKAP1	1603.6889	AKAP1	3111.8538
AKAP2	465.2795	AKAP2	1836.885
removed	removed	AKAP3	14.2602
AKAP5	201.6406	AKAP5	50.3565
AKAP6	41.5862	AKAP6	676.4706
AKAP7	93.6563	AKAP7	150.6239
AKAP8L	786.2933	AKAP8L	779.4118
AKAP8	542.3677	AKAP8	673.7968
AKAP9	2835.199	AKAP9	2994.2068
AKD1	229.5977	AKD1	152.4064
AKIRIN1	2208.9601	AKIRIN1	1443.4046
AKIRIN2	771.6159	AKIRIN2	654.1889
AKNA	583.6044	AKNA	961.2299
AKR1A1	2970.7909	AKR1A1	1491.533
AKR1B10	32.1507	removed	removed
removed	removed	AKR1B15	73.5294
AKR1B1	615.4056	AKR1B1	864.5276
AKR1C1	22.7151	AKR1C1	1093.1373
AKR1C2	8.0377	AKR1C2	1356.0606
AKR1C3	169.4899	AKR1C3	883.2442
removed	removed	AKR1D1	9.3583
AKR1E2	16.0753	AKR1E2	23.1729
AKR7A2	743.3093	AKR7A2	1018.2709
AKR7A3	60.1078	AKR7A3	155.0802
AKR7L	11.1828	AKR7L	22.7273
AKT1S1	1585.1674	AKT1S1	698.3066
AKT1	6127.8461	AKT1	3122.1034
AKT2	2535.3592	AKT2	2638.1462
AKT3	362.7433	AKT3	1128.3422
AKTIP	558.8589	AKTIP	461.5152
ALAD	1098.015	ALAD	1556.1497
ALAS1	637.4218	ALAS1	905.5258
removed	removed	ALAS2	5.3476
ALB	32.5001	ALB	3802.139
ALCAM	1492.21	ALCAM	4458.5561
ALDH16A1	623.7927	ALDH16A1	466.5775
ALDH18A1	4061.4672	ALDH18A1	1639.4831
ALDH1A1	259.3021	ALDH1A1	1591.8004
ALDH1A2	5.5914	ALDH1A2	215.6863
ALDH1A3	245.5052	ALDH1A3	3241.7157
ALDH1B1	1384.5752	ALDH1B1	733.9572
removed	removed	ALDH1L1	945.1872
ALDH1L2	369.7326	ALDH1L2	209.0018
ALDH2	911.4013	ALDH2	5736.631
removed	removed	ALDH3A1	35.205
ALDH3A2	1430.0055	ALDH3A2	2484.4029
ALDH3B1	275.3774	ALDH3B1	188.9483
ALDH3B2	2551.085	ALDH3B2	1452.7629
ALDH4A1	401.5338	ALDH4A1	1869.4296
ALDH5A1	598.6313	ALDH5A1	527.6292
ALDH6A1	423.5465	ALDH6A1	552.8342
ALDH7A1	1979.013	ALDH7A1	1562.8342
ALDH8A1	11.8818	ALDH8A1	9.8039
ALDH9A1	1126.671	ALDH9A1	2657.3084
ALDOA	25446.1996	ALDOA	11870.3209
ALDOC	234.8396	ALDOC	661.7647
ALG10B	193.6029	ALG10B	223.7077
ALG10	131.3984	ALG10	91.8004
ALG11	26.2098	ALG11	5.3476
ALG12	488.2008	ALG12	471.9251
ALG13	357.1519	ALG13	478.6096
ALG14	283.0656	ALG14	156.8627
ALG1L	234.5111	ALG1L	5.2273
ALG1	566.8511	ALG1	453.8636
ALG2	798.1751	ALG2	860.9626
ALG3	1062.0202	ALG3	491.0873
ALG5	598.9808	ALG5	555.2585
ALG6	545.8623	ALG6	236.631
ALG8	1182.2357	ALG8	670.6774
ALG9	396.6413	ALG9	585.1159
ALKBH1	239.3826	ALKBH1	206.7736
ALKBH2	290.4043	ALKBH2	235.7398
ALKBH3	349.1142	ALKBH3	305.7041
ALKBH4	324.505	ALKBH4	219.1221
ALKBH5	1892.2935	ALKBH5	2094.4742
ALKBH6	93.6563	ALKBH6	55.7041
ALKBH7	758.3362	ALKBH7	376.5597
ALKBH8	114.9736	ALKBH8	212.5668
ALK	18.871	ALK	8.467
ALMS1P	8.7366	ALMS1P	6.6845
ALMS1	1093.8214	ALMS1	912.2103
removed	removed	ALOX12P2	22.7273
removed	removed	ALOX12	7.1301
ALOX15B	144.678	ALOX15B	812.8342
removed	removed	ALOX15	300.8021
ALOX5AP	304.0334	ALOX5AP	223.7077
ALOX5	315.2163	ALOX5	501.3369
ALOXE3	16.7743	ALOXE3	12.4777
ALPK1	262.4472	ALPK1	701.8717
ALPK2	116.0219	ALPK2	20.0535
ALPK3	265.243	ALPK3	745.9893
ALPL	1602.99	ALPL	2090.4635
ALS2CL	87.7154	ALS2CL	391.2656
ALS2CR11	5.5914	ALS2CR11	8.467
ALS2CR12	5.5914	removed	removed
ALS2CR4	624.8411	ALS2CR4	1259.3583
ALS2CR8	72.339	ALS2CR8	160.8734
ALS2	718.1479	ALS2	704.9911
ALX3	16.0753	ALX3	38.3244
ALX4	5.242	ALX4	28.5205
AMACR	367.2864	AMACR	192.959
removed	removed	AMBP	12.9234
AMBRA1	1113.0419	AMBRA1	902.852
AMD1	1557.2103	AMD1	2112.7986
AMDHD1	9.0861	AMDHD1	25.4011
AMDHD2	148.5221	AMDHD2	178.926
AMFR	2513.6924	AMFR	2396.1676
AMH	9.785	removed	removed
AMICA1	78.9788	AMICA1	131.016
AMIGO1	82.8229	AMIGO1	170.6774
AMIGO2	2263.8259	AMIGO2	2426.9162
AMIGO3	133.4951	AMIGO3	57.4866
AMMECR1L	797.4762	AMMECR1L	934.492
AMMECR1	488.2008	AMMECR1	236.631
AMN1	52.769	AMN1	128.7879
AMOTL1	541.6687	AMOTL1	2425.1337
AMOTL2	1467.3981	AMOTL2	4726.3815
AMOT	1588.3125	AMOT	991.0873
removed	removed	AMPD1	26.2923
AMPD2	877.5034	AMPD2	627.0053
AMPD3	197.7965	AMPD3	221.9251
AMPH	260.6999	AMPH	110.5169
AMT	19.57	AMT	163.2353
AMY2B	23.4141	AMY2B	386.9697
AMZ1	230.646	AMZ1	7.1301
AMZ2P1	399.437	AMZ2P1	278.9661
AMZ2	2142.562	AMZ2	957.6649
ANAPC10	63.9519	ANAPC10	99.8217
ANAPC11	1410.4355	ANAPC11	582.4421
ANAPC13	1364.2888	ANAPC13	933.7478
ANAPC16	2120.1963	ANAPC16	2083.779
ANAPC1	777.9062	ANAPC1	808.8235
ANAPC2	689.4919	ANAPC2	849.3761
ANAPC4	397.6897	ANAPC4	575.3119
ANAPC5	2051.3519	ANAPC5	2214.795
ANAPC7	1267.1554	ANAPC7	896.6132
ANGEL1	445.9157	ANGEL1	625.6684
ANGEL2	862.127	ANGEL2	587.7897
ANGPT1	64.6508	ANGPT1	344.0285
ANGPT2	500.7815	ANGPT2	314.6168
removed	removed	ANGPT4	19.6078
ANGPTL1	10.4839	ANGPTL1	427.3619
ANGPTL2	1817.9102	ANGPTL2	4832.8877
ANGPTL4	482.2599	ANGPTL4	2029.8574
removed	removed	ANGPTL5	12.0321
removed	removed	ANGPTL7	174.6881
ANG	267.6543	ANG	398.574
ANK1	7.6882	ANK1	20.4991
ANK2	77.5809	ANK2	862.2995
ANK3	869.4657	ANK3	1168.8948
ANKAR	22.7151	ANKAR	44.1176
ANKDD1A	25.1614	ANKDD1A	106.5062
ANKFN1	8.3871	removed	removed
ANKFY1	1370.2472	ANKFY1	2433.1551
ANKHD1-EIF4EBP3	1078.445	ANKHD1-EIF4EBP3	916.0918
ANKHD1	2127.0877	ANKHD1	2619.0374
ANKH	1820.3564	ANKH	1778.9661
ANKIB1	1750.4637	ANKIB1	1310.6061
removed	removed	ANKK1	30.7487
ANKLE1	12.9302	ANKLE1	18.7166
ANKLE2	1543.9306	ANKLE2	1557.041
ANKMY1	213.1729	ANKMY1	249.1087
ANKMY2	435.0823	ANKMY2	538.3244
ANKRA2	250.9149	ANKRA2	330.6595
ANKRD10	1026.0254	ANKRD10	1483.8191
ANKRD11	453.7577	ANKRD11	2595.0936
ANKRD12	906.8583	ANKRD12	1516.4884
ANKRD13A	819.4924	ANKRD13A	1316.3993
ANKRD13B	163.549	ANKRD13B	149.7326
ANKRD13C	439.9748	ANKRD13C	499.5544
ANKRD13D	811.4547	ANKRD13D	479.5009
ANKRD16	181.0047	ANKRD16	127.8476
ANKRD17	5450.9349	ANKRD17	3357.3975
ANKRD19	39.4894	ANKRD19	53.4759
ANKRD1	12.9302	removed	removed
removed	removed	ANKRD20A3	21.836
removed	removed	ANKRD20B	11.1408
ANKRD22	235.888	ANKRD22	40.107
ANKRD23	23.7635	ANKRD23	38.3244
ANKRD24	5.5914	ANKRD24	24.0642
ANKRD26	241.4794	ANKRD26	300.3565
ANKRD27	904.0626	ANKRD27	855.615
ANKRD28	3015.1728	ANKRD28	1171.5686
ANKRD29	8.0377	ANKRD29	206.328
ANKRD30A	394.894	ANKRD30A	1155.9715
ANKRD30B	435.7812	ANKRD30B	9.8039
ANKRD32	201.99	ANKRD32	118.5383
ANKRD34A	29.0055	ANKRD34A	20.9447
ANKRD35	51.0217	ANKRD35	182.2638
ANKRD36BP1	28.656	ANKRD36BP1	143.0481
ANKRD36B	17.1237	ANKRD36B	22.7273
ANKRD36	80.0272	ANKRD36	315.0624
ANKRD37	92.3108	ANKRD37	228.3645
ANKRD39	222.9578	ANKRD39	104.2781
ANKRD40	712.5565	ANKRD40	1890.3743
ANKRD42	567.5291	ANKRD42	323.0838
ANKRD43	6.6398	ANKRD43	114.5276
ANKRD44	30.0539	ANKRD44	88.6809
removed	removed	ANKRD45	15.1515
ANKRD46	244.2507	ANKRD46	507.1747
ANKRD49	156.9092	ANKRD49	265.5971
ANKRD50	2099.9274	ANKRD50	953.6542
ANKRD52	2163.8793	ANKRD52	1406.4171
ANKRD53	5.5914	ANKRD53	104.2781
ANKRD54	319.4098	ANKRD54	343.5829
ANKRD56	240.0816	ANKRD56	142.6025
ANKRD57	281.6677	ANKRD57	705.8824
ANKRD58	10.1344	ANKRD58	9.3583
ANKRD5	365.539	ANKRD5	246.4349
ANKRD6	152.7855	ANKRD6	262.5847
