gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
AGAP4	106.9364	AGAP4	203.1119
AGAP5	35.396	AGAP5	72.3213
AGAP6	37.2832	AGAP6	120.6897
removed	removed	AGAP7	10.0925
AGAP8	36.4162	AGAP8	41.2111
AGA	673.4104	AGA	485.2817
AGBL2	9.2486	AGBL2	6.3078
removed	removed	AGBL3	6.7283
AGBL4	7.8035	removed	removed
AGBL5	988.4538	AGBL5	685.0378
AGER	6.9364	AGER	36.1648
AGFG1	1364.4509	AGFG1	2077.3759
AGFG2	240.1734	AGFG2	535.3238
AGGF1	1639.3064	AGGF1	810.7653
AGK	369.9422	AGK	478.5534
AGL	1256.0694	AGL	1117.746
AGMAT	8.0925	AGMAT	8.831
AGPAT1	5055.3931	AGPAT1	1603.8352
AGPAT2	886.1272	AGPAT2	5343.1455
AGPAT3	3549.1329	AGPAT3	2026.0723
AGPAT4	24.5665	AGPAT4	284.693
AGPAT5	718.4971	AGPAT5	460.8915
AGPAT6	1616.474	AGPAT6	1728.7637
AGPAT9	38.7283	AGPAT9	198.0656
AGPHD1	15.896	AGPHD1	57.6114
AGPS	1841.6185	AGPS	1309.9243
AGR2	2391.3295	AGR2	3824.222
AGR3	2357.2254	AGR3	656.0135
AGRN	1352.3121	AGRN	4770.3953
AGTPBP1	571.6763	AGTPBP1	368.7973
AGTR1	1653.7572	AGTR1	484.8612
AGTRAP	973.4104	AGTRAP	693.4399
AGT	201.7341	AGT	195.963
AGXT2L2	263.6908	AGXT2L2	635.778
removed	removed	AGXT	7.1489
AHCTF1	3050.8671	AHCTF1	1244.323
AHCYL1	4154.9133	AHCYL1	4384.7771
AHCYL2	707.2254	AHCYL2	560.5551
AHCY	5161.8497	AHCY	1743.9024
AHDC1	553.7572	AHDC1	1050.4626
AHI1	303.4682	AHI1	447.0143
AHNAK2	427.4566	AHNAK2	1330.1093
AHNAK	33096.8208	AHNAK	99682.5063
AHRR	11.2717	AHRR	15.9798
AHR	1987.8613	AHR	3495.3743
AHSA1	2728.3237	AHSA1	1421.783
AHSA2	259.5376	AHSA2	444.9117
removed	removed	AIDA	1393.6081
AIF1L	398.8439	AIF1L	1683.7679
AIF1	174.2775	AIF1	454.1632
AIFM1	1052.6012	AIFM1	850.7149
AIFM2	657.2254	AIFM2	2259.0412
AIFM3	10.3324	AIFM3	14.2977
AIG1	400.8671	AIG1	904.5416
AIM1	687.2832	AIM1	2989.0664
AIM2	5.7803	removed	removed
AIMP1	1871.8439	AIMP1	914.4617
AIMP2	425.7399	AIMP2	280.7906
AIP	3088.4393	AIP	817.4937
removed	removed	AJAP1	9.672
AK1	522.5434	AK1	762.4054
AK2	1554.3353	AK2	2134.1463
AK3L1	86.4162	AK3L1	593.3558
AK3	823.1214	AK3	2564.7603
removed	removed	AK5	1544.5753
AK7	37.2832	AK7	43.7342
AKAP10	374.2775	AKAP10	547.0984
AKAP11	1657.5145	AKAP11	1881.8335
AKAP12	196.8208	AKAP12	7042.8932
AKAP13	1585.2601	AKAP13	3255.677
AKAP1	3877.7457	AKAP1	2423.0446
AKAP2	409.737	AKAP2	2185.6013
removed	removed	AKAP3	29.857
AKAP5	109.5376	AKAP5	81.5812
AKAP6	101.7341	AKAP6	124.0538
AKAP7	19.3642	AKAP7	211.9428
AKAP8L	575.7225	AKAP8L	774.6005
AKAP8	389.3064	AKAP8	639.1926
AKAP9	2193.3526	AKAP9	2499.5795
AKD1	232.659	AKD1	166.5265
AKIRIN1	831.2139	AKIRIN1	1459.2094
AKIRIN2	474.8555	AKIRIN2	773.7595
AKNA	215.0289	AKNA	735.9125
AKR1A1	1382.0809	AKR1A1	1679.9832
removed	removed	AKR1B15	52.1447
removed	removed	AKR1B1	863.7511
AKR1C1	83.526	AKR1C1	4905.3827
AKR1C2	341.0405	AKR1C2	6748.1077
AKR1C3	172.2543	AKR1C3	3410.0084
removed	removed	AKR1E2	30.6981
AKR7A2	1842.1965	AKR7A2	1050.0421
AKR7A3	10754.0462	AKR7A3	87.0479
AKR7L	303.4682	AKR7L	10.9336
AKT1S1	1267.6301	AKT1S1	787.6367
AKT1	4023.9884	AKT1	3713.2044
AKT2	5100.578	AKT2	3818.7553
AKT3	162.7168	AKT3	884.7771
AKTIP	354.0578	AKTIP	651.5475
ALAD	1043.6416	ALAD	3947.4348
ALAS1	683.237	ALAS1	1047.5189
removed	removed	ALB	340.2019
ALCAM	3485.8382	ALCAM	2588.3095
ALDH16A1	278.0347	ALDH16A1	493.2717
ALDH18A1	2947.1098	ALDH18A1	1457.9479
ALDH1A1	199.1329	ALDH1A1	2491.169
ALDH1A2	5.2023	ALDH1A2	408.7468
ALDH1A3	92.7283	ALDH1A3	1741.7241
ALDH1B1	190.1734	ALDH1B1	626.577
ALDH1L1	10.4046	ALDH1L1	1324.6426
ALDH1L2	38.4393	ALDH1L2	367.5357
ALDH2	339.5954	ALDH2	12193.8604
removed	removed	ALDH3A1	37.0059
ALDH3A2	2068.7861	ALDH3A2	3374.6846
ALDH3B1	2155.7803	ALDH3B1	241.3793
ALDH3B2	1665.896	ALDH3B2	766.6106
ALDH4A1	445.6647	ALDH4A1	1947.0143
ALDH5A1	1263.5838	ALDH5A1	773.3389
ALDH6A1	341.9509	ALDH6A1	654.8696
ALDH7A1	1291.6185	ALDH7A1	1878.8898
removed	removed	ALDH8A1	7.5694
ALDH9A1	3225.1445	ALDH9A1	4359.9664
ALDOA	61670.8092	ALDOA	14858.2843
ALDOC	1081.5029	ALDOC	1518.0824
ALG10B	233.815	ALG10B	279.2262
ALG10	147.6879	ALG10	110.5971
ALG11	49.711	ALG11	5.4668
ALG12	517.052	ALG12	465.5172
ALG13	245.3757	ALG13	437.3423
ALG14	200.289	ALG14	214.4659
ALG1L	52.5607	removed	removed
ALG1	1500.2717	ALG1	422.7965
ALG2	742.1965	ALG2	746.8461
ALG3	869.9422	ALG3	492.0101
ALG5	815.0289	ALG5	589.5711
ALG6	534.104	ALG6	284.693
ALG8	832.0809	ALG8	770.8158
ALG9	408.9595	ALG9	633.7258
ALKBH1	306.9364	ALKBH1	237.1741
ALKBH2	307.2254	ALKBH2	198.0656
ALKBH3	47.6879	ALKBH3	343.9865
ALKBH4	160.4364	ALKBH4	176.0219
ALKBH5	1651.3786	ALKBH5	2203.0698
ALKBH6	101.4451	ALKBH6	61.8167
ALKBH7	196.8208	ALKBH7	356.6022
ALKBH8	198.8439	ALKBH8	243.4819
removed	removed	ALK	23.9697
ALMS1	1037.5723	ALMS1	754.836
removed	removed	ALOX12P2	18.5029
ALOX15B	11.2717	ALOX15B	280.4878
ALOX15	8.6705	ALOX15	84.1043
ALOX5AP	146.2428	ALOX5AP	228.7637
ALOX5	95.9538	ALOX5	420.5214
