gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
RIPK4	319.6924	RIPK4	406.9966
RIT1	1190.5154	RIT1	566.1263
RLF	672.3428	RLF	817.4061
RLIM	2471.4822	RLIM	1550.3413
RLN2	9.155	RLN2	11.5188
RLTPR	17.2114	removed	removed
RMI1	641.9482	RMI1	165.1024
RMND1	242.058	RMND1	721.4164
RMND5A	1926.2107	RMND5A	2911.6894
RMND5B	933.8094	RMND5B	726.9625
RMRP	6.9578	RMRP	24.3174
RNASE1	1142.5433	RNASE1	2948.3788
RNASE2	6.2254	removed	removed
RNASE4	2329.5432	RNASE4	5790.9087
RNASE6	155.2687	RNASE6	87.4573
removed	removed	RNASE7	35.4096
RNASEH1	298.0866	RNASEH1	284.5563
RNASEH2A	381.5802	RNASEH2A	102.3891
RNASEH2B	314.9318	RNASEH2B	359.215
RNASEH2C	230.6253	RNASEH2C	405.256
RNASEK	972.4837	RNASEK	1860.0768
RNASEL	510.4825	RNASEL	421.9283
RNASEN	1471.0244	RNASEN	1269.198
RNASET2	561.7504	RNASET2	413.8225
RND1	856.175	RND1	169.3686
RND2	76.1696	RND2	69.1126
RND3	427.3551	RND3	1813.9932
RNF103	2005.4161	RNF103	1267.9224
RNF10	3766.7308	RNF10	3469.2833
RNF111	876.6822	RNF111	874.5734
removed	removed	RNF112	7.2526
RNF113A	238.0298	RNF113A	173.2082
RNF114	1546.8278	RNF114	1417.6621
RNF115	782.2027	RNF115	420.2218
RNF11	2159.48	RNF11	4247.8669
RNF121	583.3562	RNF121	412.9693
RNF122	92.2823	RNF122	96.4164
RNF123	478.6231	RNF123	634.8123
RNF125	191.1563	RNF125	1006.8259
RNF126	299.5514	RNF126	328.4983
RNF128	22.7044	RNF128	298.2082
RNF130	975.9224	RNF130	3801.1945
RNF135	439.8059	RNF135	757.6792
RNF138P1	15.0142	RNF138P1	16.2116
RNF138	559.187	RNF138	441.1263
RNF139	1076.9935	RNF139	1056.314
RNF13	946.2602	RNF13	1998.2935
RNF141	1644.6031	RNF141	1700.5119
RNF144A	609.7226	RNF144A	726.1092
RNF144B	2791.1746	RNF144B	814.4198
RNF145	412.3409	RNF145	1764.9317
RNF146	810.4001	RNF146	999.5734
RNF149	930.5136	RNF149	680.0341
RNF14	1567.335	RNF14	1512.372
RNF150	34.789	RNF150	1015.3584
RNF152	82.0287	RNF152	74.2321
removed	removed	RNF157	1318.6732
RNF160	1558.5462	RNF160	1093.8567
RNF165	137.5703	RNF165	102.6578
RNF166	121.5783	RNF166	148.4642
RNF167	1446.1229	RNF167	1943.686
RNF168	278.678	RNF168	302.4744
RNF169	1355.3017	RNF169	803.1015
RNF170	347.8898	RNF170	673.6348
RNF175	10.2536	RNF175	51.6212
RNF180	138.7897	RNF180	378.413
RNF181	821.0199	RNF181	799.0614
removed	removed	RNF182	14.0785
removed	removed	RNF183	25.1706
RNF185	1362.5085	RNF185	1413.2551
removed	removed	RNF186	11.0922
RNF187	3273.4597	RNF187	1807.1672
RNF19A	2006.0423	RNF19A	1431.314
RNF19B	557.356	RNF19B	431.314
RNF207	16.479	RNF207	102.3891
RNF208	68.4794	RNF208	68.686
RNF20	1596.2648	RNF20	1544.7952
RNF212	10.986	RNF212	69.1126
RNF213	7794.9098	RNF213	3793.0333
RNF214	260.7342	RNF214	504.6928
RNF215	269.8892	RNF215	200.0853
RNF216L	249.0158	RNF216L	212.4573
RNF216	1381.6717	RNF216	1273.0375
RNF217	98.8703	RNF217	212.8328
RNF219	592.145	RNF219	438.9932
RNF220	813.7911	RNF220	833.5196
RNF24	255.2412	RNF24	296.9283
RNF25	507.9191	RNF25	298.2082
RNF26	546.37	RNF26	980.802
RNF2	1277.3048	RNF2	505.1195
RNF31	1132.2897	RNF31	715.8703
RNF32	36.2538	RNF32	33.7031
RNF34	1152.5735	RNF34	447.7176
RNF38	1240.3186	RNF38	2141.6382
RNF39	143.5503	RNF39	528.157
RNF40	1620.4339	RNF40	1588.3106
RNF41	1633.6171	RNF41	1951.3652
removed	removed	RNF43	477.8157
RNF44	1192.7126	RNF44	666.8089
RNF4	1916.3234	RNF4	1111.7747
RNF5P1	165.1561	RNF5P1	75.0853
RNF5	1227.8678	RNF5	606.2287
RNF6	1229.3326	RNF6	983.7884
RNF7	992.0352	RNF7	959.8976
RNF8	331.0446	RNF8	262.372
RNFT1	154.9025	RNFT1	339.5904
RNFT2	68.1132	RNFT2	14.5051
RNGTT	463.9751	RNGTT	380.5461
RNH1	2073.0569	RNH1	2370.7338
RNLS	128.9023	RNLS	217.5768
RNMTL1	240.9594	RNMTL1	272.1843
RNMT	1174.0364	RNMT	1093.0034
RNPC3	149.4095	RNPC3	331.8558
RNPEPL1	1274.3752	RNPEPL1	1944.5392
RNPEP	3526.8699	RNPEP	1318.2594
RNPS1	1988.8309	RNPS1	1577.6451
ROBLD3	863.499	ROBLD3	419.7952
ROBO1	573.4688	ROBO1	1739.3345
ROBO2	97.7753	ROBO2	20.9044
ROBO3	15.0142	ROBO3	144.6246
ROBO4	295.157	ROBO4	1783.7031
ROCK1	2476.609	ROCK1	2483.7884
ROCK2	582.6238	ROCK2	2100.256
ROD1	3438.2496	ROD1	1825.9386
ROGDI	576.7646	ROGDI	186.4334
ROM1	23.4368	ROM1	57.1672
ROMO1	369.4956	ROMO1	307.1672
ROPN1B	7.324	ROPN1B	64.4198
removed	removed	ROPN1	40.529
ROR1	44.3102	ROR1	92.5768
ROR2	269.8892	ROR2	199.6587
RORA	467.6371	RORA	600.6826
RORB	144.2827	RORB	99.8294
RORC	1029.3875	RORC	651.8771
removed	removed	RP1L1	16.6382
RP2	553.694	RP2	380.5461
RP9P	112.4233	RP9P	178.7543
RP9	125.2403	RP9	132.2526
RPA1	2033.8735	RPA1	2686.0068
RPA2	582.99	RPA2	858.7884
RPA3	216.0579	RPA3	221.843
RPAIN	543.7224	RPAIN	591.25
removed	removed	RPAP1	613.9078
RPAP2	362.904	RPAP2	286.6894
removed	removed	RPAP3	508.1058
RPE	1010.2536	RPE	581.8003
RPF1	621.441	RPF1	510.6655
RPF2	327.3826	RPF2	345.1365
RPGRIP1L	227.4101	RPGRIP1L	114.7611
removed	removed	RPGRIP1	6.8259
RPGR	158.5645	RPGR	194.5392
RPH3AL	95.5781	RPH3AL	262.372
RPIA	328.115	RPIA	343.8567
RPL10A	7997.8028	RPL10A	10221.4164
RPL10	10612.7767	RPL10	15046.0708
RPL11	8031.4932	RPL11	20579.7782
RPL12	7469.7427	RPL12	9436.8601
RPL13AP20	18.6762	RPL13AP20	32.4232
RPL13AP3	6.2254	RPL13AP3	6.3993
RPL13A	10955.5983	RPL13A	15495.3072
RPL13P5	7.324	RPL13P5	8.959
RPL13	5818.9142	RPL13	12761.9454
RPL14	5219.4452	RPL14	8319.9659
RPL15	14100.5218	RPL15	20988.4812
RPL17	3816.3398	RPL17	5862.1672
RPL18A	984.7112	RPL18A	1472.2696
RPL18	5830.6326	RPL18	8557.1672
RPL19P12	38.451	RPL19P12	68.2594
RPL19	12281.9738	RPL19	16257.2526
removed	removed	RPL21P44	5.9727
removed	removed	RPL21	5.5461
RPL22L1	457.3835	RPL22L1	286.2628
RPL22	4906.7106	RPL22	9572.5256
RPL23AP53	201.7761	RPL23AP53	238.9078
RPL23AP7	42.4792	RPL23AP7	56.7406
RPL23AP82	70.6766	RPL23AP82	158.7031
RPL23A	1895.0838	RPL23A	3861.3481
RPL23P8	111.3247	RPL23P8	119.0273
RPL23	7902.2247	RPL23	13621.587
RPL24	5368.1223	RPL24	8731.2287
RPL26L1	211.2973	RPL26L1	138.6519
RPL26	6569.2575	RPL26	13642.0648
RPL27A	6617.2297	RPL27A	9747.4403
RPL27	3594.9831	RPL27	10080.2048
RPL28	3763.8012	RPL28	5069.1126
RPL29	3617.6874	RPL29	11104.0956
RPL30	5685.6175	RPL30	13147.1843
RPL31	6381.3971	RPL31	10813.5666
RPL32P3	147.6737	RPL32P3	169.5691
RPL32	8018.31	RPL32	17189.4198
RPL34	4031.8594	RPL34	8564.4198
RPL35A	5149.8673	RPL35A	10088.3106
RPL35	2709.512	RPL35	5363.9078
RPL36AL	1614.2086	RPL36AL	2753.8396
RPL36A	39.5496	RPL36A	32.4232
RPL36	3762.7026	RPL36	5236.3481
RPL37A	4493.2711	RPL37A	15057.1672
RPL37	4947.3588	RPL37	10003.413
RPL38	2117.367	RPL38	5432.1672
RPL39L	190.4239	RPL39L	103.6689
RPL39	361.8054	RPL39	675.3413
RPL3	31030.6692	RPL3	35510.6655
RPL41	12858.7384	RPL41	15584.0444
RPL4	20197.0155	RPL4	32627.9863
RPL5	11412.6156	RPL5	23032.8498
RPL6	6858.5553	RPL6	9731.2287
RPL7A	12012.817	RPL7A	14389.0785
RPL7L1	1550.1236	RPL7L1	1213.7372
RPL7	1178.4308	RPL7	2237.2014
RPL8	11961.1828	RPL8	16145.4778
RPL9	2306.6923	RPL9	6185.5802
RPLP0P2	28.1974	RPLP0P2	9.3857
RPLP0	19733.7728	RPLP0	17318.2594
RPLP1	14594.5253	RPLP1	15506.8259
RPLP2	4472.0315	RPLP2	18873.2935
RPN1	5410.6015	RPN1	3652.7304
RPN2	5431.4749	RPN2	3868.5922
RPP14	325.9178	RPP14	604.5222
RPP21	167.3533	RPP21	159.599
RPP25	220.8185	RPP25	73.8055
RPP30	403.9183	RPP30	421.5017
RPP38	299.5514	RPP38	220.9898
RPP40	171.0153	RPP40	74.6587
RPPH1	10.2536	RPPH1	20.9044
RPRD1A	1750.8011	RPRD1A	1520.4778
RPRD1B	806.7381	RPRD1B	800.3413
RPRD2	3084.5006	RPRD2	2067.8328
RPS10P7	98.5077	RPS10P7	54.1809
RPS10	5087.2471	RPS10	4860.4949
RPS11	13287.1922	RPS11	20730.802
RPS12	9252.7694	RPS12	16084.0444
RPS13	4137.6911	RPS13	8999.1468
RPS14	7876.5907	RPS14	14946.6724
RPS15AP10	6.5916	removed	removed
RPS15A	5774.9702	RPS15A	11133.5324
RPS15	1651.9271	RPS15	2415.9556
RPS16	5334.4319	RPS16	10144.198
RPS17	8120.1135	RPS17	10204.3515
RPS18	20762.0617	RPS18	23785.4096
RPS19BP1	740.0897	RPS19BP1	586.6041
RPS19	6339.6503	RPS19	7591.7235
RPS20	6826.3298	RPS20	23054.6075
RPS21	1308.0655	RPS21	2694.1126
RPS23	7452.8976	RPS23	12214.1638
RPS24	11503.0669	RPS24	15172.3549
RPS25	3018.2184	RPS25	11140.3584
RPS26	320.0586	RPS26	203.0717
RPS27A	5204.0648	RPS27A	10880.5461
RPS27L	585.1872	RPS27L	1418.5154
RPS27	94.8457	RPS27	1383.959
RPS28	210.5649	RPS28	412.116
RPS29	2843.5412	RPS29	5420.2218
removed	removed	RPS2P32	20.9044
RPS2	7580.3351	RPS2	7857.9352
RPS3A	4296.988	RPS3A	7266.6382
RPS3	18347.3405	RPS3	15507.6792
RPS4X	28300.65	RPS4X	36282.8498
RPS5	5926.5769	RPS5	8901.4505
RPS6KA1	1306.2346	RPS6KA1	404.4369
RPS6KA2	1030.8523	RPS6KA2	1670.2218
RPS6KA3	1026.8241	RPS6KA3	1641.2116
RPS6KA4	295.157	RPS6KA4	436.4334
RPS6KA5	440.5383	RPS6KA5	317.4061
RPS6KA6	145.0151	RPS6KA6	66.9795
RPS6KB1	757.3011	RPS6KB1	1215.0171
RPS6KB2	280.509	RPS6KB2	354.0956
RPS6KC1	1078.8245	RPS6KC1	665.529
RPS6KL1	68.1132	RPS6KL1	43.942
RPS6	16919.5276	RPS6	29826.3652
RPS7	3302.7557	RPS7	6212.884
RPS8	10465.2568	RPS8	17163.3959
RPS9	5368.8547	RPS9	9790.9556
RPSAP58	6227.227	RPSAP58	5080.2048
RPSAP9	15.0142	RPSAP9	20.0512
RPSA	4876.6822	RPSA	4204.7782
RPTOR	586.2822	RPTOR	880.5461
RPUSD1	246.0862	RPUSD1	179.6075
RPUSD2	140.2545	RPUSD2	131.3993
RPUSD3	388.1717	RPUSD3	387.7986
RPUSD4	241.6918	RPUSD4	657.4232
RQCD1	314.1994	RQCD1	166.3823
RRAD	5.8592	RRAD	46.5017
RRAGA	1706.1247	RRAGA	1953.4983
RRAGB	238.396	RRAGB	401.8771
RRAGC	323.7206	RRAGC	864.7611
RRAGD	118.6487	RRAGD	1312.2867
RRAS2	203.6071	RRAS2	701.7918
RRAS	368.0308	RRAS	1717.1502
RRBP1	4776.7097	RRBP1	2209.8976
RREB1	1784.4914	RREB1	1657.8498
RRM1	3204.9803	RRM1	1621.587
RRM2B	854.344	RRM2B	933.0205
RRM2	1593.3352	RRM2	12.372
removed	removed	RRN3P1	45.6485
RRN3P2	6.9578	RRN3P2	8.959
RRN3P3	47.02	RRN3P3	85.9727
RRN3	1546.0954	RRN3	1308.8737
RRP12	905.612	RRP12	301.6212
RRP15	854.344	RRP15	511.0922
RRP1B	1166.7124	RRP1B	945.8191
RRP1	364.0026	RRP1	244.8805
RRP7A	1003.3873	RRP7A	475.6826
RRP7B	176.5559	RRP7B	75.6442
RRP8	312.3684	RRP8	247.0137
RRP9	168.8181	RRP9	184.727
RRS1	290.3964	RRS1	166.3823
RSAD1	511.2149	RSAD1	631.8259
RSAD2	425.1579	RSAD2	265.785
RSBN1L	744.3779	RSBN1L	555.0896
RSBN1	572.3702	RSBN1	827.6451
RSC1A1	349.1458	RSC1A1	463.7415
RSF1	2710.2444	RSF1	1124.5734
RSL1D1	3354.0236	RSL1D1	4965.8703
RSL24D1	2437.4256	RSL24D1	2472.2696
RSPH1	82.0287	RSPH1	17.9181
RSPH3	330.3122	RSPH3	171.5017
removed	removed	RSPH4A	14.9317
removed	removed	RSPH9	8.5324
RSPO1	8.0564	RSPO1	30.7167
RSPO3	45.4088	RSPO3	1656.57
removed	removed	RSPO4	8.959
RSPRY1	445.6651	RSPRY1	443.2594
RSRC1	307.974	RSRC1	276.0239
RSRC2	2184.0154	RSRC2	1418.0887
RSU1	1406.9395	RSU1	2110.4949
RTCD1	590.6802	RTCD1	720.5631
RTEL1	363.4313	RTEL1	288.0631
RTF1	2663.0047	RTF1	1932.1672
RTKN2	578.5956	RTKN2	31.57
RTKN	659.5258	RTKN	261.9454
RTN1	88.9865	RTN1	950.5119
RTN2	194.0859	RTN2	201.3652
RTN3	1594.8	RTN3	10896.7577
RTN4IP1	140.9869	RTN4IP1	138.2253
RTN4RL1	92.6485	RTN4RL1	389.9317
RTN4RL2	12.4508	RTN4RL2	14.9317
RTN4R	88.6203	RTN4R	20.0512
RTN4	5265.2202	RTN4	12694.9659
RTP4	75.071	RTP4	98.1229
RTTN	355.9462	RTTN	311.4334
RUFY1	1148.4025	RUFY1	1004.2662
RUFY2	450.0595	RUFY2	424.0614
RUFY3	856.9074	RUFY3	776.8771
RUFY4	7.324	removed	removed
RUNDC1	1151.3321	RUNDC1	796.5017
RUNDC2A	77.6343	RUNDC2A	106.6553
RUNDC2C	32.5149	RUNDC2C	38.4727
RUNDC3B	16.479	RUNDC3B	110.4949
RUNX1T1	25.2678	RUNX1T1	194.1126
RUNX1	2272.6357	RUNX1	2378.8396
RUNX2	284.5372	RUNX2	92.1502
RUNX3	268.0582	RUNX3	317.4061
RUSC1	1980.0421	RUSC1	365.6143
RUSC2	459.5807	RUSC2	1056.7406
RUVBL1	929.4846	RUVBL1	399.5691
RUVBL2	1362.6293	RUVBL2	756.8259
RWDD1	1039.6411	RWDD1	1473.1229
RWDD2A	161.8603	RWDD2A	133.5324
RWDD2B	318.96	RWDD2B	517.9181
RWDD3	164.0575	RWDD3	252.1928
RWDD4A	569.0744	RWDD4A	538.8225
RXRA	2858.5553	RXRA	4141.2116
RXRB	1419.3903	RXRB	979.0956
removed	removed	RXRG	66.1263
RYBP	1440.9961	RYBP	1379.6928
RYK	1380.2069	RYK	1934.3003
RYR1	8.7888	RYR1	198.8055
RYR2	8.7888	RYR2	19.6246
RYR3	6.9578	RYR3	77.6451
S100A10	1683.0541	S100A10	2729.9488
S100A11	13655.2229	S100A11	3233.7884
S100A13	3881.7175	S100A13	1959.0444
S100A14	10673.9907	S100A14	401.8771
S100A16	13861.7596	S100A16	1686.8601
S100A1	3575.9407	S100A1	3561.0068
S100A2	9.8874	S100A2	20.0512
S100A3	5.1268	removed	removed
S100A4	541.9756	S100A4	870.7338
S100A6	12286.3682	S100A6	6634.8123
S100A8	8.7888	S100A8	21.3311
S100A9	35.1552	S100A9	84.471
S100B	54.93	S100B	2895.0512
S100PBP	567.2434	S100PBP	529.0102
S100P	122.6769	removed	removed
S1PR1	238.0298	S1PR1	1625
S1PR2	205.0719	S1PR2	214.1638
S1PR3	644.5116	S1PR3	650.5546
S1PR4	8.4226	S1PR4	23.0375
S1PR5	10.2536	S1PR5	30.7167
SAA1	307.6078	SAA1	24955.6314
SAA2	68.1132	SAA2	10062.7133
removed	removed	SAA4	109.6416
SAAL1	226.6777	SAAL1	102.3891
SAC3D1	100.7049	SAC3D1	117.3208
SACM1L	796.4845	SACM1L	1348.9761
SACS	546.37	SACS	748.7201
SAE1	1958.4363	SAE1	1421.9283
SAFB2	1147.6701	SAFB2	925.7679
SAFB	1900.943	SAFB	1205.6314
SALL1	35.8876	SALL1	22.6109
SALL2	1540.9686	SALL2	516.6382
SALL4	27.465	removed	removed
SAMD10	100.7049	SAMD10	65.6997
SAMD11	88.8071	SAMD11	14.023
SAMD12	744.1179	SAMD12	288.3959
removed	removed	SAMD13	26.4505
SAMD14	8.7888	removed	removed
SAMD1	203.2409	SAMD1	177.901
SAMD3	31.8594	SAMD3	9.3857
SAMD4A	169.9167	SAMD4A	629.2662
SAMD4B	1771.6744	SAMD4B	1396.3311
SAMD5	178.3393	SAMD5	901.4505
SAMD8	153.0715	SAMD8	363.4812
SAMD9L	911.105	SAMD9L	756.8259
SAMD9	318.96	SAMD9	434.3003
SAMHD1	1083.1054	SAMHD1	610.7722
SAMM50	1053.5494	SAMM50	1716.7235
SAMSN1	143.9165	SAMSN1	48.2082
SAP130	723.6107	SAP130	689.8464
SAP18	2546.1869	SAP18	2703.9249
SAP30BP	804.1747	SAP30BP	938.1399
SAP30L	1340.2911	SAP30L	1800.7679
SAP30	332.1432	SAP30	78.4983
SAPS1	2112.6064	SAPS1	1053.3276
SAPS2	1167.4448	SAPS2	1223.1229
SAPS3	1293.7838	SAPS3	2234.6416
SAR1A	3080.1062	SAR1A	3571.2457
SAR1B	692.8499	SAR1B	524.3174
SARDH	235.4664	SARDH	58.8737
SARM1	620.7342	SARM1	260.4394
SARNP	1018.3027	SARNP	600.6783
SARS2	236.4332	SARS2	218.43
SARS	1598.462	SARS	2639.0785
SART1	538.6798	SART1	754.2662
SART3	1719.6741	SART3	1055.8874
SASH1	1670.9695	SASH1	3050.3413
SASH3	198.8465	SASH3	91.2969
SASS6	267.3258	SASS6	143.3447
SAT1	2521.2854	SAT1	2776.0239
SAT2	401.3549	SAT2	1089.1638
SATB1	168.4519	SATB1	1289.2491
SATB2	54.5638	SATB2	225.256
SATL1	25.2678	SATL1	37.5427
SAV1	605.6944	SAV1	1795.2218
SBDSP1	491.0739	SBDSP1	662.116
SBDS	1072.2329	SBDS	3899.744
SBF1	1102.9937	SBF1	1710.7509
SBF2	2026.154	SBF2	2612.8541
SBK1	1237.7552	SBK1	84.471
SBNO1	1169.642	SBNO1	745.3072
SBNO2	2037.1693	SBNO2	980.3754
SC4MOL	760.9631	SC4MOL	566.5529
SC5DL	641.9482	SC5DL	1859.6416
SC65	933.077	SC65	141.2116
SCAF1	1356.4039	SCAF1	931.7406
SCAI	255.6074	SCAI	601.1092
SCAMP1	2262.0159	SCAMP1	1565.6997
SCAMP2	1783.759	SCAMP2	1791.3823
SCAMP3	1701.3641	SCAMP3	925.3413
SCAMP4	1200.4028	SCAMP4	1101.1092
SCAMP5	388.1717	SCAMP5	144.6246
SCAND1	255.2412	SCAND1	263.6519
SCAND2	294.0584	SCAND2	311.4334
SCAND3	255.6074	SCAND3	106.2287
SCAPER	302.1148	SCAPER	681.314
SCAP	883.9147	SCAP	1782.9181
SCARA3	501.6937	SCARA3	539.2491
SCARA5	8.7888	SCARA5	240.6143
SCARB1	383.7774	SCARB1	2073.3788
SCARB2	7566.7857	SCARB2	8580.6314
SCARF1	146.8461	SCARF1	396.3311
SCARF2	160.0293	SCARF2	140.3584
removed	removed	SCARNA17	6.8259
removed	removed	SCARNA9	8.1058
SCCPDH	1319.0515	SCCPDH	1354.0956
SCD5	303.5796	SCD5	413.8225
SCD	2546.9193	SCD	217851.9625
removed	removed	SCEL	83.6177
SCFD1	951.0208	SCFD1	1034.5563
SCFD2	525.4967	SCFD2	279.4369
SCG2	19.7748	removed	removed
SCG5	43.944	SCG5	43.0887
SCGB1D2	5751.1673	SCGB1D2	506.8259
SCGB2A1	755.8363	SCGB2A1	27.7304
SCGB2A2	119707.4064	SCGB2A2	3500.4266
removed	removed	SCGB3A1	16.2116
SCGN	100.3387	SCGN	11.5188
SCHIP1	83.1273	SCHIP1	363.0546
SCIN	17.2114	SCIN	96.4164
SCLT1	234.0016	SCLT1	122.0137
SCLY	220.4523	SCLY	135.2389
SCMH1	909.6402	SCMH1	1602.8157
SCML1	26.7326	SCML1	290.9556
SCML2	47.9722	SCML2	57.5939
SCML4	11.3522	SCML4	18.7713
removed	removed	SCN11A	28.5836
SCN1A	2248.1003	SCN1A	8.1058
SCN1B	57.4934	SCN1B	97.2696
SCN2A	31.127	SCN2A	567.8328
SCN2B	7.6902	SCN2B	115.1877
SCN3A	8.4226	SCN3A	119.0273
SCN3B	7.324	SCN3B	52.901
SCN4A	26.7326	SCN4A	936.8601
SCN4B	84.9583	SCN4B	1310.5802
removed	removed	SCN5A	11.9454
SCN7A	5.493	SCN7A	225.256
removed	removed	SCN8A	39.2491
SCN9A	6.5916	SCN9A	157.8498
SCNM1	422.9607	SCNM1	255.5461
SCNN1A	1676.0963	SCNN1A	910.4096
SCNN1B	16.8452	SCNN1B	333.1911
SCNN1D	7.324	SCNN1D	28.157
SCNN1G	6.2254	SCNN1G	66.1263
SCO1	458.1159	SCO1	537.116
SCO2	283.8048	SCO2	193.686
SCOC	2370.7773	SCOC	1588.3106
SCP2	2303.0303	SCP2	5563.1399
SCPEP1	821.0199	SCPEP1	3046.5017
removed	removed	SCRG1	53.3276
SCRIB	1317.5867	SCRIB	757.6792
SCRN1	2451.7074	SCRN1	1588.7372
SCRN2	157.4659	SCRN2	2234.215
SCRN3	402.4535	SCRN3	494.4539
removed	removed	SCTR	5.5461
SCT	5.493	removed	removed
removed	removed	SCUBE1	159.9829
SCUBE2	853.6116	SCUBE2	2676.6212
SCUBE3	4004.3944	SCUBE3	14.0785
SCYL1	991.647	SCYL1	1504.8635
SCYL2	1878.6048	SCYL2	985.9215
SCYL3	1200.6958	SCYL3	442.0606
removed	removed	SDAD1	896.3311
SDC1	10158.3814	SDC1	1101.1092
SDC2	662.8216	SDC2	3436.8601
SDC3	2604.0465	SDC3	2992.7474
SDC4	2988.9225	SDC4	4835.3242
SDCBP2	320.4504	SDCBP2	40.4906
SDCBP	3756.111	SDCBP	4640.785
SDCCAG1	1346.1503	SDCCAG1	1206.9113
SDCCAG3	503.5247	SDCCAG3	390.3584
SDCCAG8	685.1598	SDCCAG8	565.273
SDF2L1	192.2549	SDF2L1	58.4471
SDF2	620.3424	SDF2	571.2457
SDF4	1454.5455	SDF4	1988.4812
SDHAF1	141.3531	SDHAF1	135.6655
SDHAF2	279.0442	SDHAF2	426.6212
SDHAP1	143.5503	SDHAP1	250.8532
SDHAP2	153.4377	SDHAP2	127.5597
SDHAP3	94.4795	SDHAP3	95.5631
SDHA	1540.6024	SDHA	3353.6689
SDHB	795.0197	SDHB	1924.4881
SDHC	3017.1198	SDHC	2202.6451
SDHD	751.0757	SDHD	2685.5802
SDK1	65.1836	SDK1	523.8908
SDK2	26.3664	SDK2	273.8908
SDPR	38.451	SDPR	3621.1604
SDR16C5	201.4099	SDR16C5	38.3959
SDR39U1	239.7107	SDR39U1	451.041
SDR42E1	322.2558	SDR42E1	131.8259
SDSL	378.2844	SDSL	93.0034
SDS	132.1981	SDS	13.2253
SEC11A	2279.2273	SEC11A	3049.9147
SEC11C	729.1037	SEC11C	362.628
SEC13	1989.9295	SEC13	1245.3072
SEC14L1	1111.4163	SEC14L1	2791.3823
SEC14L2	250.3635	SEC14L2	785.9002
removed	removed	SEC14L5	15.3584
SEC16A	10711.7092	SEC16A	2856.2287
SEC16B	189.3656	SEC16B	302.1971
SEC1	10.2536	SEC1	7.6792
SEC22A	281.2414	SEC22A	292.6621
SEC22B	2232.3537	SEC22B	1630.1195
SEC22C	645.9764	SEC22C	782.8498
SEC23A	1394.1225	SEC23A	2095.5631
SEC23B	1897.6472	SEC23B	983.7884
SEC23IP	2328.2981	SEC23IP	993.6007
SEC24A	840.0623	SEC24A	928.7543
SEC24B	1692.5753	SEC24B	1874.5734
SEC24C	3366.4744	SEC24C	2470.1365
SEC24D	2494.1866	SEC24D	656.57
SEC31A	6831.1673	SEC31A	4349.0956
SEC31B	29.6622	SEC31B	199.5435
SEC61A1	7551.8447	SEC61A1	4900.9599
SEC61A2	169.5944	SEC61A2	62.5939
SEC61B	1210.6564	SEC61B	840.4437
SEC61G	755.1039	SEC61G	464.1638
SEC62	4444.9327	SEC62	5730.802
SEC63	3144.5574	SEC63	3347.6962
SECISBP2L	2174.4942	SECISBP2L	3095.1365
SECISBP2	1189.4168	SECISBP2	978.6689
SECTM1	385.2421	SECTM1	105.802
SEH1L	788.0619	SEH1L	720.1365
removed	removed	SEL1L2	8.959
SEL1L3	356.6786	SEL1L3	347.6962
SEL1L	4483.0175	SEL1L	4557.5939
SELENBP1	3666.392	SELENBP1	3799.0614
SELE	146.1137	SELE	173.6348
SELK	182.0013	SELK	481.6553
SELL	164.0575	SELL	43.5154
SELM	1033.0495	SELM	802.0478
SELO	265.1286	SELO	309.3003
SELPLG	343.4954	SELPLG	168.5154
SELP	71.0428	SELP	336.1775
SELS	919.5276	SELS	616.041
SELT	3056.6694	SELT	1582.3379
SEMA3A	24.9016	SEMA3A	166.8089
SEMA3B	60.423	SEMA3B	244.8805
SEMA3C	7435.6862	SEMA3C	5176.6212
SEMA3D	169.5505	SEMA3D	372.0137
SEMA3E	909.6402	SEMA3E	354.9488
SEMA3F	1843.8158	SEMA3F	940.273
SEMA3G	189.6915	SEMA3G	3890.3584
SEMA4A	1892.1542	SEMA4A	440.273
SEMA4B	2578.7787	SEMA4B	1049.0614
SEMA4C	1170.0082	SEMA4C	938.9932
SEMA4D	543.0742	SEMA4D	328.0717
SEMA4F	286.002	SEMA4F	410.8362
SEMA4G	97.3652	SEMA4G	132.4232
SEMA5A	3221.4593	SEMA5A	2189.4198
SEMA5B	32.2256	SEMA5B	33.2765
SEMA6A	261.8328	SEMA6A	885.6655
SEMA6B	112.7895	SEMA6B	150.5973
SEMA6C	94.4795	SEMA6C	231.6553
SEMA6D	66.2822	SEMA6D	1285.8362
SEMA7A	246.4524	SEMA7A	31.57
SENP1	937.1052	SENP1	506.8259
SENP2	741.9207	SENP2	1034.1297
SENP3	779.9213	SENP3	862.8797
SENP5	690.2866	SENP5	741.8942
SENP6	2516.5248	SENP6	2191.9795
SENP7	517.4403	SENP7	488.9078
SENP8	60.0568	SENP8	53.7543
SEP15	2456.1018	SEP15	2466.7235
SEPHS1	1945.2531	SEPHS1	1122.8669
SEPHS2	1641.3073	SEPHS2	1172.7816
SEPN1	3590.2225	SEPN1	2922.3549
SEPP1	3884.0721	SEPP1	21303.9121
SEPSECS	472.3977	SEPSECS	489.7611
SEPT10	1045.5003	SEPT10	2781.57
SEPT11	2641.3989	SEPT11	4332.7645
