gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
AGBL2	6.9578	AGBL2	9.8123
AGBL3	15.0142	AGBL3	7.6792
removed	removed	AGBL4	14.9317
AGBL5	602.0361	AGBL5	772.1886
AGER	37.7186	AGER	29.4369
AGFG1	1881.5344	AGFG1	1848.1229
AGFG2	192.2549	AGFG2	409.5563
AGGF1	931.246	AGGF1	904.4369
AGK	517.0741	AGK	563.9932
AGL	10183.283	AGL	1366.4676
AGMAT	10.6198	AGMAT	6.8259
AGPAT1	2131.7367	AGPAT1	1770.2432
AGPAT2	678.5682	AGPAT2	9207.7645
AGPAT3	2665.2019	AGPAT3	2144.6246
AGPAT4	109.1275	AGPAT4	194.9659
AGPAT5	940.0348	AGPAT5	397.1843
AGPAT6	1709.7867	AGPAT6	1389.9317
AGPAT9	58.592	AGPAT9	2310.5802
AGPHD1	39.5496	AGPHD1	83.6177
AGPS	1078.4583	AGPS	1294.7952
AGR2	4721.0473	AGR2	1351.5358
AGR3	2063.5357	AGR3	191.5529
AGRN	2658.6103	AGRN	2055.0341
AGTPBP1	221.5509	AGTPBP1	591.7235
AGTR1	21.2396	AGTR1	679.6075
AGTRAP	400.2563	AGTRAP	404.4369
AGT	57.8596	AGT	412.116
AGXT2L2	278.1946	AGXT2L2	697.5683
removed	removed	AGXT	22.6109
AHCTF1	3364.2772	AHCTF1	1697.9522
AHCYL1	3160.3039	AHCYL1	5142.9181
AHCYL2	1308.7979	AHCYL2	768.3447
AHCY	3923.8304	AHCY	1544.3686
AHDC1	611.5536	AHDC1	848.5495
AHI1	560.2856	AHI1	392.9181
AHNAK2	426.6227	AHNAK2	811.8601
AHNAK	26746.4982	AHNAK	128380.9727
AHRR	170.2829	AHRR	55.4608
AHR	2538.1306	AHR	2607.0819
AHSA1	1369.2209	AHSA1	1008.959
AHSA2	174.6773	AHSA2	368.6007
AIDA	1199.0589	AIDA	2070.0896
AIF1L	1317.9529	AIF1L	2023.8908
AIF1	248.2834	AIF1	170.2218
AIFM1	812.9635	AIFM1	1008.5324
AIFM2	345.6926	AIFM2	1981.2287
removed	removed	AIFM3	6.3993
AIG1	575.666	AIG1	1079.7782
AIM1L	97.4091	removed	removed
AIM1	2200.1282	AIM1	5066.9795
AIM2	5.1268	removed	removed
AIMP1	934.3038	AIMP1	1124.5222
AIMP2	302.6604	AIMP2	191.1519
AIP	535.3841	AIP	696.6724
AJAP1	9.5212	removed	removed
AK1	503.8909	AK1	610.0683
AK2	1474.6864	AK2	2008.1058
AK3L1	179.4379	AK3L1	755.1195
AK3	869.3582	AK3	3238.9078
AK5	37.7186	AK5	1145.0512
AK7	12.0846	AK7	22.1843
AKAP10	543.8066	AKAP10	617.7474
AKAP11	2305.5937	AKAP11	3200.5119
AKAP12	502.0599	AKAP12	4758.1058
AKAP13	3425.7988	AKAP13	3255.9727
AKAP1	669.7794	AKAP1	3937.7133
AKAP2	842.2045	AKAP2	2718.7927
AKAP3	11.3522	AKAP3	73.8055
AKAP5	194.4521	AKAP5	115.6143
AKAP6	44.6764	AKAP6	241.041
AKAP7	131.0995	AKAP7	336.1775
AKAP8L	737.8925	AKAP8L	558.4471
AKAP8	667.216	AKAP8	489.7611
removed	removed	AKAP9	3506.8259
AKD1	103.6345	AKD1	167.2355
AKIRIN1	1047.6975	AKIRIN1	1380.1195
AKIRIN2	729.8361	AKIRIN2	771.7577
AKNA	410.5099	AKNA	624.1468
AKR1A1	1692.9415	AKR1A1	1164.2491
AKR1B1	344.9602	AKR1B1	607.5085
AKR1C1	51.268	AKR1C1	4211.6041
AKR1C2	32.5918	AKR1C2	4880.9727
AKR1C3	86.0569	AKR1C3	3474.4027
AKR1E2	45.775	AKR1E2	29.8635
AKR7A2	783.6675	AKR7A2	1218.8567
AKR7A3	184.9309	AKR7A3	136.5188
AKR7L	23.803	AKR7L	16.6382
AKT1S1	1120.2051	AKT1S1	910.4096
AKT1	6059.1413	AKT1	3348.1229
AKT2	1804.9986	AKT2	5241.4676
AKT3	329.2136	AKT3	1209.0444
AKTIP	268.6588	AKTIP	646.3524
ALAD	1023.8945	ALAD	2786.6894
ALAS1	573.1026	ALAS1	1055.4608
removed	removed	ALB	1966.7235
ALCAM	3488.4189	ALCAM	2327.6451
ALDH16A1	773.7801	ALDH16A1	382.6792
ALDH18A1	4110.2261	ALDH18A1	1014.9317
removed	removed	ALDH1A1	4584.8976
removed	removed	ALDH1A2	139.9317
ALDH1A3	1137.6179	ALDH1A3	945.9087
ALDH1B1	780.7379	ALDH1B1	642.0648
