gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
ANG	106.7711	ANG	576.9556
ANK1	42.4785	ANK1	44.0369
ANK2	34.9823	ANK2	1672.4334
ANK3	1186.9006	ANK3	332.9381
ANKAR	17.9909	ANKAR	22.2604
ANKDD1A	69.4649	ANKDD1A	244.3805
ANKFY1	2301.3378	ANKFY1	1739.2146
ANKHD1-EIF4EBP3	1009.88	ANKHD1-EIF4EBP3	719.5722
ANKHD1	1418.5786	ANKHD1	1352.3773
ANKH	1949.0157	ANKH	1719.8577
ANKIB1	2578.198	ANKIB1	712.8167
ANKK1	12.9934	ANKK1	34.8424
ANKLE1	18.4907	ANKLE1	18.8729
ANKLE2	1730.1263	ANKLE2	1534.5157
ANKMY1	78.9601	ANKMY1	271.4801
ANKMY2	381.3074	ANKMY2	546.8315
ANKRA2	190.4038	ANKRA2	217.7648
ANKRD10	1242.6675	ANKRD10	1351.4772
ANKRD11	3116.0914	ANKRD11	2191.3717
ANKRD12	694.6492	ANKRD12	666.8441
ANKRD13A	1418.7835	ANKRD13A	1127.0536
ANKRD13B	98.95	ANKRD13B	269.5444
ANKRD13C	533.2307	ANKRD13C	395.364
ANKRD13D	611.6911	ANKRD13D	953.3258
ANKRD16	92.4533	ANKRD16	162.5251
ANKRD17	2125.9264	ANKRD17	1471.6059
ANKRD19	32.4836	ANKRD19	45.4886
ANKRD1	8.9955	removed	removed
removed	removed	ANKRD20A3	6.291
ANKRD22	742.625	ANKRD22	31.4549
ANKRD23	24.4876	ANKRD23	18.8729
ANKRD24	6.9965	ANKRD24	49.8439
ANKRD26	166.416	ANKRD26	119.5287
ANKRD27	974.5079	ANKRD27	675.5547
ANKRD28	1265.8607	ANKRD28	751.0465
ANKRD29	10.9944	ANKRD29	299.5475
ANKRD2	11.4942	removed	removed
removed	removed	ANKRD30A	11.6141
removed	removed	ANKRD30B	28.0675
ANKRD32	119.9394	ANKRD32	71.1365
ANKRD34A	13.4932	ANKRD34A	24.1961
ANKRD34B	18.9904	removed	removed
ANKRD35	205.3963	ANKRD35	306.8064
ANKRD36BP1	206.3958	ANKRD36BP1	19.8408
ANKRD36B	24.9874	ANKRD36B	9.1945
ANKRD36	82.9581	ANKRD36	179.535
ANKRD37	51.7838	ANKRD37	95.8359
ANKRD39	115.9414	ANKRD39	210.9899
ANKRD40	1010.4897	ANKRD40	1604.6844
ANKRD42	144.4271	ANKRD42	185.8259
removed	removed	ANKRD43	20.3247
ANKRD44	82.9581	ANKRD44	51.7796
ANKRD45	16.4917	removed	removed
ANKRD46	285.086	ANKRD46	330.0346
ANKRD49	291.3529	ANKRD49	217.7648
ANKRD50	644.1747	ANKRD50	445.6919
ANKRD52	1453.7658	ANKRD52	900.5783
removed	removed	ANKRD53	101.1396
ANKRD54	379.3084	ANKRD54	445.6919
ANKRD56	134.9319	ANKRD56	37.262
ANKRD57	557.7184	ANKRD57	468.9201
ANKRD58	44.4775	ANKRD58	60.4902
ANKRD5	343.8264	ANKRD5	78.3953
ANKRD6	99.03	ANKRD6	305.4272
ANKRD9	131.4336	ANKRD9	68.7169
ANKS1A	1371.3075	ANKS1A	1259.1643
ANKS1B	16.9914	ANKS1B	20.3247
ANKS3	179.9091	ANKS3	403.5907
ANKS6	39.4801	ANKS6	361.4895
