gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
SDF4	2197.3903	SDF4	3837.4991
SDHAF1	283.8567	SDHAF1	326.6471
SDHAF2	513.2408	SDHAF2	769.9194
SDHAP1	136.4311	SDHAP1	227.4432
SDHAP2	152.423	SDHAP2	252.1232
SDHAP3	49.475	SDHAP3	140.3373
SDHA	1455.2651	SDHA	2887.0769
SDHB	1234.3766	SDHB	1458.0561
SDHC	1995.4923	SDHC	1662.755
SDHD	1540.7219	SDHD	1835.0311
SDK1	139.9293	SDK1	409.3978
SDK2	183.9071	SDK2	211.9577
SDPR	19.4902	SDPR	2183.4547
removed	removed	SDR16C5	24.1961
SDR39U1	347.0397	SDR39U1	827.5835
SDR42E1	593.7002	SDR42E1	87.5898
SDR9C7	20.4897	removed	removed
SDSL	360.8178	SDSL	402.1389
SDS	196.4008	SDS	379.3946
SEC11A	1141.9233	SEC11A	3022.091
SEC11C	605.1944	SEC11C	681.8457
SEC13	3056.4565	SEC13	2253.6234
SEC14L1	2033.4731	SEC14L1	2266.2053
SEC14L2	323.9414	SEC14L2	964.6786
SEC14L4	10.4947	removed	removed
SEC14L5	11.4942	SEC14L5	33.3906
SEC16A	5143.9023	SEC16A	2467.0328
SEC16B	279.9686	SEC16B	230.879
SEC1	6.4967	SEC1	10.1624
SEC22A	291.3529	SEC22A	353.7468
SEC22B	1995.4923	SEC22B	1232.0647
SEC22C	430.2827	SEC22C	760.7249
SEC23A	1604.6896	SEC23A	1088.8238
SEC23B	3719.6216	SEC23B	1221.4184
SEC23IP	1207.89	SEC23IP	716.688
SEC24A	1015.4872	SEC24A	378.9107
SEC24B	825.0833	SEC24B	812.9885
SEC24C	2892.0395	SEC24C	2510.5858
SEC24D	1332.3272	SEC24D	1062.6921
SEC31A	4042.9583	SEC31A	3500.5251
SEC31B	48.4755	SEC31B	216.9518
SEC61A1	10622.0009	SEC61A1	7801.684
SEC61A2	137.6155	SEC61A2	87.0817
SEC61B	1535.7245	SEC61B	1520.9659
SEC61G	1621.6811	SEC61G	815.892
SEC62	2055.9617	SEC62	3340.9954
SEC63	2141.4186	SEC63	2121.0288
SECISBP2L	1027.4811	SECISBP2L	677.9743
SECISBP2	837.0773	SECISBP2	814.4402
SECTM1	2484.7452	SECTM1	698.299
SEH1L	773.6093	SEH1L	586.0292
SEL1L3	1984.9976	SEL1L3	872.0269
SEL1L	3161.9032	SEL1L	2178.1316
SELENBP1	1571.7063	SELENBP1	4218.8294
SELE	101.4488	SELE	24.68
SELK	539.7274	SELK	551.6707
SELL	530.2322	SELL	252.1232
SELM	346.8249	SELM	1723.7291
SELO	272.8622	SELO	636.357
SELPLG	1146.9208	SELPLG	1454.1847
SELP	45.477	SELP	561.3492
SELS	587.7032	SELS	938.8081
SELT	2332.8219	SELT	1369.4984
SEMA3A	42.4785	SEMA3A	75.4918
SEMA3B	29.4851	SEMA3B	973.1665
SEMA3C	2159.4095	SEMA3C	3017.2518
SEMA3D	27.9859	SEMA3D	173.7279
SEMA3E	198.3998	SEMA3E	92.429
SEMA3F	1689.147	SEMA3F	976.554
SEMA3G	189.4044	SEMA3G	5842.3867
SEMA4A	1477.254	SEMA4A	429.2385
SEMA4B	1124.9319	SEMA4B	1300.2976
SEMA4C	633.68	SEMA4C	902.0301
SEMA4D	1698.1424	SEMA4D	460.2095
SEMA4F	279.3589	SEMA4F	304.3868
SEMA4G	48.3756	SEMA4G	99.8137
SEMA5A	187.4054	SEMA5A	755.4018
removed	removed	SEMA5B	29.5192
SEMA6A	64.4674	SEMA6A	646.0355
SEMA6B	185.9061	SEMA6B	508.1178
SEMA6C	56.4715	SEMA6C	306.3224
SEMA6D	12.4937	SEMA6D	220.6683
SEMA7A	231.8829	SEMA7A	139.8534
SENP1	419.788	SENP1	247.7679
SENP2	784.104	SENP2	535.7013
SENP3	888.1915	SENP3	1021.4377
SENP5	837.577	SENP5	557.9617
SENP6	1457.7638	SENP6	1257.2286
SENP7	303.8466	SENP7	275.3514
SENP8	42.4785	SENP8	49.8439
SEP15	3491.2369	SEP15	3111.1326
SEPHS1	1263.8617	SEPHS1	905.9014
SEPHS2	1736.623	SEPHS2	1720.3416
SEPN1	3109.4297	SEPN1	4108.0113
SEPP1	897.8616	SEPP1	23323.7775
SEPSECS	142.9278	SEPSECS	231.3146
SEPT10	1233.3771	SEPT10	1354.4968
SEPT11	1989.4953	SEPT11	2788.3568
SEPT1	221.8879	SEPT1	168.4048
SEPT2	6680.6263	SEPT2	8140.0469
SEPT3	767.1126	SEPT3	100.6557
SEPT4	230.8834	SEPT4	773.7908
SEPT5	490.2524	SEPT5	609.7413
SEPT6	3394.2859	SEPT6	874.4465
SEPT7P2	71.4639	SEPT7P2	207.1185
SEPT7	4990.4798	SEPT7	3124.6824
SEPT8	1437.689	SEPT8	1312.8167
SEPT9	7122.9029	SEPT9	6581.3351
SEPW1	2006.4867	SEPW1	4664.5213
SEPX1	1434.2757	SEPX1	603.4504
SERAC1	215.3912	SERAC1	182.9224
SERBP1	9999.4503	SERBP1	5268.4556
SERF1A	392.8016	SERF1A	476.6629
SERF2	5896.0075	SERF2	10693.3291
SERGEF	180.4089	SERGEF	396.3319
SERHL2	5.7621	SERHL2	268.262
SERHL	107.4457	SERHL	237.1216
SERINC1	2732.1203	SERINC1	6298.2409
SERINC2	2436.2697	SERINC2	1625.9769
SERINC3	1788.097	SERINC3	1730.0201
removed	removed	SERINC4	6.3491
SERINC5	100.949	SERINC5	32.4228
SERP1	3996.7566	SERP1	3070.4832
SERP2	6.4967	SERP2	60.9741
removed	removed	SERPINA11	43.553
SERPINA1	5557.1936	SERPINA1	1412.0835
SERPINA3	35783.4294	SERPINA3	4147.209
SERPINA5	25.9869	SERPINA5	538.6049
SERPINA9	42.9783	removed	removed
SERPINB13	15.9919	removed	removed
SERPINB1	2467.7538	SERPINB1	1208.8364
SERPINB2	14.4927	SERPINB2	75.4918
SERPINB3	19.4902	removed	removed
SERPINB4	13.9929	removed	removed
SERPINB5	468.7633	SERPINB5	598.6111
SERPINB6	1495.7446	SERPINB6	3595.0543
SERPINB7	14.4927	SERPINB7	5.3231
SERPINB8	343.8264	SERPINB8	252.1232
SERPINB9	913.5387	SERPINB9	242.9287
removed	removed	SERPIND1	43.553
SERPINE1	728.632	SERPINE1	990.1038
SERPINE2	131.4336	SERPINE2	720.5594
SERPINF1	3111.4287	SERPINF1	18085.6057
SERPINF2	29.4851	SERPINF2	248.2518
SERPING1	11678.1026	SERPING1	27575.7942
SERPINH1	6993.4683	SERPINH1	6079.5083
SERPINI1	48.4755	SERPINI1	236.1538
SERTAD1	492.7512	SERTAD1	561.3492
SERTAD2	1121.4337	SERTAD2	841.0559
SERTAD3	709.1419	SERTAD3	801.3743
SERTAD4	102.4483	SERTAD4	80.331
SESN1	294.3514	SESN1	1281.4247
SESN2	647.1732	SESN2	550.219
SESN3	55.472	SESN3	52.2635
SESTD1	2978.4959	SESTD1	1489.9949
SETBP1	364.8158	SETBP1	544.4119
SETD1A	666.6633	SETD1A	896.7069
SETD1B	2478.2485	SETD1B	837.1845
SETD2	2420.2778	SETD2	1472.5737
SETD3	2164.407	SETD3	1683.0797
SETD4	150.424	SETD4	351.8111
SETD5	3413.776	SETD5	1684.5314
SETD6	228.1298	SETD6	251.4748
SETD7	1774.1041	SETD7	2616.5646
SETD8	1206.3908	SETD8	833.3132
SETDB1	1083.9526	SETDB1	955.7454
SETDB2	206.8955	SETDB2	422.9476
SETMAR	714.1394	SETMAR	569.5758
SETX	2489.7427	SETX	1686.9511
SET	6172.8827	SET	4645.1644
SEZ6L2	462.7663	SEZ6L2	499.8911
SF1	4078.9401	SF1	4810.1817
SF3A1	2154.8968	SF3A1	2842.0431
SF3A2	659.6669	SF3A2	1523.3855
SF3A3	1442.2717	SF3A3	1609.0397
SF3B14	1299.3438	SF3B14	1121.2466
SF3B1	6970.4799	SF3B1	4553.7032
SF3B2	5616.1638	SF3B2	5233.6132
SF3B3	4163.8972	SF3B3	2710.4454
SF3B4	2479.248	SF3B4	1575.6491
SF3B5	1075.9566	SF3B5	1776.9605
SF4	555.7194	SF4	617.4841
SFI1	244.8763	SFI1	424.8833
SFMBT1	395.8001	SFMBT1	191.1491
SFMBT2	217.3902	SFMBT2	43.553
SFN	3555.2546	SFN	1245.3144
SFPQ	4784.9486	SFPQ	3134.6561
SFRP1	2452.7614	SFRP1	8672.3608
SFRP2	9402.7516	SFRP2	11322.8
SFRP4	467.264	SFRP4	8624.4526
SFRS11	2195.8911	SFRS11	1912.4586
SFRS12IP1	402.7966	SFRS12IP1	452.4668
SFRS12	1047.471	SFRS12	823.6347
SFRS13A	1248.8693	SFRS13A	1015.7517
SFRS13B	26.4866	SFRS13B	17.9051
SFRS14	1455.2651	SFRS14	969.2952
SFRS15	932.0293	SFRS15	646.5194
SFRS16	289.3539	SFRS16	455.8542
SFRS17A	998.9955	SFRS17A	917.9995
SFRS18	993.998	SFRS18	1367.5627
SFRS1	4424.7655	SFRS1	2634.4697
SFRS2B	760.1161	SFRS2B	1174.478
SFRS2IP	1867.0571	SFRS2IP	1639.5267
SFRS2	3570.7268	SFRS2	2583.7983
SFRS3	4994.4778	SFRS3	4501.4397
SFRS4	1481.252	SFRS4	2160.2265
SFRS5	2521.2268	SFRS5	4690.6531
SFRS6	2596.6887	SFRS6	3147.4267
SFRS7	1964.0082	SFRS7	1805.0279
SFRS8	583.2055	SFRS8	1029.3015
SFRS9	2580.197	SFRS9	1714.0507
SFT2D1	529.7325	SFT2D1	582.1578
SFT2D2	235.8809	SFT2D2	86.5833
SFT2D3	279.3589	SFT2D3	329.0668
removed	removed	SFTA1P	26.1318
SFTA2	5.4972	removed	removed
SFTPA2	9.995	removed	removed
SFTPD	16.9914	SFTPD	25.1639
SFXN1	1098.945	SFXN1	263.2534
SFXN2	100.4493	SFXN2	226.4754
SFXN3	808.0919	SFXN3	1752.7644
SFXN4	410.2928	SFXN4	387.6213
SFXN5	310.843	SFXN5	318.9044
removed	removed	SGCA	50.3279
SGCB	698.1474	SGCB	1322.558
SGCD	454.2706	SGCD	503.7625
SGCE	477.259	SGCE	1426.6012
removed	removed	SGCG	191.1491
SGEF	174.4119	SGEF	252.1232
SGIP1	55.472	SGIP1	51.7796
SGK196	24.4876	removed	removed
SGK1	1038.4756	SGK1	2553.6548
SGK223	929.5306	SGK223	836.7006
SGK269	555.7194	SGK269	1234.9682
SGK2	10.4947	SGK2	182.4385
SGK3	235.8559	SGK3	426.2189
SGK494	19.4902	SGK494	53.7153
SGMS1	698.6472	SGMS1	643.1319
SGMS2	439.7779	SGMS2	331.0024
SGOL1	146.4261	SGOL1	20.8086
SGOL2	325.8355	SGOL2	83.7185
SGPL1	2411.7821	SGPL1	1066.0795
SGPP1	345.3256	SGPP1	492.6323
SGPP2	110.4442	SGPP2	7.2588
SGSH	1196.3958	SGSH	1437.2475
SGSM1	48.4755	SGSM1	91.4612
SGSM2	893.049	SGSM2	1878.584
SGSM3	766.1131	SGSM3	1446.442
SGTA	2508.2333	SGTA	1889.2303
SGTB	221.0584	SGTB	258.5207
SH2B1	521.7365	SH2B1	1339.0113
SH2B2	136.4311	SH2B2	53.7153
SH2B3	998.4958	SH2B3	1765.8303
SH2D1A	140.4291	SH2D1A	42.5851
SH2D1B	23.9879	SH2D1B	10.6463
SH2D2A	205.3963	SH2D2A	48.3922
SH2D3A	482.2565	SH2D3A	211.9577
SH2D3C	262.3675	SH2D3C	872.9947
SH2D4A	162.418	SH2D4A	222.604
SH3BGRL2	224.8864	SH3BGRL2	899.6104
SH3BGRL3	5208.3698	SH3BGRL3	11798.0111
SH3BGRL	2939.5155	SH3BGRL	4291.4176
SH3BGR	43.9778	SH3BGR	140.8212
SH3BP1	769.5664	SH3BP1	551.6514
SH3BP2	1842.0698	SH3BP2	1669.0459
SH3BP4	735.6285	SH3BP4	1234.0003
SH3BP5L	964.0132	SH3BP5L	999.7822
SH3BP5	1612.0059	SH3BP5	2616.071
SH3D19	627.1833	SH3D19	3686.9994
SH3D20	9.995	SH3D20	5.3231
SH3GL1	4351.8023	SH3GL1	2277.3355
SH3GLB1	2612.6806	SH3GLB1	3324.0582
SH3GLB2	784.104	SH3GLB2	1668.0781
SH3KBP1	2034.4726	SH3KBP1	1746.4734
SH3PXD2A	763.6144	SH3PXD2A	1762.9268
SH3PXD2B	2212.8825	SH3PXD2B	2080.8633
SH3RF1	500.2474	SH3RF1	421.0119
SH3RF2	410.7925	SH3RF2	204.6989
SH3RF3	153.4225	SH3RF3	459.2417
SH3TC1	403.2963	SH3TC1	557.9617
SH3TC2	307.3448	SH3TC2	44.5208
SH3YL1	310.843	SH3YL1	596.1915
SHANK2	357.3196	SHANK2	396.8158
SHANK3	250.8733	SHANK3	1833.5793
SHARPIN	808.5917	SHARPIN	1345.3023
removed	removed	SHBG	13.5498
SHB	880.5553	SHB	482.4699
SHC1	2806.0829	SHC1	2981.9255
SHC2	79.4599	SHC2	959.6167
SHC3	197.9001	SHC3	21.7765
SHC4	35.4821	SHC4	30.0031
SHCBP1	494.7502	SHCBP1	124.3679
SHE	85.9566	SHE	539.5727
SHFM1	2871.5499	SHFM1	1393.6945
SHF	42.9783	SHF	166.953
SHISA2	63.4679	SHISA2	149.5318
removed	removed	SHISA3	54.6832
SHISA4	187.9051	SHISA4	346.9719
SHISA5	4805.0734	SHISA5	4228.9917
SHISA9	138.4301	SHISA9	12.098
SHKBP1	1701.1409	SHKBP1	1361.2717
SHMT1	930.8149	SHMT1	1528.1957
SHMT2	1050.9693	SHMT2	1386.4357
SHOC2	878.0566	SHOC2	928.6457
SHOX2	81.4589	SHOX2	182.4385
SHPK	269.319	SHPK	318.9044
SHPRH	152.458	SHPRH	132.2461
SHQ1	413.791	SHQ1	344.0683
SHROOM1	166.9157	SHROOM1	244.8644
SHROOM2	593.2004	SHROOM2	110.3341
SHROOM3	1194.3968	SHROOM3	995.9109
SHROOM4	108.945	SHROOM4	436.0135
SIAE	654.6694	SIAE	998.8144
SIAH1	360.2681	SIAH1	502.5285
SIAH2	775.6083	SIAH2	581.6739
SIDT1	465.265	SIDT1	193.0848
SIDT2	907.8865	SIDT2	3067.207
SIGIRR	356.3201	SIGIRR	728.3022
SIGLEC10	583.2055	SIGLEC10	98.72
SIGLEC11	36.4816	SIGLEC11	94.3647
SIGLEC14	115.4417	SIGLEC14	60.9741
removed	removed	SIGLEC15	22.2604
SIGLEC16	56.4715	SIGLEC16	108.8824
SIGLEC1	1772.1051	SIGLEC1	3758.1359
SIGLEC5	90.9541	SIGLEC5	49.36
removed	removed	SIGLEC6	8.7106
SIGLEC7	124.4372	SIGLEC7	296.1601
SIGLEC8	30.4846	SIGLEC8	38.2298
SIGLEC9	219.3892	SIGLEC9	304.8707
removed	removed	SIGLECP3	61.4581
SIGMAR1	2290.8431	SIGMAR1	1272.7141
SIK1	540.2272	SIK1	926.2261
SIK2	592.2009	SIK2	1539.3549
SIK3	875.0581	SIK3	972.1987
SIKE1	880.0556	SIKE1	547.3154
SIL1	731.1308	SIL1	1357.8843
SILV	14.4927	SILV	24.68
SIM1	33.4831	removed	removed
SIM2	171.9132	SIM2	38.2298
SIN3A	999.4953	SIN3A	1324.9776
SIN3B	1158.9147	SIN3B	1300.7815
SIP1	185.9061	SIP1	145.6604
SIPA1L1	2202.3878	SIPA1L1	667.328
SIPA1L2	762.1151	SIPA1L2	480.5342
SIPA1L3	753.6194	SIPA1L3	508.6017
SIPA1	842.5745	SIPA1	1379.1768
SIRPA	3557.7034	SIRPA	5080.21
SIRPB1	252.8723	SIRPB1	626.6786
SIRPB2	179.9091	SIRPB2	199.8597
removed	removed	SIRPD	7.2588
SIRPG	148.9248	SIRPG	11.1302
SIRT1	320.3382	SIRT1	450.5311
SIRT2	752.1202	SIRT2	1884.875
SIRT3	479.4329	SIRT3	799.6177
SIRT4	35.9818	SIRT4	32.4228
SIRT5	509.7426	SIRT5	410.8495
SIRT6	431.2822	SIRT6	330.0346
SIRT7	455.7698	SIRT7	394.8801
SIT1	155.9213	SIT1	51.7796
SIVA1	217.89	SIVA1	1189.9635
SIX1	162.418	SIX1	214.8612
SIX2	291.3529	SIX2	50.3279
SIX4	301.8476	SIX4	57.5867
SIX5	432.2817	SIX5	768.4677
SKA1	273.8617	SKA1	37.7459
SKA2	637.678	SKA2	406.4942
SKA3	327.6545	SKA3	59.5224
SKAP1	120.4392	SKAP1	136.4659
SKAP2	996.4968	SKAP2	1273.198
SKIL	385.8052	SKIL	108.3985
SKIV2L2	914.783	SKIV2L2	1098.8458
SKIV2L	2053.463	SKIV2L	950.0302
SKI	2001.989	SKI	2816.4243
SKP1	3809.0764	SKP1	5356.0454
SKP2	217.3902	SKP2	111.7859
SLA2	215.891	SLA2	44.5208
SLAIN1	291.3529	SLAIN1	78.3953
SLAIN2	781.6053	SLAIN2	939.7759
SLAMF1	126.9359	SLAMF1	25.1639
SLAMF6	280.3584	SLAMF6	140.3373
SLAMF7	829.0813	SLAMF7	528.9264
SLAMF8	2102.1034	SLAMF8	993.5493
SLAMF9	8.9955	SLAMF9	324.2275
SLA	1121.4337	SLA	859.9289
SLBP	990	SLBP	902.0301
SLC10A3	1774.1041	SLC10A3	880.2536
removed	removed	SLC10A5	7.2588
SLC10A6	8.4957	SLC10A6	6.291
SLC10A7	140.9288	SLC10A7	131.6267
SLC11A1	530.732	SLC11A1	373.1036
SLC11A2	3198.3848	SLC11A2	1045.7548
SLC12A2	968.0112	SLC12A2	1715.0185
removed	removed	SLC12A3	5.3231
SLC12A4	761.1156	SLC12A4	1961.4556
SLC12A6	382.3469	SLC12A6	620.9538
SLC12A7	1533.2257	SLC12A7	1362.2396
SLC12A8	299.3488	SLC12A8	131.6267
SLC12A9	1589.6972	SLC12A9	1031.7211
removed	removed	SLC13A2	462.6291
SLC13A3	80.4594	SLC13A3	78.3953
SLC13A4	7.4962	SLC13A4	6.7749
SLC13A5	6.4967	removed	removed
SLC14A1	7.996	SLC14A1	97.7522
SLC14A2	5.4972	SLC14A2	64.3616
SLC15A1	255.371	removed	removed
SLC15A2	462.7663	SLC15A2	138.8855
SLC15A3	1166.411	SLC15A3	2740.4486
SLC15A4	596.1989	SLC15A4	684.2653
SLC16A10	97.9505	SLC16A10	131.6267
SLC16A11	5.997	SLC16A11	42.5851
removed	removed	SLC16A12	20.3247
SLC16A13	205.3963	SLC16A13	52.7475
SLC16A14	252.3726	SLC16A14	122.4322
SLC16A1	534.2302	SLC16A1	587.9649
SLC16A2	218.3897	SLC16A2	825.0865
SLC16A3	2363.3065	SLC16A3	717.172
SLC16A4	58.4705	SLC16A4	261.3177
SLC16A5	85.4568	SLC16A5	221.1522
SLC16A6	29.4851	SLC16A6	17.9051
SLC16A7	34.9823	SLC16A7	38.2298
removed	removed	SLC16A8	15.4855
SLC16A9	15.9919	SLC16A9	47.9082
SLC17A5	614.1898	SLC17A5	770.4033
removed	removed	SLC17A7	268.0926
SLC17A9	118.4402	SLC17A9	159.6942
removed	removed	SLC18A2	5.8071
SLC19A1	267.365	SLC19A1	488.7609
SLC19A2	596.1989	SLC19A2	294.7083
SLC19A3	91.9536	SLC19A3	2929.662
SLC1A1	306.3453	SLC1A1	136.4659
SLC1A2	135.4316	SLC1A2	56.1349
SLC1A3	779.1066	SLC1A3	1354.0129
SLC1A4	519.2378	SLC1A4	1203.5133
SLC1A5	2380.7977	SLC1A5	4244.4772
SLC1A6	736.1283	removed	removed
removed	removed	SLC1A7	164.5334
SLC20A1	1348.8188	SLC20A1	705.5578
SLC20A2	791.6002	SLC20A2	712.8167
removed	removed	SLC22A12	33.8745
SLC22A15	37.4811	SLC22A15	55.1671
removed	removed	SLC22A16	30.0031
SLC22A17	235.3811	SLC22A17	745.7233
SLC22A18AS	13.9929	SLC22A18AS	15.9694
SLC22A18	284.3564	SLC22A18	367.2966
removed	removed	SLC22A1	7.2588
removed	removed	SLC22A20	5.3231
SLC22A23	586.6587	SLC22A23	715.7105
removed	removed	SLC22A3	173.7279
SLC22A4	87.9556	SLC22A4	45.9726
SLC22A5	312.3423	SLC22A5	315.5169
SLC23A1	98.95	removed	removed
SLC23A2	1530.2272	SLC23A2	839.6042
removed	removed	SLC23A3	20.7118
SLC24A1	121.9384	SLC24A1	364.664
SLC24A3	1935.0228	SLC24A3	405.5264
SLC24A4	6.4967	SLC24A4	36.778
SLC24A5	5.5122	SLC24A5	8.0089
SLC24A6	1079.4549	SLC24A6	1477.413
SLC25A10	1206.8905	SLC25A10	857.5093
removed	removed	SLC25A11	1245.6145
SLC25A12	560.7168	SLC25A12	478.5986
SLC25A13	1340.8229	SLC25A13	388.1052
SLC25A14	117.9404	SLC25A14	115.6573
SLC25A15	390.7027	SLC25A15	122.316
SLC25A16	172.4129	SLC25A16	259.382
SLC25A17	460.7673	SLC25A17	451.9829
removed	removed	SLC25A18	90.9773
SLC25A19	480.7572	SLC25A19	319.3883
SLC25A1	1106.4412	SLC25A1	1797.7691
SLC25A20	243.8768	SLC25A20	895.7391
SLC25A22	589.7022	SLC25A22	381.8142
SLC25A23	2049.465	SLC25A23	1390.307
SLC25A24	1070.4594	SLC25A24	635.3892
SLC25A25	325.3357	SLC25A25	743.3037
SLC25A26	319.1238	SLC25A26	483.191
SLC25A27	74.4624	SLC25A27	238.5734
SLC25A28	745.6235	SLC25A28	877.834
SLC25A29	513.7406	SLC25A29	966.8756
SLC25A30	416.7895	SLC25A30	424.3993
SLC25A32	415.1903	SLC25A32	338.1693
SLC25A33	133.9324	SLC25A33	209.5381
removed	removed	SLC25A34	60.4902
SLC25A35	109.7996	SLC25A35	219.1488
SLC25A36	1111.9385	SLC25A36	894.2873
SLC25A37	2127.9254	SLC25A37	481.5021
SLC25A38	678.6573	SLC25A38	666.8441
SLC25A39	2426.2747	SLC25A39	2302.0155
SLC25A3	4961.4944	SLC25A3	7924.2179
SLC25A40	144.9268	SLC25A40	67.2651
SLC25A41	7.4962	removed	removed
SLC25A42	295.3508	SLC25A42	402.1389
SLC25A43	681.6558	SLC25A43	474.7272
SLC25A44	1435.7749	SLC25A44	703.1382
SLC25A45	82.4584	SLC25A45	231.7985
SLC25A46	327.3347	SLC25A46	370.684
SLC25A4	578.7078	SLC25A4	709.9131
SLC25A5	7891.5148	SLC25A5	4667.9087
SLC25A6	10754.5689	SLC25A6	14267.4635
removed	removed	SLC26A10	30.0951
SLC26A11	311.3428	SLC26A11	967.8434
SLC26A1	28.5306	SLC26A1	23.7122
SLC26A2	477.259	SLC26A2	827.99
removed	removed	SLC26A3	8.2267
SLC26A4	432.1817	SLC26A4	22.7443
SLC26A6	194.5667	SLC26A6	237.1216
removed	removed	SLC26A7	22.7443
removed	removed	SLC26A8	7.2588
SLC26A9	41.9788	removed	removed
SLC27A1	645.1742	SLC27A1	2029.5676
SLC27A2	66.4664	SLC27A2	36.2941
SLC27A3	194.9016	SLC27A3	1635.6554
SLC27A4	752.6199	SLC27A4	850.2504
SLC27A5	37.8509	SLC27A5	126.7536
removed	removed	SLC27A6	131.1428
SLC28A1	25.4871	SLC28A1	20.3247
SLC28A3	247.8748	SLC28A3	30.0031
SLC29A1	486.2544	SLC29A1	3890.7305
SLC29A2	347.7444	SLC29A2	215.2193
SLC29A3	320.3382	SLC29A3	1023.4944
SLC29A4	275.3609	SLC29A4	802.8261
SLC2A10	548.7229	SLC2A10	451.9829
SLC2A11	152.423	SLC2A11	129.2071
SLC2A12	195.4013	SLC2A12	83.7185
SLC2A13	144.4271	SLC2A13	95.3326
SLC2A14	52.9732	SLC2A14	11.1302
SLC2A1	5543.2007	SLC2A1	478.1146
SLC2A3	697.6477	SLC2A3	492.6323
SLC2A4RG	1651.1662	SLC2A4RG	1619.6859
SLC2A4	15.4922	SLC2A4	328.5828
SLC2A5	738.1272	SLC2A5	213.8934
SLC2A6	312.3423	SLC2A6	65.8134
SLC2A8	448.7734	SLC2A8	638.7766
SLC2A9	117.4407	SLC2A9	134.0463
SLC30A1	167.4155	SLC30A1	157.7585
SLC30A2	9.4952	SLC30A2	9.1945
SLC30A3	19.9899	removed	removed
SLC30A4	16.4917	SLC30A4	29.0353
SLC30A5	1051.469	SLC30A5	761.6928
SLC30A6	341.3276	SLC30A6	96.7843
SLC30A7	1284.8512	SLC30A7	484.4056
SLC30A9	1146.4211	SLC30A9	935.4206
SLC31A1	3645.6589	SLC31A1	1060.2724
SLC31A2	1310.838	SLC31A2	1094.6309
SLC33A1	597.6982	SLC33A1	349.8754
SLC34A2	19629.0873	SLC34A2	999.7822
SLC34A3	6.4967	removed	removed
SLC35A1	414.7705	SLC35A1	567.1562
SLC35A2	1525.2298	SLC35A2	502.7946
SLC35A3	439.7779	SLC35A3	141.3051
SLC35A4	2325.3257	SLC35A4	2422.996
SLC35A5	960.5149	SLC35A5	548.2833
SLC35B1	1200.3938	SLC35B1	721.5273
SLC35B2	1549.2176	SLC35B2	1329.8168
SLC35B3	414.2908	SLC35B3	463.597
SLC35B4	659.1671	SLC35B4	402.6229
SLC35C1	2133.4226	SLC35C1	1217.547
SLC35C2	989.5003	SLC35C2	1244.6466
SLC35D1	747.1227	SLC35D1	251.1554
SLC35D2	346.8249	SLC35D2	539.5727
SLC35E1	2671.6508	SLC35E1	1417.8906
SLC35E2	1456.9792	SLC35E2	2411.8125
SLC35E2	24.7725	SLC35E2	35.3795
SLC35E3	162.9177	SLC35E3	170.3404
SLC35E4	90.4543	SLC35E4	156.8003
removed	removed	SLC35F1	17.4212
SLC35F2	1140.4241	SLC35F2	187.7616
SLC35F3	5.997	SLC35F3	87.5898
SLC35F5	1051.469	SLC35F5	395.848
SLC36A1	658.1676	SLC36A1	586.5131
SLC36A4	243.8768	SLC36A4	107.9145
SLC37A1	488.7532	SLC37A1	269.0605
SLC37A2	478.7582	SLC37A2	1287.2317
SLC37A3	698.6472	SLC37A3	685.7171
SLC37A4	400.7976	SLC37A4	609.2574
SLC38A10	1994.4928	SLC38A10	4109.4631
SLC38A1	1576.7038	SLC38A1	1249.4858
SLC38A2	2158.9098	SLC38A2	2473.8077
SLC38A3	276.8602	SLC38A3	89.5255
SLC38A4	9.4952	SLC38A4	12.098
SLC38A5	166.9157	SLC38A5	57.1028
SLC38A6	153.4225	SLC38A6	476.6629
SLC38A7	450.2726	SLC38A7	215.8291
SLC38A9	233.8819	SLC38A9	189.6973
SLC39A10	455.2701	SLC39A10	441.8205
SLC39A11	1235.8759	SLC39A11	992.0395
SLC39A12	7.4163	removed	removed
SLC39A13	756.1182	SLC39A13	1427.569
SLC39A14	1750.6159	SLC39A14	942.6795
SLC39A1	4219.869	SLC39A1	3153.2338
SLC39A2	180.9086	SLC39A2	11.6141
SLC39A3	816.5876	SLC39A3	594.7398
SLC39A4	244.8763	SLC39A4	212.4416
SLC39A6	1641.671	SLC39A6	2693.9921
SLC39A7	6767.0826	SLC39A7	3472.1382
SLC39A8	2052.4635	SLC39A8	733.6253
SLC39A9	1745.6185	SLC39A9	1460.9596
removed	removed	SLC3A1	10.0752
SLC3A2	4474.2405	SLC3A2	3508.4323
SLC40A1	396.7996	SLC40A1	6405.1876
SLC41A1	395.3004	SLC41A1	671.1994
SLC41A2	463.7658	SLC41A2	165.5012
SLC41A3	425.785	SLC41A3	1234.0003
SLC43A1	67.9657	SLC43A1	467.4684
SLC43A2	1819.0814	SLC43A2	1379.1768
SLC43A3	1316.3053	SLC43A3	2904.5368
SLC44A1	2870.5504	SLC44A1	1371.918
SLC44A2	4124.4172	SLC44A2	4752.595
SLC44A3	408.7936	SLC44A3	176.1475
SLC44A4	15.4922	SLC44A4	130.1749
SLC44A5	171.4134	SLC44A5	46.4565
SLC45A1	14.4927	SLC45A1	80.331
