gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
ALDH5A1	460.5087	ALDH5A1	5049.6381
ALDH6A1	293.243	ALDH6A1	1709.6536
ALDH7A1	1216.1981	ALDH7A1	746.6391
ALDH8A1	5.6894	removed	removed
ALDH9A1	2266.7336	ALDH9A1	4005.6877
ALDOA	36309.9063	ALDOA	278915.7032
ALDOC	117.8046	ALDOC	45.5016
ALG10B	310.5756	ALG10B	184.0745
ALG10	121.1513	ALG10	70.8376
ALG11	34.4712	ALG11	17.5801
ALG12	338.6881	ALG12	269.9069
ALG13	587.0147	ALG13	417.787
ALG14	180.3882	ALG14	87.9007
ALG1L	6.4826	ALG1L	37.0114
ALG1	825.0803	ALG1	206.8925
ALG2	1242.9719	ALG2	284.9018
ALG3	790.1606	ALG3	403.3092
ALG5	574.6319	ALG5	264.2192
ALG6	193.4404	ALG6	140.6412
ALG8	776.4391	ALG8	173.2161
ALG9	561.5797	ALG9	396.5874
ALKBH1	244.6452	ALKBH1	361.4271
ALKBH2	158.6345	ALKBH2	153.0507
ALKBH3	176.0375	ALKBH3	577.0424
ALKBH4	237.7242	ALKBH4	188.728
ALKBH5	3020.1205	ALKBH5	9723.2937
ALKBH6	71.6198	ALKBH6	42.3992
ALKBH7	398.2597	ALKBH7	1191.3133
ALKBH8	200.8032	ALKBH8	311.789
ALMS1P	14.0562	removed	removed
ALMS1	1048.5274	ALMS1	341.2616
ALOX12P2	62.249	removed	removed
removed	removed	ALOX12	5.1706
ALOX15B	20.415	ALOX15B	19.6484
ALOX15	90.3614	removed	removed
ALOX5AP	810.9103	ALOX5AP	86.3495
ALOX5	579.6519	ALOX5	27.9214
ALOXE3	30.4552	removed	removed
ALPK1	532.1285	ALPK1	135.4705
ALPK2	169.0094	ALPK2	5694.4157
ALPK3	208.166	ALPK3	24864.0124
ALPL	309.2369	ALPL	53.2575
ALS2CL	65.9304	ALS2CL	267.3216
removed	removed	ALS2CR11	5.1706
ALS2CR4	307.2289	ALS2CR4	905.8945
ALS2CR8	260.7095	ALS2CR8	106.515
ALS2	653.9491	ALS2	1480.8687
removed	removed	ALX1	9.3071
ALX3	28.1124	ALX3	16.029
AMACR	554.2169	AMACR	613.2368
AMBRA1	800.2008	AMBRA1	650.4654
AMD1	997.3226	AMD1	1695.9669
AMDHD1	5.0201	removed	removed
AMDHD2	343.5542	AMDHD2	57.394
AMFR	5643.909	AMFR	5461.2203
removed	removed	AMHR2	42.3992
AMH	26.1044	AMH	10.8583
AMICA1	178.0455	AMICA1	29.9897
AMIGO1	320.2811	AMIGO1	450.879
AMIGO2	2185.743	AMIGO2	86.8666
AMIGO3	135.5422	AMIGO3	149.9483
