gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ADM	106.2002	ADM	508.18
ADNP2	858.5804	ADNP2	789.8773
ADNP	3729.0812	ADNP	2296.0123
ADORA1	73.0707	ADORA1	211.6564
ADORA2A	71.5226	ADORA2A	63.9059
ADORA2B	18.2677	ADORA2B	157.9755
ADORA3	71.8322	ADORA3	89.9796
ADO	658.2553	ADO	698.364
ADPGK	931.7347	ADPGK	921.7791
ADPRHL1	57.5896	ADPRHL1	65.9509
ADPRHL2	524.4988	ADPRHL2	564.4172
ADPRH	454.5243	ADPRH	444.7853
ADRA1A	6.1924	ADRA1A	26.0736
ADRA1B	6.1924	ADRA1B	68.5072
ADRA1D	7.7405	removed	removed
ADRA2A	1136.0012	ADRA2A	683.5378
ADRA2B	21.9831	ADRA2B	22.4949
ADRA2C	82.0497	ADRA2C	95.092
removed	removed	ADRB1	28.1186
ADRB2	102.7943	ADRB2	322.5971
ADRBK1	1584.3332	ADRBK1	1861.4519
ADRBK2	806.2544	ADRBK2	1214.2127
ADRM1	895.1157	ADRM1	959.6115
ADSL	631.6278	ADSL	991.3088
ADSSL1	154.1915	ADSSL1	167.1779
ADSS	1333.2301	ADSS	1359.407
AEBP1	20060.3762	AEBP1	6991.3088
AEBP2	876.2288	AEBP2	1123.7219
AEN	513.3524	AEN	540.8998
AES	5899.5278	AES	6926.8916
AFAP1L1	299.7136	AFAP1L1	569.0184
AFAP1L2	952.0861	AFAP1L2	926.3804
AFAP1	2618.1314	AFAP1	1222.3875
AFF1	3371.1588	AFF1	2270.9611
AFF2	113.3215	AFF2	46.5235
AFF3	4694.7906	AFF3	495.3988
AFF4	4753.6187	AFF4	2827.7096
AFG3L1	208.0656	AFG3L1	237.7301
AFG3L2	1519.2724	AFG3L2	1393.2771
AFMID	478.6748	AFMID	472.9039
AFP	30.9621	AFP	37.8323
AFTPH	2037.619	AFTPH	1438.6503
AG2	312.7177	AG2	877.3006
AGAP11	98.472	AGAP11	170.2454
AGAP1	414.2736	AGAP1	656.953
AGAP2	125.9262	AGAP2	54.9642
AGAP3	1181.5156	AGAP3	1186.6053
AGAP4	143.3547	AGAP4	172.8016
AGAP5	55.4904	AGAP5	36.1299
AGAP6	66.8782	AGAP6	87.4233
AGAP7	21.6735	AGAP7	39.8773
AGAP8	6.5021	AGAP8	9.2025
AGA	529.1431	AGA	485.1738
AGBL2	12.0752	AGBL2	9.2025
AGBL3	7.1213	AGBL3	10.7362
AGBL4	9.9079	AGBL4	6.135
AGBL5	795.1142	AGBL5	806.7587
AGER	15.1715	AGER	27.0961
AGFG1	1553.6806	AGFG1	1870.6544
AGFG2	377.4286	AGFG2	602.2495
AGGF1	921.1239	AGGF1	872.6994
AGK	532.8586	AGK	478.0164
AGL	1504.7604	AGL	928.4254
AGMAT	25.389	AGMAT	13.8037
AGPAT1	1858.4596	AGPAT1	1974.8108
AGPAT2	568.7747	AGPAT2	1658.998
AGPAT3	1855.8712	AGPAT3	1539.8773
AGPAT4	424.4911	AGPAT4	315.9509
AGPAT5	761.9785	AGPAT5	653.8855
AGPAT6	1816.8589	AGPAT6	1720.8589
AGPAT9	95.673	AGPAT9	203.9877
AGPHD1	50.4683	AGPHD1	67.4847
AGPS	1227.03	AGPS	1339.4683
AGR2	3116.6499	AGR2	489.2638
AGR3	1663.9059	AGR3	464.7239
AGRN	2967.4123	AGRN	2849.6933
AGTPBP1	360.3994	AGTPBP1	422.8016
AGTR1	309.6215	AGTR1	492.3313
AGTR2	6.8117	removed	removed
AGTRAP	559.486	AGTRAP	669.7342
AGT	24.4601	AGT	52.6585
AGXT2L1	22.2927	AGXT2L1	5.1125
AGXT2L2	368.044	AGXT2L2	528.2055
AHCTF1	1493.9237	AHCTF1	1185.5828
AHCYL1	4098.7693	AHCYL1	3416.1554
AHCYL2	1049.3072	AHCYL2	605.317
AHCY	1731.4034	AHCY	2298.5685
AHDC1	1173.4654	AHDC1	962.1677
AHI1	474.3401	AHI1	311.8609
AHNAK2	2222.1534	AHNAK2	2004.09
AHNAK	66840.1579	AHNAK	69296.0123
AHRR	44.5855	AHRR	16.8712
AHR	5538.8188	AHR	5498.4663
AHSA1	961.3747	AHSA1	1369.1207
AHSA2	324.4833	AHSA2	241.82
AIDA	1010.0194	AIDA	1543.9826
AIF1L	813.3756	AIF1L	2543.9673
AIF1	364.1149	AIF1	901.8405
AIFM1	738.4472	AIFM1	502.5562
AIFM2	263.7975	AIFM2	831.2883
AIFM3	13.5986	AIFM3	7.6687
AIG1	598.1887	AIG1	763.2924
AIM1	1790.2314	AIM1	2370.6544
AIM2	10.2175	AIM2	9.2025
AIMP1	1168.3505	AIMP1	1228.5276
AIMP2	249.8676	AIMP2	340.3119
AIP	730.3971	AIP	777.0961
AJAP1	6.1924	AJAP1	9.2025
AK1	611.5024	AK1	496.9325
AK2	1425.4973	AK2	2208.589
AK3L1	408.3907	AK3L1	415.1329
AK3	1832.34	AK3	2472.9039
AK5	708.1043	AK5	1806.7485
AK7	39.6316	AK7	29.6524
AKAP10	554.5321	AKAP10	428.9366
AKAP11	2477.9008	AKAP11	1513.8037
AKAP12	3029.027	AKAP12	3322.5971
AKAP13	6195.526	AKAP13	3753.0675
AKAP1	3143.8966	AKAP1	1857.362
AKAP2	1258.9303	AKAP2	1886.6207
AKAP3	34.6776	AKAP3	50.1022
AKAP5	104.3424	AKAP5	47.546
AKAP6	107.4387	AKAP6	175.3579
AKAP7	197.2289	AKAP7	245.91
AKAP8L	748.3551	AKAP8L	438.6503
AKAP8	750.8321	AKAP8	680.4703
AKAP9	3355.6777	AKAP9	1760.2249
AKD1	164.0994	AKD1	121.6769
AKIRIN1	1410.0163	AKIRIN1	2318.5072
AKIRIN2	598.1887	AKIRIN2	823.6196
removed	removed	AKNAD1	10.7362
AKNA	697.8868	AKNA	673.3129
AKR1A1	1718.0896	AKR1A1	1637.0143
removed	removed	AKR1B15	5.6237
AKR1B1	835.3588	AKR1B1	1300.6135
AKR1C1	175.2458	AKR1C1	2395.1943
AKR1C2	98.7693	AKR1C2	1666.1554
AKR1C3	535.3356	AKR1C3	1694.274
AKR1E2	18.5773	AKR1E2	32.7198
AKR7A2	912.7641	AKR7A2	816.9734
AKR7A3	133.4469	AKR7A3	14.3149
AKR7L	12.0752	AKR7L	7.1575
AKT1S1	890.4714	AKT1S1	961.1452
AKT1	4532.2393	AKT1	2948.364
AKT2	2150.0116	AKT2	2247.4438
AKT3	1188.0176	AKT3	1303.1697
AKTIP	736.5926	AKTIP	676.273
ALAD	1382.7696	ALAD	1603.7832
ALAS1	745.5685	ALAS1	968.3027
removed	removed	ALAS2	39.3661
ALB	1437.8822	ALB	622.1881
ALCAM	2501.432	ALCAM	1986.7076
ALDH16A1	432.8508	ALDH16A1	393.1493
ALDH18A1	2058.9829	ALDH18A1	1286.8098
ALDH1A1	1943.4941	ALDH1A1	3802.1472
ALDH1A2	366.9015	ALDH1A2	437.6278
ALDH1A3	619.0448	ALDH1A3	5501.82
ALDH1B1	1454.2921	ALDH1B1	434.0491
ALDH1L1	51.3972	ALDH1L1	311.3497
ALDH1L2	1442.2169	ALDH1L2	239.7751
ALDH2	1173.7751	ALDH2	6190.6953
ALDH3A1	18.8869	ALDH3A1	58.2822
ALDH3A2	1839.1516	ALDH3A2	2648.2618
ALDH3B1	130.041	ALDH3B1	275.0511
ALDH3B2	987.3829	ALDH3B2	241.82
ALDH4A1	642.155	ALDH4A1	616.5644
ALDH5A1	578.6826	ALDH5A1	438.6503
ALDH6A1	456.5833	ALDH6A1	364.5041
ALDH7A1	1668.8598	ALDH7A1	1728.5276
ALDH8A1	15.4811	ALDH8A1	23.0061
ALDH9A1	2903.3207	ALDH9A1	3081.7996
ALDOA	10709.188	ALDOA	11985.1738
removed	removed	ALDOB	6.6462
ALDOC	295.0693	ALDOC	752.045
ALG10B	542.4568	ALG10B	280.6748
ALG10	151.0953	ALG10	83.8446
ALG11	20.435	ALG11	13.2924
ALG12	441.2106	ALG12	445.8078
ALG13	470.9343	ALG13	475.4601
ALG14	216.735	ALG14	206.0327
ALG1L	24.4632	removed	removed
ALG1	544.9493	ALG1	385.4192
ALG2	846.1955	ALG2	827.1984
ALG3	510.8755	ALG3	541.411
ALG5	483.6288	ALG5	722.3926
ALG6	300.9521	ALG6	267.3824
ALG8	797.585	ALG8	533.2311
ALG9	525.118	ALG9	437.6278
ALKBH1	202.1828	ALKBH1	177.9141
ALKBH2	177.1035	ALKBH2	226.4826
ALKBH3	258.5339	ALKBH3	435.0716
ALKBH4	191.0457	ALKBH4	140.6748
ALKBH5	1980.24	ALKBH5	2432.3722
ALKBH6	42.4181	ALKBH6	62.3722
ALKBH7	337.797	ALKBH7	446.8303
ALKBH8	311.7888	ALKBH8	235.1738
removed	removed	ALK	9.7137
ALMS1	1045.5918	ALMS1	503.5787
ALOX12P2	33.7487	ALOX12P2	7.6687
ALOX15B	92.2672	ALOX15B	85.3783
ALOX15	14.5522	removed	removed
ALOX5AP	201.8732	ALOX5AP	520.9611
ALOX5	355.4455	ALOX5	639.5706
removed	removed	ALOXE3	10.7362
ALPK1	557.6283	ALPK1	533.7423
ALPK2	69.9745	ALPK2	66.9734
ALPK3	88.8614	ALPK3	153.3742
ALPL	776.8403	ALPL	686.6053
ALS2CL	146.451	ALS2CL	371.1656
ALS2CR11	14.5522	removed	removed
ALS2CR4	1198.5448	ALS2CR4	1578.7321
ALS2CR8	215.4966	ALS2CR8	177.9141
ALS2	672.1882	ALS2	673.8241
ALX3	26.0082	ALX3	20.4499
ALX4	42.7278	ALX4	15.8487
AMACR	620.7911	AMACR	174.3354
AMBP	25.6986	AMBP	6.135
AMBRA1	1003.4832	AMBRA1	710.1227
AMD1	2009.7531	AMD1	2747.2086
AMDHD1	19.1965	AMDHD1	17.8937
AMDHD2	175.7009	AMDHD2	194.1973
AMFR	4204.3502	AMFR	3259.2025
AMH	29.414	removed	removed
AMICA1	214.2581	AMICA1	347.137
AMIGO1	160.3839	AMIGO1	98.6708
AMIGO2	1347.7792	AMIGO2	3274.5399
AMIGO3	55.1126	AMIGO3	47.0348
AMMECR1L	837.8357	AMMECR1L	818.5072
AMMECR1	334.3912	AMMECR1	226.9939
AMN1	218.5928	AMN1	206.0327
AMOTL1	3421.9367	AMOTL1	2109.9182
AMOTL2	2897.4379	AMOTL2	4939.6728
AMOT	977.475	AMOT	1229.0389
AMPD1	39.0123	AMPD1	6.135
AMPD2	862.2958	AMPD2	709.1002
AMPD3	206.5175	AMPD3	256.135
AMPH	265.6552	AMPH	152.863
removed	removed	AMTN	5.6237
AMT	83.7464	AMT	124.2331
AMY1A	44.8951	AMY1A	75.6646
AMY2B	132.1681	AMY2B	268.2311
AMZ1	6.8117	removed	removed
AMZ2P1	178.0324	AMZ2P1	213.1902
AMZ2	1308.4604	AMZ2	1098.1595
ANAPC10	129.1122	ANAPC10	165.6442
ANAPC11	448.0223	ANAPC11	683.5378
ANAPC13	1549.9373	ANAPC13	1254.2178
