gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ALOX15	416.7595	ALOX15	80.7568
ALOX5AP	210.4361	ALOX5AP	351.1767
ALOX5	224.1453	ALOX5	329.9492
ALOXE3	13.7092	ALOXE3	8.3064
ALPK1	442.4642	ALPK1	724.0425
removed	removed	ALPK2	5.9991
ALPK3	518.5503	ALPK3	501.6151
ALPL	632.3366	ALPL	767.4204
ALS2CL	253.2774	ALS2CL	287.9557
removed	removed	ALS2CR11	11.5367
ALS2CR4	605.9464	ALS2CR4	1251.4998
ALS2CR8	178.2195	ALS2CR8	196.5851
ALS2	602.1763	ALS2	688.5095
ALX1	14.7374	removed	removed
ALX3	12.3383	ALX3	26.3036
ALX4	13.3665	ALX4	47.5311
AMACR	336.5607	AMACR	300.4153
AMBP	31.5311	AMBP	30.4569
AMBRA1	677.2342	AMBRA1	940.4707
AMD1	865.3929	AMD1	1703.2764
AMDHD1	14.7374	AMDHD1	23.5348
AMDHD2	414.3604	AMDHD2	167.9742
AMFR	2139.3197	AMFR	2712.5058
AMH	91.8516	removed	removed
AMICA1	170.6795	AMICA1	146.2852
AMIGO1	86.7107	AMIGO1	175.3576
AMIGO2	679.976	AMIGO2	1929.3955
AMIGO3	63.0623	AMIGO3	49.377
AMMECR1L	662.4968	AMMECR1L	855.5607
AMMECR1	509.6393	AMMECR1	281.9566
AMN1	105.5608	AMN1	161.9751
AMOTL1	1055.2652	AMOTL1	3487.3096
AMOTL2	1163.2251	AMOTL2	3904.0148
AMOT	735.841	AMOT	1657.1297
AMPD1	62.0341	AMPD1	215.9668
AMPD2	362.9509	AMPD2	776.6497
AMPD3	124.0682	AMPD3	187.8173
AMPH	68.546	AMPH	75.2192
AMTN	6.1691	removed	removed
AMT	54.9602	AMT	121.4859
removed	removed	AMY1A	49.377
AMY2B	165.4151	AMY2B	167.4804
AMZ1	5.4837	AMZ1	7.8449
AMZ2P1	198.7833	AMZ2P1	188.7402
AMZ2	804.3869	AMZ2	1018.4587
ANAPC10	128.181	ANAPC10	88.1403
ANAPC11	656.3276	ANAPC11	606.3683
ANAPC13	982.4968	ANAPC13	938.1634
ANAPC16	1386.6849	ANAPC16	2175.8191
ANAPC1	653.5858	ANAPC1	918.7817
ANAPC2	1214.6346	ANAPC2	687.5865
ANAPC4	397.2239	ANAPC4	476.2344
ANAPC5	2654.4426	ANAPC5	1860.6368
ANAPC7	1038.1287	ANAPC7	684.3563
ANGEL1	592.9226	ANGEL1	627.1343
ANGEL2	1196.1272	ANGEL2	788.6479
