gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
removed	removed	AGBL4	12.6844
AGBL5	894.515	AGBL5	570.2094
removed	removed	AGER	52.2124
AGFG1	3196.9872	AGFG1	1897.6401
AGFG2	343.5777	AGFG2	542.7729
AGGF1	1211.7305	AGGF1	921.5339
AGK	714.7813	AGK	495.5752
AGL	376.2842	AGL	1021.8289
AGMAT	10.4788	AGMAT	7.0796
AGPAT1	2006.1031	AGPAT1	1846.7198
AGPAT2	278.1646	AGPAT2	5651.6224
AGPAT3	2824.8309	AGPAT3	1953.0973
AGPAT4	72.7165	AGPAT4	330.3835
AGPAT5	434.7115	AGPAT5	543.3628
AGPAT6	1203.157	AGPAT6	1668.1416
AGPAT9	37.1521	AGPAT9	938.9381
AGPHD1	77.1621	AGPHD1	53.9823
AGPS	2257.7055	AGPS	1402.0649
AGR2	75598.8397	AGR2	1151.6224
AGR3	1461.9516	AGR3	190.2655
AGRN	2342.4885	AGRN	2216.2242
AGTPBP1	426.4555	AGTPBP1	492.6254
AGTR1	22.2278	AGTR1	689.0855
AGTRAP	565.8553	AGTRAP	518.2891
AGT	44.4555	AGT	99.115
AGXT2L2	227.0217	AGXT2L2	665.6844
removed	removed	AGXT	7.6696
AHCTF1	1553.7205	AHCTF1	1474.9263
AHCYL1	1921.7488	AHCYL1	3994.1003
AHCYL2	1302.5468	AHCYL2	571.9764
AHCY	6679.1248	AHCY	1862.5369
AHDC1	473.1338	AHDC1	769.3215
AHI1	383.5877	AHI1	409.1445
AHNAK2	346.118	AHNAK2	2046.0177
AHNAK	24555.0082	AHNAK	112161.3569
AHRR	81.2901	AHRR	15.9292
AHR	2767.6738	AHR	2648.0826
AHSA1	1966.8394	AHSA1	1302.0649
AHSA2	54.2992	AHSA2	496.4602
AIDA	1638.9291	AIDA	1764.3274
AIF1L	281.6575	AIF1L	3419.469
AIF1	218.1496	AIF1	407.0796
AIFM1	1903.0139	AIFM1	840.708
AIFM2	284.5153	AIFM2	2456.0472
AIFM3	57.2555	AIFM3	5.8997
AIG1	326.4306	AIG1	799.115
AIM1L	26.0382	removed	removed
AIM1	202.5902	AIM1	2904.4248
removed	removed	AIM2	12.0944
AIMP1	1247.0727	AIMP1	1049.9056
AIMP2	637.4414	AIMP2	291.3392
AIP	719.2269	AIP	969.3215
removed	removed	AJAP1	21.5339
AK1	713.1936	AK1	680.826
AK2	1494.9757	AK2	2080.236
AK3L1	8.256	AK3L1	635.1032
AK3	1637.8685	AK3	3154.2773
AK5	23.8155	AK5	935.1032
AK7	16.8296	AK7	29.2035
AKAP10	490.5985	AKAP10	531.2684
AKAP11	1401.9367	AKAP11	2201.1799
AKAP12	410.896	AKAP12	7455.4572
AKAP13	3011.5441	AKAP13	3457.8171
AKAP1	3329.0836	AKAP1	3166.3717
AKAP2	383.6512	AKAP2	2999.1504
AKAP3	18.0997	AKAP3	41.5929
AKAP5	16.8296	AKAP5	89.9705
AKAP6	60.65	AKAP6	194.9853
AKAP7	203.5428	AKAP7	250.1475
AKAP8L	268.6384	AKAP8L	578.4661
AKAP8	359.4547	AKAP8	567.2566
AKAP9	8204.9019	AKAP9	2044.8378
AKD1	125.1105	AKD1	106.7847
AKIRIN1	933.566	AKIRIN1	1220.649
AKIRIN2	302.9326	AKIRIN2	732.7434
removed	removed	AKNAD1	5.6047
AKNA	166.7082	AKNA	1016.8142
AKR1A1	2699.7204	AKR1A1	1431.8584
AKR1B10	256.5719	removed	removed
removed	removed	AKR1B15	20.354
AKR1B1	553.4713	AKR1B1	1000.885
AKR1C1	77.1621	AKR1C1	2533.0383
AKR1C2	46.0432	AKR1C2	1796.7552
AKR1C3	628.4106	AKR1C3	1497.6401
removed	removed	AKR1E2	19.174
AKR7A2	664.9276	AKR7A2	900.59
AKR7A3	89.2286	AKR7A3	60.177
removed	removed	AKR7L	7.0796
AKT1S1	1315.2484	AKT1S1	810.9145
AKT1	7450.1106	AKT1	3273.7463
AKT2	2205.9466	AKT2	3739.233
AKT3	322.3025	AKT3	1461.6519
AKTIP	753.718	AKTIP	713.2596
ALAD	673.1836	ALAD	2242.4779
ALAS1	466.4655	ALAS1	1097.9351
removed	removed	ALB	223.0088
ALCAM	6755.0167	ALCAM	2366.6667
ALDH16A1	288.0083	ALDH16A1	384.0708
ALDH18A1	4648.1425	ALDH18A1	1230.3835
ALDH1A1	833.2235	ALDH1A1	5145.4277
ALDH1A2	19.3699	ALDH1A2	672.5664
ALDH1A3	806.9821	ALDH1A3	1638.6047
ALDH1B1	758.2842	ALDH1B1	821.2389
removed	removed	ALDH1L1	3254.5723
ALDH1L2	269.2735	ALDH1L2	406.4897
ALDH2	2338.043	ALDH2	17176.1062
removed	removed	ALDH3A1	26.5487
ALDH3A2	5045.0668	ALDH3A2	2766.6667
ALDH3B1	1895.7105	ALDH3B1	227.7286
ALDH3B2	4452.5382	ALDH3B2	1782.0059
ALDH4A1	386.128	ALDH4A1	1113.5693
ALDH5A1	111.4563	ALDH5A1	604.4248
ALDH6A1	555.9258	ALDH6A1	1131.9499
ALDH7A1	1593.413	ALDH7A1	1707.0796
removed	removed	ALDH8A1	22.1239
ALDH9A1	1881.4212	ALDH9A1	4213.5693
ALDOA	42822.1001	ALDOA	14469.6165
ALDOC	30.4838	ALDOC	1863.7168
ALG10B	270.2261	ALG10B	282.8909
ALG10	155.5943	ALG10	89.3805
ALG11	12.7016	ALG11	11.2094
ALG12	692.236	ALG12	399.115
ALG13	714.1462	ALG13	439.528
ALG14	320.3973	ALG14	199.41
ALG1L	287.6209	removed	removed
ALG1	1122.3813	ALG1	420.3628
ALG2	1277.1437	ALG2	728.0236
ALG3	1678.5135	ALG3	408.2596
ALG5	729.0706	ALG5	571.6814
ALG6	234.3441	ALG6	204.1298
ALG8	24766.1719	ALG8	1176.6962
ALG9	602.3723	ALG9	624.7788
ALKBH1	239.4247	ALKBH1	225.6637
ALKBH2	231.4863	ALKBH2	196.4602
ALKBH3	309.601	ALKBH3	354.8673
ALKBH4	260.8428	ALKBH4	216.4513
ALKBH5	2466.6115	ALKBH5	2376.3245
ALKBH6	71.1288	ALKBH6	44.8378
ALKBH7	565.8553	ALKBH7	264.0118
ALKBH8	130.5087	ALKBH8	281.4159
removed	removed	ALK	8.2596
ALMS1	688.7431	ALMS1	652.2124
ALOX12P2	13.9717	ALOX12P2	7.6696
ALOX15B	42.2327	ALOX15B	214.7493
removed	removed	ALOX15	18.2891
ALOX5AP	222.2776	ALOX5AP	333.3333
ALOX5	126.3807	ALOX5	477.2861
ALOXE3	32.7066	removed	removed
ALPK1	262.6051	ALPK1	657.5221
ALPK2	50.4888	ALPK2	13.2743
ALPK3	405.1803	ALPK3	1171.9764
ALPL	79.0673	ALPL	1597.3451
ALS2CL	172.7415	ALS2CL	412.3894
removed	removed	ALS2CR11	8.2596
ALS2CR4	413.4364	ALS2CR4	981.1209
ALS2CR8	70.1762	ALS2CR8	173.7463
ALS2	970.4006	ALS2	632.7434
removed	removed	ALX1	17.6991
ALX3	9.2086	ALX3	36.5782
removed	removed	ALX4	15.3392
AMACR	408.6733	AMACR	302.3599
AMBP	12.0665	removed	removed
AMBRA1	810.6782	AMBRA1	924.7788
AMD1	1527.9998	AMD1	1623.8053
AMDHD1	5.0806	AMDHD1	13.2743
AMDHD2	118.6518	AMDHD2	155.8142
AMFR	2166.2541	AMFR	3183.1858
AMH	5.7157	removed	removed
AMICA1	23.1804	AMICA1	104.7198
AMIGO1	100.66	AMIGO1	169.0265
AMIGO2	67.9534	AMIGO2	1564.6018
AMIGO3	52.7115	AMIGO3	44.5428
AMMECR1L	1110.753	AMMECR1L	904.1298
AMMECR1	1209.5078	AMMECR1	232.7434
AMN1	131.1438	AMN1	144.5428
AMOTL1	521.0822	AMOTL1	2829.2035
AMOTL2	1052.9608	AMOTL2	5133.3333
AMOT	388.3507	AMOT	855.1622
removed	removed	AMPD1	10.9145
AMPD2	564.9027	AMPD2	522.4189
AMPD3	72.7165	AMPD3	158.4071
AMPH	454.399	AMPH	143.3628
removed	removed	AMT	157.1475
AMY1A	36.8346	AMY1A	7.0796
removed	removed	AMY2A	5.0147
AMY2B	20.367	AMY2B	337.9764
AMZ2P1	62.5553	AMZ2P1	217.6991
AMZ2	1367.96	AMZ2	1326.2537
ANAPC10	114.9493	ANAPC10	127.7286
ANAPC11	695.7289	ANAPC11	646.9027
ANAPC13	1608.9851	ANAPC13	1245.7375
ANAPC16	2675.5874	ANAPC16	2620.649
ANAPC1	962.7796	ANAPC1	718.8791
ANAPC2	489.6458	ANAPC2	604.7198
ANAPC4	425.5029	ANAPC4	545.7227
ANAPC5	2750.2092	ANAPC5	2005.6047
ANAPC7	1197.4413	ANAPC7	833.6283
ANGEL1	518.8595	ANGEL1	551.6224
ANGEL2	754.4737	ANGEL2	690.2655
ANGPT1	32.389	ANGPT1	555.4572
ANGPT2	120.0299	ANGPT2	934.5133
removed	removed	ANGPT4	28.0236
ANGPTL1	7.6209	ANGPTL1	507.0796
ANGPTL2	948.4903	ANGPTL2	6675.5162
ANGPTL4	65.7307	ANGPTL4	2176.9912
removed	removed	ANGPTL5	40.413
removed	removed	ANGPTL7	203.8348
ANG	624.6954	ANG	722.2448
removed	removed	ANK1	41.0029
ANK2	117.4896	ANK2	1858.1121
ANK3	1042.7996	ANK3	497.0501
ANKAR	39.3749	ANKAR	47.1976
ANKDD1A	17.1471	ANKDD1A	157.5221
ANKFY1	1915.7155	ANKFY1	2321.5339
ANKHD1-EIF4EBP3	1593.7623	ANKHD1-EIF4EBP3	976.6549
ANKHD1	2182.1025	ANKHD1	2119.7286
ANKH	2716.8675	ANKH	2007.9646
ANKIB1	1985.8917	ANKIB1	1392.3304
removed	removed	ANKK1	23.5988
removed	removed	ANKLE1	7.0796
ANKLE2	1372.723	ANKLE2	1508.2596
ANKMY1	221.325	ANKMY1	197.0501
ANKMY2	953.571	ANKMY2	546.9027
ANKRA2	416.6118	ANKRA2	229.4985
ANKRD10	329.2884	ANKRD10	1461.9469
ANKRD11	914.0278	ANKRD11	2629.7316
ANKRD12	742.4072	ANKRD12	1818.5841
ANKRD13A	588.7181	ANKRD13A	1317.9941
ANKRD13B	18.0997	ANKRD13B	103.5398
ANKRD13C	396.2892	ANKRD13C	682.3009
ANKRD13D	417.8819	ANKRD13D	410.3245
ANKRD16	221.0075	ANKRD16	127.4336
ANKRD17	2794.3472	ANKRD17	2658.1121
ANKRD19	55.8869	ANKRD19	37.7581
removed	removed	ANKRD1	15.0442
removed	removed	ANKRD20A3	6.4897
removed	removed	ANKRD20B	6.4897
ANKRD22	752.251	ANKRD22	36.5782
ANKRD23	13.6542	ANKRD23	25.0737
removed	removed	ANKRD24	36.8732
ANKRD26	161.9451	ANKRD26	219.469
ANKRD27	827.5078	ANKRD27	911.7994
ANKRD28	855.7688	ANKRD28	1297.9351
ANKRD29	81.9252	ANKRD29	466.0767
removed	removed	ANKRD30A	139.528
ANKRD30B	35.5644	ANKRD30B	32.7434
ANKRD32	263.2402	ANKRD32	137.1681
ANKRD34A	354.0565	ANKRD34A	31.5634
removed	removed	ANKRD34C	5.0147
ANKRD35	187.0307	ANKRD35	205.8997
ANKRD36BP1	274.6716	ANKRD36BP1	144.2478
ANKRD36B	15.2419	ANKRD36B	31.5634
ANKRD36	41.2801	ANKRD36	148.0826
ANKRD37	129.4513	ANKRD37	60.8171
ANKRD39	299.4397	ANKRD39	90.8555
ANKRD40	755.1088	ANKRD40	2645.7227
ANKRD42	172.1064	ANKRD42	246.0177
removed	removed	ANKRD43	65.1917
ANKRD44	69.8587	ANKRD44	106.4897
removed	removed	ANKRD45	5.0147
ANKRD46	451.2585	ANKRD46	677.5811
ANKRD49	107.3283	ANKRD49	291.7404
ANKRD50	832.906	ANKRD50	1048.0826
ANKRD52	1653.4279	ANKRD52	1184.0708
removed	removed	ANKRD53	209.4395
ANKRD54	482.9775	ANKRD54	374.9263
removed	removed	ANKRD55	6.7847
ANKRD56	446.778	ANKRD56	44.5428
ANKRD57	570.3009	ANKRD57	568.4366
ANKRD58	7.3034	ANKRD58	7.6696
ANKRD5	465.5128	ANKRD5	184.6608
ANKRD6	94.3283	ANKRD6	306.4779
ANKRD9	55.2519	ANKRD9	32.4484
ANKS1A	1076.4587	ANKS1A	1403.5398
ANKS1B	46.9958	ANKS1B	43.9528
ANKS3	77.7972	ANKS3	208.8496
ANKS6	393.1138	ANKS6	375.2212
ANKZF1	707.4779	ANKZF1	513.2743
ANLN	1283.4945	ANLN	58.1121
