gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
removed	removed	SLC16A12	26.8437
SLC16A13	229.2635	SLC16A13	49.5575
SLC16A14	57.4746	SLC16A14	365.1917
SLC16A1	142.8928	SLC16A1	745.4277
SLC16A2	426.1379	SLC16A2	987.9056
SLC16A3	219.1022	SLC16A3	190.8555
SLC16A4	26.3558	SLC16A4	331.5634
SLC16A5	74.3042	SLC16A5	145.4277
SLC16A6	91.1338	SLC16A6	38.6431
SLC16A7	26.9909	SLC16A7	328.0236
SLC16A9	427.0906	SLC16A9	73.1563
SLC17A5	1224.1146	SLC17A5	791.1504
removed	removed	SLC17A7	127.1386
SLC17A9	8.8911	SLC17A9	24.4838
SLC18A2	7.6209	SLC18A2	5.6047
SLC19A1	620.1545	SLC19A1	249.2625
SLC19A2	513.7788	SLC19A2	555.1622
SLC19A3	11.1139	SLC19A3	7296.4602
SLC1A1	134.6367	SLC1A1	283.4808
SLC1A2	503.9351	SLC1A2	119.174
SLC1A3	290.8661	SLC1A3	1294.6903
SLC1A4	1209.8253	SLC1A4	660.177
SLC1A5	7657.4638	SLC1A5	4988.2006
SLC1A7	9.2086	SLC1A7	117.9941
SLC20A1	1456.871	SLC20A1	793.2153
SLC20A2	823.3798	SLC20A2	969.6165
SLC22A15	255.3017	SLC22A15	54.5723
SLC22A17	576.6516	SLC22A17	509.7345
SLC22A18AS	59.3799	SLC22A18AS	6.1947
SLC22A18	385.8104	SLC22A18	120.354
SLC22A23	3031.1903	SLC22A23	940.6313
removed	removed	SLC22A3	459.587
SLC22A4	46.6783	SLC22A4	40.8968
SLC22A5	757.6491	SLC22A5	269.3215
SLC23A2	480.4372	SLC23A2	1182.8909
SLC24A1	282.8483	SLC24A1	511.8466
SLC24A3	166.0731	SLC24A3	370.7965
removed	removed	SLC24A4	10.0295
SLC24A6	567.443	SLC24A6	736.5782
SLC25A10	456.3042	SLC25A10	593.5103
SLC25A11	1109.4828	SLC25A11	839.528
SLC25A12	808.4554	SLC25A12	593.8053
SLC25A13	1113.9284	SLC25A13	445.1327
SLC25A14	146.0681	SLC25A14	100
SLC25A15	359.7817	SLC25A15	202.1504
SLC25A16	465.1953	SLC25A16	541.5929
SLC25A17	863.7073	SLC25A17	417.4041
SLC25A18	79.7024	SLC25A18	106.1947
SLC25A19	97.4846	SLC25A19	127.7286
SLC25A1	1935.7205	SLC25A1	1675.8112
SLC25A20	671.9135	SLC25A20	722.4189
SLC25A21	10.9075	SLC25A21	14.0236
SLC25A22	154.6417	SLC25A22	294.6903
SLC25A23	2624.7811	SLC25A23	1589.9705
SLC25A24	170.2011	SLC25A24	1024.7788
SLC25A25	149.8786	SLC25A25	1005.3097
SLC25A26	289.6341	SLC25A26	416.7227
SLC25A27	9.2086	SLC25A27	239.528
SLC25A28	408.3557	SLC25A28	658.4071
SLC25A29	199.0972	SLC25A29	508.5546
SLC25A30	239.1072	SLC25A30	635.1032
SLC25A32	638.9211	SLC25A32	553.1445
SLC25A33	134.9543	SLC25A33	220.059
removed	removed	SLC25A34	62.2419
SLC25A35	95.9699	SLC25A35	123.1032
SLC25A36	817.6641	SLC25A36	1579.941
SLC25A37	417.2468	SLC25A37	572.2714
SLC25A38	851.0057	SLC25A38	694.3953
SLC25A39	2830.2291	SLC25A39	1290.5605
SLC25A3	10109.5035	SLC25A3	6847.4926
SLC25A40	378.8246	SLC25A40	132.7434
SLC25A42	138.1297	SLC25A42	380.236
SLC25A43	359.1371	SLC25A43	502.0649
SLC25A44	1327.95	SLC25A44	848.9676
SLC25A45	67.3184	SLC25A45	128.6136
SLC25A46	930.3906	SLC25A46	680.236
SLC25A4	946.5851	SLC25A4	693.2153
SLC25A5	10226.358	SLC25A5	3304.4248
SLC25A6	10259.0646	SLC25A6	9635.3982
removed	removed	SLC26A10	10.4956
SLC26A11	150.1962	SLC26A11	248.3776
SLC26A1	14.6195	SLC26A1	20.6844
SLC26A2	25366.0039	SLC26A2	1078.4661
removed	removed	SLC26A3	53.9823
removed	removed	SLC26A4	75.2212
SLC26A6	546.7553	SLC26A6	89.9292
SLC26A7	5.0806	SLC26A7	41.5929
SLC27A1	299.7572	SLC27A1	1162.2419
SLC27A2	265.7805	SLC27A2	384.9558
SLC27A3	906.5751	SLC27A3	880.236
SLC27A4	1001.5194	SLC27A4	511.7994
SLC27A5	162.2246	SLC27A5	71.1386
removed	removed	SLC27A6	147.4926
removed	removed	SLC28A3	145.1327
SLC29A1	3322.4153	SLC29A1	3551.6224
SLC29A2	174.6086	SLC29A2	122.9499
SLC29A3	715.4164	SLC29A3	228.6136
SLC29A4	73.9867	SLC29A4	1015.0442
SLC2A10	8907.2991	SLC2A10	812.3894
SLC2A11	117.4896	SLC2A11	138.3481
SLC2A12	99.0723	SLC2A12	131.2684
SLC2A13	161.9451	SLC2A13	206.4897
removed	removed	SLC2A14	9.7345
SLC2A1	3442.1276	SLC2A1	600.885
SLC2A3	182.9027	SLC2A3	646.0177
SLC2A4RG	1432.738	SLC2A4RG	1307.0796
SLC2A4	10.1613	SLC2A4	1851.3274
SLC2A5	12.0665	SLC2A5	64.6018
SLC2A6	26.0382	SLC2A6	54.8673
SLC2A8	211.1637	SLC2A8	286.7257
SLC2A9	26.9909	SLC2A9	80.236
SLC30A1	375.3316	SLC30A1	394.3953
SLC30A3	17.7822	removed	removed
SLC30A4	33.6592	SLC30A4	153.0973
SLC30A5	2178.6382	SLC30A5	1202.0649
SLC30A6	878.9492	SLC30A6	321.2389
SLC30A7	1185.0572	SLC30A7	779.646
SLC30A9	2518.7229	SLC30A9	1346.3127
SLC31A1	2124.3389	SLC31A1	970.5015
SLC31A2	150.1962	SLC31A2	452.2124
SLC33A1	513.1438	SLC33A1	515.3392
removed	removed	SLC34A2	540.413
SLC35A1	813.0312	SLC35A1	615.8909
SLC35A2	1836.9657	SLC35A2	445.1327
SLC35A3	467.1005	SLC35A3	292.9204
SLC35A4	4066.0927	SLC35A4	2119.174
SLC35A5	486.788	SLC35A5	785.8407
SLC35B1	1154.2559	SLC35B1	537.1681
SLC35B2	3158.5649	SLC35B2	960.472
SLC35B3	947.2202	SLC35B3	486.4307
SLC35B4	1257.1387	SLC35B4	571.9764
SLC35C1	2427.9066	SLC35C1	911.7994
SLC35C2	1786.7945	SLC35C2	793.5103
SLC35D1	538.8644	SLC35D1	507.3746
SLC35D2	301.0274	SLC35D2	360.177
SLC35E1	3698.0644	SLC35E1	1903.8348
SLC35E2	1191.3223	SLC35E2	2287.5103
SLC35E2	49.6219	SLC35E2	87.7109
SLC35E3	281.34	SLC35E3	188.2006
SLC35E4	74.9488	SLC35E4	100.3392
removed	removed	SLC35F1	99.115
SLC35F2	242.2826	SLC35F2	230.9735
removed	removed	SLC35F3	79.351
SLC35F5	2437.7504	SLC35F5	733.3333
SLC36A1	435.6641	SLC36A1	290.8555
SLC36A4	63.8254	SLC36A4	115.9292
SLC37A1	2540.3156	SLC37A1	231.8584
SLC37A2	300.0748	SLC37A2	195.2802
SLC37A3	1620.7214	SLC37A3	915.9292
SLC37A4	384.2227	SLC37A4	330.6785
SLC38A10	841.4795	SLC38A10	2113.5693
SLC38A1	589.3532	SLC38A1	4001.7699
SLC38A2	4092.4484	SLC38A2	4765.1917
removed	removed	SLC38A3	24.7788
SLC38A4	11.749	SLC38A4	48.0826
SLC38A5	47.3134	SLC38A5	50.4425
SLC38A6	89.8637	SLC38A6	117.4041
SLC38A7	285.1504	SLC38A7	186.1357
SLC38A9	263.2402	SLC38A9	194.3953
SLC39A10	657.6242	SLC39A10	676.6962
SLC39A11	386.4455	SLC39A11	451.9174
SLC39A13	757.9667	SLC39A13	822.4189
SLC39A14	1928.7346	SLC39A14	2208.2596
SLC39A1	2802.2856	SLC39A1	2744.5428
removed	removed	SLC39A2	10.0295
SLC39A3	377.5544	SLC39A3	248.9676
SLC39A4	272.7664	SLC39A4	72.8614
SLC39A6	4782.7792	SLC39A6	4875.8112
SLC39A7	9847.5334	SLC39A7	2849.5575
SLC39A8	1745.1968	SLC39A8	786.1357
SLC39A9	2665.1086	SLC39A9	2013.5693
SLC3A2	1477.8286	SLC3A2	2517.9941
SLC40A1	990.088	SLC40A1	5093.5103
SLC41A1	999.2967	SLC41A1	1152.2124
SLC41A2	854.1811	SLC41A2	314.7493
SLC41A3	1003.4247	SLC41A3	1214.4543
SLC43A1	68.5885	SLC43A1	446.0177
SLC43A2	328.6533	SLC43A2	682.3009
SLC43A3	874.4338	SLC43A3	2303.1298
SLC44A1	1325.7272	SLC44A1	2142.7729
SLC44A2	6849.961	SLC44A2	5173.1563
SLC44A3	701.1271	SLC44A3	202.9499
SLC44A4	6686.7457	SLC44A4	289.9705
SLC44A5	266.0981	SLC44A5	63.4218
SLC45A1	14.6068	SLC45A1	72.8614
SLC45A3	754.4388	SLC45A3	132.7434
SLC45A4	264.1928	SLC45A4	330.6785
SLC46A1	376.8971	SLC46A1	818.6903
removed	removed	SLC46A2	6.4897
SLC46A3	195.6043	SLC46A3	664.0118
SLC47A1	30.4838	SLC47A1	87.9056
removed	removed	SLC47A2	5.0147
SLC48A1	488.6932	SLC48A1	900.295
SLC4A11	474.0864	SLC4A11	91.7404
SLC4A1AP	1197.6477	SLC4A1AP	650.1475
SLC4A2	3832.1105	SLC4A2	1399.764
SLC4A3	368.3458	SLC4A3	186.1357
SLC4A4	6.3508	SLC4A4	398.2301
SLC4A5	506.5739	SLC4A5	98.6637
SLC4A7	334.369	SLC4A7	978.7611
SLC4A8	348.0232	SLC4A8	151.9174
SLC5A1	241.33	SLC5A1	321.8289
SLC5A3	696.6974	SLC5A3	1404.1475
removed	removed	SLC5A4	8.2596
SLC5A6	1787.4073	SLC5A6	1455.7522
removed	removed	SLC5A7	8.2596
removed	removed	SLC5A8	89.0855
removed	removed	SLC5A9	14.7493
SLC6A10P	22.5453	SLC6A10P	5.0147
SLC6A11	208.3059	SLC6A11	7.6696
SLC6A12	10.7963	SLC6A12	17.4041
SLC6A14	1575.6308	SLC6A14	194.6903
removed	removed	SLC6A15	19.469
SLC6A16	9.8437	SLC6A16	54.5723
SLC6A17	5.7157	SLC6A17	11.2094
SLC6A1	14.6068	SLC6A1	16.2242
SLC6A20	12.384	SLC6A20	17.1091
removed	removed	SLC6A2	13.8643
removed	removed	SLC6A4	11.7994
SLC6A6	892.2859	SLC6A6	1011.2094
SLC6A8	3294.7893	SLC6A8	969.3215
SLC6A9	170.5473	SLC6A9	141.9764
removed	removed	SLC7A10	1086.8496
SLC7A11	20.9576	SLC7A11	39.233
removed	removed	SLC7A14	6.7847
SLC7A1	985.3249	SLC7A1	1105.6047
SLC7A2	1596.9059	SLC7A2	1800.885
removed	removed	SLC7A3	39.823
removed	removed	SLC7A4	30.9735
SLC7A5	2251.0372	SLC7A5	490.5605
SLC7A6OS	119.2392	SLC7A6OS	228.9646
SLC7A6	826.0757	SLC7A6	1833.2773
SLC7A7	229.8986	SLC7A7	249.2625
SLC7A8	1205.3798	SLC7A8	917.9941
SLC8A1	86.0532	SLC8A1	356.0472
SLC8A3	6.6683	removed	removed
SLC9A1	615.3915	SLC9A1	626.5487
SLC9A2	2105.2866	SLC9A2	42.4779
SLC9A3R1	2399.0105	SLC9A3R1	1059.292
SLC9A3R2	6078.0226	SLC9A3R2	2199.115
removed	removed	SLC9A5	20.944
SLC9A6	82.8778	SLC9A6	506.1947
SLC9A7	378.507	SLC9A7	80.531
SLC9A8	445.5078	SLC9A8	559.292
SLC9A9	52.394	SLC9A9	492.9204
SLCO1C1	6.3508	SLCO1C1	27.1386
SLCO2A1	717.6392	SLCO2A1	1002.0649
SLCO2B1	1006.6001	SLCO2B1	1515.0442
SLCO3A1	121.6176	SLCO3A1	865.7817
SLCO4A1	19.2746	SLCO4A1	235.6667
SLCO4C1	26.0382	SLCO4C1	19.469
SLFN11	309.9185	SLFN11	1647.7876
removed	removed	SLFN12L	32.1534
SLFN12	44.138	SLFN12	173.4513
SLFN13	16.8296	SLFN13	292.6254
SLFN5	602.6899	SLFN5	1422.7139
removed	removed	SLFNL1	5.0147
SLIT1	6.3508	SLIT1	18.5841
SLIT2	155.9119	SLIT2	773.4513
SLIT3	804.645	SLIT3	6288.7906
removed	removed	SLITRK1	6.7847
removed	removed	SLITRK2	23.8938
removed	removed	SLITRK3	5.0147
SLITRK4	36.8346	SLITRK4	41.0029
SLITRK5	152.4189	SLITRK5	43.9528
SLITRK6	32.7066	SLITRK6	296.1652
SLK	3765.7003	SLK	2633.0383
SLMAP	1757.8984	SLMAP	1589.3805
removed	removed	SLMO1	30.6785
SLMO2	2301.8435	SLMO2	1137.1681
removed	removed	SLN	5.0147
SLPI	8506.5643	SLPI	979.351
SLTM	1580.0763	SLTM	2316.8142
SLU7	1255.551	SLU7	1377.2861
SMAD1	413.7539	SMAD1	1162.2419
SMAD2	2008.437	SMAD2	2322.7139
SMAD3	1031.6857	SMAD3	1719.469
SMAD4	1174.6927	SMAD4	2195.7552
SMAD5OS	7.3034	SMAD5OS	8.2596
SMAD5	2647.3264	SMAD5	2235.3982
SMAD6	36.517	SMAD6	255.1622
SMAD7	359.4547	SMAD7	825.0737
SMAD9	9.8437	SMAD9	95.8702
SMAGP	153.3716	SMAGP	236.5782
SMAP1	1033.4829	SMAP1	767.6608
SMAP2	758.6017	SMAP2	978.4661
SMARCA1	919.9118	SMARCA1	1452.2124
SMARCA2	2392.9773	SMARCA2	4843.3628
SMARCA4	2655.2649	SMARCA4	1628.3186
SMARCA5	1564.5169	SMARCA5	2120.059
SMARCAD1	716.6865	SMARCAD1	833.3333
SMARCAL1	665.5627	SMARCAL1	542.1829
SMARCB1	1217.7638	SMARCB1	936.5782
SMARCC1	4258.5216	SMARCC1	2206.4897
SMARCC2	1689.945	SMARCC2	3278.1711
SMARCD1	1101.8619	SMARCD1	1261.6519
SMARCD2	4031.4809	SMARCD2	2570.7965
SMARCD3	461.3848	SMARCD3	520.944
SMARCE1	1032.9558	SMARCE1	2873.4513
SMC1A	3050.6015	SMC1A	2356.3422
SMC2	324.5253	SMC2	525.0737
SMC3	1198.0763	SMC3	1805.8997
SMC4	951.9833	SMC4	613.5693
SMC5	831.9534	SMC5	1050.7375
SMC6	829.7306	SMC6	660.472
SMCHD1	672.231	SMCHD1	1584.0708
SMCR7L	2090.9973	SMCR7L	1530.6785
SMCR7	410.261	SMCR7	256.6372
SMCR8	1551.8248	SMCR8	1086.8083
SMEK1	2283.1086	SMEK1	1575.5162
SMEK2	3308.4435	SMEK2	2352.5074
SMG1	1882.0563	SMG1	3078.1711
SMG5	2158.9507	SMG5	1928.6136
SMG6	1046.61	SMG6	1738.9381
SMG7	3411.3263	SMG7	1875.8112
SMN1	15.6356	SMN1	9.4041
SMN2	731.8522	SMN2	623.3392
SMNDC1	693.5062	SMNDC1	620.059
SMOC1	3156.6597	SMOC1	378.1711
SMOC2	3495.7918	SMOC2	4836.2832
SMOX	136.8595	SMOX	127.4336
SMO	145.4331	SMO	370.7965
SMPD1	1319.0589	SMPD1	722.4189
SMPD2	337.2269	SMPD2	128.9086
SMPD3	30.8013	SMPD3	70.2065
SMPD4	1997.3231	SMPD4	1270.2065
SMPDL3A	270.8612	SMPDL3A	308.5546
SMPDL3B	1513.393	SMPDL3B	87.9056
SMS	1005.3299	SMS	933.9233
removed	removed	SMTNL2	12.9794
SMTN	704.62	SMTN	1528.3186
SMU1	1245.7073	SMU1	1551.3274
SMUG1	608.4056	SMUG1	392.0354
SMURF1	1349.603	SMURF1	1099.1386
SMURF2	451.5411	SMURF2	690.5605
removed	removed	SMYD1	484.9558
SMYD2	1022.477	SMYD2	580.236
SMYD3	850.3706	SMYD3	136.5782
SMYD4	213.7041	SMYD4	464.6018
SMYD5	1039.3066	SMYD5	585.8407
SNAI1	48.9011	SNAI1	283.1858
SNAI2	244.5054	SNAI2	965.4867
removed	removed	SNAI3	13.2743
SNAP23	1853.1602	SNAP23	1517.4041
SNAP25	11.4314	SNAP25	33.6283
SNAP29	1988.432	SNAP29	1085.2507
SNAP47	794.2328	SNAP47	609.1239
SNAPC1	98.1197	SNAPC1	189.0855
SNAPC2	271.1787	SNAPC2	278.1711
SNAPC3	407.4031	SNAPC3	471.3864
SNAPC4	103.5179	SNAPC4	217.9941
SNAPC5	126.3902	SNAPC5	97.5251
SNAPIN	790.6732	SNAPIN	671.3864
SNCAIP	26.6733	SNCAIP	276.4012
SNCA	25.4032	SNCA	172.8614
SNCG	84.783	SNCG	1186.7257
SND1	7928.6425	SND1	3087.3156
SNED1	554.4239	SNED1	1341.0029
SNF8	668.7381	SNF8	805.3097
SNHG10	34.6118	SNHG10	37.4631
SNHG11	687.7333	SNHG11	138.8702
SNHG12	31.1189	SNHG12	107.7139
SNHG1	126.6982	SNHG1	389.0855
SNHG3-RCC1	64.7431	SNHG3-RCC1	120.7168
SNHG3	26.6733	SNHG3	26.5487
SNHG4	16.1977	removed	removed
SNHG5	314.0465	SNHG5	1027.1386
SNHG6	445.8254	SNHG6	794.1003
SNHG7	164.8157	SNHG7	542.2979
SNHG8	361.6774	SNHG8	605.3097
SNHG9	116.2194	SNHG9	21.8289
SNIP1	198.4622	SNIP1	352.5074
SNN	415.0241	SNN	2198.5251
removed	removed	SNORA39	7.4425
removed	removed	SNORA7B	7.2979
SNORA8	81.1631	SNORA8	229.3864
removed	removed	SNORD116-20	10.6195
removed	removed	SNORD116-28	29.2891
removed	removed	SNORD116-4	53.4159
SNORD1C	5.5569	SNORD1C	7.292
SNPH	20.6401	SNPH	127.4336
removed	removed	SNRK	2526.5487
SNRNP200	7833.6982	SNRNP200	5780.826
SNRNP25	780.512	SNRNP25	271.9764
SNRNP27	810.6782	SNRNP27	625.0737
SNRNP35	324.8683	SNRNP35	365.4749
SNRNP40	421.6924	SNRNP40	700.885
SNRNP48	303.2502	SNRNP48	358.9971
SNRNP70	983.7372	SNRNP70	1743.3628
SNRPA1	589.3532	SNRPA1	264.0118
SNRPA	726.5303	SNRPA	845.4277
SNRPB2	1321.2817	SNRPB2	825.0737
SNRPB	3238.5849	SNRPB	1231.2684
SNRPC	1571.5027	SNRPC	712.9794
SNRPD1	525.8453	SNRPD1	471.9764
SNRPD2	1965.8867	SNRPD2	1880.826
SNRPD3	2670.6274	SNRPD3	1155.9322
SNRPE	1266.0298	SNRPE	524.4838
SNRPF	606.8179	SNRPF	446.3127
SNRPG	852.5934	SNRPG	450.4425
SNRPN	357.5018	SNRPN	1530.826
SNTA1	523.9401	SNTA1	907.3746
SNTB1	227.3582	SNTB1	560.767
SNTB2	596.9742	SNTB2	1756.0472
SNTG2	24.4505	SNTG2	54.5723
SNUPN	274.6716	SNUPN	434.2183
SNURF	18.7729	SNURF	90.2183
SNW1	1250.1528	SNW1	1555.7522
SNX10	121.9351	SNX10	396.7552
SNX11	462.9725	SNX11	680.236
SNX12	491.5511	SNX12	226.8437
SNX13	1541.019	SNX13	1174.0413
SNX14	108.281	SNX14	620.944
SNX15	174.6467	SNX15	694.6903
SNX16	120.665	SNX16	314.7493
SNX17	3541.1999	SNX17	2665.7817
SNX18	1775.6806	SNX18	1349.2625
SNX19	1530.2226	SNX19	2616.5192
SNX1	1518.1561	SNX1	5151.6224
SNX20	14.8005	SNX20	31.8584
SNX21	272.3536	SNX21	1010.9735
SNX22	117.4102	SNX22	102.4602
SNX24	178.7747	SNX24	138.0531
SNX25	276.5769	SNX25	320.649
SNX27	1308.9071	SNX27	994.2773
SNX29	466.4655	SNX29	1434.5133
SNX2	1651.5227	SNX2	1784.6608
SNX30	409.6259	SNX30	650.1475
removed	removed	SNX31	21.5339
SNX33	947.2202	SNX33	1534.5133
SNX3	1972.5551	SNX3	3725.3687
SNX4	593.4812	SNX4	734.5133
SNX5	2103.3813	SNX5	2469.0265
SNX6	1319.0589	SNX6	1648.9676
SNX7	101.6126	SNX7	416.2242
SNX8	663.3399	SNX8	415.6342
SNX9	1269.2052	SNX9	3167.8466
SOAT1	387.0806	SOAT1	599.705
SOBP	36.8346	SOBP	259.587
SOCS1	6.9859	SOCS1	43.0678
SOCS2	81.2901	SOCS2	808.5546
SOCS3	248.6334	SOCS3	1092.0354
SOCS4	921.4995	SOCS4	670.7965
SOCS5	875.4563	SOCS5	1308.2596
SOCS6	773.8436	SOCS6	810.9145
SOCS7	36.1995	SOCS7	71.9764
SOD1	4235.3412	SOD1	3479.056
SOD2	1884.2791	SOD2	8092.0354
SOD3	58.4273	SOD3	2400.59
SOHLH2	7.9956	SOHLH2	20.0914
SOLH	499.172	SOLH	341.5929
SON	6895.6867	SON	7214.4543
SORBS1	294.3591	SORBS1	14866.6667
SORBS2	1027.8752	SORBS2	1503.2448
SORBS3	2050.9873	SORBS3	3200
removed	removed	SORCS1	84.9558
SORCS2	49.8537	SORCS2	225.6637
SORD	1735.0356	SORD	359.587
SORL1	2063.6889	SORL1	1474.6313
SORT1	6774.0691	SORT1	4633.6283
SOS1	1903.0139	SOS1	1984.9558
SOS2	1041.8469	SOS2	1416.8142
removed	removed	SOSTDC1	318.2891
removed	removed	SOX10	984.9558
SOX11	69.8587	SOX11	21.8289
SOX12	576.9692	SOX12	273.4513
SOX13	1130.758	SOX13	1202.9499
SOX15	273.719	SOX15	23.0088
SOX17	36.517	SOX17	280.531
SOX18	131.4613	SOX18	858.4071
SOX4	5078.0909	SOX4	1676.1062
removed	removed	SOX5	158.1121
SOX6	100.66	SOX6	143.3628
SOX7	85.8404	SOX7	725.0737
removed	removed	SOX8	50.4425
SOX9	2644.151	SOX9	1376.1062
SP100	986.9126	SP100	2038.3481
SP110	396.6068	SP110	550.1475
SP140L	204.4954	SP140L	372.8614
SP140	12.0665	SP140	65.4867
SP1	3332.8941	SP1	3683.1858
SP2	437.8869	SP2	718.5841
SP3	2254.8476	SP3	2114.1593
SP4	158.7697	SP4	262.2419
SP5	242.9177	SP5	32.1534
SP6	179.4098	SP6	104.7198
SPA17	134.0016	SPA17	47.4926
SPACA4	8.8911	removed	removed
SPAG16	156.8645	SPAG16	298.5251
SPAG17	81.2901	SPAG17	38.6431
SPAG1	423.5976	SPAG1	138.6431
removed	removed	SPAG4	18.5841
SPAG5	196.8745	SPAG5	68.1416
removed	removed	SPAG6	8.5546
SPAG7	713.5111	SPAG7	850.4425
removed	removed	SPAG8	12.6844
SPAG9	1359.0688	SPAG9	3079.056
SPARCL1	2576.5151	SPARCL1	31048.3776
SPARC	31099.8138	SPARC	56104.7198
SPAST	743.9949	SPAST	487.6106
SPATA13	952.92	SPATA13	431.4897
SPATA17	15.2419	SPATA17	5.8997
SPATA18	26.3558	SPATA18	299.115
SPATA20	812.2659	SPATA20	1133.3805
removed	removed	SPATA22	10.764
SPATA24	12.7016	SPATA24	27.1386
SPATA2L	104.788	SPATA2L	95.5752
SPATA2	417.5644	SPATA2	372.2714
SPATA5L1	125.1105	SPATA5L1	147.7876
SPATA5	87.9584	SPATA5	188.7906
SPATA6	111.7739	SPATA6	121.5339
SPATA7	64.4605	SPATA7	198.8201
removed	removed	SPATA9	23.8938
SPATS2L	2960.4203	SPATS2L	1393.5103
SPATS2	740.1845	SPATS2	328.6136
SPC24	25.7207	removed	removed
SPC25	144.4804	SPC25	5.0147
SPCS1	3251.5881	SPCS1	1361.0619
SPCS2	457.2568	SPCS2	575.5162
SPCS3	3275.4194	SPCS3	2710.6195
SPDEF	13444.6203	SPDEF	680.236
SPDYA	6.4429	SPDYA	6.3422
SPDYE1	11.822	removed	removed
SPDYE3	174.218	SPDYE3	65.2891
SPDYE5	6.6683	SPDYE5	5.8997
SPDYE6	51.1239	SPDYE6	14.7493
SPDYE7P	5.0806	removed	removed
SPDYE8P	18.0997	SPDYE8P	12.3894
SPEF1	15.5594	removed	removed
SPEF2	65.7307	SPEF2	144.5428
SPEG	6.6683	SPEG	363.7168
SPEN	1739.4811	SPEN	2975.5162
removed	removed	SPESP1	31.2684
SPG11	1296.5136	SPG11	1861.0619
SPG20	708.7481	SPG20	2224.7788
SPG21	2334.2325	SPG21	1548.9676
SPG7	509.3333	SPG7	1096.1652
SPHAR	289.3356	SPHAR	161.3569
SPHK1	173.5131	SPHK1	284.2891
SPHK2	175.9677	SPHK2	196.7847
removed	removed	SPHKAP	29.4985
SPI1	186.0781	SPI1	268.1416
removed	removed	SPIB	16.5192
SPIN1	2387.2616	SPIN1	2523.0088
removed	removed	SPIN2A	7.3746
SPIN2B	166.9432	SPIN2B	91.9056
SPIN3	145.7506	SPIN3	270.7965
SPIN4	238.1546	SPIN4	159.882
SPINK5	50.4888	SPINK5	384.3658
removed	removed	SPINK8	12.9794
SPINT1	8033.7481	SPINT1	1382.0059
SPINT2	16516.497	SPINT2	2642.1829
SPIRE1	214.6567	SPIRE1	754.8673
SPIRE2	258.4771	SPIRE2	46.0177
SPNS1	605.281	SPNS1	529.3333
SPNS2	1213.7628	SPNS2	1272.6844
removed	removed	SPNS3	6.7847
SPN	61.6027	SPN	235.9882
SPOCD1	32.0715	SPOCD1	14.7493
SPOCK1	869.1055	SPOCK1	1633.6283
SPOCK2	100.66	SPOCK2	574.0413
removed	removed	SPOCK3	15.0442
SPON1	878.9492	SPON1	1969.6165
SPON2	280.0698	SPON2	772.8614
SPOPL	2282.156	SPOPL	997.0501
SPOP	634.1263	SPOP	1451.3274
SPP1	5092.3802	SPP1	884.9558
SPPL2A	895.1437	SPPL2A	707.6696
SPPL2B	518.2244	SPPL2B	465.7817
SPPL3	1019.9367	SPPL3	1298.8201
SPRED1	1522.2841	SPRED1	1303.8348
SPRED2	2413.2998	SPRED2	1466.9617
SPRN	37.4697	SPRN	60.177
removed	removed	SPRR2F	7.6696
SPRY1	687.1554	SPRY1	2309.1445
SPRY2	142.2577	SPRY2	1494.6903
SPRY3	127.3333	SPRY3	110.3245
SPRY4	1472.748	SPRY4	992.0354
SPRYD3	1716.6183	SPRYD3	1615.9292
SPRYD4	361.3599	SPRYD4	267.2566
SPR	1449.2501	SPR	592.0354
SPSB1	242.9177	SPSB1	774.3363
SPSB2	94.6268	SPSB2	111.2094
SPSB3	537.5943	SPSB3	642.1829
removed	removed	SPSB4	15.3392
removed	removed	SPTA1	12.0944
SPTAN1	8082.6492	SPTAN1	10306.1947
SPTBN1	9230.2367	SPTBN1	30157.2271
SPTBN2	91660.6202	SPTBN2	2145.7227
SPTBN4	36.517	SPTBN4	71.6814
removed	removed	SPTBN5	56.174
SPTB	49.8537	SPTB	526.2537
SPTLC1	1693.4379	SPTLC1	1686.4307
SPTLC2	3445.9381	SPTLC2	2476.6962
SPTLC3	135.9069	SPTLC3	292.6254
SPTY2D1	1348.59	SPTY2D1	797.0944
SQLE	3067.1136	SQLE	302.6549
SQRDL	2321.2134	SQRDL	1326.5487
SQSTM1	8740.1241	SQSTM1	9294.1003
SR140	1457.5061	SR140	2026.2537
SRA1	1088.5252	SRA1	424.1888
SRBD1	558.5519	SRBD1	478.4661
SRCAP	3387.5109	SRCAP	3323.8938
SRCIN1	54.2992	SRCIN1	119.174
SRCRB4D	11.1456	SRCRB4D	35.1032
SRC	101.6126	SRC	628.9086
SRD5A1	486.1529	SRD5A1	110.9145
SRD5A3	2007.7638	SRD5A3	455.4572
SREBF1	4952.3453	SREBF1	3048.3776
SREBF2	6831.5437	SREBF2	2634.2183
SRFBP1	245.7755	SRFBP1	221.2389
SRF	882.1246	SRF	1716.8142
SRGAP1	1024.3823	SRGAP1	496.7552
SRGAP2	514.7314	SRGAP2	904.1298
SRGAP3	613.8038	SRGAP3	212.3894
SRGN	443.6026	SRGN	2023.8938
SRI	2838.8027	SRI	1625.3687
SRL	10.1613	SRL	120.059
SRMS	107.6459	removed	removed
SRM	925.31	SRM	884.0708
SRP14	4476.6712	SRP14	4047.7876
