gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
RPL13AP6	9.0253	RPL13AP6	5.2531
RPL13A	11039.7112	RPL13A	26167.8957
RPL13P5	24.8195	RPL13P5	9.2939
RPL13	4424.1877	RPL13	23752.2982
RPL14	3306.8592	RPL14	12393.171
RPL15	13425.0903	RPL15	26839.0747
RPL17	3492.1886	RPL17	12683.8347
RPL18A	1014.4404	RPL18A	2430.5485
RPL18	6830.7762	RPL18	18049.0959
RPL19P12	72.2022	RPL19P12	73.9469
RPL19	12753.6101	RPL19	24254.1671
removed	removed	RPL21	16.5673
RPL22L1	151.6245	RPL22L1	345.0854
RPL22	6702.6173	RPL22	11604.4045
RPL23AP53	215.704	RPL23AP53	234.3671
RPL23AP64	7.6715	RPL23AP64	10.5061
RPL23AP7	78.0686	RPL23AP7	105.0611
RPL23AP82	159.7473	RPL23AP82	92.1305
RPL23A	3022.5632	RPL23A	5284.9783
RPL23P8	99.278	RPL23P8	153.9549
RPL23	6845.6679	RPL23	12585.1096
RPL24	3930.5054	RPL24	10743.7115
RPL26L1	303.2491	RPL26L1	130.5182
RPL26	3480.1444	RPL26	19157.8947
RPL27A	8266.6968	RPL27A	14112.5366
RPL27	5587.9964	RPL27	10738.8625
RPL28	4953.9711	RPL28	7978.5837
RPL29	4768.0505	RPL29	15640.3677
RPL30	8283.8448	RPL30	17194.8682
RPL31	4201.7148	RPL31	20106.2734
RPL32P3	210.0316	RPL32P3	374.0055
RPL32	8380.8664	RPL32	25048.9948
RPL34	3115.5235	RPL34	12444.4893
RPL35A	4490.0722	RPL35A	13286.5946
RPL35	2332.5812	RPL35	7991.9184
RPL36AL	1200.8123	RPL36AL	2973.2296
RPL36A	29.7834	RPL36A	115.5672
RPL36	2712.0939	RPL36	10529.9525
RPL37A	6316.787	RPL37A	12062.2285
RPL37	5920.5776	RPL37	15494.4944
RPL38	2989.1697	RPL38	6103.2428
RPL39L	207.5812	RPL39L	130.5182
RPL39	397.1119	RPL39	920.497
RPL3	17222.4729	RPL3	76233.1549
RPL41	11120.0361	RPL41	22232.5487
RPL4	10661.1011	RPL4	38083.8469
RPL5	6129.9639	RPL5	31175.6743
RPL6	5648.4657	RPL6	12844.1257
RPL7A	7964.8014	RPL7A	24947.5705
RPL7L1	926.444	RPL7L1	1198.909
RPL7	877.7076	RPL7	2758.6625
RPL8	27892.148	RPL8	32957.2684
RPL9	1317.6895	RPL9	3340.5394
RPLP0P2	123.6462	RPLP0P2	10.5061
RPLP0	22973.3755	RPLP0	40131.3264
RPLP1	10250	RPLP1	26232.5487
RPLP2	6028.8809	RPLP2	11898.9797
RPN1	7223.3755	RPN1	4500.6566
RPN2	21739.1697	RPN2	5290.2313
RPP14	621.3899	RPP14	495.8077
RPP21	129.5126	RPP21	210.5263
RPP25	110.5596	RPP25	197.9998
RPP30	546.0289	RPP30	463.0771
RPP38	160.6498	RPP38	338.216
RPP40	84.3863	RPP40	98.1917
RPPH1	7.6715	RPPH1	7.6775
RPRD1A	1972.9242	RPRD1A	1338.7211
RPRD1B	1570.8484	RPRD1B	960.9051
RPRD2	2365.9747	RPRD2	2314.9813
RPS10P7	73.1047	RPS10P7	125.6693
RPS10	2208.0325	RPS10	7504.5964
RPS11	12360.1083	RPS11	28593.1912
RPS12	6217.9603	RPS12	18765.5319
RPS13	4314.5307	RPS13	8987.5745
RPS14	4141.2455	RPS14	20387.1098
RPS15AP10	7.2202	RPS15AP10	9.2939
RPS15A	4954.4224	RPS15A	14243.4589
RPS15	1071.2996	RPS15	4090.9183
RPS16	6654.3321	RPS16	12209.7182
RPS17	6247.7437	RPS17	13392.4639
RPS18	8422.3827	RPS18	39457.723
RPS19BP1	1832.5812	RPS19BP1	661.885
RPS19	8742.3285	RPS19	20299.8283
RPS20	6291.065	RPS20	15025.7602
RPS21	1763.5379	RPS21	7075.4622
RPS23	6353.3394	RPS23	19357.5109
RPS24	9883.1227	RPS24	24205.2733
RPS25	3614.6209	RPS25	12880.0889
RPS26	239.1697	RPS26	145.8733
RPS27A	4924.1877	RPS27A	13935.549
RPS27L	728.7906	RPS27L	958.8847
RPS27	61.3718	RPS27	2028.4877
RPS28	350.1805	RPS28	642.0851
RPS29	1670.5776	RPS29	7444.3883
RPS2	9584.8375	RPS2	20576.6239
RPS3A	3859.657	RPS3A	10257.6018
RPS3	7287.0036	RPS3	33840.1859
RPS4X	20300.5415	RPS4X	54889.1807
RPS5	7767.5993	RPS5	17360.1374
RPS6KA1	917.87	RPS6KA1	930.195
RPS6KA2	638.9892	RPS6KA2	1241.7416
RPS6KA3	987.3646	RPS6KA3	1409.0312
RPS6KA4	585.2888	RPS6KA4	415.7996
RPS6KA5	81.6787	RPS6KA5	585.9178
RPS6KA6	145.7581	RPS6KA6	90.5142
RPS6KB1	1037.9061	RPS6KB1	963.7337
RPS6KB2	593.8628	RPS6KB2	458.2281
RPS6KC1	1054.1516	RPS6KC1	522.0729
removed	removed	RPS6KL1	117.1836
RPS6	10572.2022	RPS6	47780.5839
RPS7	1824.4585	RPS7	8208.1018
RPS8	10503.6101	RPS8	31108.1927
RPS9	5225.1805	RPS9	18738.8625
RPSAP58	3557.7617	RPSAP58	8960.5011
RPSAP9	7.2202	RPSAP9	24.2449
RPSA	2915.6137	RPSA	7026.9724
RPTOR	1513.9892	RPTOR	893.4236
RPUSD1	532.491	RPUSD1	313.9711
RPUSD2	129.9639	RPUSD2	212.5467
RPUSD3	495.9386	RPUSD3	374.1792
RPUSD4	366.426	RPUSD4	712.7993
RQCD1	299.639	RQCD1	184.6651
RRAD	9.0253	RRAD	47.2775
RRAGA	1041.065	RRAGA	1695.1207
RRAGB	463.4477	RRAGB	339.0241
RRAGC	530.2347	RRAGC	428.3261
RRAGD	241.426	RRAGD	510.3546
RRAS2	180.9567	RRAS2	319.6282
RRAS	362.8159	RRAS	452.1669
RRBP1	5500	RRBP1	4311.5466
RREB1	1063.6282	RREB1	1748.0554
removed	removed	RRH	10.5061
RRM1	3330.7762	RRM1	1557.329
RRM2B	1996.8412	RRM2B	699.4646
RRM2	1021.6606	RRM2	21.4163
RRN3P1	5.8664	RRN3P1	63.8448
removed	removed	RRN3P2	7.6775
RRN3P3	25.5054	RRN3P3	62.8912
RRN3	1920.5776	RRN3	1354.8843
RRP12	1755.4152	RRP12	855.0359
RRP15	869.1336	RRP15	581.4729
RRP1B	769.4043	RRP1B	1124.558
RRP1	344.7653	RRP1	476.4118
RRP7A	655.6859	RRP7A	558.8443
RRP7B	78.1363	RRP7B	263.4529
RRP8	484.2058	RRP8	337.4078
RRP9	202.6173	RRP9	408.122
RRS1	655.6859	RRS1	306.6976
RSAD1	627.2563	RSAD1	980.301
RSAD2	704.8736	RSAD2	94.1509
RSBN1L	674.9278	RSBN1L	562.8367
RSBN1	564.9819	RSBN1	1050.2071
RSC1A1	454.287	RSC1A1	408.5665
RSF1	714.8014	RSF1	1097.8887
RSL1D1	4941.3357	RSL1D1	6649.1565
RSL24D1	811.3718	RSL24D1	2922.7195
RSPH1	77.1661	RSPH1	77.5836
RSPH3	203.9711	RSPH3	219.012
RSPH4A	16.2455	RSPH4A	14.5469
removed	removed	RSPH9	6.0612
RSPO1	52.3466	RSPO1	455.3995
RSPO3	57.7617	RSPO3	200.0202
RSPO4	66.3357	RSPO4	41.2163
RSPRY1	819.9458	RSPRY1	543.0852
RSRC1	406.5884	RSRC1	179.4121
RSRC2	1702.6173	RSRC2	1687.0391
RSU1	1202.6173	RSU1	1605.0106
RTCD1	977.4368	RTCD1	432.771
RTDR1	6.769	removed	removed
RTEL1	278.2987	RTEL1	420.0222
RTF1	1734.657	RTF1	2060.4101
RTKN2	94.7653	RTKN2	61.0163
RTKN	554.1516	RTKN	710.3748
RTN1	256.769	RTN1	350.3384
RTN2	185.4693	RTN2	352.3588
RTN3	7203.9711	RTN3	4317.2038
RTN4IP1	83.935	RTN4IP1	122.0325
RTN4RL1	712.9964	RTN4RL1	711.1829
RTN4RL2	65.4332	RTN4RL2	14.1428
RTN4R	59.5668	RTN4R	57.3795
RTN4	8821.7509	RTN4	5510.0515
RTP4	83.935	RTP4	111.1223
RTTN	236.0108	RTTN	482.473
RUFY1	2566.3357	RUFY1	1312.0517
RUFY2	357.4007	RUFY2	463.0771
RUFY3	785.1986	RUFY3	958.8847
RUFY4	12.1841	RUFY4	6.0612
RUNDC1	1400.2708	RUNDC1	1027.9826
RUNDC2A	70.8484	RUNDC2A	63.4408
RUNDC2C	23.3709	RUNDC2C	51.4395
RUNDC3A	18.9531	RUNDC3A	8.8898
RUNDC3B	20.3069	RUNDC3B	139.8121
RUNX1T1	70.3971	RUNX1T1	120.8203
RUNX1	5120.9386	RUNX1	4553.5913
RUNX2	491.426	RUNX2	147.4896
RUNX3	210.7401	RUNX3	719.2646
RUSC1	1895.7581	RUSC1	541.4688
RUSC2	608.7545	RUSC2	1054.652
RUVBL1	1559.2599	RUVBL1	640.0081
RUVBL2	1626.3538	RUVBL2	1307.6068
RWDD1	618.6823	RWDD1	806.142
RWDD2A	100.6318	RWDD2A	116.3754
RWDD2B	254.9639	RWDD2B	384.2812
RWDD3	137.7708	RWDD3	296.1713
RWDD4A	740.0722	RWDD4A	550.3586
RXRA	1921.9314	RXRA	1866.4512
RXRB	735.1083	RXRB	1362.1578
removed	removed	RXRG	5.2531
RYBP	2690.4332	RYBP	1441.7618
RYK	1285.6498	RYK	1810.2839
RYR1	104.6931	RYR1	450.5506
RYR2	6.3177	RYR2	6.8694
RYR3	9.4765	RYR3	201.2324
S100A10	1601.083	S100A10	1111.6274
S100A11	6380.4152	S100A11	2461.2587
S100A13	1746.8412	S100A13	1249.4191
S100A14	11947.6534	S100A14	1118.4968
S100A16	7090.2527	S100A16	1752.5003
S100A1	393.0505	S100A1	751.9952
S100A2	5.8664	S100A2	34.3469
S100A3	5.8664	removed	removed
S100A4	569.9458	S100A4	677.6442
S100A6	2088.4477	S100A6	4645.7218
S100A8	13.5379	removed	removed
S100A9	40.1625	S100A9	42.0244
S100B	16.6968	S100B	292.1507
S100PBP	626.8051	S100PBP	720.8809
S100P	38.8087	S100P	6.4653
S1PR1	354.6931	S1PR1	914.0317
S1PR2	294.2238	S1PR2	259.0161
S1PR3	671.0199	S1PR3	573.7347
S1PR4	26.6245	S1PR4	18.9918
S1PR5	81.6787	S1PR5	21.4163
SAA1	206.2274	SAA1	2762.2992
SAA2	34.296	SAA2	196.3835
removed	removed	SAA4	16.1632
SAAL1	170.5776	SAAL1	181.4325
SAC3D1	202.1661	SAC3D1	109.506
SACM1L	1060.0181	SACM1L	1164.9662
SACS	476.5343	SACS	1178.3008
SAE1	2192.2383	SAE1	1302.7579
SAFB2	883.1227	SAFB2	1426.4067
SAFB	1214.8014	SAFB	1925.0429
SALL1	56.8592	SALL1	14.951
SALL2	526.1733	SALL2	761.289
SALL4	55.5054	removed	removed
SAMD10	106.9495	SAMD10	159.6121
SAMD11	62.3421	SAMD11	5.3743
SAMD12	701.2635	SAMD12	445.7016
SAMD13	8.574	SAMD13	49.2979
SAMD14	9.9278	removed	removed
SAMD1	278.8809	SAMD1	168.906
SAMD3	17.5993	SAMD3	24.649
SAMD4A	209.3863	SAMD4A	429.1343
SAMD4B	2365.9747	SAMD4B	1805.839
SAMD5	36.5523	SAMD5	1626.4269
SAMD8	157.9422	SAMD8	151.9345
SAMD9L	666.065	SAMD9L	647.3381
SAMD9	775.722	SAMD9	377.8159
SAMHD1	1295.3114	SAMHD1	595.9349
SAMM50	1219.3141	SAMM50	1145.1662
SAMSN1	197.2022	SAMSN1	48.8938
SAP130	932.3105	SAP130	713.6074
SAP18	2664.7112	SAP18	2245.0753
SAP30BP	974.7292	SAP30BP	1049.803
SAP30L	924.639	SAP30L	2043.8428
SAP30	164.2599	SAP30	104.253
SAPS1	3218.4116	SAPS1	1327.8109
SAPS2	1305.9567	SAPS2	1236.4885
SAPS3	3116.426	SAPS3	2469.3403
SAR1A	2145.3069	SAR1A	2022.4265
SAR1B	386.2816	SAR1B	399.6363
SARDH	93.8628	SARDH	73.1387
SARM1	584.0523	SARM1	484.457
SARNP	621.5388	SARNP	614.2115
SARS2	338.4477	SARS2	384.2812
SARS	2462.0939	SARS	3052.4295
SART1	1067.2383	SART1	1282.9579
SART3	1618.231	SART3	1579.9576
SASH1	1042.87	SASH1	2828.5685
SASH3	332.13	SASH3	269.9263
SASS6	212.9964	SASS6	170.9264
SAT1	2084.8375	SAT1	1908.8797
SAT2	514.8917	SAT2	754.8237
SATB1	546.9314	SATB1	1343.166
SATB2	71.7509	SATB2	72.7346
SATL1	44.2238	SATL1	31.9224
SAV1	697.2022	SAV1	2273.765
SBDSP1	664.7112	SBDSP1	427.1138
SBDS	1661.5523	SBDS	1946.0552
SBF1	1410.1986	SBF1	1789.2716
SBF2	1264.4134	SBF2	1439.6687
SBK1	442.2383	SBK1	257.3997
SBK2	6.3177	removed	removed
SBNO1	701.7148	SBNO1	770.5829
SBNO2	1044.6751	SBNO2	1224.7702
SBSN	8.1227	removed	removed
SC4MOL	1577.1661	SC4MOL	772.6033
SC5DL	1379.5126	SC5DL	1522.174
SC65	1592.9603	SC65	303.8691
SCAF1	1695.3971	SCAF1	1151.6315
SCAI	196.2996	SCAI	533.3872
SCAMP1	1453.5199	SCAMP1	1574.7045
SCAMP2	3023.917	SCAMP2	2225.6794
SCAMP3	2539.2599	SCAMP3	995.252
SCAMP4	1422.3827	SCAMP4	1611.0718
SCAMP5	715.2527	SCAMP5	287.7058
SCAND1	310.4693	SCAND1	288.1099
SCAND2	367.3285	SCAND2	366.9057
removed	removed	SCAND3	161.2284
SCAPER	384.9278	SCAPER	517.628
SCAP	1600.8168	SCAP	2391.6072
SCARA3	594.7653	SCARA3	2442.2669
SCARA5	18.9531	SCARA5	511.9709
SCARB1	1965.704	SCARB1	1467.2189
SCARB2	9912.9061	SCARB2	7594.7065
SCARF1	95.6679	SCARF1	244.4691
SCARF2	211.6426	SCARF2	118.3958
removed	removed	SCARNA17	6.4653
SCCPDH	1773.0144	SCCPDH	799.6767
SCD5	675.5415	SCD5	302.2528
SCD	29265.7942	SCD	5163.7539
SCFD1	722.0217	SCFD1	1020.3051
SCFD2	618.6823	SCFD2	402.0608
SCG2	16.2455	SCG2	5.2531
SCG5	107.4007	SCG5	261.8446
SCGB1D2	34.7473	SCGB1D2	9514.4964
SCGB2A1	12.1841	SCGB2A1	523.6893
SCGB2A2	128.1588	SCGB2A2	25355.6925
SCGB3A1	10.3791	SCGB3A1	520.4566
removed	removed	SCGN	6.4653
SCHIP1	52.3466	SCHIP1	288.514
SCIN	49.1877	SCIN	24.649
SCLT1	132.6715	SCLT1	162.8447
SCLY	288.4973	SCLY	194.3631
SCMH1	810.9206	SCMH1	1387.2108
SCML1	190.4332	SCML1	183.0488
SCML2	123.1949	SCML2	71.1183
SCML4	23.917	SCML4	43.6408
SCN11A	5.8664	SCN11A	16.9714
SCN1B	62.2744	SCN1B	93.3428
SCN2A	10.3791	SCN2A	337.0037
SCN2B	42.4188	SCN2B	254.1671
SCN3A	13.0866	SCN3A	96.9795
SCN3B	25.722	SCN3B	74.755
SCN4A	25.2708	SCN4A	136.5795
SCN4B	67.6895	SCN4B	1030.003
SCN5A	6.769	SCN5A	48.4897
SCN7A	22.1119	SCN7A	40.004
SCN8A	41.9675	SCN8A	82.0285
SCN9A	9.9278	SCN9A	20.9516
SCNM1	342.509	SCNM1	348.318
SCNN1A	3838.8989	SCNN1A	2555.0056
SCNN1B	15.7942	SCNN1B	214.5671
SCNN1D	37.0036	SCNN1D	103.8489
SCNN1G	20.7581	SCNN1G	185.4733
SCO1	1017.5993	SCO1	342.2568
SCO2	512.1841	SCO2	253.763
SCOC	3162.9061	SCOC	1332.6599
SCP2	2642.5993	SCP2	2725.9319
SCPEP1	1313.1769	SCPEP1	3707.8493
removed	removed	SCRG1	9.2939
SCRIB	3741.8773	SCRIB	1314.0721
SCRN1	1834.8375	SCRN1	1359.7333
SCRN2	435.4693	SCRN2	908.3746
SCRN3	549.1877	SCRN3	373.371
SCUBE1	150.2708	SCUBE1	172.9468
SCUBE2	40329.4224	SCUBE2	4490.1505
SCUBE3	33.3935	SCUBE3	7.2735
SCYL1	2804.5397	SCYL1	1429.1827
SCYL2	2027.5271	SCYL2	1124.558
SCYL3	633.8312	SCYL3	582.6164
SDAD1	1353.7906	SDAD1	1193.2518
SDC1	8446.2996	SDC1	1483.3822
SDC2	2222.0217	SDC2	1338.317
SDC3	2475.6318	SDC3	2862.5114
SDC4	6592.9603	SDC4	5256.6926
SDCBP2	39.1471	SDCBP2	54.4661
SDCBP	3581.2274	SDCBP	2567.128
SDCCAG1	833.4838	SDCCAG1	1063.1377
SDCCAG3	478.3394	SDCCAG3	493.7873
SDCCAG8	585.2888	SDCCAG8	563.2892
SDF2L1	625.9025	SDF2L1	174.159
SDF2	850.6318	SDF2	726.538
SDF4	3198.1047	SDF4	2077.3816
SDHAF1	105.1444	SDHAF1	204.061
SDHAF2	822.2022	SDHAF2	460.2485
SDHAP1	149.3682	SDHAP1	302.2528
SDHAP2	97.4729	SDHAP2	374.5833
SDHAP3	101.5343	SDHAP3	169.31
SDHA	2720.6679	SDHA	1910.0919
SDHB	1091.1552	SDHB	926.1542
SDHC	3168.7726	SDHC	1370.6435
SDHD	916.9675	SDHD	1579.1494
SDK1	150.722	SDK1	261.0365
SDK2	655.2347	SDK2	622.6892
SDPR	110.5596	SDPR	1295.0803
SDR16C5	49.1877	SDR16C5	86.0693
SDR39U1	350.898	SDR39U1	686.3117
SDR42E1	9.4765	SDR42E1	370.9466
SDSL	450.8123	SDSL	130.9223
SDS	206.2274	SDS	31.9224
SEC11A	1806.4079	SEC11A	1948.4796
SEC11C	1055.5054	SEC11C	767.7543
SEC13	1993.231	SEC13	1302.3538
SEC14L1	1865.9747	SEC14L1	2006.2633
SEC14L2	9714.7202	SEC14L2	1485.7784
SEC14L4	8.1227	removed	removed
SEC14L5	11.7329	SEC14L5	24.2449
SEC16A	4358.3032	SEC16A	4352.3588
SEC16B	165.2166	SEC16B	336.1026
SEC1	5.8664	SEC1	18.9918
SEC22A	333.935	SEC22A	377.4119
SEC22B	2755.4152	SEC22B	1222.3457
SEC22C	490.0722	SEC22C	758.8645
SEC23A	1630.8664	SEC23A	850.9951
SEC23B	3129.0614	SEC23B	1836.9532
SEC23IP	2545.5776	SEC23IP	1192.8478
SEC24A	928.2491	SEC24A	842.5093
SEC24B	1994.5848	SEC24B	1606.6269
SEC24C	5233.3032	SEC24C	3417.3149
SEC24D	3330.7762	SEC24D	997.6765
SEC31A	7161.2771	SEC31A	4329.0312
SEC31B	27.1751	SEC31B	319.5515
SEC61A1	14308.5199	SEC61A1	6676.3067
SEC61A2	101.9404	SEC61A2	118.8201
SEC61B	870.9386	SEC61B	902.7174
SEC61G	706.6787	SEC61G	425.0934
SEC62	4093.8628	SEC62	3382.1598
SEC63	2689.9819	SEC63	3078.2907
SECISBP2L	1136.7329	SECISBP2L	1953.3286
SECISBP2	742.3285	SECISBP2	1365.7945
SECTM1	420.1264	SECTM1	171.7345
SEH1L	751.8051	SEH1L	740.2768
SEL1L3	776.1733	SEL1L3	544.7015
SEL1L	3509.0253	SEL1L	3376.9068
SELENBP1	2152.5271	SELENBP1	2445.4995
SELE	131.3177	SELE	142.2366
SELK	289.7112	SELK	450.1465
SELL	358.7545	SELL	64.653
SELM	908.3935	SELM	743.9135
SELO	363.2671	SELO	385.0894
SELPLG	588.8989	SELPLG	416.6077
SELP	151.1733	SELP	252.5508
SELS	976.5343	SELS	674.8156
SELT	3381.3177	SELT	1446.2067
SEMA3A	47.3827	SEMA3A	28.2857
SEMA3B	946.7509	SEMA3B	425.0934
SEMA3C	3034.7473	SEMA3C	6756.6421
SEMA3D	230.1444	SEMA3D	251.7426
SEMA3E	245.9386	SEMA3E	643.2973
SEMA3F	3775.722	SEMA3F	1196.0804
SEMA3G	355.5957	SEMA3G	1685.0187
SEMA4A	1254.0614	SEMA4A	978.6847
SEMA4B	2189.0794	SEMA4B	2790.989
SEMA4C	615.0722	SEMA4C	1072.4316
SEMA4D	500.4513	SEMA4D	708.7585
SEMA4F	315.8845	SEMA4F	316.7997
SEMA4G	894.8195	SEMA4G	257.5897
SEMA5A	925.0903	SEMA5A	3532.0739
SEMA5B	13.0866	SEMA5B	19.3959
SEMA6A	651.6245	SEMA6A	1496.7168
SEMA6B	129.9639	SEMA6B	162.0366
SEMA6C	98.8267	SEMA6C	400.4445
SEMA6D	81.6787	SEMA6D	829.1747
SEMA7A	361.9134	SEMA7A	54.955
SENP1	763.9892	SENP1	564.9055
SENP2	919.2238	SENP2	998.4847
SENP3	847.3782	SENP3	971.4355
SENP5	1072.6534	SENP5	809.7788
SENP6	1405.2347	SENP6	2312.1527
SENP7	363.7184	SENP7	641.681
SENP8	78.9711	SENP8	76.3714
SEP15	1967.509	SEP15	2498.0301
SEPHS1	819.4946	SEPHS1	989.1908
SEPHS2	3050.9928	SEPHS2	1361.3496
SEPN1	5768.0505	SEPN1	3185.3723
SEPP1	5317.8745	SEPP1	17099.5252
SEPSECS	395.7581	SEPSECS	492.1709
SEPT10	1081.2274	SEPT10	1954.5409
SEPT11	4000	SEPT11	1321.7497
SEPT12	8.574	removed	removed
SEPT1	86.6426	SEPT1	120.8203
SEPT2	9354.2419	SEPT2	7140.9233
SEPT3	347.0217	SEPT3	254.9753
SEPT4	161.5523	SEPT4	407.718
SEPT5	1685.0181	SEPT5	710.7789
SEPT6	641.2455	SEPT6	773.0074
SEPT7P2	136.7329	SEPT7P2	281.2405
SEPT7	3495.9386	SEPT7	2648.7524
SEPT8	1810.1264	SEPT8	1141.8365
SEPT9	7586.6426	SEPT9	4933.0235
SEPW1	4574.4585	SEPW1	1680.5738
SEPX1	666.5162	SEPX1	246.8936
SERAC1	206.6787	SERAC1	275.5834
SERBP1	4002.2563	SERBP1	6426.1036
SERF1A	314.9819	SERF1A	510.3546
SERF2	5259.0072	SERF2	4573.1286
SERGEF	316.3357	SERGEF	291.3426
SERHL2	92.4413	SERHL2	189.5222
SERHL	126.3538	SERHL	167.6937
SERINC1	4127.7076	SERINC1	7166.3804
SERINC2	6610.5596	SERINC2	2443.4791
SERINC3	4299.1877	SERINC3	2874.2297
removed	removed	SERINC4	13.1933
SERINC5	270.3069	SERINC5	420.2445
SERP1	5155.4919	SERP1	4340.5354
SERP2	79.8736	SERP2	77.5836
removed	removed	SERPINA10	5.2531
SERPINA11	371.8412	SERPINA11	216.1835
SERPINA12	9.0253	removed	removed
SERPINA1	1592.0578	SERPINA1	15574.5025
SERPINA3	25966.1552	SERPINA3	8805.738
SERPINA4	6.769	SERPINA4	31.9224
SERPINA5	81.6787	SERPINA5	778.2604
SERPINA6	1151.1733	SERPINA6	2069.704
SERPINB1	616.426	SERPINB1	762.9053
SERPINB5	27.9783	SERPINB5	851.8032
SERPINB6	1159.7473	SERPINB6	1565.8147
SERPINB8	149.8195	SERPINB8	191.1304
SERPINB9	269.8556	SERPINB9	190.7263
SERPINE1	665.1625	SERPINE1	43.6408
SERPINE2	341.6065	SERPINE2	322.0527
SERPINF1	2619.1336	SERPINF1	2828.9726
SERPINF2	42.87	SERPINF2	124.457
SERPING1	5486.0108	SERPING1	6422.4669
SERPINH1	4133.1227	SERPINH1	1693.1003
SERPINI1	326.7148	SERPINI1	275.1793
SERTAD1	458.935	SERTAD1	305.4854
SERTAD2	850.1805	SERTAD2	1594.9086
SERTAD3	1333.4838	SERTAD3	619.8606
SERTAD4	498.1949	SERTAD4	435.5996
SESN1	545.5776	SESN1	1059.501
SESN2	872.7437	SESN2	311.9507
SESN3	517.148	SESN3	479.6444
SESTD1	1222.4729	SESTD1	1626.0228
SETBP1	251.8051	SETBP1	1149.207
SETD1A	963.8989	SETD1A	998.0806
SETD1B	1569.0433	SETD1B	1278.513
SETD2	1986.0108	SETD2	2997.4745
SETD3	1365.5235	SETD3	1326.5986
SETD4	248.1949	SETD4	515.2036
SETD5	3798.7365	SETD5	3288.0089
SETD6	280.2888	SETD6	473.1145
SETD7	3339.3502	SETD7	3200.3233
SETD8	1188.6282	SETD8	654.6116
SETDB1	1137.6354	SETDB1	1399.7373
SETDB2	251.3538	SETDB2	787.9584
SETMAR	245.0361	SETMAR	756.036
SETX	2171.9314	SETX	2818.0624
SET	5532.491	SET	5877.7654
SEZ6L2	1361.0108	SEZ6L2	823.1134
SEZ6L	5.8664	SEZ6L	5.6571
SF1	4996.3899	SF1	5258.713
SF3A1	4704.8014	SF3A1	4349.0696
SF3A2	328.5199	SF3A2	1575.1086
SF3A3	1257.2202	SF3A3	2059.602
SF3B14	859.2058	SF3B14	946.3582
SF3B1	6772.1119	SF3B1	9273.664
SF3B2	7321.2996	SF3B2	4474.3914
SF3B3	3830.7762	SF3B3	3672.2901
SF3B4	1793.7726	SF3B4	1364.5823
SF3B5	720.2166	SF3B5	1080.1091
SF4	450.361	SF4	602.8892
SFI1	253.1588	SFI1	665.5218
SFMBT1	245.0361	SFMBT1	510.3546
SFMBT2	84.3863	SFMBT2	230.7304
SFN	373.6101	SFN	603.2124
SFPQ	4647.3421	SFPQ	3583.6307
SFRP1	699.0072	SFRP1	38956.2582
SFRP2	15775.2708	SFRP2	1858.3695
SFRP4	1902.5271	SFRP4	1127.3866
SFRS11	2078.5199	SFRS11	4069.502
SFRS12IP1	513.0866	SFRS12IP1	607.3341
SFRS12	1167.87	SFRS12	1925.8511
SFRS13A	1918.3213	SFRS13A	1742.8023
SFRS13B	6.3177	SFRS13B	31.1143
SFRS14	1842.9603	SFRS14	1885.0389
SFRS15	690.8845	SFRS15	1058.2887
SFRS16	247.7437	SFRS16	685.3217
SFRS17A	893.5018	SFRS17A	1110.8193
SFRS18	900.722	SFRS18	3772.9064
SFRS1	4949.4585	SFRS1	3966.0572
SFRS2B	422.3827	SFRS2B	1774.7247
SFRS2IP	3618.231	SFRS2IP	3765.2288
SFRS2	2313.2581	SFRS2	2312.1164
SFRS3	3273.4657	SFRS3	4948.7827
SFRS4	1308.6643	SFRS4	1778.3615
SFRS5	1333.4838	SFRS5	6841.0951
SFRS6	4381.769	SFRS6	4983.1296
SFRS7	1610.1083	SFRS7	1950.5001
SFRS8	1026.6245	SFRS8	1236.8926
SFRS9	2837.5451	SFRS9	1423.5781
SFT2D1	268.9531	SFT2D1	436.0036
SFT2D2	65.8845	SFT2D2	101.8002
SFT2D3	143.9531	SFT2D3	358.42
removed	removed	SFTA2	8.0816
SFTPA2	73.1047	removed	removed
SFTPD	19.4043	SFTPD	30.3061
SFXN1	1926.8953	SFXN1	374.5833
SFXN2	902.5271	SFXN2	265.8854
SFXN3	1221.1191	SFXN3	816.2441
SFXN4	580.3249	SFXN4	330.5384
SFXN5	881.769	SFXN5	238.0038
SGCB	1015.343	SGCB	1047.3785
SGCD	629.0614	SGCD	401.6567
SGCE	578.5199	SGCE	857.4603
removed	removed	SGCG	15.3551
SGEF	1686.3718	SGEF	393.171
SGIP1	73.1047	SGIP1	61.4203
SGK196	32.9422	SGK196	44.0449
SGK1	565.4332	SGK1	804.9298
SGK223	1129.9639	SGK223	1369.4313
SGK269	1150.722	SGK269	1426.8108
SGK2	64.5307	SGK2	78.816
SGK3	3603.7229	SGK3	1983.3397
SGK494	25.5641	SGK494	61.3234
SGMS1	488.2671	SGMS1	483.6852
SGMS2	761.2816	SGMS2	382.2608
SGOL1	155.2347	SGOL1	6.0612
SGOL2	268.5018	SGOL2	151.5305
SGPL1	2495.4874	SGPL1	2141.6305
SGPP1	447.2022	SGPP1	315.9915
SGPP2	18.0505	SGPP2	44.0449
SGSH	941.787	SGSH	1033.2357
